"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Bacterial invasion of epithelial cells",77,0.50468,1,0.39852,0.39955,1,1,0.0011074
"Proteoglycans in cancer",211,1.383,2,0.40416,0.39345,1,1,0.00012563
"Amphetamine addiction",79,0.51779,1,0.40644,0.391,1,1,0.0023338
"Alcoholism",217,1.4223,2,0.41794,0.37888,1,1,0.0070707
"RNA degradation",83,0.54401,1,0.42198,0.37471,1,1,0
"Cortisol synthesis and secretion",84,0.55056,1,0.4258,0.37079,1,1,0.0014027
"NOD-like receptor signaling pathway",222,1.4551,2,0.42931,0.36723,1,1,0.0021386
"Prolactin signaling pathway",85,0.55712,1,0.4296,0.36694,1,1,0
"Pathways of neurodegeneration - multiple diseases",513,3.3624,4,0.43579,0.36073,1,1,0.00020202
"Glycine, serine and threonine metabolism",88,0.57678,1,0.44084,0.35572,1,1,0.048516
"Viral carcinogenesis",228,1.4944,2,0.44281,0.35379,1,1,0
"Colorectal cancer",89,0.58333,1,0.44454,0.35209,1,1,0.0038874
"ECM-receptor interaction",90,0.58989,1,0.44821,0.34851,1,1,0
"Rheumatoid arthritis",90,0.58989,1,0.44821,0.34851,1,1,0
"Cytoskeleton in muscle cells",232,1.5206,2,0.45171,0.34514,1,1,0
"Th1 and Th2 cell differentiation",91,0.59644,1,0.45187,0.34499,1,1,0
"Adherens junction",92,0.603,1,0.45549,0.34152,1,1,0
"Renin secretion",93,0.60955,1,0.4591,0.3381,1,1,0
"PPAR signaling pathway",94,0.6161,1,0.46268,0.33472,1,1,0
"Hematopoietic cell lineage",94,0.6161,1,0.46268,0.33472,1,1,0
"Viral protein interaction with cytokine and cytokine receptor",95,0.62266,1,0.46623,0.3314,1,1,0
"Thyroid hormone synthesis",95,0.62266,1,0.46623,0.3314,1,1,0.00027996
"Regulation of actin cytoskeleton",239,1.5665,2,0.4671,0.33059,1,1,0.0037423
"Glyoxylate and dicarboxylate metabolism",96,0.62921,1,0.46977,0.32812,1,1,0.0029963
"Amyotrophic lateral sclerosis",389,2.5496,3,0.47217,0.32591,1,1,0
"Longevity regulating pathway",98,0.64232,1,0.47676,0.3217,1,1,0
"Insulin secretion",98,0.64232,1,0.47676,0.3217,1,1,0.0015664
"GABAergic synapse",99,0.64888,1,0.48023,0.31855,1,1,0.0045455
"Glycerolipid metabolism",101,0.66199,1,0.48709,0.31239,1,1,0.0078321
"mRNA surveillance pathway",104,0.68165,1,0.49722,0.30345,1,1,0
"Morphine addiction",104,0.68165,1,0.49722,0.30345,1,1,0.0021212
"Central carbon metabolism in cancer",106,0.69476,1,0.50386,0.29769,1,1,0
"Alzheimer disease",408,2.6742,3,0.50415,0.29744,1,1,0.00035377
"Circadian entrainment",108,0.70787,1,0.51041,0.29208,1,1,0.018905
"Th17 cell differentiation",109,0.71442,1,0.51366,0.28933,1,1,0
"NF-kappa B signaling pathway",110,0.72097,1,0.51688,0.28661,1,1,0
"Glutathione metabolism",111,0.72753,1,0.52008,0.28393,1,1,0.0048309
"Calcium signaling pathway",265,1.7369,2,0.522,0.28233,1,1,0.0058275
"Nucleocytoplasmic transport",118,0.77341,1,0.54193,0.26606,1,1,0
"Bile secretion",275,1.8024,2,0.54212,0.26591,1,1,0
"Lysine degradation",120,0.78652,1,0.54799,0.26123,1,1,0.020927
"Amoebiasis",121,0.79307,1,0.55099,0.25886,1,1,0
"Growth hormone synthesis, secretion and action",121,0.79307,1,0.55099,0.25886,1,1,0.0066964
"Leukocyte transendothelial migration",123,0.80618,1,0.55693,0.2542,1,1,0
"C-type lectin receptor signaling pathway",124,0.81273,1,0.55987,0.25191,1,1,0
"Glutamatergic synapse",124,0.81273,1,0.55987,0.25191,1,1,0.0039124
"Complement and coagulation cascades",125,0.81929,1,0.56279,0.24965,1,1,0
"Parathyroid hormone synthesis, secretion and action",127,0.8324,1,0.56858,0.24521,1,1,0.0032726
"Insulin resistance",130,0.85206,1,0.57712,0.23873,1,1,0.00021786
"Glucagon signaling pathway",130,0.85206,1,0.57712,0.23873,1,1,0.018954
"Thyroid hormone signaling pathway",131,0.85861,1,0.57993,0.23662,1,1,0
"ATP-dependent chromatin remodeling",136,0.89139,1,0.59371,0.22643,1,1,0
"Apoptosis",139,0.91105,1,0.60176,0.22058,1,1,0
"Osteoclast differentiation",139,0.91105,1,0.60176,0.22058,1,1,0.0071405
"Lysosome",140,0.9176,1,0.60441,0.21867,1,1,0
"Estrogen signaling pathway",142,0.93071,1,0.60965,0.21492,1,1,0
"Spinocerebellar ataxia",148,0.97004,1,0.62498,0.20413,1,1,0
"Apelin signaling pathway",148,0.97004,1,0.62498,0.20413,1,1,0.018378
"AMPK signaling pathway",150,0.98315,1,0.62996,0.20069,1,1,0
"Alcoholic liver disease",152,0.99625,1,0.63487,0.19732,1,1,0.00034698
"Oxidative phosphorylation",153,1.0028,1,0.6373,0.19566,1,1,0
"Protein digestion and absorption",155,1.0159,1,0.64211,0.19239,1,1,0
"mTOR signaling pathway",162,1.0618,1,0.65848,0.18146,1,1,0.0013626
"Non-alcoholic fatty liver disease",164,1.0749,1,0.66302,0.17847,1,1,0
"Coronavirus disease - COVID-19",344,2.2547,2,0.66493,0.17723,1,1,0
"Oxytocin signaling pathway",165,1.0815,1,0.66526,0.17701,1,1,0
"Hepatitis B",165,1.0815,1,0.66526,0.17701,1,1,0.00071863
"Retrograde endocannabinoid signaling",172,1.1273,1,0.68059,0.16712,1,1,0.0060241
"Serotonergic synapse",178,1.1667,1,0.69317,0.15916,1,1,0.0019425
"Protein processing in endoplasmic reticulum",181,1.1863,1,0.69927,0.15535,1,1,0
"Axon guidance",182,1.1929,1,0.70128,0.15411,1,1,0
"Efferocytosis",184,1.206,1,0.70526,0.15165,1,1,0.003937
"PI3K-Akt signaling pathway",371,2.4316,2,0.70539,0.15157,1,1,0.0061386
"Cellular senescence",187,1.2257,1,0.71113,0.14805,1,1,0
"ABC transporters",191,1.2519,1,0.71878,0.1434,1,1,0
"Motor proteins",198,1.2978,1,0.73169,0.13568,1,1,0
"Chemokine signaling pathway",198,1.2978,1,0.73169,0.13568,1,1,0.010377
"Steroid hormone biosynthesis",200,1.3109,1,0.73527,0.13356,1,1,0
"Pathways in cancer",579,3.7949,3,0.74022,0.13064,1,1,0.0017753
"Purine metabolism",235,1.5403,1,0.79081,0.10193,1,1,0.031815
"Ras signaling pathway",243,1.5927,1,0.8018,0.095935,1,1,0.00021478
"Chemical carcinogenesis - receptor activation",257,1.6845,1,0.81967,0.086359,1,1,0
"Endocytosis",276,1.809,1,0.84142,0.074987,1,1,0
"Chemical carcinogenesis - reactive oxygen species",286,1.8745,1,0.85181,0.069658,1,1,0
"Parkinson disease",300,1.9663,1,0.86523,0.062867,1,1,0
"MAPK signaling pathway",304,1.9925,1,0.86884,0.061058,1,1,0
"Neuroactive ligand-receptor interaction",445,2.9167,1,0.95003,0.022265,1,1,0
"Olfactory transduction",1219,7.9897,1,0.99981,8.2123e-05,1,1,0.01052
