sex,legend,name,n,G,U,grubbs,p_grubbs
M,Control Vehicle,DOPAC,6,1.36,0.557,highest value 2951.21 is an outlier,0.447
F,Control Vehicle,5HIAA_5HT,6,1.35,0.562,highest value 0.8278 is an outlier,0.456
M,HFHS Vehicle,dopamine,6,1.34,0.568,lowest value 8062.47 is an outlier,0.468
M,HFHS FOS+GOS,5-HIAA,7,1.41,0.616,lowest value 405.16 is an outlier,0.482
M,HFHS Vehicle,HVA,6,1.32,0.584,lowest value 1444.92 is an outlier,0.501
M,Control Vehicle,DOPAC_DOPAMINE,6,1.31,0.585,highest value 0.2864 is an outlier,0.502
M,HFHS FOS+GOS,5HT,7,1.38,0.628,lowest value 637.6 is an outlier,0.511
F,HFHS FOS+GOS,5HT,6,1.29,0.599,highest value 797.94 is an outlier,0.532
M,HFHS 1472,L_DOPA,6,1.29,0.601,highest value 132.09 is an outlier,0.536
F,Control Vehicle,DOPAC,6,1.29,0.603,highest value 3052.04 is an outlier,0.54
M,Control Vehicle,L_DOPA_DOPAMINE,6,1.28,0.605,highest value 0.021 is an outlier,0.545
M,HFHS 1472,5-HIAA,6,1.28,0.608,lowest value 452.29 is an outlier,0.551
M,HFHS Vehicle,HVA_DOPAMINE,6,1.27,0.612,highest value 0.2022 is an outlier,0.559
F,HFHS 1472,noradrenaline,7,1.35,0.648,highest value 386.16 is an outlier,0.56
M,HFHS FOS+GOS,DOPAC,7,1.33,0.655,highest value 2949.87 is an outlier,0.579
M,HFHS 1472,5HT,6,1.24,0.634,lowest value 698.29 is an outlier,0.609
F,HFHS FOS+GOS,HVA,6,1.23,0.636,highest value 2126.42 is an outlier,0.615
M,HFHS Vehicle,5HT,6,1.23,0.637,highest value 711.86 is an outlier,0.618
M,Control Vehicle,HVA_DOPAMINE,6,1.21,0.649,highest value 0.2075 is an outlier,0.645
F,HFHS 1472,5HT,7,1.28,0.68,lowest value 676.78 is an outlier,0.649
F,HFHS FOS+GOS,DOPAC,6,1.12,0.699,highest value 4113.85 is an outlier,0.778
