"module_number"	"module_name"	"x101w10"	"x101w5"	"x102w10"	"x102w5"	"x103w10"	"x103w5"	"x104w10"	"x104w5"	"x105w10"	"x105w5"	"x106w10"	"x106w5"	"x109w10"	"x109w5"	"x110w10"	"x110w5"	"x113w10"	"x113w5"	"x115w10"	"x116w10"	"x116w5"	"x117w10"	"x117w5"	"x119w10"	"x119w5"	"x121w10"	"x121w5"	"x122w10"	"x122w5"	"x124w10"	"x124w5"	"x125w10"	"x125w5"	"x126w10"	"x126w5"	"x128w10"	"x128w5"	"x130w10"	"x130w5"	"x131w10"	"x131w5"	"x132w10"	"x132w5"	"x133w10"	"x133w5"	"x134w10"	"x134w5"	"x135w10"	"x135w5"	"x136w10"	"x136w5"	"x137w10"	"x137w5"	"x201w10"	"x201w5"	"x202w10"	"x202w5"	"x204w10"	"x204w5"	"x207w10"	"x207w5"	"x208w10"	"x208w5"	"x209w10"	"x209w5"	"x211w10"	"x211w5"	"x212w10"	"x212w5"	"x213w10"	"x213w5"	"x216w10"	"x216w5"	"x217w10"	"x217w5"	"x218w10"	"x218w5"	"x219w10"	"x219w5"	"x221w10"	"x221w5"	"x223w10"	"x223w5"	"x224w10"	"x224w5"	"x225w10"	"x225w5"	"x226w10"	"x226w5"	"x227w10"	"x227w5"	"x228w10"	"x228w5"	"x231w10"	"x231w5"	"x232w10"	"x232w5"	"x233w10"	"x233w5"	"x234w10"	"x234w5"	"x235w10"	"x235w5"	"x236w10"	"x236w5"	"x237w10"	"x237w5"	"x238w10"	"x238w5"	"x239w10"	"x239w5"	"x241w10"	"x243w10"	"x243w5"	"x245w10"	"x245w5"	"x246w10"	"x246w5"	"x247w10"	"x247w5"	"x248w10"	"x248w5"	"x250w10"	"x250w5"	"x251w10"	"x251w5"	"x252w10"	"x252w5"	"x302w10"	"x302w5"	"x303w10"	"x303w5"	"x304w10"	"x304w5"	"x305w10"	"x305w5"	"x306w10"	"x306w5"	"x308w10"	"x308w5"	"x310w10"	"x310w5"	"x311w5"	"x312w10"	"x312w5"	"x314w10"	"x314w5"	"x315w10"	"x315w5"	"x401w10"	"x401w5"	"x402w10"	"x402w5"	"x405w10"	"x405w5"	"x407w10"	"x407w5"	"x408w10"	"x408w5"	"x409w10"	"x409w5"	"x412w10"	"x412w5"	"x413w10"	"x413w5"	"x419w10"	"x419w5"	"x420w10"	"x420w5"	"x421w10"	"x421w5"	"x422w10"	"x423w10"	"x423w5"	"x435w10"	"x435w5"	"x436w10"	"x436w5"	"x438w10"	"x438w5"	"x439w10"	"x439w5"	"x501w10"	"x501w5"	"x503w10"	"x503w5"	"x506w10"	"x506w5"	"x104dam"	"x105dam"	"x106dam"	"x107dam"	"x110dam"	"x111dam"	"x113dam"	"x114dam"	"x115dam"	"x115w5repeat"	"x116dam"	"x117dam"	"x118dam"	"x119dam"	"x120dam"	"x121dam"	"x122dam"	"x123dam"	"x124dam"	"x125dam"	"x126dam"	"x127dam"	"x128dam"	"x129dam"	"x130dam"	"x131dam"	"x133dam"	"x135dam"	"x136dam"	"x241w5repeat"	"x311w10pos"	"x422w5repeat"	"x507w10"	"x507w5"	"x508w10"	"x508w5"	"xnegblank"
"MGB036"	"S-Adenosylmethionine (SAM) synthesis"	109168.74	78586.52	43320.56	60239.56	42147.98	38493.09	65839.22	51397.6	59774.42	50782.13	99539.38	40927.5	77640.42	42879.61	170100.07	56221.03	98003.56	45386.03	8968.97	37222.75	22118.63	14532.61	13767.23	49878.73	13547.25	17812.7	12510.7	15564.24	10722.98	22064.59	3593.57	26327.75	43005.19	14927.19	47290.31	28160.58	53679.33	32919.33	47159.75	26456.33	38868.67	32180.75	38605.25	24342.42	43975	42089.45	54818.83	59854.32	56536.55	49636.08	41868.33	82060.09	20720.33	2053.46	16995.25	42696.08	13590.7	15568.21	26025.7	18937.15	15429	44960.53	24313.05	9756.02	52369.46	45223.6	43197.45	40700.1	42615.87	14331.61	45563.59	17973.15	29683.36	42320.91	37803	20452.57	41803.94	39864.03	36310.64	12435.32	64938.84	15185.47	27707.81	66596.06	25013.15	71962.83	45861.63	12390.33	74648.57	51798.05	39703.76	29745.8	25290.64	17130.76	28821.65	44107.97	24171.71	35648.95	34220.11	52709.7	30193.43	7241.17	26837.35	20186	18927.17	8919.85	38907.09	45378.75	34327.36	72005.15	24607.76	80830.14	28895.2	20285.17	9813.75	28757.32	35112.32	22747.58	32872.21	19618.5	63679.52	25398.7	22750.85	17504.05	71598.73	17550.05	47482.15	37067.22	67835.62	72893.7	66862.75	59508.09	52866.65	32616.15	36670.27	28332.8	33526.68	38964.62	24385.57	55146.72	14283.89	38955.73	27473.82	8018.97	16859.18	5859.25	28154.92	7746.6	29536.01	22786.73	41456.02	19877.66	49207.8	30819.94	39644.53	34722.61	27063.54	28431.07	40302.92	123167.97	28239.41	94627.91	54395.08	37249.68	37380.17	27977.58	47733.14	53150.89	143373.73	30170.1	47116.82	22608.89	157731.18	45890.6	59465.32	64808.14	73863.56	45176.8	98150.17	36431.37	31560.8	25901.28	81379.94	45776.2	92341.13	38406.77	95954.39	37263.07	15683.63	22829.59	13158.72	22899.84	27673.49	23068.52	17723.92	23572.61	27891.88	11976.13	48974.45	21567.51	17781.82	13939.72	21371.14	20944.71	21858.57	21244.38	17343.68	31625.75	22847	13788.07	15100.58	20980.77	23335.69	19006.68	29363.28	19032.82	13577.49	13035.45	18900.02	19006	16773.07	19397.68	12023.7	19486.75	NA
"MGB052"	"Butyrate synthesis I"	115804.39	67110.54	42007.46	52338.96	46366.96	16638.34	56191.69	28636.61	38508.5	44389.85	48277.85	20691.25	41400.34	57979.06	88351.31	81442.73	99952.62	33534.06	9215.1	32603.25	15727.35	15066.14	8041.29	50208.21	17557.91	23301.74	12195.23	13545.14	10343.12	21285.85	2342.38	14464.51	24259.04	9524.21	32426.96	35171.25	51664.82	43499.5	53382.5	33347.75	41263.68	30405.66	50783	33802.75	47548.75	53992.65	58934.91	73143.55	61697.44	61206	50768.66	99953.59	25324	3058.61	12912.58	50547	7801.65	14580.34	22250.41	21674.14	8503.75	32943.15	14778.85	7756.21	35053.33	54563.79	57772.31	38928.69	56402.15	19290.31	61397.43	23633.39	37936.97	52783.66	38239.5	19227.55	53428.04	50547.47	48759.87	14839.98	83206.43	8681.11	30140.29	38169.52	17892.88	56043.92	47657.6	6830.75	54819.05	32749.85	28013.19	20422.09	23309.95	18537.11	35910.39	54793.27	22676.51	37163.16	29047.63	32353.72	23293.61	5570.5	19615.11	18902.75	12850.6	8932.94	36210.43	44415.01	33242.97	33269.06	17869.76	58044.62	13060.23	25131.5	11194.49	27266.55	35445.63	28640.75	42521.92	14080.58	98888.04	31351.65	25780.79	22424.51	76103.21	23895.6	56655.39	50631.25	77300.48	101880.06	76914.24	87567.76	67869.29	44772.8	31691.55	36643.01	46841.45	46404.41	24636.47	52834.35	15465.36	39810.46	25625.39	3130.18	6241.19	2069.25	10241.34	4427.29	5856.36	23843.45	41602.37	16938.98	44569.1	33019.71	20263.81	37521.55	16447.41	29398.07	24867.5	146761.35	24225.9	107181.91	29179	44021.7	20657.51	39105	74535.94	57054.53	184065.46	36139.79	70689.8	29886.28	218183.61	53229.95	84249.14	79700.53	74294.2	53521.85	130033.5	42500.74	40646.34	26407.15	120335.22	59851.15	137680.6	53136.45	134124.62	41450.14	5330.01	15032.43	4343.87	28441.09	33079.48	26986.29	12263.26	33932.32	35483.18	9188.1	60302.74	13578.59	27653.55	5597.53	19720.71	16355.59	15861.06	23101.35	14613.52	33302.16	26405.24	14537.22	11233.92	9495.98	30169.38	13221.19	34039.57	25368.39	15150.8	8273.31	13838.36	23383.84	18187.05	20839.45	16108.56	22718.75	NA
"MGB031"	"17-beta-Estradiol degradation"	66972.51	52831.34	19572.41	33425.16	34010.41	30725.51	44255.59	39269.58	44910.92	30166.33	87704.58	33161.75	67326.59	23578.24	147112.67	33470	65865.9	33877.66	5876.17	25104.5	17812.08	10097.16	11628.33	34095.16	6375.08	11832.25	7799.92	8407.01	5628.02	11227.32	2615.09	20043.25	34602.09	9746.34	39022.24	19763.83	37787.99	23922.83	26760.25	18199.58	19915.01	22603.08	27768.75	16664.67	32652.25	28384.5	39566.91	46286.17	36276.92	31633.58	24572.16	58353.01	10468.33	1138.83	15222.67	26470.08	11175.75	10566.16	16046	10367.75	12422.75	32637.08	18976.5	7250.42	37886.85	30577.42	30007.83	31123	24780.42	8794.49	27352.18	11235.67	18960.57	28695.24	23912	15007.42	32418.51	32338.69	15150.15	10630.26	38454.43	11978.67	19536.57	46029.18	20601.5	49451.58	28680	9458.83	57342.59	39194.33	35199.83	24000.58	19597.65	11270.74	16341	23127.92	19526.16	18074.5	28730.33	44264.67	24679.85	5371.5	21811.83	11619.25	16131.59	5633	28218.51	29650.25	26169.74	57136.75	20250.74	60142.84	22860.67	9398.67	5339.58	23650.17	24691.67	15901.33	24218.35	16245.92	26431.59	17096.75	17888.17	10321.33	52160.41	8417.75	32243.67	22476.97	50206.84	40144.08	47985.5	33557.15	39718.75	19372.75	28347.59	15017.08	22098.08	26854.23	17744.5	31720.17	11349.34	22861.41	14548.34	6463.59	16161.58	4755.5	25768.09	6194.92	26237.74	17424.16	31698.75	14175.66	38214.5	20509.34	33347.91	29018.24	21670.34	22016.25	32262.92	80633.42	21016.99	57991.99	44380.58	23612.1	27637.17	17644.58	26490.51	40010.01	122508.16	24012.42	25060.92	12656.26	65933.41	35865.75	33377.92	53676.1	51144.18	31556.75	50944.84	15894.34	18071.25	14865.33	41164.18	28818.5	33739.25	21450.92	68383.15	21766.59	13464.35	20226.74	11545.17	14688.76	17477.67	12002.84	14926.92	7299.99	14233.69	7239.33	29504.42	19122.49	4047.17	10618.51	15606.51	13369.41	17131.67	11055.33	9510.74	25820.59	9227	8694.25	10641.16	17116.92	9497.17	15817.58	23244.91	9380.4	5618.59	10814.83	12096.25	11075.92	13570.42	13172.83	7464.58	10116.75	NA
"MGB053"	"Butyrate synthesis II"	28636.09	11184.34	6394.66	8057.66	12698.16	1600.84	8848.59	3313.91	7798.5	4508.25	17841.75	2889.75	9911.84	10638.66	22619.34	19611	34766.82	9532.66	3195	8790.75	5377.75	5529.91	2263.66	10916.41	4421.91	4705.84	2280.5	616.34	1738.52	1459.32	801.25	3051.34	5814.34	738.34	11905.16	7732.75	19926.82	9559.5	14864	5075.75	15095.68	13947.16	13146	5592.25	8086.75	10711.25	29414.41	20881.75	23249.34	18580.5	16556.66	32774.09	4780.5	510.34	3032.25	10537	2742.75	3507.91	4671.84	6715.84	1722.75	6914.25	2794.25	1749.84	9308.93	10368.59	11540.41	14498.16	20530.75	5834.41	18417.93	4598.59	7384.57	16392.66	9589	4209.25	18337.34	11903.77	7118.07	5561.68	22590.93	2363.34	4619.82	3833.59	4964.75	10059.25	8872	955.75	22313.75	8953.75	9501.66	10655.16	9948.82	5396.41	4581.59	12784.5	9071.91	3435.09	14069.07	9688.16	11280.27	1523.5	8262.41	2977.75	6296.43	2627.41	14294.93	14293.34	16117.07	6915.59	3912.23	19428.68	3159.5	6711	3091.16	10726.75	11628.75	8831.25	12710.02	4521.75	12650.34	9282.75	9694.09	6860.41	33003.41	6895	17385.59	12733.25	17307.75	32031.16	32574.91	25261.23	22276.66	14271.5	7171.18	13847.91	10428.75	20393.98	6725	15810.75	5412.59	9963.16	1368.59	754.25	1683.66	772.25	2392.34	1197.09	1018.16	10456.82	16488	6503.32	24744	4996.84	2954.41	15416.82	2691.34	10124.93	6206	37494.75	11463.57	24540.91	16420.5	12073.36	5559.84	6513.5	18774.34	21621.43	55646.66	13171.09	18993	8190.68	41233.91	22639.25	16258.34	34056.93	13771.93	20955.75	29628	18017.84	6761.41	10415.25	21566.02	15545.25	16917	13910.25	20376.82	18402.34	2253.77	6037.07	2140.93	8911.09	12971.34	6895.09	4118.59	1715.25	11681.61	1804.5	22806.34	4685.23	630.75	620.93	14287.77	8569.66	6356.59	8096.25	445.32	18494	7198.41	7757.25	4089.75	1435.27	8458.34	3699.16	11897	7691.73	1198	3880.91	1516.16	5136.84	6629.25	8492.25	2226.66	9676.75	NA
"MGB010"	"Histamine degradation"	170	493	12	25	NA	26	32	161	6	436	8	31	NA	NA	30	21	525	154	53	NA	86	NA	NA	9	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	139	6	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	15	2	NA	NA	NA	NA	NA	15	NA	NA	3	NA	NA	NA	3	3	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	153	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	10	NA	2	NA	NA	NA	NA	NA	49	275	NA	NA	NA	NA	NA	NA	30	97	NA	NA	5	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	13	3.33	9	170	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MGB032"	"Quinolinic acid synthesis"	39598.74	45871.52	26152.23	36090.23	19147.48	15080.59	32209.22	26299.1	27151.42	36451.63	40523.38	16069.5	26188.42	19880.61	67924.07	26890.53	49888.39	17867.03	4584.97	25277.75	11094.63	7005.61	5522.23	34571.23	7932.75	11463.03	9256.7	12315.24	7353.31	19773.09	2290.57	18444.25	21392.02	11292.69	27536.81	11882.08	21148.33	16546.33	20860.25	14667.83	18137.67	17030.75	21352.25	14850.42	30348.5	26113.95	22678.33	23596.32	28995.05	26825.08	14407.33	42858.09	13294.83	1439.13	6660.75	25705.58	4802.2	7342.71	13419.7	10927.98	3130.5	15387.53	8997.55	3823.52	26580.96	27900.6	21317.95	16973.6	16393.37	6720.11	15380.09	11372.65	17106.86	22671.41	21089.5	10917.57	19021.94	26130.03	21719.14	6622.32	27641.84	9125.97	19698.48	44008.39	16309.98	52506.5	34490.8	7273.83	48301.24	33472.88	18953.43	20102.63	15869.47	12267.76	21599.98	33711.64	16286.38	23516.45	19952.28	28498.2	10996.93	4391	9453.85	15189	11578.67	6555.35	23980.92	33174.75	19247.53	34391.65	11145.43	51132.64	15886.7	10381.67	4010.08	14566.32	16719.9	9428.58	17206.54	9681.5	52884.02	12386.2	12199.85	8291.05	40245.23	8742.55	29921.15	17930.42	27657.12	24560.7	33269.75	21836.09	26363.65	7502.65	9116.77	9871.8	19742.68	14207.62	15110.57	15877.22	7492.89	15811.23	20752.82	4826.97	8457.18	3460.75	12250.92	4570.1	12602.01	13717.23	20186.02	13930.66	25066.3	22329.94	11478.53	18608.61	7480.04	17809.9	9832.42	70118.97	13577.91	57957.91	21043.58	24520.51	16239.17	16096.08	18586.64	23390.22	59686.73	16741.6	17124.32	15066.22	115805.18	18514.6	38028.15	27021.81	31670.06	23440.3	68770.34	18194.37	24336.3	13091.28	60679.27	23121.2	77294.3	20440.77	69705.89	16028.57	5603.63	9118.09	6973.72	7191.34	12961.99	10198.02	6003.92	19392.11	11628.38	7370.63	22327.45	7108.51	14986.32	6973.72	8240.14	11191.71	9524.57	10772.88	13246.68	12277.75	14701.5	6054.57	9928.58	9039.27	13642.19	8321.18	14380.28	9097.82	10923.99	5316.45	13836.52	10187	7462.57	7812.68	9012.2	9423.25	NA
"MGB054"	"Propionate synthesis II"	7275.25	4003	1631.5	3136	3578	529.5	2826.25	1032.75	2639	1468.25	7189.25	1183.25	3843	1311	11372.5	3162.5	11595	2138	1119	2729.25	2149.75	1320.75	805.5	2798.25	874.25	1232.5	496.5	92.5	546.5	453	185.25	1252	1193.5	339	2395	1647.75	5842	2478.5	3550.5	790.75	4221	4209.5	3583	1108.75	1876.75	2658.25	8848.75	5209.75	6778.5	4855	3816.5	8224.75	1141	159	937.25	3557	862.25	1040.25	1500.5	1853.5	343.75	2039.25	879.75	455	2777.75	2748.25	2829.75	4027	4881.25	1618.25	3149.75	1353.25	650.75	4649	1325.5	1332.25	5586.5	4109.25	1192.75	2051.5	5435.25	266.5	564.5	1391.75	1126.25	1528.75	1279.5	271.25	3898.25	1458.25	1741.5	868.5	2123	496.25	363.25	1599.25	882.25	715.75	2355.25	1841.5	3692.75	270	2461.75	376.25	1186.25	188.25	2716.25	1429.5	2936.75	1287.75	895.75	2039.5	1073.5	1631	844	3884.75	3487.75	2476.25	3744.5	941.75	3954	2445.25	2916.25	1465.25	10334.75	1070	5445.75	2177.25	3624.25	6353	10825.25	4768.75	7054	2645	1350.5	3243.75	3414.75	5220	3071	2162.75	1946.75	1363	635.75	298.75	549.5	287.25	1540	363.25	657.5	3201.5	5803.5	2406	9286	1423	2154.75	4447.5	1079	2739.75	2494.5	9059.75	3936.25	5864.25	6324	3062	1751.5	1170	3136.5	5733.25	16624.5	4192.25	3565.5	2671.5	11642.75	6609.75	4137	10435.25	3196.75	6706.25	8791.5	3236	1877.25	2403.25	7760.5	3432.25	4180.5	2522.25	5738.5	3650.5	1115.75	2181.75	413.75	2213.25	3501.5	1118.75	1474.75	696.75	1995.25	603.5	5926	1640.25	207.75	154.25	5261.25	2467.5	2405.75	1662.75	147	6364	2133.75	2118.75	1083.75	653.75	2175	1331.83	2920.5	1279.25	100	1313.25	251.5	1579.5	2049.75	2082.75	566	2113.75	NA
"MGB050"	"Glutamate degradation I"	16550	3822	3551.33	2872.33	5587	423.5	4583	812	3668	1357	5849	916	3892	7630	6689	11136	15945.67	4401	1467.5	2957	2002	2577	776	4969	2356	2072.17	1054	87.5	493.67	396.5	273	408.5	1969.67	86.5	3600	4679	8193	5347	7350	3425	6961	6111	6690	3449	4843	5170	12703	10343	10156	8677	9881	13806.5	2707	203	910	4699	957	1562	1968	2808.17	1174	3631	1485	775	2970.5	4675	5509	5961	9870	2853	10099	2304	4739	6988	4776	2027	7942	4731	4529	2076	12164	217.5	2295.33	725.67	2202.67	1802.83	6431.33	199	9001.33	1183.17	6699.33	945.67	2834.17	713	2026.17	3163.83	2626.83	2212	3858.83	4740.5	5174	551.67	4516.5	673.5	1915	634	7613.67	2915	5697.33	980	1969.33	2194.5	1287.5	3776	1704.67	3848	4814.42	4201	4901.67	3012.5	5018	4339	3680	3631	12115	3592	6698.5	6487	9489	18711	13218	14268	9154	9903	4247	7649	4079	9415	1660	10017	2091.5	6899	393	238	342	261	356	440	218	4091.5	6959.5	2340	11472.5	2191	1700	5370.5	1612	3268.17	3583	17867.5	4353.5	10699	6071	4929.67	2068	3981.5	11178	8939.67	23188.5	4981	11153	3042.67	16796.5	9387	7148.67	13538.83	6991	8308	11233.83	8708	2405	4982	7150.17	7620	8516.33	7307	9285	8549	286	1813.5	368	7969	5655	4892	1339	606	6609	486	13910	1522	2	458	5820	3038	1944	3608	242	8011	3338	3426	1423	398	4527	1641	4523	4644	191	1131	1369.5	2428	2795	3863	1054	4391	NA
"MGB019"	"GABA degradation"	11648	15557	2429	12658	944	9341	6217	9579	1238	6709	3181	11235	22468	4446	44101	1520	3991	11933	399.5	3776	3884.5	1326	3502	3112	243	680	100	160	96	47	64	130	1165	59.5	953	2788	10891	1106	9295	2626	4896	669	870	1091	2720	275	623	4712	873	1557	5096	2557.5	327	39	2553	1327	1524	816.5	3726	378.5	4252.5	2676.5	3366	344	3277.5	2705	4538	7302.5	2829	599	4500	1560	1086	2860	5420	639.5	610	382	4451	171	5205	94	294	197	558	278	201	135	1577	238	962.5	146	622	272.5	875	190.75	325	288	333	257.5	1244	60	609	143	537.5	36	531.5	253	514	1046.5	412.5	482.5	188	325	328	301	1447.75	417	1244.5	585.5	549	792	602	404	1220	385	959	896	16867	3718	425	4380	422	4068	17226	1211	348	1458	2916	16677	516	7627	1171.5	41	145	52	688.5	62	359	388	1956	156	1894.5	826	4513.5	305	3499.5	1398.5	10294	7866	1456.5	1596	2607	430	5793.5	1378	1358	5431	2069.5	762	3653	265	1277	1034	2003	915	5898	638	1090	276	377	851	877	3244	677	829	947	1958	2194	4145	36	3831	496	1721	266	457	982	2732	811	6670	15	253	837	2004	666.5	579	119	418	174	211	83.5	893.5	299	940.33	318	320	35	495	355	1085.5	2472	1250	265	467	NA
"MGB004"	"Kynurenine synthesis"	1127.5	944	215	500	557.5	97	278	216	384	308.5	828	205	349	105.5	852.5	333	1602	376	146	303	586	301	179	484.5	93.5	148	129.5	33.5	85	33	NA	160	111	327	337.5	274.5	578	357	497	118	491	692.5	342	112	212	336	320	943	850	1025.5	265	2394	99	35	244	681	74	173	248	296	42	242.5	102	76	262	761.5	204	1076	695.5	407.5	334	714	62	1212.5	135	162	685	885	105	510.5	338	66.5	26	275.5	135.5	543.5	119	110.5	942.5	323	253.5	178	286	52.5	34	351.25	163	275	381	464.5	479.5	106.5	254.5	192	71.5	58.5	178	314	179.5	508	105.5	587.5	378.5	116	136	509	308.5	156	1044	139.5	377	166	364	161	1484	62	787.5	94	899	470	2750	469	1845	262	149	224	735	427	420	111	375	92	36	44	50	26	162	55	192.5	735	1033.5	770	2006	192.5	253	1404	169	657	357	1570	1031	1281	1018	614	440	270	370	737	1707	1118	312.5	665	2545	612	1079.5	1631	573.5	703	1266	297	131	209	2171.5	315	897	301	1267	489	51	723	53	3272.5	239	50	297.5	31	219	101	338.5	325	NA	158	797	184	731	93	194.5	858	272	159	279	94.5	192	351	775	83	55.5	161.5	94	59	509	185	110	255	NA
"MGB048"	"Propionate synthesis I"	170	493	12	25	NA	26	32	161	6	436	8	31	NA	NA	30	21	525	154	53	NA	234	NA	43	9	NA	NA	NA	10	NA	NA	54	NA	151	NA	88	NA	NA	NA	NA	139	6	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	15	2	NA	NA	NA	NA	37	15	22	66	270	56	36	216	268	3	89	NA	85	NA	7	NA	NA	NA	43	NA	NA	33	NA	11	20	43	54	96	90	78	86	130	18	175	30	57	21	NA	8	56	56	77	28	125	13	35	NA	93	NA	116	NA	56	130	135	69	50	NA	NA	NA	15	NA	128	105	17	NA	NA	16	NA	15	NA	44	NA	NA	34	45	32	20	153	4	38	NA	NA	NA	NA	NA	163	NA	62	NA	164	NA	77	NA	134	NA	127	51	316	NA	399	60	469	363	78	138	244	29	130	NA	21	572	30	118	42	NA	NA	10	NA	NA	NA	NA	7	27	10	46	2	NA	NA	NA	NA	92	77	275	NA	NA	10	4	25	67	30	97	NA	102	5	9	NA	8	54	NA	64	NA	NA	NA	NA	166	13	138.66	9	170	NA	98	64	120	NA	57	NA	16	NA
"MGB005"	"Tryptophan synthesis"	273794.62	284032.435	148398.13	207471.63	128063.565	114535.12	184462.185	153008.25	174122.435	185681.065	289400.815	117112.25	160813.935	74414.3	368608.35	123123.15	293022.8	103340.565	26691.6	121832.5	55351.9	36507.8	33202.15	171359.065	41131	60378.5	51552.335	71929.37	39629.24	99832.28	11293.27	101676.415	143451.62	64004.285	147937.38	59561.9	130441.815	74604.65	110155.25	56130.9	92186.935	82749.75	77643.25	44748.35	106800	107569	158455.9	147027.35	166809.5	128105.065	88531.815	238585.87	69363.315	7304.985	47559.835	121793.65	30219.75	43956.965	78229.665	61374.5	27625.25	121957.565	65427	27199.1	158806.055	107098.25	127157	93004	94859.935	31427.55	97949.37	45612.25	77687.88	109842.55	93136.5	54295.935	109309.7	115145.4	96865.7	34642.6	154374.95	64334.35	119703.795	283652.39	85896.585	321708.23	184626.065	48362.065	264224.935	213933	146123.215	122928.835	79027.28	70898.38	102287.75	190870.6	90969.13	146417.165	122278.8	182116.92	65066.82	25062.935	76558.75	87478	66805.6	38999.835	143235.87	191558.165	120598.63	270227.165	83877.715	327049.2	110457.335	59274.685	20989.085	89464.6	97842.77	67602.815	97333.3	70712.085	242936.35	73951	66752.25	44095	224492.65	42025	148365.25	96781.45	146781.6	162403	191776.5	111265.45	153346	57997	56177.85	61239.25	116660.815	95190.85	70254.85	87220.685	44510.7	83154.085	111012.185	30428.77	55167.4	20826.5	80471.435	28557.25	104428.88	70175.65	107913.35	68838.05	143555.5	90803.45	92981.065	106343.05	62711.535	84219.35	79936.435	297909.6	75399.8	243584.3	156496.565	102661.4	99316.35	59738.9	109233.2	125005.95	460582.315	81627	93654.1	77656.2	573267.4	128280.5	154714.1	184525.7	173819.22	141040.75	313105.85	97937.685	97342	68138.815	291418.7	120182	360075.9	102038.35	257798.2	81776.85	49332.07	64643.365	47974.515	43539.12	72970.2	39685.185	47650.1	100266.295	55213.655	39111.815	136190	50701.8	81576.685	44779.185	50024.45	48059.55	62770.85	54673.565	72726.565	84459.25	78249.585	33710.1	51468.98	60352.68	68230.2	50085.08	84739.73	39927.68	59772.12	33958.25	80498.935	52708	40536.6	44919.4	30944.5	45130	NA
"MGB027"	"Nitric oxide degradation I (NO dioxygenase)"	1765	600	873	1323	206	85	454	929	255	927	692	622	NA	533	30	1509	980	296	78	368	260	32	276	552	187	32	279	105	231	395	66	420	377	331	386	400	292	400	411	427	379	346	76	548	37	389	96	184	440	3541	673	4659.5	242	NA	NA	NA	NA	NA	28	NA	108	3	NA	NA	NA	50	175	233	1257	90	927	320	42	293	122	86	262	174	214	54	815	193	370	2342	548	526	255	94	718	1207	410	256	273	258	795	112.75	346	1525	797	614	205	94	222	180	364	55	569	394	322	1657	607	638	387	58	20	12	25.75	38	NA	231	NA	73	44	265	103	295	78	847	182	605	30	950	22	318	193	264	NA	79	NA	NA	NA	NA	587	364	248	292	385	109	803	NA	772	NA	238	6	106	NA	136	11	12	68	9	NA	NA	NA	6	58	2964	48	1260.5	NA	1709	NA	NA	363	3	250	NA	70	7	18	10	NA	2	605	NA	545	NA	194	226	285	367	1526	117	768	56	300	556	246	373	5	181	439	304	409	109	755	536	185	195	117	257	80	230	112.33	307	306	675	181	372	80	NA	42	NA	98	NA
