symbol,sex,statistic_diet,p.adj_diet
Sacm1l,F,2.073296792,0.09
Samsn1,F,2.045948157,0.074
Sanbr,F,1.952124381,0.097
Sash1,F,1.929459612,0.092
Satb1,F,2.179740551,0.07
Scai,F,2.307478154,0.054
Sclt1,F,1.837575745,0.097
Scn2a,F,2.190942759,0.056
Scn3a,F,2.170672065,0.061
Scn3b,F,2.164806907,0.072
Scn7a,F,2.174282001,0.078
Scn9a,F,2.057157446,0.08
Sdccag8,F,2.163168021,0.056
Sdhaf2,F,2.103719886,0.088
Sdhaf3,F,2.085497741,0.077
Sdhb,F,2.128046872,0.068
Sdhc,F,2.197973135,0.068
Sec22c,F,1.914493565,0.085
Sec24b,F,2.285147399,0.06
Sec24d,F,2.212734109,0.061
Sec61a2,F,2.42242571,0.051
Sel1l,F,2.038975701,0.078
Sel1l3,F,1.959224634,0.091
Sell,F,2.192065261,0.054
Sema3c,F,2.05452628,0.085
Sema4c,F,-2.110219814,0.087
Senp2,F,2.241605369,0.062
Senp7,F,2.179960305,0.075
Sephs1,F,2.107319808,0.088
Septin8,F,1.912465304,0.093
Serbp1,F,2.269629219,0.055
Sergef,F,2.32432627,0.052
Serpinb1a,F,1.924208636,0.083
Sertad1,F,-2.072898301,0.069
Sesn2,F,-2.021464602,0.077
Setd5,F,1.96333899,0.079
Sf3b1,F,2.021412808,0.093
Sfi1,F,1.966582973,0.083
Sfn,F,-2.234671281,0.057
Sft2d1,F,1.987291389,0.089
Sgcz,F,2.037470884,0.069
Sgip1,F,2.249436258,0.056
Sgk1,F,2.217966169,0.064
Sgtb,F,2.471378446,0.054
Sh3gl2,F,1.983998932,0.098
Shld2,F,2.181689622,0.054
Siglech,F,2.199708046,0.054
Sike1,F,1.877706064,0.097
Sipa1l1,F,2.010197691,0.077
Skic8,F,2.071746525,0.065
Skil,F,1.978514757,0.095
Slc14a1,F,2.173525809,0.057
Slc18a2,F,2.186691252,0.062
Slc19a3,F,2.019655152,0.075
Slc22a23,F,2.092824045,0.07
Slc25a17,F,2.074926635,0.086
Slc26a2,F,2.074315217,0.079
Slc27a3,F,-1.959098513,0.099
Slc28a3,F,2.272861721,0.051
Slc2a1,F,1.976668987,0.081
Slc2a12,F,2.246792298,0.052
Slc2a13,F,1.992510132,0.098
Slc2a4,F,-2.058344893,0.067
Slc35f4,F,2.007646829,0.073
Slc35f6,F,-1.969641011,0.082
Slc37a3,F,2.165827242,0.058
Slc38a4,F,2.331517842,0.051
Slc38a9,F,1.957365726,0.082
Slc39a6,F,1.913626706,0.095
Slc44a1,F,2.086652784,0.083
Slc4a10,F,2.179443863,0.077
Slc4a8,F,2.044325361,0.07
Slc5a3,F,2.020319873,0.094
Slc66a3,F,2.033660077,0.07
Slc6a20b,F,-2.072653227,0.065
Slco1a4,F,1.955301987,0.09
Slco1a6,F,2.097503971,0.064
Slco4c1,F,2.253347154,0.058
Slfn5,F,2.011751187,0.081
Slitrk3,F,2.011427335,0.092
Slmap,F,2.251131478,0.071
Smarcc1,F,2.060531799,0.079
Smc2,F,2.27071219,0.057
Smim14,F,2.029077816,0.088
Smim19,F,1.987227858,0.078
Smndc1,F,1.949771727,0.095
Smoc1,F,1.896921632,0.098
Smpd4,F,2.089951446,0.077
Snap91,F,2.249647974,0.071
Sntg2,F,2.226697086,0.059
Snw1,F,2.14872685,0.074
Snx14,F,2.257393405,0.064
Snx16,F,2.054141411,0.08
Snx3,F,2.16216583,0.066
Snx6,F,2.148867961,0.076
Snx9,F,2.335032596,0.063
Sobp,F,2.189240803,0.071
Sox2,F,-2.051152803,0.078
Spaar,F,-2.008416069,0.075
Spag1,F,2.230774261,0.054
Spag9,F,2.320190218,0.062
Spata31f3,F,1.911684396,0.093
Specc1l,F,2.178986099,0.072
Spocd1,F,-2.082273446,0.084
Spr,F,-2.012937975,0.089
Spsb1,F,1.947407452,0.084
Srbd1,F,2.19070408,0.064
Srek1ip1,F,2.336174769,0.063
Srgap1,F,2.425163415,0.052
Srgap3,F,2.023965359,0.071
Sri,F,2.383731681,0.062
Srp54b,F,2.240919926,0.072
Srpk2,F,2.053256995,0.093
Srsf11,F,2.234418226,0.073
Srsf2,F,2.249561914,0.052
Srxn1,F,2.194543174,0.07
Ssbp1,F,1.886327392,0.096
Sstr1,F,-2.206784257,0.078
St3gal1,F,2.416927584,0.053
St6galnac3,F,2.061866817,0.073
St8sia1,F,1.972559409,0.091
Stag1,F,1.871838633,0.096
Star,F,1.932455904,0.09
Stard9,F,2.024398862,0.071
Steap2,F,2.091602806,0.07
Steep1,F,2.116261072,0.081
Stk3,F,2.367336343,0.055
Stk32a,F,2.16973585,0.055
Stk33,F,2.072770582,0.084
Stk39,F,2.117587186,0.075
Stk40,F,-1.90087633,0.094
Stt3b,F,2.140963768,0.083
Stx6,F,2.105895477,0.062
Stx8,F,2.094719559,0.063
Stxbp5,F,2.05062858,0.085
Stxbp5l,F,1.852510915,0.094
Styxl1,F,2.1518836,0.058
Suclg1,F,2.040505121,0.09
Suclg2,F,2.083088284,0.08
Sugt1,F,2.180332931,0.067
Susd3,F,1.992226135,0.075
Susd5,F,1.862406296,0.092
Svep1,F,2.189061184,0.054
Svil,F,2.017111361,0.072
Syde1,F,-2.035883415,0.075
Syn2,F,2.417364678,0.057
Syne3,F,1.901482207,0.093
Syt16,F,2.020845252,0.083
Syt6,F,2.006529695,0.084
Tada1,F,1.972915948,0.082
Taf1,F,2.146746207,0.066
Taf13,F,2.003815473,0.082
Taf1b,F,1.96585546,0.079
Taf5,F,2.098732309,0.066
Tagap1,F,2.028985672,0.09
Tagln,F,-1.986166756,0.084
Taldo1,F,1.885163256,0.089
Tanc2,F,2.227276721,0.053
Taok1,F,2.194351467,0.066
Tax1bp1,F,2.12441927,0.082
Tbc1d4,F,2.150372009,0.058
Tbc1d8b,F,1.871131215,0.094
Tbccd1,F,2.173728368,0.071
Tbce,F,2.227167915,0.057
Tbck,F,1.981032451,0.083
Tbr1,F,2.066312109,0.071
Tbrg1,F,2.147406438,0.057
Tbxas1,F,2.12711284,0.067
Tctn3,F,1.922184667,0.09
Tdrd5,F,1.88885191,0.096
Tdrd7,F,2.101667796,0.076
Tex10,F,2.386564925,0.055
Tex15,F,2.221746,0.051
Tex30,F,1.904911597,0.086
Tfpt,F,-2.029920003,0.071
Tgds,F,1.909325524,0.088
Tgfa,F,2.197808467,0.056
Tgfb1,F,2.289452158,0.052
Tgfb2,F,2.268077948,0.05
Tgm7,F,-2.16017224,0.066
Thap11,F,-2.09367955,0.073
Thap12,F,2.189171334,0.068
Thnsl1,F,2.217259927,0.055
Thsd7a,F,2.001461559,0.075
Thumpd2,F,2.198995775,0.053
Thyn1,F,1.997130722,0.081
Tial1,F,2.212785022,0.076
Ticam2,F,2.047897249,0.07
Tigar,F,2.054077766,0.081
Timm10,F,2.030987062,0.07
Timm17a,F,2.042074382,0.069
Timm21,F,1.994326989,0.097
Timm23,F,1.865565209,0.094
Tiprl,F,1.999346643,0.092
Tmcc3,F,2.320018046,0.06
Tmco1,F,2.303274855,0.065
Tmed2,F,1.951241231,0.094
Tmeff1,F,2.046964397,0.08
Tmeff2,F,2.191942557,0.055
Tmem107,F,1.922002292,0.084
Tmem126a,F,1.95114442,0.09
Tmem131,F,2.342926036,0.05
Tmem140,F,2.227457982,0.057
Tmem178b,F,2.02369997,0.075
Tmem18,F,1.924915588,0.089
Tmem185a,F,1.956148388,0.092
Tmem186,F,1.977694577,0.086
Tmem19,F,2.206970754,0.066
Tmem200a,F,2.182976906,0.064
Tmem212,F,-1.851812947,0.095
Tmem229a,F,2.005637988,0.092
Tmem234,F,1.98826317,0.075
Tmem241,F,1.933286749,0.088
Tmem255a,F,2.148840101,0.081
Tmem267,F,1.898603246,0.096
Tmem268,F,1.884946529,0.091
Tmem33,F,2.310267421,0.067
Tmem35a,F,1.943060246,0.092
Tmem60,F,1.866720979,0.098
Tmem62,F,2.038638851,0.076
Tmem72,F,2.067914898,0.066
Tmem9b,F,2.097802716,0.085
Tmod2,F,2.162261136,0.06
Tmpo,F,1.973116709,0.098
Tmt1a,F,1.867767578,0.095
Tmtc2,F,1.955381847,0.079
Tmub2,F,2.005461307,0.079
Tnfaip8,F,2.092788013,0.064
Tnpo1,F,2.190728724,0.07
Tnr,F,2.129846352,0.06
Tns3,F,2.000587242,0.088
Tomm22,F,1.964705675,0.093
Tomm6,F,2.055120876,0.07
Tomm7,F,2.077835212,0.066
Top2a,F,1.939633902,0.087
Top2b,F,2.237603736,0.07
Tpm1,F,1.85680974,0.094
Tpp1,F,2.230443024,0.072
Trappc11,F,2.14746856,0.062
Trappc13,F,2.056624796,0.094
Trappc2,F,2.311314515,0.064
Trappc2b,F,2.235496805,0.064
Trappc8,F,2.238759877,0.068
Trim2,F,2.292283948,0.065
Trim44,F,1.974885577,0.093
Trim6,F,2.182615893,0.054
Trip4,F,2.057364294,0.092
Trmt44,F,-1.867773763,0.092
Trpc3,F,2.387240471,0.05
Tsc22d1,F,2.243812647,0.061
Tsc22d3,F,1.941302568,0.084
Tsen15,F,2.020318827,0.081
Tspan7,F,2.096532855,0.072
Ttc3,F,2.03476002,0.091
Ttc33,F,2.148688376,0.072
Ttc39c,F,2.249159992,0.06
Ttc41,F,2.296807129,0.062
Ttll7,F,2.315786023,0.065
Ttpa,F,2.53415525,0.052
Ttpal,F,1.989821508,0.086
Tubgcp3,F,1.884192857,0.096
Tuft1,F,-2.085704284,0.079
Tug1,F,2.080228467,0.088
Tusc3,F,2.128202683,0.08
Txlng,F,1.997158861,0.096
Txndc16,F,2.326049525,0.056
Txndc9,F,2.063587143,0.079
Txnip,F,1.913676756,0.091
Uba2,F,1.989408557,0.097
Uba52,F,1.86221231,0.098
Ube2a,F,1.85635113,0.098
Ube2q2l,F,2.187161234,0.064
Ube3a,F,2.151508121,0.077
Ube3c,F,2.434565731,0.054
Ubl3,F,1.986848421,0.094
Ubl5,F,2.186938784,0.054
Ubn2,F,2.302457025,0.051
Ubqln2,F,2.374345026,0.055
Ubr2,F,2.3391405,0.058
Ubxn2b,F,2.345321803,0.059
Uevld,F,2.100426621,0.089
Ufm1,F,2.365308111,0.062
Ulk2,F,2.289073673,0.063
Umad1,F,2.20220659,0.071
Unc45b,F,2.012976452,0.073
Unc5c,F,1.882166431,0.089
Upf2,F,2.022253938,0.085
Uprt,F,1.846283641,0.098
Uqcc6,F,2.22230582,0.051
Ush1c,F,-1.967353816,0.094
Usp18,F,2.006506215,0.073
Usp2,F,2.116842772,0.06
Usp28,F,2.331073943,0.053
Usp29,F,2.139972796,0.078
Usp32,F,2.204834136,0.073
Usp48,F,2.0292922,0.076
Utp14a,F,1.901645951,0.088
Uxs1,F,2.10898497,0.082
Vamp4,F,2.348569625,0.064
Vamp7-ps,F,2.101884679,0.083
Vapa,F,2.127087636,0.077
Vav1,F,-1.974141977,0.078
Vav3,F,2.389507897,0.051
Vcpip1,F,1.979901426,0.098
Vdac2,F,2.151801957,0.078
Vegfd,F,1.852764433,0.094
Vipas39,F,2.140038476,0.059
Vmn1r20,F,1.853652138,0.094
Vmn1r81,F,2.322322963,0.054
Vmn2r16,F,2.211865363,0.053
Vmn2r53,F,2.295486194,0.054
Vmn2r67,F,1.849005039,0.094
Vmn2r69,F,2.18065249,0.06
Vmn2r97,F,2.109335617,0.062
Vps13b,F,1.959739144,0.079
Vps41,F,2.297351109,0.062
Vps45,F,2.099273642,0.082
Vps4b,F,2.276853834,0.059
Vsig8,F,-1.980889117,0.097
Vwa8,F,1.900588112,0.087
Vwc2,F,1.937520656,0.087
Vwc2l,F,2.0933748,0.071
Vxn,F,2.360536108,0.056
Washc4,F,2.222088607,0.075
Wdfy3,F,2.005498687,0.075
Wdr1,F,2.417349458,0.052
Wdr12,F,2.474792165,0.051
Wdr19,F,2.132194172,0.07
Wdr27,F,1.996238194,0.075
Wdr47,F,2.352110973,0.062
Wdsub1,F,2.294634022,0.05
Wipf2,F,1.972419547,0.088
Wls,F,2.316858381,0.054
Wnt11,F,-2.123564279,0.06
Wsb1,F,2.120133413,0.086
Wtap,F,2.484814432,0.054
Xdh,F,2.208285043,0.052
Xiap,F,1.985806179,0.098
Xk,F,1.971395047,0.096
Xlr3a,F,2.13226596,0.066
Xlr3b,F,1.874852899,0.094
Xpc,F,-2.208603805,0.052
Xpot,F,2.116908939,0.085
Xpr1,F,2.181069154,0.069
Xrcc5,F,1.963609148,0.092
Xrn1,F,2.132613241,0.06
Yae1d1,F,2.293212756,0.06
Ybey,F,2.127804639,0.068
Yeats2,F,2.258547555,0.055
Ythdf2,F,2.051247507,0.084
Ywhae,F,2.072383227,0.088
Zbtb25,F,1.894250431,0.096
Zbtb8a,F,1.925250368,0.086
Zbtb8os,F,1.884809038,0.089
Zc3h12a,F,-2.166915163,0.056
Zcrb1,F,2.204934537,0.06
Zdhhc15,F,1.963881279,0.086
Zdhhc21,F,2.274411061,0.062
Zfand5,F,2.509437405,0.052
Zfand6,F,2.073741085,0.08
Zfp1008,F,2.009460934,0.092
Zfp110,F,2.065630782,0.078
Zfp125,F,2.0136383,0.079
Zfp148,F,2.031883665,0.087
Zfp207,F,2.404665407,0.057
Zfp212,F,-2.036212384,0.078
Zfp281,F,2.043398933,0.078
Zfp317,F,2.334412677,0.056
Zfp318,F,1.854661647,0.093
Zfp326,F,1.983396539,0.097
Zfp329,F,2.141645886,0.074
Zfp345,F,2.15785322,0.066
Zfp354b,F,2.304223657,0.051
Zfp36,F,-2.134469068,0.075
Zfp385b,F,1.871983177,0.098
Zfp40,F,2.248952707,0.071
Zfp426,F,2.033574533,0.086
Zfp458,F,2.088507819,0.079
Zfp473,F,2.143487463,0.064
Zfp526,F,-2.085196934,0.071
Zfp59,F,2.26769064,0.064
Zfp595,F,2.042705218,0.07
Zfp641,F,2.226309646,0.061
Zfp672,F,2.161697653,0.059
Zfp69,F,-2.11495222,0.063
Zfp706,F,2.245998473,0.072
Zfp709,F,2.241484848,0.064
Zfp712,F,2.012527383,0.086
Zfp738,F,2.272155065,0.064
Zfp846,F,1.940834814,0.088
Zfp871,F,2.212721728,0.058
Zfp931,F,1.926811518,0.099
Zfp943,F,2.253027476,0.069
Zfp950,F,2.483075931,0.054
Zfp951,F,2.100584741,0.086
Zfp952,F,2.052537538,0.08
Zfp968,F,1.920297101,0.096
Zfp979,F,1.882155011,0.097
Zfx,F,2.22457268,0.064
Zfyve9,F,1.951485378,0.098
Zgrf1,F,2.245172684,0.05
Zkscan2,F,2.107437878,0.063
Zmym3,F,1.872585976,0.096
Zmym4,F,2.127721593,0.079
Znf41-ps,F,2.133313329,0.06
Zwilch,F,1.872528315,0.096
Zyg11b,F,2.293747303,0.052
1110032F04Rik,F,2.333649266,0.049
1700001K19Rik,F,-2.352041148,0.049
2210418O10Rik,F,2.582773426,0.045
2700049A03Rik,F,2.896212191,0.018
3110009E18Rik,F,-2.271892911,0.046
4921536K21Rik,F,-2.830512643,0.018
4931406C07Rik,F,2.544421968,0.033
4931428L18Rik,F,2.373517779,0.04
4933402D24Rik,F,4.211547794,0.002
4933407L21Rik,F,3.323705303,0.018
9930012K11Rik,F,-2.632983574,0.026
A2m,F,2.387462174,0.04
A2ml1,F,-3.051881161,0.012
A530064D06Rik,F,2.738519368,0.021
AI987944,F,2.479989539,0.043
AW554918,F,2.374779192,0.039
Aak1,F,2.830093581,0.025
Aasdh,F,3.002556885,0.02
Aasdhppt,F,2.477699051,0.047
Abca13,F,2.995046364,0.014
Abcb10,F,2.723464137,0.027
Abcc5,F,3.435388899,0.007
Abcd4,F,3.013190603,0.016
Abhd17c,F,3.771766922,0.004
Abhd5,F,3.51639814,0.012
Ablim1,F,4.021711128,0.005
Abtb3,F,2.717804236,0.036
Acaa2,F,2.763237875,0.029
Acad11,F,2.429142372,0.043
Acad8,F,2.777559612,0.02
Acadm,F,2.536661563,0.03
Acap2,F,3.072494808,0.019
Acot6,F,4.119306791,0.003
Acp6,F,2.579504192,0.028
Acsbg3,F,-2.576605435,0.037
Actr6,F,2.636661764,0.037
Acvr1c,F,2.672908563,0.03
Adam22,F,2.423066498,0.049
Adamts20,F,2.852845733,0.017
Adamts5,F,3.402672157,0.011
Adamtsl1,F,2.365751724,0.042
Adcy2,F,2.381988127,0.039
Add2,F,3.199402191,0.01
Adgrb3,F,2.690736414,0.024
Adrb2,F,-2.434984527,0.04
Afdn,F,2.683045916,0.031
Aff4,F,2.443004497,0.036
Agfg1,F,2.844470492,0.034
Ago3,F,2.9217388,0.028
Agpat5,F,2.620785108,0.037
Agtr1a,F,2.347885596,0.048
Ahcyl1,F,2.745450062,0.039
Akain1,F,2.872981545,0.027
Akap10,F,2.960813112,0.017
Akap6,F,2.476002963,0.033
Akap9,F,2.606658225,0.027
Akirin2,F,3.360270566,0.018
Aldh1a3,F,2.443974974,0.035
Alg5,F,2.763349762,0.032
Amot,F,2.886477587,0.021
Ampd3,F,2.587427054,0.029
Amph,F,2.431265463,0.045
Amy2a2,F,2.893869015,0.022
Amy2a3,F,2.893869015,0.022
Amy2a4,F,2.893869015,0.022
Amy2a5,F,-4.844051693,0.005
Amz2,F,3.049474218,0.022
Anapc1,F,2.503946425,0.035
Ank2,F,2.380882881,0.039
Ankrd10,F,2.52437935,0.042
Ankrd26,F,2.883169482,0.03
Ankrd45,F,2.492781887,0.045
Ankrd6,F,4.189347721,0.002
Anks1b,F,2.500962405,0.044
Ankub1,F,3.989005225,0.003
Anln,F,3.415856416,0.011
Ano1,F,2.512153361,0.038
Ano10,F,2.735630682,0.025
Ano4,F,3.171553384,0.014
Antxr1,F,2.3943761,0.044
Antxr2,F,2.69728527,0.023
Aox3,F,2.954322889,0.018
Ap3b1,F,2.624517639,0.043
Apc,F,3.101216646,0.011
Appl1,F,2.611748504,0.039
Appl2,F,3.632964347,0.006
Aptx,F,2.502358235,0.036
Aqp4,F,2.568718311,0.035
Arap2,F,3.413270787,0.014
Arfgef1,F,2.592092804,0.044
Arfgef2,F,3.381748447,0.007
Arfgef3,F,3.093880195,0.017
Arg2,F,2.629935875,0.026
Arhgap18,F,2.337749316,0.042
Arhgef9,F,2.352626294,0.048
Arl15,F,2.492890007,0.034
Armh4,F,2.639079273,0.036
Arrdc4,F,2.757081598,0.027
Arsg,F,2.489248707,0.032
Asb4,F,2.340036538,0.048
Ascc3,F,2.480722474,0.049
Asf1a,F,2.49605903,0.038
Ash1l,F,2.437459996,0.036
Asnsd1,F,2.308408016,0.046
Asph,F,2.611577132,0.04
Astn1,F,2.870591061,0.028
Asxl3,F,2.380150905,0.039
Atg16l2,F,2.332152613,0.043
Atg2b,F,2.64725224,0.025
Atm,F,2.639676014,0.035
Atosa,F,2.399219861,0.037
Atox1,F,2.50847408,0.033
Atp10a,F,2.93147526,0.021
Atp10b,F,2.485652287,0.044
Atp13a5,F,4.430616219,0.002
Atp2b4,F,2.479482686,0.037
Atp2c1,F,2.859019191,0.028
Atp5mj,F,2.926022614,0.026
Atp6v0e,F,2.998263215,0.022
Atp8a2,F,2.910223764,0.019
Atp8b5,F,3.261255283,0.009
Atpsckmt,F,2.518594423,0.046
Atrx,F,2.526693398,0.036
Atxn1,F,2.308008049,0.044
Auh,F,2.409100023,0.037
B3galt5,F,2.502966793,0.045
B3galt6,F,2.779166859,0.026
BC022960,F,3.61669863,0.01
Baalc,F,3.015121491,0.016
Bace1,F,2.711446226,0.023
Bard1,F,2.351732975,0.042
Baz2b,F,2.238519765,0.049
Bbof1,F,4.381551318,0.002
Bbs12,F,2.728342154,0.021
Bbs2,F,2.255123809,0.048
Bbs7,F,3.845433437,0.006
Bbx,F,2.640023932,0.031
Bcat1,F,3.226517971,0.014
Bcl2l11,F,3.504855932,0.012
Bcl6b,F,-2.445241559,0.038
Bdp1,F,2.518084515,0.041
Birc6,F,2.786952647,0.021
Bloc1s5,F,2.730833519,0.024
Bltp1,F,2.867384939,0.022
Bltp2,F,4.04508646,0.005
Bmal2,F,3.237519271,0.009
Bmpr2,F,2.502996359,0.045
Bnip1,F,2.29572215,0.045
Brdt,F,2.66699298,0.025
Brms1l,F,3.263013017,0.011
Brwd1,F,2.357137534,0.041
Btbd8,F,2.531375084,0.047
Btrc,F,2.922914514,0.016
C1qtnf1,F,-2.508321879,0.034
C1s1,F,2.483798972,0.032
C2cd2,F,2.618670787,0.046
C2cd5,F,4.422645826,0.002
C330018D20Rik,F,2.620559501,0.045
C4bp,F,3.413797736,0.007
C87436,F,2.804420342,0.019
C920006O11Rik,F,3.565001911,0.005
Cachd1,F,2.936622703,0.017
Cacna1b,F,2.552218824,0.03
Cacna1d,F,3.210631807,0.011
Cacna1e,F,3.308748796,0.008
Calcrl,F,2.330354733,0.047
Calr4,F,3.13001034,0.011
Calu,F,2.623026582,0.042
Camkk2,F,3.047258707,0.014
Camkmt,F,2.494878448,0.046
Cap2,F,2.413587887,0.048
Caprin1,F,2.759922127,0.035
Caprin2,F,2.807117409,0.023
Car2,F,2.265987764,0.049
Cask,F,2.72283033,0.022
Casp1,F,3.20015876,0.011
Cbln4,F,2.826584868,0.02
Cbx3-ps7,F,-2.891117572,0.016
Cbx5,F,2.720269568,0.026
Ccdc122,F,2.398853615,0.048
Ccdc142,F,-2.470609264,0.045
Ccdc18,F,2.511061989,0.032
Ccdc188,F,-2.809951449,0.033
Ccdc28a,F,2.403920767,0.048
Ccl6,F,3.417202565,0.007
Ccnd1,F,2.347959525,0.042
Ccnt2,F,2.711025382,0.034
Ccser2,F,2.577264219,0.042
Cd300a,F,2.490064138,0.032
Cd300lf,F,-2.95786838,0.017
Cd74,F,2.781753463,0.021
Cdc16,F,2.818959641,0.031
Cdc20,F,-2.684589318,0.025
Cdc5l,F,2.906167915,0.024
Cdc7,F,2.681377868,0.031
Cdh20,F,3.155076652,0.012
Cdh6,F,4.307960646,0.002
Cdin1,F,2.323292854,0.045
Cdkl3,F,2.443413894,0.04
Cdpf1,F,-2.422613919,0.044
Cdr2,F,2.476454151,0.038
Celf2,F,3.233443066,0.011
Cenpx,F,-2.297590504,0.047
Cep170,F,2.58016901,0.042
Cep72,F,2.481389634,0.039
Cers6,F,2.499107288,0.043
Cfap43,F,3.386650076,0.008
Cfap69,F,2.693396982,0.039
Chchd7,F,2.725666749,0.026
Chd1l,F,3.208298484,0.012
Chd6,F,3.022216778,0.014
Chd9,F,2.948289289,0.015
Chml,F,2.978840026,0.024
Chordc1,F,2.569027724,0.045
Chrm2,F,2.687182166,0.033
Chrna3,F,3.347239255,0.008
Chrna5,F,5.610051568,0.00028
Chst11,F,2.748406508,0.026
Chst9,F,3.093049392,0.012
Chuk,F,2.525255347,0.045
Cibar1,F,2.624349034,0.036
Clasp1,F,3.011989128,0.015
Clasp2,F,2.667021598,0.041
Clcn5,F,2.765130574,0.036
Cldn11,F,2.511353391,0.035
Cldn14,F,-2.508357659,0.035
Clec16a,F,2.541987097,0.03
Clec4a2,F,2.625157559,0.032
Clmp,F,3.809575517,0.004
Clpb,F,3.653797738,0.005
Clstn2,F,6.539590805,0.000274
Cmtm5,F,2.751571566,0.021
Cnot1,F,3.250626114,0.011
Cnot8,F,2.995193029,0.022
Cobl,F,2.999369497,0.015
Cog4,F,2.946610609,0.015
Cog5,F,3.087234621,0.016
Cog6,F,2.306625417,0.049
Col12a1,F,2.38274422,0.04
Col24a1,F,2.304416332,0.047
Colgalt1,F,2.515042331,0.037
Cop1,F,3.019235457,0.021
Copg2,F,2.615454935,0.038
Cox5a,F,2.8334141,0.022
Cox7c,F,2.554135276,0.045
Cpd,F,2.478174274,0.049
Cplane1,F,2.28479037,0.046
Cpne8,F,2.741541924,0.026
Cr1l,F,2.760700459,0.027
Crem,F,2.829985938,0.025
Crls1,F,2.56234043,0.048
Cryzl1,F,2.661790089,0.042
Csgalnact1,F,2.39398161,0.038
Csrp2,F,-2.785791635,0.033
Ctnnal1,F,2.709789848,0.036
Ctps2,F,2.838920683,0.029
Ctxn3,F,2.356485848,0.04
Cyb561a3,F,2.657171593,0.025
Cyld,F,2.487785978,0.048
Cyp1b1,F,2.328119424,0.043
Cyp2j12,F,2.77743085,0.02
Czib,F,3.263996942,0.013
D2hgdh,F,2.46658259,0.034
D430019H16Rik,F,3.227724869,0.018
D630039A03Rik,F,-2.70866943,0.035
D830030K20Rik,F,3.414516952,0.008
Dcbld2,F,2.488358463,0.044
Dcp2,F,2.768707395,0.03
Dcx,F,2.913288044,0.021
Ddhd1,F,3.019738475,0.013
Ddhd2,F,2.405745677,0.048
Ddx31,F,2.323087515,0.044
Defb1,F,2.677093744,0.032
Dennd5b,F,2.941501798,0.018
Depdc5,F,3.344205372,0.008
Deptor,F,2.517484397,0.031
Dera,F,3.176190502,0.015
Dgkg,F,2.678961309,0.023
Dgkk,F,2.290114733,0.048
Dglucy,F,2.994373585,0.014
Dhdh,F,2.362891805,0.048
Dhrs7b,F,2.792541824,0.03
Dhx33,F,2.434872461,0.048
Dhx35,F,2.962883337,0.02
Dip2a,F,3.003623925,0.016
Dip2c,F,3.260027525,0.009
Disp1,F,-2.968802575,0.015
Dmac1,F,2.533084637,0.036
Dmc1,F,2.931370625,0.015
Dmxl2,F,2.952169213,0.015
Dnaaf11,F,2.732731276,0.023
Dnaaf9,F,3.606931263,0.008
Dnah12,F,4.243789895,0.002
Dnah7b,F,5.390749471,0.000353
Dnaja3,F,2.354483093,0.043
Dnal1,F,2.591546492,0.047
Dnase1,F,3.684658364,0.005
Dock1,F,3.957050601,0.003
Dock10,F,2.905817281,0.016
Dock4,F,2.921193775,0.015
Dop1b,F,2.44604115,0.043
Dpp4,F,2.292022825,0.045
Dpy19l1,F,2.68188872,0.036
Dpysl3,F,2.287219257,0.049
Drp2,F,2.286141731,0.045
Dtna,F,2.645438668,0.038
Dus4l,F,2.374287081,0.039
Dusp11,F,2.515589112,0.045
Dusp12,F,2.627926551,0.035
Dusp19,F,2.501762853,0.047
Dym,F,3.491666988,0.011
Dync1i1,F,2.488768216,0.045
Dync1li1,F,2.75184105,0.035
Dync2h1,F,2.853700576,0.019
Dzip1,F,4.443120177,0.002
E130114P18Rik,F,3.068568918,0.018
Ecd,F,3.368258287,0.008
Echdc3,F,3.623175245,0.005
Ecscr,F,3.32004755,0.009
Ect2,F,2.620558527,0.033
Edar,F,-3.247424451,0.01
Ehmt1,F,2.603421531,0.035
Eif1,F,2.852807513,0.024
Eif4a-ps4,F,-3.196048642,0.016
Eif4ebp1,F,3.301160194,0.008
Eipr1,F,3.179639385,0.014
Elmod2,F,2.502508725,0.046
Elovl6,F,2.55050826,0.045
Elp1,F,3.287184651,0.01
Elp2,F,2.910085522,0.032
Eml4,F,2.796165555,0.029
Eml5,F,3.814592074,0.005
Eml6,F,3.05187614,0.014
Enox2,F,3.188625298,0.01
Enpp1,F,2.33477918,0.045
Enpp2,F,2.405609228,0.042
Enpp3,F,4.006283345,0.003
Epb41,F,2.9400271,0.016
Epb41l2,F,2.558229297,0.033
Epb41l3,F,3.082562416,0.019
Epb41l4a,F,3.091170965,0.013
Epb41l4b,F,2.841890961,0.035
Epha5,F,2.454206331,0.049
Epha6,F,5.908681222,0.000276
Ephb1,F,2.384840426,0.041
Ephb3,F,-3.358553556,0.008
Ephx2,F,2.76129739,0.021
Ermap,F,2.300883219,0.044
Espl1,F,3.45845221,0.009
Etv1,F,3.371354293,0.015
Exd2,F,2.777915317,0.035
Exoc1,F,2.993101009,0.02
Fa2h,F,2.511281631,0.032
Faap24,F,2.269587549,0.047
Fam111a,F,5.719745736,0.000334
Fam114a1,F,2.80197198,0.019
Fam120c,F,2.452404323,0.034
Fam135b,F,2.551828718,0.04
Fam13b,F,2.963632774,0.03
Fam161a,F,3.522783371,0.013
Fam171b,F,2.967255639,0.021
Fam184a,F,3.931617503,0.005
