"Legend","name","n","G","U","grubbs","p_grubbs"
"Control Vehicle","ALT_liver",7,1.63,0.483,"highest value 30000 is an outlier",0.24
"Control Vehicle","BW",7,1.62,0.491,"highest value 30 is an outlier",0.251
"HFHS FOS+GOS","glucose_serum",7,1.6,0.5,"highest value 143.58 is an outlier",0.264
"HFHS FOS+GOS","Colon",7,1.59,0.507,"highest value 9 is an outlier",0.276
"HFHS 1472","SmallIntestine",7,1.59,0.509,"highest value 43 is an outlier",0.278
"HFHS FOS+GOS","AST_serum",7,1.58,0.512,"lowest value 58.8 is an outlier",0.283
"HFHS FOS+GOS","Liver_BW",7,1.58,0.513,"highest value 0.057151163 is an outlier",0.284
"HFHS 1472","cholesterol_serum",7,1.57,0.52,"highest value 114.76 is an outlier",0.295
"HFHS 1472","BAT_BW",7,1.54,0.538,"highest value 0.002534188 is an outlier",0.326
"Control Vehicle","Caecum_BW",7,1.53,0.542,"lowest value 0.006151292 is an outlier",0.333
"HFHS 1472","triglycerides_liver",7,1.52,0.55,"highest value 34793 is an outlier",0.346
"HFHS 1472","BAT",7,1.52,0.549,"lowest value 0.0359 is an outlier",0.346
"Control Vehicle","gonWAT_BW",7,1.52,0.55,"highest value 0.011489879 is an outlier",0.347
"HFHS Vehicle","MesWAT",7,1.52,0.55,"highest value 0.3779 is an outlier",0.347
"HFHS FOS+GOS","MesWAT",7,1.52,0.551,"highest value 0.2991 is an outlier",0.349
"HFHS FOS+GOS","BAT",7,1.51,0.555,"highest value 0.0564 is an outlier",0.356
"HFHS Vehicle","ALT_serum",7,1.5,0.561,"highest value 39.3 is an outlier",0.367
"HFHS Vehicle","BAT",7,1.5,0.564,"lowest value 0.0346 is an outlier",0.372
"HFHS 1472","cholesterol_liver",7,1.5,0.564,"lowest value 778 is an outlier",0.372
"HFHS FOS+GOS","corticosterone",7,1.49,0.568,"highest value 187.1334 is an outlier",0.38
"HFHS 1472","corticosterone",7,1.49,0.57,"highest value 175.3545 is an outlier",0.384
"HFHS FOS+GOS","triglycerides_serum",7,1.48,0.573,"highest value 46.74 is an outlier",0.39
"Control Vehicle","ALT_serum",7,1.48,0.574,"highest value 48.3 is an outlier",0.392
"Control Vehicle","triglycerides_liver",7,1.48,0.575,"highest value 27394 is an outlier",0.394
"HFHS Vehicle","LDL_HDL_ratio_serum",7,1.46,0.586,"highest value 0.319 is an outlier",0.417
"HFHS 1472","triglycerides_serum",7,1.45,0.592,"lowest value 40.02 is an outlier",0.429
"HFHS Vehicle","glucose_serum",7,1.44,0.598,"lowest value 27.72 is an outlier",0.441
"Control Vehicle","Colon_BW",7,1.42,0.61,"lowest value 0.226666667 is an outlier",0.468
"HFHS 1472","LDL_HDL_ratio_serum",7,1.42,0.61,"highest value 0.252 is an outlier",0.469
"HFHS Vehicle","MesWAT_BW",7,1.41,0.611,"lowest value 0.003258687 is an outlier",0.47
"HFHS Vehicle","protein_liver",7,1.4,0.62,"lowest value 201 is an outlier",0.491
"HFHS 1472","AST_serum",7,1.39,0.626,"highest value 170.7 is an outlier",0.507
"Control Vehicle","gonWAT",7,1.36,0.643,"highest value 0.2968 is an outlier",0.547
"HFHS Vehicle","Liver",7,1.35,0.646,"lowest value 1.1411 is an outlier",0.554
"HFHS Vehicle","ALT_liver",7,1.35,0.648,"highest value 30000 is an outlier",0.56
"HFHS Vehicle","glucose_liver",7,1.34,0.651,"highest value 35371 is an outlier",0.568
"HFHS 1472","protein_serum",7,1.34,0.651,"highest value 3.98 is an outlier",0.57
"HFHS Vehicle","gonWAT_BW",7,1.33,0.654,"lowest value 0.006281588 is an outlier",0.578
"HFHS FOS+GOS","BAT_BW",7,1.31,0.664,"highest value 0.002128302 is an outlier",0.604
"Control Vehicle","SmallIntestine",7,1.28,0.682,"highest value 39 is an outlier",0.656
"HFHS Vehicle","corticosterone",7,1.26,0.691,"highest value 100.3626 is an outlier",0.684
"Control Vehicle","HDL_serum",7,1.25,0.695,"lowest value 0.96 is an outlier",0.696
"HFHS FOS+GOS","MesWAT_BW",7,1.24,0.699,"lowest value 0.002818182 is an outlier",0.706
"HFHS Vehicle","gonWAT",7,1.24,0.703,"lowest value 0.174 is an outlier",0.721
"HFHS FOS+GOS","Caecum",7,1.22,0.709,"highest value 0.627 is an outlier",0.739
"HFHS Vehicle","AST_serum",6,NA,NA,NA,NA
