"","asvs","feature","module_number","module_name","Sample","clr_abundance","sex","timepoint","Cage.Litter","Cohort","Diet","Treatment","legend"
"17","1","1","MGB015","p-Cresol synthesis","113w10",2.22783479075636,"F","w10",104,1,"Control","Vehicle","Control Vehicle"
"18","1","1","MGB015","p-Cresol synthesis","113w5",2.1588226758587,"F","w5",104,1,"Control","Vehicle","Control Vehicle"
"19","1","1","MGB015","p-Cresol synthesis","115w10",1.9417063426387,"F","w10",104,1,"Control","Vehicle","Control Vehicle"
"20","1","1","MGB015","p-Cresol synthesis","116w10",2.5899547852794,"M","w10",104,1,"Control","Vehicle","Control Vehicle"
"21","1","1","MGB015","p-Cresol synthesis","116w5",1.62545459907785,"M","w5",104,1,"Control","Vehicle","Control Vehicle"
"22","1","1","MGB015","p-Cresol synthesis","117w10",2.28584036469539,"M","w10",104,1,"Control","Vehicle","Control Vehicle"
"23","1","1","MGB015","p-Cresol synthesis","117w5",1.99618326687258,"M","w5",104,1,"Control","Vehicle","Control Vehicle"
"24","1","1","MGB015","p-Cresol synthesis","119w10",2.76251304937486,"M","w10",107,1,"HFHS","Vehicle","HFHS Vehicle"
"25","1","1","MGB015","p-Cresol synthesis","119w5",3.08684301390382,"M","w5",107,1,"HFHS","Vehicle","HFHS Vehicle"
"26","1","1","MGB015","p-Cresol synthesis","121w10",2.94027793831211,"M","w10",107,1,"HFHS","Vehicle","HFHS Vehicle"
"27","1","1","MGB015","p-Cresol synthesis","121w5",3.03211210600329,"M","w5",107,1,"HFHS","Vehicle","HFHS Vehicle"
"28","1","1","MGB015","p-Cresol synthesis","122w10",3.15818954199001,"F","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"29","1","1","MGB015","p-Cresol synthesis","122w5",3.09310870654711,"F","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"30","1","1","MGB015","p-Cresol synthesis","124w10",3.7267415285521,"F","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"31","1","1","MGB015","p-Cresol synthesis","124w5",2.67663975098552,"F","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"32","1","1","MGB015","p-Cresol synthesis","125w10",3.07755046000176,"M","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"33","1","1","MGB015","p-Cresol synthesis","125w5",2.82995168197251,"M","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"34","1","1","MGB015","p-Cresol synthesis","126w10",3.17273287488489,"M","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"35","1","1","MGB015","p-Cresol synthesis","126w5",2.96919604122547,"M","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"36","1","1","MGB015","p-Cresol synthesis","128w10",2.87874365166749,"F","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"37","1","1","MGB015","p-Cresol synthesis","128w5",3.02576034661052,"F","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"38","1","1","MGB015","p-Cresol synthesis","130w10",2.82606708802153,"F","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"39","1","1","MGB015","p-Cresol synthesis","130w5",3.18700244819463,"F","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"40","1","1","MGB015","p-Cresol synthesis","131w10",2.09254623724375,"F","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"41","1","1","MGB015","p-Cresol synthesis","131w5",2.78262907596082,"F","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"42","1","1","MGB015","p-Cresol synthesis","132w10",2.73662653331957,"M","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"43","1","1","MGB015","p-Cresol synthesis","132w5",2.62785667118541,"M","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"44","1","1","MGB015","p-Cresol synthesis","133w10",2.74013023738286,"M","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"45","1","1","MGB015","p-Cresol synthesis","133w5",3.00354055613697,"M","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"46","1","1","MGB015","p-Cresol synthesis","134w10",2.83022570521417,"F","w10",111,1,"HFHS","1472","HFHS B. longum APC1472"
"47","1","1","MGB015","p-Cresol synthesis","134w5",2.88258704151926,"F","w5",111,1,"HFHS","1472","HFHS B. longum APC1472"
"48","1","1","MGB015","p-Cresol synthesis","135w10",2.70610116492111,"F","w10",111,1,"HFHS","1472","HFHS B. longum APC1472"
"49","1","1","MGB015","p-Cresol synthesis","135w5",2.86136980400266,"F","w5",111,1,"HFHS","1472","HFHS B. longum APC1472"
"50","1","1","MGB015","p-Cresol synthesis","136w10",2.85856492019757,"M","w10",111,1,"HFHS","1472","HFHS B. longum APC1472"
"51","1","1","MGB015","p-Cresol synthesis","136w5",3.0823987432982,"M","w5",111,1,"HFHS","1472","HFHS B. longum APC1472"
"52","1","1","MGB015","p-Cresol synthesis","137w10",2.53533962205817,"M","w10",111,1,"HFHS","1472","HFHS B. longum APC1472"
"53","1","1","MGB015","p-Cresol synthesis","137w5",3.07812217336552,"M","w5",111,1,"HFHS","1472","HFHS B. longum APC1472"
"54","1","1","MGB015","p-Cresol synthesis","201w10",2.73426008537618,"F","w10",117,2,"Control","Vehicle","Control Vehicle"
"55","1","1","MGB015","p-Cresol synthesis","201w5",2.43510980655219,"F","w5",117,2,"Control","Vehicle","Control Vehicle"
"56","1","1","MGB015","p-Cresol synthesis","202w10",3.17688833775754,"F","w10",117,2,"Control","Vehicle","Control Vehicle"
"57","1","1","MGB015","p-Cresol synthesis","202w5",2.46909639443201,"F","w5",117,2,"Control","Vehicle","Control Vehicle"
"58","1","1","MGB015","p-Cresol synthesis","204w10",2.76679717922203,"M","w10",117,2,"Control","Vehicle","Control Vehicle"
"59","1","1","MGB015","p-Cresol synthesis","204w5",2.51917546314688,"M","w5",117,2,"Control","Vehicle","Control Vehicle"
"60","1","1","MGB015","p-Cresol synthesis","207w10",2.84012531620658,"F","w10",122,2,"Control","Vehicle","Control Vehicle"
"61","1","1","MGB015","p-Cresol synthesis","207w5",2.16013707806748,"F","w5",122,2,"Control","Vehicle","Control Vehicle"
"62","1","1","MGB015","p-Cresol synthesis","208w10",2.66015193292013,"F","w10",122,2,"Control","Vehicle","Control Vehicle"
"63","1","1","MGB015","p-Cresol synthesis","208w5",2.55112508742575,"F","w5",122,2,"Control","Vehicle","Control Vehicle"
"64","1","1","MGB015","p-Cresol synthesis","209w10",2.49039288431639,"M","w10",117,2,"Control","Vehicle","Control Vehicle"
"65","1","1","MGB015","p-Cresol synthesis","209w5",2.71036578508336,"M","w5",117,2,"Control","Vehicle","Control Vehicle"
"66","1","1","MGB015","p-Cresol synthesis","211w10",2.62104496765301,"F","w10",123,2,"HFHS","Vehicle","HFHS Vehicle"
"67","1","1","MGB015","p-Cresol synthesis","211w5",2.82873757282841,"F","w5",123,2,"HFHS","Vehicle","HFHS Vehicle"
"68","1","1","MGB015","p-Cresol synthesis","212w10",2.5338790817676,"F","w10",123,2,"HFHS","Vehicle","HFHS Vehicle"
"69","1","1","MGB015","p-Cresol synthesis","212w5",2.96696977013016,"F","w5",123,2,"HFHS","Vehicle","HFHS Vehicle"
"70","1","1","MGB015","p-Cresol synthesis","213w10",2.65624000677978,"F","w10",123,2,"HFHS","Vehicle","HFHS Vehicle"
"71","1","1","MGB015","p-Cresol synthesis","213w5",2.88884523090793,"F","w5",123,2,"HFHS","Vehicle","HFHS Vehicle"
"72","1","1","MGB015","p-Cresol synthesis","216w10",2.2032906243357,"M","w10",123,2,"HFHS","Vehicle","HFHS Vehicle"
"73","1","1","MGB015","p-Cresol synthesis","216w5",2.79021159274396,"M","w5",123,2,"HFHS","Vehicle","HFHS Vehicle"
"74","1","1","MGB015","p-Cresol synthesis","217w10",2.7935187512957,"M","w10",123,2,"HFHS","Vehicle","HFHS Vehicle"
"75","1","1","MGB015","p-Cresol synthesis","217w5",2.94241877328873,"M","w5",123,2,"HFHS","Vehicle","HFHS Vehicle"
"76","1","1","MGB015","p-Cresol synthesis","218w10",2.49323069856843,"F","w10",123,2,"HFHS","Vehicle","HFHS Vehicle"
"77","1","1","MGB015","p-Cresol synthesis","218w5",2.48401338984943,"F","w5",123,2,"HFHS","Vehicle","HFHS Vehicle"
"78","1","1","MGB015","p-Cresol synthesis","219w10",2.67637067270689,"M","w10",121,2,"HFHS","Vehicle","HFHS Vehicle"
"79","1","1","MGB015","p-Cresol synthesis","219w5",3.21267230497068,"M","w5",121,2,"HFHS","Vehicle","HFHS Vehicle"
"80","1","1","MGB015","p-Cresol synthesis","221w10",2.38518457843607,"M","w10",121,2,"HFHS","Vehicle","HFHS Vehicle"
"81","1","1","MGB015","p-Cresol synthesis","221w5",2.90358389366934,"M","w5",121,2,"HFHS","Vehicle","HFHS Vehicle"
"82","1","1","MGB015","p-Cresol synthesis","223w10",2.94274293652887,"F","w10",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"83","1","1","MGB015","p-Cresol synthesis","223w5",2.92851558086654,"F","w5",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"84","1","1","MGB015","p-Cresol synthesis","224w10",3.17066148280445,"F","w10",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"85","1","1","MGB015","p-Cresol synthesis","224w5",2.79268055418488,"F","w5",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"86","1","1","MGB015","p-Cresol synthesis","225w10",3.35462621803471,"F","w10",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"87","1","1","MGB015","p-Cresol synthesis","225w5",2.97654724095906,"F","w5",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"88","1","1","MGB015","p-Cresol synthesis","226w10",2.93934402731228,"M","w10",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"89","1","1","MGB015","p-Cresol synthesis","226w5",2.95882915258419,"M","w5",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"90","1","1","MGB015","p-Cresol synthesis","227w10",3.22695578269397,"M","w10",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"91","1","1","MGB015","p-Cresol synthesis","227w5",2.49668609471879,"M","w5",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"92","1","1","MGB015","p-Cresol synthesis","228w10",3.0810312693987,"M","w10",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"93","1","1","MGB015","p-Cresol synthesis","228w5",2.79018383933076,"M","w5",124,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"94","1","1","MGB015","p-Cresol synthesis","231w10",2.88006452135019,"F","w10",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"95","1","1","MGB015","p-Cresol synthesis","231w5",3.29934045057011,"F","w5",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"96","1","1","MGB015","p-Cresol synthesis","232w10",3.20460968212294,"F","w10",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"97","1","1","MGB015","p-Cresol synthesis","232w5",2.89863538258863,"F","w5",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"98","1","1","MGB015","p-Cresol synthesis","233w10",2.8649542234938,"F","w10",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"99","1","1","MGB015","p-Cresol synthesis","233w5",2.86911208218762,"F","w5",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"100","1","1","MGB015","p-Cresol synthesis","234w10",2.89486530539378,"M","w10",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"101","1","1","MGB015","p-Cresol synthesis","234w5",2.34158960210527,"M","w5",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"102","1","1","MGB015","p-Cresol synthesis","235w10",2.58831071154606,"M","w10",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"103","1","1","MGB015","p-Cresol synthesis","235w5",2.44998110695548,"M","w5",119,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"104","1","1","MGB015","p-Cresol synthesis","236w10",3.09245741817833,"F","w10",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"105","1","1","MGB015","p-Cresol synthesis","236w5",2.68788174757856,"F","w5",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"106","1","1","MGB015","p-Cresol synthesis","237w10",2.99338130747207,"F","w10",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"107","1","1","MGB015","p-Cresol synthesis","237w5",2.84065276382543,"F","w5",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"108","1","1","MGB015","p-Cresol synthesis","238w10",3.21165971811632,"F","w10",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"109","1","1","MGB015","p-Cresol synthesis","238w5",2.58935512121006,"F","w5",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"110","1","1","MGB015","p-Cresol synthesis","239w10",2.7937116584007,"M","w10",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"111","1","1","MGB015","p-Cresol synthesis","239w5",2.57649649046403,"M","w5",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"112","1","1","MGB015","p-Cresol synthesis","241w10",3.1219289830925,"M","w10",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"113","1","1","MGB015","p-Cresol synthesis","243w10",2.73895076392626,"M","w10",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"114","1","1","MGB015","p-Cresol synthesis","243w5",3.43449113102391,"M","w5",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"115","1","1","MGB015","p-Cresol synthesis","245w10",2.98548064291762,"F","w10",120,2,"HFHS","1472","HFHS B. longum APC1472"
"116","1","1","MGB015","p-Cresol synthesis","245w5",2.82594005959545,"F","w5",120,2,"HFHS","1472","HFHS B. longum APC1472"
"117","1","1","MGB015","p-Cresol synthesis","246w10",2.78303201522551,"F","w10",120,2,"HFHS","1472","HFHS B. longum APC1472"
"118","1","1","MGB015","p-Cresol synthesis","246w5",3.21137935496236,"F","w5",120,2,"HFHS","1472","HFHS B. longum APC1472"
"119","1","1","MGB015","p-Cresol synthesis","247w10",2.95694034515548,"F","w10",127,2,"HFHS","1472","HFHS B. longum APC1472"
"120","1","1","MGB015","p-Cresol synthesis","247w5",2.43523981476359,"F","w5",127,2,"HFHS","1472","HFHS B. longum APC1472"
"121","1","1","MGB015","p-Cresol synthesis","248w10",3.54143641932583,"F","w10",127,2,"HFHS","1472","HFHS B. longum APC1472"
"122","1","1","MGB015","p-Cresol synthesis","248w5",2.81786030340172,"F","w5",127,2,"HFHS","1472","HFHS B. longum APC1472"
"123","1","1","MGB015","p-Cresol synthesis","250w10",2.73533493491593,"M","w10",127,2,"HFHS","1472","HFHS B. longum APC1472"
"124","1","1","MGB015","p-Cresol synthesis","250w5",2.55008892347282,"M","w5",127,2,"HFHS","1472","HFHS B. longum APC1472"
"125","1","1","MGB015","p-Cresol synthesis","251w10",2.94025961638188,"M","w10",127,2,"HFHS","1472","HFHS B. longum APC1472"
"126","1","1","MGB015","p-Cresol synthesis","251w5",2.68457369920729,"M","w5",127,2,"HFHS","1472","HFHS B. longum APC1472"
"127","1","1","MGB015","p-Cresol synthesis","252w10",2.89507783499168,"M","w10",127,2,"HFHS","1472","HFHS B. longum APC1472"
"128","1","1","MGB015","p-Cresol synthesis","252w5",2.72285491724377,"M","w5",127,2,"HFHS","1472","HFHS B. longum APC1472"
"129","1","1","MGB015","p-Cresol synthesis","302w10",2.92348397162632,"F","w10",125.1,3,"HFHS","Vehicle","HFHS Vehicle"
"130","1","1","MGB015","p-Cresol synthesis","302w5",3.29801353807184,"F","w5",125.1,3,"HFHS","Vehicle","HFHS Vehicle"
"131","1","1","MGB015","p-Cresol synthesis","303w10",2.87743193089751,"F","w10",125.2,3,"HFHS","Vehicle","HFHS Vehicle"
"132","1","1","MGB015","p-Cresol synthesis","303w5",2.90074480951366,"F","w5",125.2,3,"HFHS","Vehicle","HFHS Vehicle"
"133","1","1","MGB015","p-Cresol synthesis","304w10",2.83939005246265,"F","w10",125.2,3,"HFHS","Vehicle","HFHS Vehicle"
"134","1","1","MGB015","p-Cresol synthesis","304w5",2.56263940937168,"F","w5",125.2,3,"HFHS","Vehicle","HFHS Vehicle"
"135","1","1","MGB015","p-Cresol synthesis","305w10",1.76105684405086,"F","w10",125.1,3,"HFHS","Vehicle","HFHS Vehicle"
"136","1","1","MGB015","p-Cresol synthesis","305w5",2.59761384427425,"F","w5",125.1,3,"HFHS","Vehicle","HFHS Vehicle"
"137","1","1","MGB015","p-Cresol synthesis","306w10",3.16924360436465,"F","w10",125.2,3,"HFHS","Vehicle","HFHS Vehicle"
"138","1","1","MGB015","p-Cresol synthesis","306w5",2.69327861977731,"F","w5",125.2,3,"HFHS","Vehicle","HFHS Vehicle"
"139","1","1","MGB015","p-Cresol synthesis","308w10",2.77452328255909,"M","w10",125,3,"HFHS","Vehicle","HFHS Vehicle"
"140","1","1","MGB015","p-Cresol synthesis","308w5",3.2089671572741,"M","w5",125,3,"HFHS","Vehicle","HFHS Vehicle"
"141","1","1","MGB015","p-Cresol synthesis","310w10",2.60153976699986,"M","w10",125,3,"HFHS","Vehicle","HFHS Vehicle"
"142","1","1","MGB015","p-Cresol synthesis","310w5",3.28239082377413,"M","w5",125,3,"HFHS","Vehicle","HFHS Vehicle"
"143","1","1","MGB015","p-Cresol synthesis","311w5",3.44835449058494,"F","w5",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"144","1","1","MGB015","p-Cresol synthesis","312w10",2.54605400425655,"M","w10",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"145","1","1","MGB015","p-Cresol synthesis","312w5",2.36237052629268,"M","w5",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"146","1","1","MGB015","p-Cresol synthesis","314w10",2.43989110986014,"M","w10",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"147","1","1","MGB015","p-Cresol synthesis","314w5",2.30337262970257,"M","w5",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"148","1","1","MGB015","p-Cresol synthesis","315w10",2.72008861557947,"M","w10",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"149","1","1","MGB015","p-Cresol synthesis","315w5",2.2830234284755,"M","w5",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"150","1","1","MGB015","p-Cresol synthesis","401w10",2.6021100454672,"F","w10",129,4,"Control","Vehicle","Control Vehicle"
"151","1","1","MGB015","p-Cresol synthesis","401w5",2.32891181280566,"F","w5",129,4,"Control","Vehicle","Control Vehicle"
"152","1","1","MGB015","p-Cresol synthesis","402w10",2.46547383925054,"F","w10",129,4,"Control","Vehicle","Control Vehicle"
"153","1","1","MGB015","p-Cresol synthesis","402w5",2.41866174074757,"F","w5",129,4,"Control","Vehicle","Control Vehicle"
"154","1","1","MGB015","p-Cresol synthesis","405w10",2.54061741439894,"M","w10",129,4,"Control","Vehicle","Control Vehicle"
"155","1","1","MGB015","p-Cresol synthesis","405w5",1.80031191836222,"M","w5",129,4,"Control","Vehicle","Control Vehicle"
"156","1","1","MGB015","p-Cresol synthesis","407w10",2.70504502013217,"M","w10",129,4,"Control","Vehicle","Control Vehicle"
"157","1","1","MGB015","p-Cresol synthesis","407w5",1.82312608065146,"M","w5",129,4,"Control","Vehicle","Control Vehicle"
"158","1","1","MGB015","p-Cresol synthesis","408w10",2.39935083559804,"F","w10",113,4,"Control","Vehicle","Control Vehicle"
"159","1","1","MGB015","p-Cresol synthesis","408w5",2.39188067371756,"F","w5",113,4,"Control","Vehicle","Control Vehicle"
"160","1","1","MGB015","p-Cresol synthesis","409w10",2.7261442383198,"F","w10",113,4,"Control","Vehicle","Control Vehicle"
"161","1","1","MGB015","p-Cresol synthesis","409w5",2.36567905303865,"F","w5",113,4,"Control","Vehicle","Control Vehicle"
"162","1","1","MGB015","p-Cresol synthesis","412w10",2.89915296320328,"M","w10",113,4,"Control","Vehicle","Control Vehicle"
"163","1","1","MGB015","p-Cresol synthesis","412w5",2.36243152267301,"M","w5",113,4,"Control","Vehicle","Control Vehicle"
"164","1","1","MGB015","p-Cresol synthesis","413w10",2.76807811865892,"M","w10",113,4,"Control","Vehicle","Control Vehicle"
"165","1","1","MGB015","p-Cresol synthesis","413w5",2.20174661105974,"M","w5",113,4,"Control","Vehicle","Control Vehicle"
"166","1","1","MGB015","p-Cresol synthesis","419w10",2.92191442277576,"F","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"167","1","1","MGB015","p-Cresol synthesis","419w5",3.05114983121666,"F","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"168","1","1","MGB015","p-Cresol synthesis","420w10",2.5329992055259,"F","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"169","1","1","MGB015","p-Cresol synthesis","420w5",3.0488228956877,"F","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"170","1","1","MGB015","p-Cresol synthesis","421w10",2.53055061065834,"F","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"171","1","1","MGB015","p-Cresol synthesis","421w5",3.12863633229722,"F","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"172","1","1","MGB015","p-Cresol synthesis","422w10",3.06525053578034,"M","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"173","1","1","MGB015","p-Cresol synthesis","423w10",3.67944855690122,"M","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"174","1","1","MGB015","p-Cresol synthesis","423w5",2.91949257278565,"M","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"175","1","1","MGB015","p-Cresol synthesis","435w10",3.16866000663676,"F","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"176","1","1","MGB015","p-Cresol synthesis","435w5",2.98312113982178,"F","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"177","1","1","MGB015","p-Cresol synthesis","436w10",3.07393952107253,"F","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"178","1","1","MGB015","p-Cresol synthesis","436w5",3.11249135383783,"F","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"179","1","1","MGB015","p-Cresol synthesis","438w10",3.16550577780009,"M","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"180","1","1","MGB015","p-Cresol synthesis","438w5",3.19853784334067,"M","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"181","1","1","MGB015","p-Cresol synthesis","439w10",2.68050290960775,"M","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"182","1","1","MGB015","p-Cresol synthesis","439w5",3.06155795545198,"M","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"183","1","1","MGB015","p-Cresol synthesis","501w10",3.42154373751877,"F","w10",130,5,"HFHS","1472","HFHS B. longum APC1472"
"184","1","1","MGB015","p-Cresol synthesis","501w5",3.13098715680922,"F","w5",130,5,"HFHS","1472","HFHS B. longum APC1472"
"185","1","1","MGB015","p-Cresol synthesis","503w10",3.64200260310365,"F","w10",130,5,"HFHS","1472","HFHS B. longum APC1472"
"186","1","1","MGB015","p-Cresol synthesis","503w5",3.1997190216535,"F","w5",130,5,"HFHS","1472","HFHS B. longum APC1472"
"187","1","1","MGB015","p-Cresol synthesis","506w10",3.05831864792918,"M","w10",130,5,"HFHS","1472","HFHS B. longum APC1472"
"188","1","1","MGB015","p-Cresol synthesis","506w5",2.5607282955175,"M","w5",130,5,"HFHS","1472","HFHS B. longum APC1472"
"189","1","1","MGB015","p-Cresol synthesis","115w5repeat",2.10306789013463,"F","w5",104,1,"Control","Vehicle","Control Vehicle"
"190","1","1","MGB015","p-Cresol synthesis","241w5repeat",2.15630515617161,"M","w5",128,2,"HFHS","FOS+GOS","HFHS FOS+GOS"
"191","1","1","MGB015","p-Cresol synthesis","311w10pos",2.86651772579677,"F","w10",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"192","1","1","MGB015","p-Cresol synthesis","422w5repeat",2.88017641419977,"M","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"193","1","1","MGB015","p-Cresol synthesis","507w10",2.44178785150189,"M","w10",130,5,"HFHS","1472","HFHS B. longum APC1472"
"194","1","1","MGB015","p-Cresol synthesis","507w5",2.55790783453368,"M","w5",130,5,"HFHS","1472","HFHS B. longum APC1472"
"195","1","1","MGB015","p-Cresol synthesis","508w10",2.58621467603745,"M","w10",130,5,"HFHS","1472","HFHS B. longum APC1472"
"196","1","1","MGB015","p-Cresol synthesis","508w5",2.5419454806613,"M","w5",130,5,"HFHS","1472","HFHS B. longum APC1472"
"197","2","2","MGB037","Inositol synthesis","101w10",2.60471117222089,"F","w10",105,1,"Control","Vehicle","Control Vehicle"
"198","2","2","MGB037","Inositol synthesis","101w5",2.7090663898408,"F","w5",105,1,"Control","Vehicle","Control Vehicle"
"199","2","2","MGB037","Inositol synthesis","102w10",3.18035160767125,"F","w10",105,1,"Control","Vehicle","Control Vehicle"
"200","2","2","MGB037","Inositol synthesis","102w5",3.22499508467965,"F","w5",105,1,"Control","Vehicle","Control Vehicle"
"201","2","2","MGB037","Inositol synthesis","103w10",2.99688828782147,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"202","2","2","MGB037","Inositol synthesis","103w5",3.46554289248144,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"203","2","2","MGB037","Inositol synthesis","104w10",3.1983945362364,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"204","2","2","MGB037","Inositol synthesis","104w5",2.93749630400598,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
