"module_name","sex","timepoint",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","comparison_type"
"Butyrate synthesis I","M","w10","clr_abundance","Control","HFHS",12,12,-0.74037828070067,21.4967859807218,0.467,0.467,"ns","diet"
"Butyrate synthesis I","M","w5","clr_abundance","Control","HFHS",12,12,-9.41697399526058,21.9997100785071,3.56e-09,3.56e-09,"****","diet"
"17-beta-Estradiol degradation","F","w10","clr_abundance","Control","HFHS",12,12,-2.29407707866916,17.7694050578502,0.034,0.034,"*","diet"
"17-beta-Estradiol degradation","F","w5","clr_abundance","Control","HFHS",12,12,-0.674030944506074,16.3290006233958,0.51,0.51,"ns","diet"
"17-beta-Estradiol degradation","M","w10","clr_abundance","Control","HFHS",12,12,0.683439905998941,17.0160382669046,0.504,0.504,"ns","diet"
"17-beta-Estradiol degradation","M","w5","clr_abundance","Control","HFHS",12,12,-0.00457855361229546,21.8959684404007,0.996,0.996,"ns","diet"
"Butyrate synthesis II","F","w10","clr_abundance","Control","HFHS",12,12,-1.57063527864031,21.6810763059743,0.131,0.131,"ns","diet"
"Butyrate synthesis II","F","w5","clr_abundance","Control","HFHS",12,12,-5.64741141183116,15.5791092984708,4.02e-05,4.02e-05,"****","diet"
"Butyrate synthesis II","M","w10","clr_abundance","Control","HFHS",12,12,-0.579494695003794,21.1032343147282,0.568,0.568,"ns","diet"
"Butyrate synthesis II","M","w5","clr_abundance","Control","HFHS",12,12,-4.79766880159884,18.5753867163869,0.000133,0.000133,"***","diet"
"Histamine degradation","F","w10","clr_abundance","Control","HFHS",12,12,1.66839309155158,19.965117465869,0.111,0.111,"ns","diet"
"Histamine degradation","F","w5","clr_abundance","Control","HFHS",12,12,2.40537472251404,13.9973047719381,0.031,0.031,"*","diet"
"Histamine degradation","M","w10","clr_abundance","Control","HFHS",12,12,0.104770993785395,21.9852398881258,0.918,0.918,"ns","diet"
"Histamine degradation","M","w5","clr_abundance","Control","HFHS",12,12,2.2596872947525,13.6349483876617,0.041,0.041,"*","diet"
"Quinolinic acid synthesis","F","w10","clr_abundance","Control","HFHS",12,12,-0.15548385918419,21.9861479010161,0.878,0.878,"ns","diet"
"Quinolinic acid synthesis","F","w5","clr_abundance","Control","HFHS",12,12,-1.5832890814269,21.9316039783403,0.128,0.128,"ns","diet"
"Quinolinic acid synthesis","M","w10","clr_abundance","Control","HFHS",12,12,-0.296244666208246,20.0801431616098,0.77,0.77,"ns","diet"
"Quinolinic acid synthesis","M","w5","clr_abundance","Control","HFHS",12,12,-4.51989646840392,19.7862849563193,0.000214,0.000214,"***","diet"
"Propionate synthesis II","F","w10","clr_abundance","Control","HFHS",12,12,-0.770560240355579,19.8629726366822,0.45,0.45,"ns","diet"
"Propionate synthesis II","F","w5","clr_abundance","Control","HFHS",12,12,-3.10280269139635,16.1173554901088,0.007,0.007,"**","diet"
"Propionate synthesis II","M","w10","clr_abundance","Control","HFHS",12,12,-1.51235843653476,21.9991402506119,0.145,0.145,"ns","diet"
"Propionate synthesis II","M","w5","clr_abundance","Control","HFHS",12,12,-1.34087327417049,21.3751074473808,0.194,0.194,"ns","diet"
"Glutamate degradation I","F","w10","clr_abundance","Control","HFHS",12,12,-2.13311779580972,21.8624251924099,0.044,0.044,"*","diet"
"Glutamate degradation I","F","w5","clr_abundance","Control","HFHS",12,12,-5.79566886348131,15.3855634152877,3.19e-05,3.19e-05,"****","diet"
"Glutamate degradation I","M","w10","clr_abundance","Control","HFHS",12,12,-0.058562988411637,21.8891827628369,0.954,0.954,"ns","diet"
"Glutamate degradation I","M","w5","clr_abundance","Control","HFHS",12,12,-5.78260551186567,17.3248511741208,2.05e-05,2.05e-05,"****","diet"
"GABA degradation","F","w10","clr_abundance","Control","HFHS",12,12,-1.03786744835229,17.9895543932755,0.313,0.313,"ns","diet"
"GABA degradation","F","w5","clr_abundance","Control","HFHS",12,12,2.31643091928372,21.8572936686814,0.03,0.03,"*","diet"
"GABA degradation","M","w10","clr_abundance","Control","HFHS",12,12,-0.627305254471856,17.1996972977376,0.539,0.539,"ns","diet"
"GABA degradation","M","w5","clr_abundance","Control","HFHS",12,12,1.55244301069221,13.9081616385496,0.143,0.143,"ns","diet"
"Kynurenine synthesis","F","w10","clr_abundance","Control","HFHS",12,12,-1.10341126998454,20.8943476556187,0.282,0.282,"ns","diet"
"Kynurenine synthesis","F","w5","clr_abundance","Control","HFHS",12,12,-0.324550405326761,16.7801622361845,0.75,0.75,"ns","diet"
"Kynurenine synthesis","M","w10","clr_abundance","Control","HFHS",12,12,-1.41578965879797,21.7914095014337,0.171,0.171,"ns","diet"
"Kynurenine synthesis","M","w5","clr_abundance","Control","HFHS",12,12,1.38914671705298,21.4563812793735,0.179,0.179,"ns","diet"
"Propionate synthesis I","F","w10","clr_abundance","Control","HFHS",12,12,-0.846353241621207,21.9900307396089,0.406,0.406,"ns","diet"
"Propionate synthesis I","F","w5","clr_abundance","Control","HFHS",12,12,3.62584068323929,21.9998878328387,0.002,0.002,"**","diet"
"Propionate synthesis I","M","w10","clr_abundance","Control","HFHS",12,12,2.71881464923266,17.1106026589274,0.015,0.015,"*","diet"
"Propionate synthesis I","M","w5","clr_abundance","Control","HFHS",12,12,5.39978275222512,17.6540316805795,4.21e-05,4.21e-05,"****","diet"
"Tryptophan synthesis","F","w10","clr_abundance","Control","HFHS",12,12,0.372164385008449,21.2445152104724,0.713,0.713,"ns","diet"
"Tryptophan synthesis","F","w5","clr_abundance","Control","HFHS",12,12,-1.28972660188197,21.6888840258431,0.211,0.211,"ns","diet"
"Tryptophan synthesis","M","w10","clr_abundance","Control","HFHS",12,12,0.51835788708645,14.9126416597596,0.612,0.612,"ns","diet"
"Tryptophan synthesis","M","w5","clr_abundance","Control","HFHS",12,12,-1.35170613993961,21.3976789759185,0.191,0.191,"ns","diet"
"Nitric oxide degradation I (NO dioxygenase)","F","w10","clr_abundance","Control","HFHS",12,12,-0.934530148152209,20.6124416840489,0.361,0.361,"ns","diet"
"Nitric oxide degradation I (NO dioxygenase)","F","w5","clr_abundance","Control","HFHS",12,12,-3.21186588627976,14.888751504851,0.006,0.006,"**","diet"
"Nitric oxide degradation I (NO dioxygenase)","M","w10","clr_abundance","Control","HFHS",12,12,0.128025607070254,21.9845569013968,0.899,0.899,"ns","diet"
"Nitric oxide degradation I (NO dioxygenase)","M","w5","clr_abundance","Control","HFHS",12,12,-0.720850272314721,21.9333681296295,0.479,0.479,"ns","diet"
"Tryptophan degradation","F","w10","clr_abundance","Control","HFHS",12,12,-2.60561577748397,18.8020047217084,0.018,0.018,"*","diet"
"Tryptophan degradation","F","w5","clr_abundance","Control","HFHS",12,12,-4.17690009513643,20.7594546261795,0.000435,0.000435,"***","diet"
"Tryptophan degradation","M","w10","clr_abundance","Control","HFHS",12,12,0.702811635557631,20.9771638633204,0.49,0.49,"ns","diet"
"Tryptophan degradation","M","w5","clr_abundance","Control","HFHS",12,12,-3.54500590655094,15.2741995722244,0.003,0.003,"**","diet"
"Glutamate synthesis I","F","w10","clr_abundance","Control","HFHS",12,12,-0.45138159430947,20.6985198838778,0.656,0.656,"ns","diet"
"Glutamate synthesis I","F","w5","clr_abundance","Control","HFHS",12,12,-0.180260457994011,21.019900260371,0.859,0.859,"ns","diet"
"Glutamate synthesis I","M","w10","clr_abundance","Control","HFHS",12,12,0.22009632028888,15.1334268344064,0.829,0.829,"ns","diet"
"Glutamate synthesis I","M","w5","clr_abundance","Control","HFHS",12,12,-0.637353042729439,20.1714986053982,0.531,0.531,"ns","diet"
"Glutamate synthesis II","F","w10","clr_abundance","Control","HFHS",12,12,0.687701537022662,20.5102689280859,0.499,0.499,"ns","diet"
"Glutamate synthesis II","F","w5","clr_abundance","Control","HFHS",12,12,-1.40755462869416,20.8412801194104,0.174,0.174,"ns","diet"
"Glutamate synthesis II","M","w10","clr_abundance","Control","HFHS",12,12,0.633285273175605,14.8704101201706,0.536,0.536,"ns","diet"
"Glutamate synthesis II","M","w5","clr_abundance","Control","HFHS",12,12,-1.19727983429107,17.9750991626761,0.247,0.247,"ns","diet"
"ClpB (ATP-dependent chaperone protein)","F","w10","clr_abundance","Control","HFHS",12,12,-1.48067904108672,18.8937121873915,0.155,0.155,"ns","diet"
"ClpB (ATP-dependent chaperone protein)","F","w5","clr_abundance","Control","HFHS",12,12,-2.66296620685917,17.3368223247157,0.016,0.016,"*","diet"
"ClpB (ATP-dependent chaperone protein)","M","w10","clr_abundance","Control","HFHS",12,12,0.369299729125589,14.2062954885696,0.717,0.717,"ns","diet"
"ClpB (ATP-dependent chaperone protein)","M","w5","clr_abundance","Control","HFHS",12,12,-2.38478539822123,21.8549232613213,0.026,0.026,"*","diet"
"GABA synthesis III","F","w10","clr_abundance","Control","HFHS",12,12,0.55730756747199,21.9276427361096,0.583,0.583,"ns","diet"
"GABA synthesis III","F","w5","clr_abundance","Control","HFHS",12,12,3.08938688504563,18.141677176206,0.006,0.006,"**","diet"
"GABA synthesis III","M","w10","clr_abundance","Control","HFHS",12,12,0.0628135126134222,20.3653023205337,0.951,0.951,"ns","diet"
"GABA synthesis III","M","w5","clr_abundance","Control","HFHS",12,12,-0.444850877223661,17.0733660273989,0.662,0.662,"ns","diet"
"Acetate synthesis II","F","w10","clr_abundance","Control","HFHS",12,12,-0.632044071625887,21.9815975433747,0.534,0.534,"ns","diet"
"Acetate synthesis II","F","w5","clr_abundance","Control","HFHS",12,12,-4.29472751299131,21.4258043653732,0.000309,0.000309,"***","diet"
"Acetate synthesis II","M","w10","clr_abundance","Control","HFHS",12,12,-0.390655462110055,17.5194558721955,0.701,0.701,"ns","diet"
"Acetate synthesis II","M","w5","clr_abundance","Control","HFHS",12,12,-4.07480287860529,21.9031073354597,0.000506,0.000506,"***","diet"
"Dopamine degradation","F","w10","clr_abundance","Control","HFHS",12,12,3.19216432152874,21.7019500102196,0.004,0.004,"**","diet"
"Dopamine degradation","F","w5","clr_abundance","Control","HFHS",12,12,4.36750361812013,15.9892606951742,0.000479,0.000479,"***","diet"
"Dopamine degradation","M","w10","clr_abundance","Control","HFHS",12,12,-1.16135908051786,18.391565684572,0.26,0.26,"ns","diet"
"Dopamine degradation","M","w5","clr_abundance","Control","HFHS",12,12,1.1930336207743,21.948489839027,0.246,0.246,"ns","diet"
"Acetate synthesis III","F","w10","clr_abundance","Control","HFHS",12,12,-0.632734699010309,21.983627965863,0.533,0.533,"ns","diet"
"Acetate synthesis III","F","w5","clr_abundance","Control","HFHS",12,12,-4.29355827156128,21.4307500998256,0.00031,0.00031,"***","diet"
"Acetate synthesis III","M","w10","clr_abundance","Control","HFHS",12,12,-0.391860227506178,17.5223445898466,0.7,0.7,"ns","diet"
"Acetate synthesis III","M","w5","clr_abundance","Control","HFHS",12,12,-4.08061458198371,21.9109268046005,0.000499,0.000499,"***","diet"
"DOPAC synthesis","F","w10","clr_abundance","Control","HFHS",12,12,-0.749702509953862,21.8048666024185,0.461,0.461,"ns","diet"
"DOPAC synthesis","F","w5","clr_abundance","Control","HFHS",12,12,-2.57886240662204,14.0276250775115,0.022,0.022,"*","diet"
"DOPAC synthesis","M","w10","clr_abundance","Control","HFHS",12,12,1.70056122668451,20.0203921507169,0.105,0.105,"ns","diet"
"DOPAC synthesis","M","w5","clr_abundance","Control","HFHS",12,12,-0.0450781411891095,15.1757420617383,0.965,0.965,"ns","diet"
"Acetate degradation","F","w10","clr_abundance","Control","HFHS",12,12,1.5502187579689,21.1646122499234,0.136,0.136,"ns","diet"
"Acetate degradation","F","w5","clr_abundance","Control","HFHS",12,12,-0.120513465231422,21.7226992456487,0.905,0.905,"ns","diet"
"Acetate degradation","M","w10","clr_abundance","Control","HFHS",12,12,-0.364091648774302,18.9547225361391,0.72,0.72,"ns","diet"
"Acetate degradation","M","w5","clr_abundance","Control","HFHS",12,12,-1.94208690896523,21.9948575148039,0.065,0.065,"ns","diet"
"Menaquinone synthesis (vitamin K2) I","F","w10","clr_abundance","Control","HFHS",12,12,0.223903993560596,19.4236478651565,0.825,0.825,"ns","diet"
"Menaquinone synthesis (vitamin K2) I","F","w5","clr_abundance","Control","HFHS",12,12,0.553203437821619,20.2876316997561,0.586,0.586,"ns","diet"
"Menaquinone synthesis (vitamin K2) I","M","w10","clr_abundance","Control","HFHS",12,12,0.137960448272965,17.499713826691,0.892,0.892,"ns","diet"
"Menaquinone synthesis (vitamin K2) I","M","w5","clr_abundance","Control","HFHS",12,12,-1.90015571252496,19.7153518074979,0.072,0.072,"ns","diet"
"Menaquinone synthesis (vitamin K2) II (alternative pathway: futalosine pathway)","F","w10","clr_abundance","Control","HFHS",12,12,-1.62605353754727,17.5764758335624,0.122,0.122,"ns","diet"
"Menaquinone synthesis (vitamin K2) II (alternative pathway: futalosine pathway)","F","w5","clr_abundance","Control","HFHS",12,12,1.70718453309782,19.4119681216562,0.104,0.104,"ns","diet"
"Menaquinone synthesis (vitamin K2) II (alternative pathway: futalosine pathway)","M","w10","clr_abundance","Control","HFHS",12,12,0.458272711827709,21.0900155246962,0.651,0.651,"ns","diet"
"Menaquinone synthesis (vitamin K2) II (alternative pathway: futalosine pathway)","M","w5","clr_abundance","Control","HFHS",12,12,0.0744201091206055,20.5283189139047,0.941,0.941,"ns","diet"
"GABA synthesis I","F","w10","clr_abundance","Control","HFHS",12,12,1.45600760936996,21.2430938151992,0.16,0.16,"ns","diet"
"GABA synthesis I","F","w5","clr_abundance","Control","HFHS",12,12,1.41145414533003,17.5166259508737,0.176,0.176,"ns","diet"
"GABA synthesis I","M","w10","clr_abundance","Control","HFHS",12,12,0.402838539436494,21.7262747618482,0.691,0.691,"ns","diet"
"GABA synthesis I","M","w5","clr_abundance","Control","HFHS",12,12,2.23360344679407,20.2116928402817,0.037,0.037,"*","diet"
"GABA synthesis II","F","w10","clr_abundance","Control","HFHS",12,12,0.769155573129981,21.9976880814904,0.45,0.45,"ns","diet"
"GABA synthesis II","F","w5","clr_abundance","Control","HFHS",12,12,0.495643926116264,13.2728490942762,0.628,0.628,"ns","diet"
"GABA synthesis II","M","w10","clr_abundance","Control","HFHS",12,12,-1.07373662982329,18.9558841291062,0.296,0.296,"ns","diet"
"GABA synthesis II","M","w5","clr_abundance","Control","HFHS",12,12,1.188770311233,16.8515782416308,0.251,0.251,"ns","diet"
"Acetate synthesis I","F","w10","clr_abundance","Control","HFHS",12,12,-1.30701135987038,20.4173027803011,0.206,0.206,"ns","diet"
"Acetate synthesis I","F","w5","clr_abundance","Control","HFHS",12,12,-1.43610374273494,18.7058895980777,0.167,0.167,"ns","diet"
"Acetate synthesis I","M","w10","clr_abundance","Control","HFHS",12,12,-0.330479412013038,13.5207412285535,0.746,0.746,"ns","diet"
"Acetate synthesis I","M","w5","clr_abundance","Control","HFHS",12,12,-2.27927823744493,21.0093271236775,0.033,0.033,"*","diet"
"Nitric oxide synthesis I (NO synthase)","F","w10","clr_abundance","Control","HFHS",12,12,-0.284541017754161,18.7224722332099,0.779,0.779,"ns","diet"
"Nitric oxide synthesis I (NO synthase)","F","w5","clr_abundance","Control","HFHS",12,12,-2.89648102861822,19.7827645623258,0.009,0.009,"**","diet"
"Nitric oxide synthesis I (NO synthase)","M","w10","clr_abundance","Control","HFHS",12,12,-1.44373732551187,13.6515626815634,0.171,0.171,"ns","diet"
"Nitric oxide synthesis I (NO synthase)","M","w5","clr_abundance","Control","HFHS",12,12,-1.04186977137269,20.3655002372138,0.31,0.31,"ns","diet"
"Acetate synthesis IV","F","w10","clr_abundance","Control","HFHS",12,12,0.184136134492727,14.3477927411128,0.856,0.856,"ns","diet"
"Acetate synthesis IV","F","w5","clr_abundance","Control","HFHS",12,12,0.621609113211175,16.2506818482315,0.543,0.543,"ns","diet"
"Acetate synthesis IV","M","w10","clr_abundance","Control","HFHS",12,12,0.225386498933398,21.9694879752404,0.824,0.824,"ns","diet"
"Acetate synthesis IV","M","w5","clr_abundance","Control","HFHS",12,12,-0.850516255799489,16.9708616481382,0.407,0.407,"ns","diet"
"Nitric oxide degradation II (NO reductase)","F","w10","clr_abundance","Control","HFHS",12,12,0.184136134492727,14.3477927411128,0.856,0.856,"ns","diet"
"Nitric oxide degradation II (NO reductase)","F","w5","clr_abundance","Control","HFHS",12,12,0.842764301161979,14.5758279784069,0.413,0.413,"ns","diet"
"Nitric oxide degradation II (NO reductase)","M","w10","clr_abundance","Control","HFHS",12,12,0.225386498933398,21.9694879752404,0.824,0.824,"ns","diet"
"Nitric oxide degradation II (NO reductase)","M","w5","clr_abundance","Control","HFHS",12,12,-1.66452663400864,21.9645775197214,0.11,0.11,"ns","diet"
"Kynurenine degradation","F","w10","clr_abundance","Control","HFHS",12,12,0.184136134492727,14.3477927411128,0.856,0.856,"ns","diet"
"Kynurenine degradation","F","w5","clr_abundance","Control","HFHS",12,12,0.842764301161979,14.5758279784069,0.413,0.413,"ns","diet"
"Kynurenine degradation","M","w10","clr_abundance","Control","HFHS",12,12,0.225386498933398,21.9694879752404,0.824,0.824,"ns","diet"
"Kynurenine degradation","M","w5","clr_abundance","Control","HFHS",12,12,-1.66452663400864,21.9645775197214,0.11,0.11,"ns","diet"
"p-Cresol synthesis","M","w10","clr_abundance","Vehicle","FOS+GOS",12,13,-1.24057880780625,17.8243718211247,0.231,0.693,"ns","treatment"
"p-Cresol synthesis","M","w10","clr_abundance","Vehicle","1472",12,12,-0.616216963388801,16.2097700282148,0.546,0.693,"ns","treatment"
"p-Cresol synthesis","M","w10","clr_abundance","FOS+GOS","1472",13,12,0.970775334348791,22.7604572244639,0.342,0.693,"ns","treatment"
"p-Cresol synthesis","M","w5","clr_abundance","Vehicle","FOS+GOS",12,13,2.86153063172646,20.323314433852,0.01,0.029,"*","treatment"
"p-Cresol synthesis","M","w5","clr_abundance","Vehicle","1472",12,12,1.52409283205588,21.7036292775357,0.142,0.27,"ns","treatment"
"p-Cresol synthesis","M","w5","clr_abundance","FOS+GOS","1472",13,12,-1.55181496162441,21.5398240639234,0.135,0.27,"ns","treatment"
"p-Cresol synthesis","F","w10","clr_abundance","Vehicle","FOS+GOS",12,12,-3.75748241198774,19.772135909392,0.001,0.004,"**","treatment"
"p-Cresol synthesis","F","w10","clr_abundance","Vehicle","1472",12,13,-2.23617541416628,22.9387594370345,0.035,0.071,"ns","treatment"
"p-Cresol synthesis","F","w10","clr_abundance","FOS+GOS","1472",12,13,0.974542626441193,20.1733596540176,0.341,0.341,"ns","treatment"
"p-Cresol synthesis","F","w5","clr_abundance","Vehicle","FOS+GOS",12,12,-0.530843098584134,21.9910729636034,0.601,1,"ns","treatment"
"p-Cresol synthesis","F","w5","clr_abundance","Vehicle","1472",12,13,-0.925831688278366,22.1657179024337,0.365,1,"ns","treatment"
"p-Cresol synthesis","F","w5","clr_abundance","FOS+GOS","1472",12,13,-0.346581856999857,21.9958948981356,0.732,1,"ns","treatment"
"Inositol synthesis","M","w10","clr_abundance","Vehicle","FOS+GOS",12,13,-2.73319205853781,15.0188258920243,0.015,0.031,"*","treatment"
"Inositol synthesis","M","w10","clr_abundance","Vehicle","1472",12,12,0.550610124480771,19.8431302720431,0.588,0.588,"ns","treatment"
"Inositol synthesis","M","w10","clr_abundance","FOS+GOS","1472",13,12,4.39413428442608,18.3612087821275,0.000335,0.001,"**","treatment"
"Inositol synthesis","M","w5","clr_abundance","Vehicle","FOS+GOS",12,13,-1.21861819094686,21.5121874650859,0.236,0.42,"ns","treatment"
"Inositol synthesis","M","w5","clr_abundance","Vehicle","1472",12,12,1.29149255277245,21.9012453303719,0.21,0.42,"ns","treatment"
"Inositol synthesis","M","w5","clr_abundance","FOS+GOS","1472",13,12,2.70492137238193,22.1319250807386,0.013,0.039,"*","treatment"
"Inositol synthesis","F","w10","clr_abundance","Vehicle","FOS+GOS",12,12,-5.73958730765174,21.5802625541765,9.65e-06,2.9e-05,"****","treatment"
"Inositol synthesis","F","w10","clr_abundance","Vehicle","1472",12,13,-1.9020855452962,19.5382149728931,0.072,0.099,"ns","treatment"
"Inositol synthesis","F","w10","clr_abundance","FOS+GOS","1472",12,13,2.10461313193123,18.0480333819864,0.05,0.099,"ns","treatment"
"Inositol synthesis","F","w5","clr_abundance","Vehicle","FOS+GOS",12,12,-4.66002585923594,20.9327824156462,0.000135,0.000405,"***","treatment"
"Inositol synthesis","F","w5","clr_abundance","Vehicle","1472",12,13,-3.49083086865732,20.619312721341,0.002,0.004,"**","treatment"
"Inositol synthesis","F","w5","clr_abundance","FOS+GOS","1472",12,13,2.16241438854269,17.9103180203227,0.044,0.044,"*","treatment"
"p-Cresol degradation","M","w10","clr_abundance","Vehicle","FOS+GOS",12,13,-1.38617949055575,21.6907854092913,0.18,0.36,"ns","treatment"
"p-Cresol degradation","M","w10","clr_abundance","Vehicle","1472",12,12,0.402518255009842,21.3792401653454,0.691,0.691,"ns","treatment"
"p-Cresol degradation","M","w10","clr_abundance","FOS+GOS","1472",13,12,1.64294449312823,22.849114071024,0.114,0.342,"ns","treatment"
"p-Cresol degradation","M","w5","clr_abundance","Vehicle","FOS+GOS",12,13,0.226394375898967,22.9743906768638,0.823,0.823,"ns","treatment"
