"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Cholinergic synapse",125,0.92333,2,0.23575,0.62755,1,1,0
"Phosphatidylinositol signaling system",125,0.92333,2,0.23575,0.62755,1,1,0.00017088
"Aldosterone synthesis and secretion",125,0.92333,2,0.23575,0.62755,1,1,0.0038444
"Viral carcinogenesis",228,1.6841,3,0.23724,0.62481,1,1,0
"Kaposi sarcoma-associated herpesvirus infection",228,1.6841,3,0.23724,0.62481,1,1,0.0019662
"Nitrogen metabolism",37,0.2733,1,0.2403,0.61924,1,1,0.00046253
"Thyroid cancer",37,0.2733,1,0.2403,0.61924,1,1,0.0033333
"Parathyroid hormone synthesis, secretion and action",127,0.9381,2,0.24122,0.61758,1,1,0.0032726
"Epstein-Barr virus infection",231,1.7063,3,0.24316,0.61411,1,1,0.00019157
"Cytoskeleton in muscle cells",232,1.7137,3,0.24514,0.61059,1,1,0
"Pancreatic secretion",130,0.96026,2,0.24944,0.60303,1,1,0
"Insulin resistance",130,0.96026,2,0.24944,0.60303,1,1,0.00027233
"Regulation of actin cytoskeleton",239,1.7654,3,0.25906,0.5866,1,1,0.056068
"Apoptosis",139,1.0267,2,0.27416,0.562,1,1,0
"Osteoclast differentiation",139,1.0267,2,0.27416,0.562,1,1,0.014281
"Lysosome",140,1.0341,2,0.2769,0.55767,1,1,0
"Signaling pathways regulating pluripotency of stem cells",140,1.0341,2,0.2769,0.55767,1,1,0
"Platelet activation",140,1.0341,2,0.2769,0.55767,1,1,0.0026123
"Human T-cell leukemia virus 1 infection",252,1.8614,3,0.28519,0.54486,1,1,0.00017889
"Insulin signaling pathway",144,1.0637,2,0.28788,0.54078,1,1,0.001583
"Thiamine metabolism",46,0.33978,1,0.28954,0.53829,1,1,0.01707
"Base excision repair",47,0.34717,1,0.29482,0.53045,1,1,0
"Dopaminergic synapse",148,1.0932,2,0.29885,0.52455,1,1,0
"Apelin signaling pathway",148,1.0932,2,0.29885,0.52455,1,1,0.0016216
"Breast cancer",150,1.108,2,0.30433,0.51666,1,1,0.0013655
"Alcoholic liver disease",152,1.1228,2,0.30979,0.50893,1,1,0.00034698
"Ubiquitin mediated proteolysis",154,1.1375,2,0.31525,0.50134,1,1,0
"Pathways of neurodegeneration - multiple diseases",513,3.7893,5,0.3287,0.4832,1,1,0
"Prion disease",278,2.0535,3,0.33801,0.47107,1,1,0.0018307
"Cocaine addiction",56,0.41365,1,0.34057,0.46779,1,1,0.0040123
"Endometrial cancer",59,0.43581,1,0.35516,0.44957,1,1,0.0038647
"Allograft rejection",61,0.45058,1,0.36471,0.43805,1,1,0
"Autophagy - animal",173,1.2779,2,0.36656,0.43585,1,1,7.9507e-05
"Inflammatory bowel disease",62,0.45797,1,0.36944,0.43246,1,1,0
"Graft-versus-host disease",62,0.45797,1,0.36944,0.43246,1,1,0
"Notch signaling pathway",64,0.47274,1,0.37878,0.42162,1,1,0
"Basal cell carcinoma",64,0.47274,1,0.37878,0.42162,1,1,0
"Serotonergic synapse",178,1.3148,2,0.37984,0.4204,1,1,0.0003885
"Axon guidance",182,1.3444,2,0.39039,0.4085,1,1,5.9657e-05
"Efferocytosis",184,1.3591,2,0.39563,0.40271,1,1,0.003937
"Vitamin digestion and absorption",68,0.50229,1,0.39705,0.40115,1,1,9.5184e-05
"Long-term depression",69,0.50968,1,0.40154,0.39627,1,1,0
"alpha-Linolenic acid metabolism",69,0.50968,1,0.40154,0.39627,1,1,0.0033937
"Type I diabetes mellitus",70,0.51706,1,0.40599,0.39148,1,1,0
"Acute myeloid leukemia",71,0.52445,1,0.41041,0.38678,1,1,0
"Pentose phosphate pathway",71,0.52445,1,0.41041,0.38678,1,1,0.0002331
"Huntington disease",314,2.3194,3,0.41078,0.3864,1,1,0
"GnRH secretion",72,0.53184,1,0.4148,0.38216,1,1,0.0078631
"Propanoate metabolism",73,0.53922,1,0.41915,0.37763,1,1,0.0016827
"Long-term potentiation",74,0.54661,1,0.42348,0.37317,1,1,0
"Tuberculosis",198,1.4625,2,0.43175,0.36477,1,1,0
"Pyruvate metabolism",76,0.56138,1,0.43203,0.36449,1,1,0.01461
"Fatty acid biosynthesis",77,0.56877,1,0.43626,0.36026,1,1,0.031188
"Amphetamine addiction",79,0.58354,1,0.44462,0.35201,1,1,0.0023338
"Autoimmune thyroid disease",80,0.59093,1,0.44876,0.34799,1,1,0
"RNA degradation",83,0.61309,1,0.46099,0.33631,1,1,0
"Cytosolic DNA-sensing pathway",84,0.62047,1,0.465,0.33255,1,1,0.001747
"Prolactin signaling pathway",85,0.62786,1,0.46899,0.32884,1,1,0
"Polycomb repressive complex",87,0.64263,1,0.47687,0.3216,1,1,0
"Peroxisome",87,0.64263,1,0.47687,0.3216,1,1,0
"Pertussis",87,0.64263,1,0.47687,0.3216,1,1,0
"Alcoholism",217,1.6029,2,0.47893,0.31973,1,1,0.0067677
"ErbB signaling pathway",88,0.65002,1,0.48077,0.31806,1,1,0
"Glycine, serine and threonine metabolism",88,0.65002,1,0.48077,0.31806,1,1,0.048516
"Colorectal cancer",89,0.65741,1,0.48464,0.31458,1,1,0.0038874
"NOD-like receptor signaling pathway",222,1.6398,2,0.49095,0.30896,1,1,0.0016396
"Adherens junction",92,0.67957,1,0.49609,0.30444,1,1,0
"Cardiac muscle contraction",93,0.68695,1,0.49984,0.30116,1,1,0
"Renin secretion",93,0.68695,1,0.49984,0.30116,1,1,0
"PPAR signaling pathway",94,0.69434,1,0.50358,0.29794,1,1,0
"Glyoxylate and dicarboxylate metabolism",96,0.70911,1,0.51095,0.29162,1,1,0.0029963
"GnRH signaling pathway",96,0.70911,1,0.51095,0.29162,1,1,0.0037003
"Gap junction",97,0.7165,1,0.5146,0.28853,1,1,0
"Longevity regulating pathway",98,0.72389,1,0.51823,0.28548,1,1,0
"Insulin secretion",98,0.72389,1,0.51823,0.28548,1,1,0.0015664
"PI3K-Akt signaling pathway",371,2.7404,3,0.5204,0.28366,1,1,0.0061386
"Valine, leucine and isoleucine degradation",99,0.73127,1,0.52182,0.28248,1,1,0.16247
"Fatty acid degradation",102,0.75343,1,0.53245,0.27372,1,1,0.56317
"Hypertrophic cardiomyopathy",103,0.76082,1,0.53594,0.27088,1,1,0
"mRNA surveillance pathway",104,0.76821,1,0.5394,0.26809,1,1,0
"Morphine addiction",104,0.76821,1,0.5394,0.26809,1,1,0.0019192
"Dilated cardiomyopathy",106,0.78298,1,0.54626,0.2626,1,1,0
"Melanogenesis",106,0.78298,1,0.54626,0.2626,1,1,0.0031712
"Circadian entrainment",108,0.79775,1,0.55301,0.25727,1,1,0.017695
"TGF-beta signaling pathway",111,0.81991,1,0.56295,0.24953,1,1,0
"Chemical carcinogenesis - receptor activation",257,1.8984,2,0.57018,0.24399,1,1,0
"Salmonella infection",257,1.8984,2,0.57018,0.24399,1,1,0.00010566
"Thermogenesis",261,1.9279,2,0.57866,0.23758,1,1,0.035483
"Lysine degradation",120,0.88639,1,0.5915,0.22805,1,1,0.0037137
"Amoebiasis",121,0.89378,1,0.59455,0.22581,1,1,0
"Leukocyte transendothelial migration",123,0.90855,1,0.6006,0.22142,1,1,0
"Glutamatergic synapse",124,0.91594,1,0.60358,0.21926,1,1,0
"Complement and coagulation cascades",125,0.92333,1,0.60655,0.21713,1,1,0
"Taste transduction",125,0.92333,1,0.60655,0.21713,1,1,0
"Arginine and proline metabolism",125,0.92333,1,0.60655,0.21713,1,1,0.00059463
"Oocyte meiosis",127,0.9381,1,0.61242,0.21295,1,1,0.0015406
"Thyroid hormone signaling pathway",131,0.96764,1,0.6239,0.20489,1,1,0
"HIF-1 signaling pathway",132,0.97503,1,0.62671,0.20293,1,1,0.00029386
"Chemical carcinogenesis - reactive oxygen species",286,2.1126,2,0.62894,0.20139,1,1,0.00015073
"Tryptophan metabolism",135,0.99719,1,0.63504,0.1972,1,1,0.0024762
"Relaxin signaling pathway",136,1.0046,1,0.63777,0.19533,1,1,0.0011236
"Yersinia infection",141,1.0415,1,0.65114,0.18632,1,1,0.00097069
"Systemic lupus erythematosus",153,1.1301,1,0.68128,0.16667,1,1,0
"Gastric cancer",154,1.1375,1,0.68367,0.16515,1,1,0.0017133
"Glycerophospholipid metabolism",157,1.1597,1,0.69074,0.16068,1,1,0.008871
"Hippo signaling pathway",158,1.1671,1,0.69307,0.15923,1,1,0.0054358
"Phospholipase D signaling pathway",160,1.1819,1,0.69766,0.15636,1,1,0
"Inflammatory mediator regulation of TRP channels",165,1.2188,1,0.70885,0.14945,1,1,0
"Oxytocin signaling pathway",165,1.2188,1,0.70885,0.14945,1,1,0
"Hepatitis B",165,1.2188,1,0.70885,0.14945,1,1,0.00071863
"Retrograde endocannabinoid signaling",172,1.2705,1,0.72383,0.14036,1,1,0
"Coronavirus disease - COVID-19",344,2.541,2,0.72775,0.13802,1,1,0
"Wnt signaling pathway",176,1.3,1,0.73205,0.13546,1,1,0.038304
"Hepatocellular carcinoma",189,1.3961,1,0.75712,0.12084,1,1,0.0010141
"ABC transporters",191,1.4108,1,0.76077,0.11875,1,1,0
"Amyotrophic lateral sclerosis",389,2.8734,2,0.78848,0.10321,1,1,0
"Rap1 signaling pathway",219,1.6177,1,0.80649,0.0934,1,1,0
"Pathways in cancer",579,4.2768,3,0.80968,0.091686,1,1,0.0017415
"Alzheimer disease",408,3.0137,2,0.8104,0.091303,1,1,0
"Transcriptional misregulation in cancer",226,1.6694,1,0.8165,0.088041,1,1,0
"Purine metabolism",235,1.7359,1,0.82863,0.081639,1,1,0.0015168
"Ras signaling pathway",243,1.7949,1,0.83874,0.076371,1,1,0
"Diabetic cardiomyopathy",256,1.891,1,0.85394,0.068574,1,1,0
"Endocytosis",276,2.0387,1,0.8746,0.058192,1,1,0
"Cytokine-cytokine receptor interaction",294,2.1717,1,0.89071,0.050263,1,1,0
"Parkinson disease",300,2.216,1,0.89561,0.047879,1,1,0.00015198
"MicroRNAs in cancer",303,2.2381,1,0.89798,0.046731,1,1,0
"MAPK signaling pathway",304,2.2455,1,0.89876,0.046355,1,1,0.0015873
