Sex,Legend,name,n,G,U,grubbs,p_grubbs
M,HFHS 1472,SPT_CumulativeDrinkIntake_Saccharin_OD,12,2.93,0.15,highest value 4 is an outlier,0.000119
F,HFHS FOS+GOS,TotalIntake.g.,12,2.92,0.152,highest value 11.1 is an outlier,0.000129
M,HFHS Vehicle,FirstMealSize,12,2.92,0.155,highest value 12.8 is an outlier,0.000143
M,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_48h,12,2.9,0.164,highest value 13.5 is an outlier,0.00019
M,HFHS 1472,FPT_PreferenceScore_Percentage_OD,12,2.89,0.17,lowest value 82.142857 is an outlier,0.000228
M,Control Vehicle,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,12,2.89,0.172,highest value 1240 is an outlier,0.000238
F,Control Vehicle,SPT_TotalCumulative_WaterDiet_12h,12,2.87,0.182,highest value 8 is an outlier,0.000319
M,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_48h,13,2.94,0.219,highest value 28 is an outlier,0.000401
M,HFHS 1472,FPT_PreferenceScore_OD,12,2.85,0.194,lowest value 0.82 is an outlier,0.000439
M,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_36h,13,2.93,0.226,highest value 25 is an outlier,0.000481
M,HFHS Vehicle,TotalIntake.g.,12,2.84,0.202,highest value 31.48 is an outlier,0.000542
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHS_OD,12,2.83,0.207,highest value 26.3 is an outlier,0.000616
F,Control Vehicle,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,12,2.82,0.212,highest value 3833.333333 is an outlier,0.000692
F,HFHS 1472,FirstMealSize,13,2.9,0.243,highest value 4.06 is an outlier,0.000722
M,HFHS Vehicle,FPT_TotalCumulative_CTDiet_24h,12,2.81,0.218,highest value 5.1 is an outlier,0.000797
F,Control Vehicle,FPT_TotalCumulative_CTDiet_24h,12,2.81,0.218,highest value 1.5 is an outlier,0.000799
M,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_48h,12,2.81,0.218,highest value 12 is an outlier,0.000812
M,Control Vehicle,SPT_CumulativeDrinkIntake_Water_ON,12,2.8,0.224,highest value 14.5 is an outlier,0.000929
M,HFHS 1472,CentreDistance_Percentage,12,2.79,0.228,lowest value 0 is an outlier,0.00101
F,HFHS Vehicle,SPT_CumulativeDrinkIntake_Water_OD,12,2.78,0.232,highest value 6 is an outlier,0.0011
M,HFHS Vehicle,SPT_CumulativeDrinkIntake_Water_OD,12,2.77,0.24,highest value 5 is an outlier,0.0013
F,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_36h,12,2.77,0.241,highest value 13 is an outlier,0.00134
M,HFHS 1472,FPT_TotalCumulative_HFHSDiet_24h,12,2.75,0.248,highest value 46.3 is an outlier,0.00156
M,Control Vehicle,SPT_TotalCumulative_WaterDiet_24h,12,2.75,0.251,highest value 10 is an outlier,0.00164
F,HFHS 1472,FPT_TotalCumulative_CTDiet_24h,13,2.81,0.289,highest value 0.9 is an outlier,0.0019
M,HFHS FOS+GOS,TotalIntake.g.,13,2.8,0.292,highest value 18.12 is an outlier,0.00203
F,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_48h,12,2.73,0.261,highest value 13 is an outlier,0.00204
M,HFHS FOS+GOS,DistanceThigmotaxis10.,13,2.77,0.308,highest value 44.7 is an outlier,0.00274
M,HFHS 1472,FPT_TotalCumulative_CTDiet_24h,12,2.68,0.288,highest value 1.1 is an outlier,0.00335
M,HFHS FOS+GOS,FPT_PreferenceScore,13,2.75,0.319,lowest value 0.89 is an outlier,0.00337
M,HFHS 1472,FPT_TotalCumulative_CTDiet_12h,12,2.68,0.288,highest value 1.1 is an outlier,0.00337
M,HFHS FOS+GOS,FPT_PreferenceScore_Percentage_OD,13,2.73,0.327,lowest value 84 is an outlier,0.00383
M,HFHS FOS+GOS,FPT_PreferenceScore_OD,13,2.72,0.331,lowest value 0.84 is an outlier,0.00412
M,Control Vehicle,FPT_TotalCumulative_CTDiet_OD,12,2.65,0.305,highest value 0.4 is an outlier,0.0045
F,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_36h,12,2.64,0.308,highest value 11 is an outlier,0.00478
F,HFHS Vehicle,FPT_TotalCumulative_CTDiet_36h,12,2.64,0.31,highest value 2.5 is an outlier,0.00489
F,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_48h,12,2.63,0.314,highest value 16.5 is an outlier,0.00525
M,HFHS Vehicle,SPT_CumulativeDrinkIntake_Water_ON,12,2.63,0.314,highest value 8.5 is an outlier,0.00527
M,HFHS FOS+GOS,FPT_PreferenceScore_Percentage,13,2.67,0.354,lowest value 89.4 is an outlier,0.00608
M,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_12h,12,2.61,0.327,highest value 6.5 is an outlier,0.00646
M,HFHS 1472,FPT_TotalCumulative_CTDiet_ON,12,2.61,0.327,highest value 1.4 is an outlier,0.00646
F,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_24h,12,2.6,0.329,highest value 14 is an outlier,0.00665
F,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_12h,12,2.6,0.329,highest value 9.5 is an outlier,0.00666
F,HFHS Vehicle,FPT_TotalCumulative_CTDiet_OD,12,2.6,0.332,highest value 0.6 is an outlier,0.00701
M,HFHS 1472,SPT_TotalCumulative_WaterDiet_12h,12,2.6,0.332,lowest value 0 is an outlier,0.00702
F,HFHS 1472,TimeThigmotaxis10.,13,2.65,0.364,lowest value 7.6 is an outlier,0.00711
M,HFHS 1472,FPT_TotalCumulative_CTDiet_36h,12,2.59,0.333,highest value 1.4 is an outlier,0.00716
M,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_36h,12,2.57,0.343,highest value 10.5 is an outlier,0.00836
F,HFHS 1472,DistanceThigmotaxis20.,13,2.63,0.375,highest value 98.9 is an outlier,0.00836
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHS_OD,13,2.63,0.377,highest value 14.6 is an outlier,0.00863
F,HFHS Vehicle,SPT_CumulativeDrinkIntake_Saccharin_ON,12,2.57,0.346,highest value 10.5 is an outlier,0.00873
F,Control Vehicle,FPT_TotalCumulative_HFHSDiet,12,2.56,0.351,highest value 34.1 is an outlier,0.00931
F,Control Vehicle,FPT_TotalCumulative_HFHSDiet_48h,12,2.56,0.351,highest value 34.1 is an outlier,0.00931
M,Control Vehicle,DistanceThigmotaxis10.,12,2.56,0.352,highest value 43.3 is an outlier,0.00952
M,HFHS Vehicle,SPT_CumulativeDrinkIntake_Saccharin_OD,12,2.55,0.353,highest value 9.5 is an outlier,0.0097
F,HFHS Vehicle,FPT_TotalCumulative_CTDiet_ON,12,2.55,0.357,highest value 2.3 is an outlier,0.0102
M,HFHS 1472,Rearing_ExternalZone10.,12,2.55,0.357,lowest value 0 is an outlier,0.0102
M,HFHS Vehicle,FPT_TotalCumulative_CTDiet,12,2.54,0.362,highest value 3 is an outlier,0.011
M,HFHS Vehicle,FPT_TotalCumulative_CTDiet_48h,12,2.54,0.362,highest value 3 is an outlier,0.011
M,HFHS 1472,DistanceThigmotaxis10.,12,2.53,0.363,lowest value 0 is an outlier,0.0112
F,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_24h,12,2.53,0.364,highest value 7 is an outlier,0.0113
M,Control Vehicle,TotalIntake.g.,12,2.53,0.366,highest value 36.5 is an outlier,0.0116
F,Control Vehicle,FPT_TotalCumulative_HFHSDiet_ON,12,2.51,0.374,highest value 31.7 is an outlier,0.0131
M,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_24h,12,2.51,0.377,highest value 12 is an outlier,0.0136
M,HFHS Vehicle,SPT_CumulativeDrinkIntake_Saccharin_ON,12,2.5,0.38,highest value 14.5 is an outlier,0.0141
M,HFHS Vehicle,SPT_TotalCumulative_WaterDiet_24h,12,2.49,0.387,highest value 8.5 is an outlier,0.0156
F,HFHS 1472,SPT_TotalCumulative_WaterDiet_48h,13,2.54,0.418,highest value 12.5 is an outlier,0.0157
M,HFHS 1472,FPT_TotalCumulative_HFHSDiet_36h,12,2.48,0.389,highest value 77.6 is an outlier,0.016
F,HFHS FOS+GOS,NumberMeals,12,2.48,0.391,highest value 9 is an outlier,0.0164
F,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_36h,12,2.47,0.393,highest value 18.5 is an outlier,0.017
M,HFHS Vehicle,FPT_TotalCumulative_CTDiet_12h,12,2.47,0.395,highest value 2.3 is an outlier,0.0174
F,Control Vehicle,FPT_TotalCumulative_HFHSDiet_36h,12,2.46,0.399,highest value 32 is an outlier,0.0183
F,HFHS 1472,FPT_PreferenceScore_Percentage,13,2.51,0.429,lowest value 91.3 is an outlier,0.0184
F,HFHS Vehicle,FPT_TotalCumulative_CTDiet_24h,12,2.46,0.4,highest value 2.3 is an outlier,0.0185
M,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_24h,12,2.46,0.401,highest value 6 is an outlier,0.0189
M,Control Vehicle,SPT_TotalCumulative_WaterDiet_12h,12,2.46,0.402,highest value 7 is an outlier,0.019
F,HFHS FOS+GOS,CentreTime.,12,2.45,0.404,highest value 15.8 is an outlier,0.0196
M,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_36h,12,2.45,0.405,highest value 17 is an outlier,0.0198
M,HFHS FOS+GOS,DistanceThigmotaxis20.,13,2.5,0.437,highest value 82.1 is an outlier,0.0202
F,HFHS 1472,FPT_PreferenceScore,13,2.5,0.436,lowest value 0.91 is an outlier,0.0202
M,HFHS FOS+GOS,CentreDistance_Percentage,13,2.5,0.438,lowest value 17.9 is an outlier,0.0205
F,HFHS FOS+GOS,TimeThigmotaxis20.,12,2.44,0.409,lowest value 84.2 is an outlier,0.0207
F,HFHS Vehicle,FPT_TotalCumulative_CTDiet,12,2.44,0.409,highest value 2.5 is an outlier,0.0209
F,HFHS Vehicle,FPT_TotalCumulative_CTDiet_48h,12,2.44,0.409,highest value 2.5 is an outlier,0.0209
M,HFHS Vehicle,FPT_TotalCumulative_CTDiet_ON,12,2.44,0.41,highest value 2.7 is an outlier,0.021
F,HFHS Vehicle,FPT_TotalCumulative_HFHS_OD,12,2.44,0.411,highest value 7.2 is an outlier,0.0214
F,HFHS 1472,SPT_Ratio_OD,13,2.47,0.447,highest value 3 is an outlier,0.0233
F,HFHS 1472,FPT_PreferenceScore_Percentage_ON,13,2.47,0.449,lowest value 90.625 is an outlier,0.0239
M,HFHS 1472,FPT_TotalCumulative_HFHSDiet,12,2.42,0.42,highest value 77.7 is an outlier,0.024
M,HFHS 1472,FPT_TotalCumulative_HFHSDiet_48h,12,2.42,0.42,highest value 77.7 is an outlier,0.024
F,HFHS 1472,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,13,2.46,0.455,highest value 1810 is an outlier,0.0259
M,HFHS Vehicle,FPT_TotalCumulative_CTDiet_36h,12,2.4,0.428,highest value 2.7 is an outlier,0.0266
F,HFHS 1472,FPT_TotalCumulative_HFHSDiet_12h,13,2.45,0.458,highest value 15.6 is an outlier,0.0266
F,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_24h,12,2.4,0.431,highest value 8 is an outlier,0.0275
F,Control Vehicle,SPT_CumulativeDrinkIntake_Saccharin_ON,12,2.39,0.431,highest value 14 is an outlier,0.0276
F,HFHS 1472,FPT_TotalCumulative_HFHS_OD,13,2.44,0.463,highest value 7.8 is an outlier,0.0283
M,Control Vehicle,FPT_TotalCumulative_HFHSDiet_24h,12,2.39,0.434,highest value 7.3 is an outlier,0.0284
F,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Saccharin_OD,12,2.39,0.434,highest value 7.5 is an outlier,0.0284
M,HFHS 1472,SPT_TotalCumulative_WaterDiet_48h,12,2.38,0.441,lowest value 2 is an outlier,0.0309
F,HFHS 1472,FPT_TotalCumulative_HFHSDiet_36h,13,2.42,0.473,highest value 32.1 is an outlier,0.0324
M,HFHS FOS+GOS,Rears12h,13,2.41,0.474,highest value 3586 is an outlier,0.0325
F,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet,12,2.36,0.445,highest value 47.1 is an outlier,0.0327
F,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_48h,12,2.36,0.445,highest value 47.1 is an outlier,0.0327
F,Control Vehicle,FPT_TotalCumulative_CTDiet_36h,12,2.36,0.446,highest value 1.5 is an outlier,0.033
F,Control Vehicle,TimeThigmotaxis10.,12,2.36,0.446,lowest value 23.5 is an outlier,0.0331
F,HFHS 1472,FPT_PreferenceScore_ON,13,2.41,0.476,lowest value 0.91 is an outlier,0.0336
F,HFHS Vehicle,FPT_TotalCumulative_CTDiet_12h,12,2.36,0.449,highest value 2.1 is an outlier,0.0343
F,HFHS FOS+GOS,TimeThigmotaxis10.,12,2.35,0.451,lowest value 18.3 is an outlier,0.0349
M,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_36h,12,2.34,0.455,highest value 15 is an outlier,0.0365
M,Control Vehicle,SPT_Ratio_OD,12,2.34,0.458,highest value 5.66666667 is an outlier,0.038
M,Control Vehicle,Rearing_ExternalZone20.,12,2.33,0.46,highest value 4009 is an outlier,0.0391
M,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_36h,12,2.33,0.464,highest value 9 is an outlier,0.0406
M,Control Vehicle,Rearing_ExternalZone10.,12,2.32,0.467,highest value 2058 is an outlier,0.042
M,Control Vehicle,FPT_TotalCumulative_HFHS_OD,12,2.31,0.471,highest value 7.5 is an outlier,0.0441
M,HFHS FOS+GOS,FPT_PreferenceScore_Percentage_ON,13,2.36,0.499,lowest value 90.104167 is an outlier,0.0441
F,HFHS Vehicle,SPT_CumulativeDrinkIntake_Saccharin_OD,12,2.31,0.472,highest value 6 is an outlier,0.0448
M,HFHS 1472,FPT_TotalCumulative_CTDiet,12,2.3,0.477,highest value 1.4 is an outlier,0.0471
M,HFHS 1472,FPT_TotalCumulative_CTDiet_48h,12,2.3,0.477,highest value 1.4 is an outlier,0.0471
M,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_OD,13,2.34,0.505,highest value 0.5 is an outlier,0.0474
F,HFHS FOS+GOS,FPT_PreferenceScore_Percentage_ON,12,2.28,0.483,lowest value 95 is an outlier,0.0502
F,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_36h,12,2.28,0.483,highest value 43.4 is an outlier,0.0504
M,HFHS Vehicle,FPT_PreferenceScore_Percentage,12,2.28,0.485,lowest value 89.66 is an outlier,0.0515
F,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_ON,12,2.28,0.487,highest value 1.4 is an outlier,0.0525
F,HFHS 1472,FPT_TotalCumulative_HFHSDiet,13,2.31,0.517,highest value 33.8 is an outlier,0.0544
F,HFHS 1472,FPT_TotalCumulative_HFHSDiet_48h,13,2.31,0.517,highest value 33.8 is an outlier,0.0544
M,HFHS 1472,Rearing_ExternalZone20.,12,2.27,0.49,lowest value 0 is an outlier,0.0545
M,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_48h,12,2.26,0.492,highest value 21 is an outlier,0.0556
F,Control Vehicle,SPT_TotalCumulative_SaccharinDiet_48h,12,2.26,0.493,highest value 21 is an outlier,0.0563
F,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_48h,12,2.26,0.494,highest value 20 is an outlier,0.0569
M,HFHS FOS+GOS,FPT_PreferenceScore_ON,13,2.3,0.523,lowest value 0.9 is an outlier,0.0585
F,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,12,2.25,0.499,highest value 2911.111111 is an outlier,0.0599
F,HFHS FOS+GOS,AverageMealSize.g.,12,2.24,0.503,highest value 1.2 is an outlier,0.0627
F,HFHS 1472,FPT_TotalCumulative_CTDiet_12h,13,2.28,0.53,highest value 0.7 is an outlier,0.0631
F,HFHS Vehicle,TotalIntake.g.,12,2.24,0.504,highest value 14.1 is an outlier,0.0634
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet,12,2.22,0.51,highest value 64.5 is an outlier,0.0672
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_48h,12,2.22,0.51,highest value 64.5 is an outlier,0.0672
F,Control Vehicle,FPT_TotalCumulative_CTDiet,12,2.21,0.514,highest value 1.5 is an outlier,0.0703
F,Control Vehicle,FPT_TotalCumulative_CTDiet_48h,12,2.21,0.514,highest value 1.5 is an outlier,0.0703
M,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Saccharin_ON,13,2.25,0.544,highest value 14 is an outlier,0.0732
M,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_12h,12,2.2,0.518,highest value 6 is an outlier,0.0734
F,HFHS 1472,FPT_TotalCumulative_CTDiet_36h,13,2.24,0.545,highest value 0.9 is an outlier,0.0746
M,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_12h,13,2.24,0.546,lowest value 0.5 is an outlier,0.0754
M,HFHS 1472,SPT_TotalCumulative_WaterDiet_36h,12,2.2,0.522,lowest value 2 is an outlier,0.0763
F,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_ON,12,2.2,0.522,highest value 39.9 is an outlier,0.0766
M,Control Vehicle,SPT_TotalCumulative_WaterDiet_48h,12,2.19,0.523,highest value 15 is an outlier,0.0771
M,HFHS Vehicle,FPT_PreferenceScore,12,2.19,0.523,lowest value 0.9 is an outlier,0.0772
F,HFHS FOS+GOS,FirstMealSize,12,2.19,0.523,highest value 2.42 is an outlier,0.0772
F,Control Vehicle,FirstMealSize,12,2.19,0.525,highest value 1.36 is an outlier,0.0788
F,HFHS FOS+GOS,FPT_PreferenceScore_ON,12,2.18,0.527,lowest value 0.95 is an outlier,0.0805
F,Control Vehicle,AverageMealSize.g.,12,2.18,0.528,highest value 1 is an outlier,0.0815
M,HFHS 1472,SPT_CumulativeDrinkIntake_Saccharin_ON,12,2.17,0.531,highest value 8 is an outlier,0.084
F,Control Vehicle,Rearing_ExternalZone10.,12,2.17,0.532,highest value 3539 is an outlier,0.0848
F,HFHS 1472,DistanceThigmotaxis10.,13,2.21,0.557,highest value 45.4 is an outlier,0.0848
F,HFHS FOS+GOS,FaecalPellets,12,2.17,0.534,highest value 38 is an outlier,0.0864
M,HFHS Vehicle,FPT_PreferenceScore_OD,12,2.17,0.535,lowest value 0.75 is an outlier,0.0871
M,HFHS 1472,FPT_TotalCumulative_HFHS_OD,12,2.16,0.538,highest value 5.3 is an outlier,0.0898
M,Control Vehicle,DistanceThigmotaxis20.,12,2.16,0.539,highest value 80.1 is an outlier,0.0908
F,HFHS Vehicle,FPT_PreferenceScore_ON,12,2.16,0.539,lowest value 0.91 is an outlier,0.0912
M,Control Vehicle,CentreDistance_Percentage,12,2.15,0.54,lowest value 19.9 is an outlier,0.0918
F,HFHS FOS+GOS,DistanceThigmotaxis10.,12,2.15,0.54,highest value 41.5 is an outlier,0.0919
F,HFHS Vehicle,SPT_Ratio_ON,12,2.14,0.545,highest value 3.33333333 is an outlier,0.0972
M,HFHS 1472,CentreTime.,12,2.14,0.545,highest value 7.3 is an outlier,0.0972
M,HFHS Vehicle,FPT_PreferenceScore_Percentage_OD,12,2.13,0.548,lowest value 75.38462 is an outlier,0.0996
F,HFHS FOS+GOS,DistanceThigmotaxis20.,12,2.13,0.549,lowest value 55.7 is an outlier,0.101
M,Control Vehicle,SPT_TotalCumulative_WaterDiet_36h,12,2.13,0.551,highest value 13 is an outlier,0.102
F,HFHS FOS+GOS,CentreDistance_Percentage,12,2.13,0.55,highest value 44.4 is an outlier,0.102
M,HFHS Vehicle,FPT_PreferenceScore_ON,12,2.13,0.551,lowest value 0.89 is an outlier,0.103
F,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_36h,12,2.13,0.552,highest value 1.4 is an outlier,0.103
M,HFHS Vehicle,FPT_PreferenceScore_Percentage_ON,12,2.12,0.554,lowest value 89.285714 is an outlier,0.106
F,HFHS 1472,CentreDistance_Percentage,13,2.16,0.578,highest value 47.1 is an outlier,0.106
M,Control Vehicle,Rears12h,12,2.11,0.556,highest value 3382 is an outlier,0.108
F,HFHS 1472,Rearing_ExternalZone10.,13,2.16,0.58,highest value 2334 is an outlier,0.108
F,HFHS 1472,FPT_TotalCumulative_CTDiet,13,2.15,0.582,highest value 1 is an outlier,0.11
F,HFHS 1472,FPT_TotalCumulative_CTDiet_48h,13,2.15,0.582,highest value 1 is an outlier,0.11
F,HFHS Vehicle,NumberMeals,12,2.1,0.561,lowest value 2 is an outlier,0.113
F,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_12h,12,2.1,0.564,lowest value 0 is an outlier,0.116
M,HFHS Vehicle,DistanceThigmotaxis10.,12,2.08,0.57,highest value 42.1 is an outlier,0.123
M,HFHS 1472,SPT_CumulativeDrinkIntake_Water_OD,12,2.08,0.57,highest value 2.5 is an outlier,0.123
M,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,13,2.12,0.594,highest value 1747.826087 is an outlier,0.125
M,HFHS 1472,SPT_Ratio_ON,12,2.08,0.571,highest value 2.75 is an outlier,0.125
M,Control Vehicle,FPT_TotalCumulative_HFHSDiet,12,2.08,0.572,highest value 23.7 is an outlier,0.127
M,Control Vehicle,FPT_TotalCumulative_HFHSDiet_48h,12,2.08,0.572,highest value 23.7 is an outlier,0.127
M,HFHS FOS+GOS,NumberMeals,13,2.12,0.596,lowest value 2 is an outlier,0.127
F,HFHS 1472,SPT_TotalCumulative_WaterDiet_24h,13,2.11,0.596,lowest value 2 is an outlier,0.127
M,HFHS 1472,SPT_TotalCumulative_SaccharinDiet_12h,12,2.08,0.573,highest value 5 is an outlier,0.127
M,HFHS FOS+GOS,Rearing_ExternalZone20.,13,2.11,0.598,highest value 2633 is an outlier,0.129
F,Control Vehicle,TotalIntake.g.,12,2.06,0.577,highest value 3.9 is an outlier,0.133
M,Control Vehicle,SPT_Ratio_ON,12,2.06,0.578,highest value 3 is an outlier,0.134
F,Control Vehicle,FPT_TotalCumulative_CTDiet_OD,12,2.06,0.581,highest value 0.7 is an outlier,0.137
M,HFHS Vehicle,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,12,2.06,0.581,highest value 3869.230769 is an outlier,0.137
F,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_OD,12,2.05,0.582,highest value 0.8 is an outlier,0.139
M,Control Vehicle,FPT_TotalCumulative_HFHSDiet_ON,12,2.05,0.584,highest value 17.4 is an outlier,0.141
M,HFHS 1472,SPT_PreferenceScore_OD,12,2.04,0.585,highest value 1 is an outlier,0.143
F,HFHS Vehicle,FPT_PreferenceScore_Percentage_ON,12,2.04,0.587,lowest value 91.449814 is an outlier,0.145
M,Control Vehicle,LocomotorActivity12h,12,2.03,0.589,lowest value 8341.6 is an outlier,0.149
M,Control Vehicle,SPT_PreferenceScore_OD,12,2.03,0.59,lowest value 0.2 is an outlier,0.15
M,HFHS FOS+GOS,Rearing_Centre,13,2.07,0.614,highest value 643 is an outlier,0.153
F,Control Vehicle,DistanceThigmotaxis20.,12,2.02,0.594,lowest value 53.5 is an outlier,0.155
M,HFHS Vehicle,SPT_TotalCumulative_SaccharinDiet_24h,12,2.02,0.594,highest value 8.5 is an outlier,0.155
F,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_12h,12,2.02,0.594,highest value 1 is an outlier,0.156
F,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet,12,2.02,0.596,highest value 1.4 is an outlier,0.158
F,HFHS FOS+GOS,FPT_TotalCumulative_CTDiet_48h,12,2.02,0.596,highest value 1.4 is an outlier,0.158
M,HFHS FOS+GOS,TimeThigmotaxis10.,13,2.06,0.618,highest value 87.6 is an outlier,0.158
M,Control Vehicle,NumberMeals,12,2.01,0.598,highest value 10 is an outlier,0.161
F,Control Vehicle,CentreDistance_Percentage,12,2.01,0.599,highest value 46.4 is an outlier,0.162
M,Control Vehicle,FPT_TotalCumulative_CTDiet_24h,12,2.01,0.599,highest value 1 is an outlier,0.162
M,Control Vehicle,FPT_TotalCumulative_CTDiet,12,2.01,0.599,highest value 1.5 is an outlier,0.163
M,Control Vehicle,FPT_TotalCumulative_CTDiet_48h,12,2.01,0.599,highest value 1.5 is an outlier,0.163
M,Control Vehicle,FPT_TotalCumulative_CTDiet_36h,12,2,0.604,highest value 1.5 is an outlier,0.17
M,HFHS FOS+GOS,SPT_TotalCumulative_WaterDiet_48h,13,2.03,0.627,highest value 9 is an outlier,0.173
F,HFHS 1472,SPT_Ratio_ON,13,2.03,0.628,highest value 2.33333333 is an outlier,0.174
F,HFHS FOS+GOS,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,12,1.99,0.609,highest value 1266.666667 is an outlier,0.177
F,HFHS 1472,FPT_TotalCumulative_HFHSDiet_24h,13,2.02,0.632,highest value 16.5 is an outlier,0.182
F,HFHS Vehicle,FPT_PreferenceScore,12,1.97,0.615,lowest value 0.91 is an outlier,0.189
F,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_36h,12,1.96,0.618,highest value 16 is an outlier,0.193
