"order","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Verrucomicrobiales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0407659365702691,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Female","week 5","ran_pars","Residual","sd__Observation",0.0498810749900715,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Female","week 10","fixed",NA,"dietHFHS",0.0185858926719882,0.0232472143833745,0.79948902115688,18.8703835638072,0.433955920271617,0.433955920271617,"diet"
"Oscillospirales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00997008157762983,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Female","week 10","ran_pars","Residual","sd__Observation",0.0555295081097241,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","fixed",NA,"dietHFHS",0.10765203395791,0.0175386436829824,6.13799082208187,22.0000000000865,3.53645268885063e-06,7.07290537770126e-06,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","ran_pars","Residual","sd__Observation",0.0429607278037943,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Male","week 10","fixed",NA,"dietHFHS",0.0189169832351168,0.0178753740262622,1.05827062456564,21.4892343512481,0.301683638589346,0.301683638589346,"diet"
"Oscillospirales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0212996974381013,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Male","week 10","ran_pars","Residual","sd__Observation",0.042074845032584,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","fixed",NA,"dietHFHS",0.069715425692893,0.0139477767058718,4.99831816661818,10.1203726772857,0.000519501072073945,0.00103900214414789,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0195065505505246,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","ran_pars","Residual","sd__Observation",0.0194011060004204,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Male","week 10","fixed",NA,"dietHFHS",0.0151327117402631,0.0168443303308944,0.898386070742626,10.5440886070349,0.389034071996764,0.389034071996764,"diet"
"Erysipelotrichales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0222586563610504,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Male","week 10","ran_pars","Residual","sd__Observation",0.0257795861125051,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","fixed",NA,"dietHFHS",0.0196364344616714,0.0105898116757321,1.85427607807897,21.9999999998604,0.0771545975096996,0.0771545975096996,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","ran_pars","Residual","sd__Observation",0.0259396350777113,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Female","week 10","fixed",NA,"dietHFHS",0.00433610807643991,0.016895975861997,0.256635551083666,6.37949057966527,0.805537587454923,0.805537587454923,"diet"
"Erysipelotrichales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0222511364145063,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0190760525272695,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Female","week 10","ran_pars","Residual","sd__Observation",0.0136387417175201,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Male","week 10","fixed",NA,"dietHFHS",-0.00208852116038009,0.0126941754872519,-0.164525940458084,9.12030163962643,0.872905869468051,0.872905869468051,"diet"
"Coriobacteriales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0184076194999183,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00821854483894067,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Male","week 10","ran_pars","Residual","sd__Observation",0.015694876790595,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Female","week 5","fixed",NA,"dietHFHS",-0.0320658136652215,0.00806270691230372,-3.97705311801536,5.65914883207335,0.0082274593508067,0.0082274593508067,"diet"
"Erysipelotrichales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.007783512073096,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00345971535795372,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Female","week 5","ran_pars","Residual","sd__Observation",0.0145042796538139,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Female","week 10","fixed",NA,"dietHFHS",0.00912423131582554,0.0101243793960159,0.901213887679487,20.0389172380456,0.378178968621446,0.378178968621446,"diet"
"Verrucomicrobiales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.96033195632023e-07,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0086014452664821,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Female","week 10","ran_pars","Residual","sd__Observation",0.0228701871590265,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Male","week 5","fixed",NA,"dietHFHS",0.00261459104228454,0.00735676775830261,0.355399426512247,21.9999999992343,0.725675238457922,0.725675238457922,"diet"
"Erysipelotrichales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichales","Male","week 5","ran_pars","Residual","sd__Observation",0.0180203271640002,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Female","week 10","fixed",NA,"dietHFHS",0.00725265640435325,0.00640685908449355,1.13201434723401,19.6868654845873,0.271228928746489,0.542457857492978,"diet"
"Deferribacterales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00559859590889149,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Female","week 10","ran_pars","Residual","sd__Observation",0.0144235680884869,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Female","week 10","fixed",NA,"dietHFHS",0.00816241548428566,0.0070661022956448,1.15515104972604,21.9999999995677,0.26042132580283,0.26042132580283,"diet"
"Desulfovibrionales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Female","week 10","ran_pars","Residual","sd__Observation",0.0173083450946386,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Female","week 5","fixed",NA,"dietHFHS",0.000250555832634776,0.0120970447295308,0.0207121522848577,7.20643866922059,0.9840371280255,0.9840371280255,"diet"
"Deferribacterales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0172613658805167,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Female","week 5","ran_pars","Residual","sd__Observation",0.0107294312117793,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 10","fixed",NA,"dietHFHS",-0.0075597700858524,0.00634771438468026,-1.19094364171415,8.42887246172148,0.266131772398579,0.266131772398579,"diet"
"Peptostreptococcales-Tissierellales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00787874012732252,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00764783594763526,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 10","ran_pars","Residual","sd__Observation",0.00987329445531813,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Male","week 5","fixed",NA,"dietHFHS",0.00827303604583263,0.00441165725401238,1.87526717727411,6.4435763482787,0.106507081876825,0.21301416375365,"diet"
"Coriobacteriales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00119886008167908,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0018509305126132,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Male","week 5","ran_pars","Residual","sd__Observation",0.0105630819466373,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Male","week 10","fixed",NA,"dietHFHS",0.0055488265596795,0.00446470535188421,1.24282032572155,21.9999999999978,0.227017701280182,0.227017701280182,"diet"
"Desulfovibrionales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Male","week 10","ran_pars","Residual","sd__Observation",0.0109362499639895,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Female","week 5","fixed",NA,"dietHFHS",0.0090960879079943,0.00493663428160108,1.8425687197238,6.79641580975194,0.109204042090884,0.109204042090884,"diet"
"Desulfovibrionales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00454788701724327,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Female","week 5","ran_pars","Residual","sd__Observation",0.00947830020708348,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Female","week 5","fixed",NA,"dietHFHS",0.0111936086500782,0.0035376606580683,3.1641272954061,21.5378097879351,0.00457691263874179,0.00915382527748358,"diet"
"Clostridiales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00456274827690771,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Female","week 5","ran_pars","Residual","sd__Observation",0.00756653293438499,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Male","week 10","fixed",NA,"dietHFHS",-0.00220330175594285,0.00312078203071603,-0.706009498342737,19.4706494809823,0.488544616048735,0.488544616048735,"diet"
"Deferribacterales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",4.87671118048265e-10,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00900616205717476,NA,NA,NA,NA,NA,"diet"
"Deferribacterales","Male","week 10","ran_pars","Residual","sd__Observation",0.0071222828930145,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Male","week 5","fixed",NA,"dietHFHS",0.00339685190605543,0.00392912031180971,0.86453242366887,10.0366736503194,0.407483112941564,0.407483112941564,"diet"
"Desulfovibrionales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00321352620653023,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionales","Male","week 5","ran_pars","Residual","sd__Observation",0.00837045127607347,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Female","week 10","fixed",NA,"dietHFHS",0.00339337411286027,0.00294270311707839,1.15314864525964,5.58617952766098,0.295792105919495,0.484715316571601,"diet"
"Coriobacteriales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00389909141541754,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00317633183087432,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Female","week 10","ran_pars","Residual","sd__Observation",0.00236250901275185,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Male","week 5","fixed",NA,"dietHFHS",7.87083398908724e-05,0.002293172062737,0.0343229106833486,9.87662647722687,0.973303406410578,0.973303406410578,"diet"
"Burkholderiales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00276736002415443,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Male","week 5","ran_pars","Residual","sd__Observation",0.00391583772529043,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Female","week 10","fixed",NA,"dietHFHS",-0.000668492161463671,0.00251477961756567,-0.265825345805363,6.39086362179455,0.798742878018072,0.798742878018072,"diet"
"Burkholderiales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00354571915907112,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00316322820569477,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Female","week 10","ran_pars","Residual","sd__Observation",0.000457680813739669,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Male","week 5","fixed",NA,"dietHFHS",0.00255815255017432,0.00142446751208038,1.79586584353773,7.93047858719128,0.110575331142306,0.221150662284611,"diet"
"Clostridiales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00177817873949528,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.00185938923900069,NA,NA,NA,NA,NA,"diet"
"Clostridiales","Male","week 5","ran_pars","Residual","sd__Observation",0.00218721181610149,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Female","week 5","fixed",NA,"dietHFHS",0.00256978067510086,0.000985322069670156,2.6080616218828,5.79554914559577,0.0415375077463704,0.0415375077463704,"diet"
"Coriobacteriales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000520878717894199,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Coriobacteriales","Female","week 5","ran_pars","Residual","sd__Observation",0.002250805152783,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Male","week 10","fixed",NA,"dietHFHS",0.000961331834585419,0.000978275291957802,0.982680276695454,8.05627100806779,0.354351650830681,0.708703301661363,"diet"
"Staphylococcales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000605545925740436,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Staphylococcales","Male","week 10","ran_pars","Residual","sd__Observation",0.00222061872150308,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Male","week 10","fixed",NA,"dietHFHS",-0.00169808070538284,0.00079112984915385,-2.14639949080296,8.86050653517992,0.0608596564526655,0.121719312905331,"diet"
"Burkholderiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00108854736986417,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.000993757881425081,NA,NA,NA,NA,NA,"diet"
"Burkholderiales","Male","week 10","ran_pars","Residual","sd__Observation",0.00104333551805468,NA,NA,NA,NA,NA,"diet"
