"family","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Muribaculaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0464063710967225,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Female","week 5","fixed",NA,"dietHFHS",-0.120801375689611,0.031494242205769,-3.83566541783576,19.3825164457492,0.00108222908664112,0.00108222908664112,"diet"
"Lactobacillaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",1.95891525544027e-05,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0195251023636419,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0734668576787064,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Male","week 10","fixed",NA,"dietHFHS",0.0185206488212831,0.0318622771853568,0.581271976059351,21.8532089097696,0.567004858164791,0.567004858164791,"diet"
"Lachnospiraceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0203252389227414,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Male","week 10","ran_pars","Residual","sd__Observation",0.076688886880432,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Female","week 10","fixed",NA,"dietHFHS",0.00292548112759437,0.0321284234813898,0.0910558567957415,21.2692772290975,0.928300324117919,0.928300324117919,"diet"
"Lachnospiraceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.037057022918331,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0697556226632009,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Male","week 5","fixed",NA,"dietHFHS",0.0738398170097107,0.0330683131536997,2.23294779708016,10.0824983697217,0.0493850869158189,0.0987701738316378,"diet"
"Lachnospiraceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0436608621687437,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0506717430831068,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Male","week 5","fixed",NA,"dietHFHS",-0.176405103254213,0.0334484222953714,-5.27394391569328,8.07531846553755,0.000729125299143105,0.00145825059828621,"diet"
"Bifidobacteriaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0457096048946443,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0352812422810615,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0454165882355229,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Male","week 5","fixed",NA,"dietHFHS",-0.0777387115362601,0.0296118955272088,-2.62525279629027,4.23253284386713,0.0552263207272539,0.0552891405289699,"diet"
"Lactobacillaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0163914948249026,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0748773756938489,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0635632832681057,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Male","week 5","fixed",NA,"dietHFHS",0.0432664779729259,0.0385419483976707,1.12258149293617,8.29053510562166,0.293071494278939,0.293071494278939,"diet"
"Bacteroidaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0548692169537998,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0164986223035303,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0507753699913552,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Female","week 5","fixed",NA,"dietHFHS",-0.0847331892941932,0.0257367485272838,-3.29230357923288,5.95430969142774,0.0167518991106789,0.0167518991106789,"diet"
"Muribaculaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0266691201914451,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0453417343120909,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Male","week 5","fixed",NA,"dietHFHS",-0.0938605093358789,0.0311560738783346,-3.01259105054144,9.52636323796263,0.0137640798682027,0.0137640798682027,"diet"
"Muribaculaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0340027812861085,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0385059324395369,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0547339752068355,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Female","week 10","fixed",NA,"dietHFHS",-0.0236365038388292,0.0347349263610019,-0.680482336227629,6.32364784986061,0.520324045063079,0.520324045063079,"diet"
"Bifidobacteriaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0416280635180543,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0248199729633594,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0453287254259142,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0686338243687019,0.0504358029922374,-1.3608155377097,8.21751339298774,0.209717943148728,0.209717943148728,"diet"
"Bifidobacteriaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0810426026469766,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0241629136092762,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0418811013659939,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Female","week 5","fixed",NA,"dietHFHS",0.0230543252549998,0.0318193012602745,0.724539016945115,4.64696092638825,0.503549916901259,0.503549916901259,"diet"
"Bacteroidaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0296563652294411,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0657392392375472,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0457981169325091,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Female","week 5","fixed",NA,"dietHFHS",-0.105157982897049,0.0390422357007268,-2.69344162826953,6.78445345529173,0.031860844928103,0.063721689856206,"diet"
"Bifidobacteriaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0509421196289992,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0455770468281136,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0324571246719042,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Male","week 5","fixed",NA,"dietHFHS",0.00524792787582569,0.031752822946133,0.165274372131528,10.8341743223725,0.871771514639049,0.871771514639049,"diet"
"Rikenellaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0435304360713903,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0458248101551655,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Female","week 10","fixed",NA,"dietHFHS",0.04350430234471,0.0243567705655973,1.78612768993923,5.76456404333244,0.126331170578873,0.126331170578873,"diet"
"Rikenellaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0249655783904898,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0374736197293088,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0334572201956101,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Male","week 10","fixed",NA,"dietHFHS",0.00696049528208339,0.0350619512833916,0.198519906260337,8.44945223156738,0.84733220899861,0.84733220899861,"diet"
"Lactobacillaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0583779943303669,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0131564051555888,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0212711799121522,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Female","week 5","fixed",NA,"dietHFHS",0.00197996100296733,0.0281369043870356,0.070368828629194,5.79439400493834,0.946265572681153,0.946265572681153,"diet"
"Akkermansiaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206002739608891,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0407659365702691,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0498810749900715,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0135165287818423,0.0264689202612256,-0.510656598321567,8.19055269046494,0.623067570182373,0.623067570182373,"diet"
"Rikenellaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0353965040675526,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0211588725367919,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0381201059315791,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Female","week 5","fixed",NA,"dietHFHS",0.0751305293581881,0.021743448314989,3.45531804660425,6.84521648557871,0.0109938629908395,0.0219877259816789,"diet"
"Oscillospiraceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0251852472468364,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0114022038534158,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0316947639453705,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 5","fixed",NA,"dietHFHS",0.107025767480596,0.0175797572631837,6.08801167606187,22.0000000001211,3.97095839027602e-06,7.94191678055204e-06,"diet"
"Peptostreptococcaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0430614350967865,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Male","week 5","fixed",NA,"dietHFHS",0.0345898746396381,0.014782689528704,2.33989048964831,8.09578317114933,0.0470600366654454,0.0643165733272369,"diet"
"Oscillospiraceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0143648022802561,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0067046595825475,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0290670861596032,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Female","week 5","fixed",NA,"dietHFHS",0.00164137334469324,0.0150794279380654,0.108848515436708,21.1322580379784,0.914349600240623,0.914349600240623,"diet"
"Rikenellaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0383635789083275,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0301107550892692,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Female","week 10","fixed",NA,"dietHFHS",0.00988410939355442,0.0167756086889439,0.589195276119465,19.0756222368577,0.562643830339522,0.562643830339522,"diet"
"Oscillospiraceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00850148140903376,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0397099326691598,NA,NA,NA,NA,NA,"diet"
"Tannerellaceae","Female","week 10","fixed",NA,"dietHFHS",-0.0422447354356571,0.0122027115902183,-3.46191378230397,21.1620077046745,0.00231297253953067,0.00300148074923812,"diet"
"Tannerellaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Tannerellaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0134158146475706,NA,NA,NA,NA,NA,"diet"
"Tannerellaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0266658419082329,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Male","week 5","fixed",NA,"dietHFHS",0.0692633293622011,0.0140482273050142,4.9303964022193,10.1313644138799,0.000573056439235668,0.00114611287847134,"diet"
"Peptostreptococcaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0197987174902368,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",2.1405812617727e-07,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0192437626213699,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 10","fixed",NA,"dietHFHS",0.0149294772230295,0.0169214391240828,0.882281767735803,10.5385434140949,0.397302495130514,0.397302495130514,"diet"
"Erysipelotrichaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0224244195486314,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0257892871485769,NA,NA,NA,NA,NA,"diet"
"Tannerellaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0135028397052103,0.00924824334847946,-1.46004372899966,7.8985084938131,0.182878070381153,0.182878070381153,"diet"
"Tannerellaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0111937363781451,NA,NA,NA,NA,NA,"diet"
"Tannerellaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0168233318565548,NA,NA,NA,NA,NA,"diet"
"Tannerellaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0143943067125831,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Male","week 10","fixed",NA,"dietHFHS",0.00799508648041582,0.0117175491668362,0.682317297463877,21.8082212578147,0.502221959907708,0.502221959907708,"diet"
"Oscillospiraceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",4.05504644402389e-07,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00831800878088956,NA,NA,NA,NA,NA,"diet"
"Oscillospiraceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0281154839603505,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Female","week 10","fixed",NA,"dietHFHS",0.00428085312440114,0.0169001154287541,0.25330318851655,6.38019256222449,0.807999902564613,0.807999902564613,"diet"
"Erysipelotrichaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0222532667132249,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0190627537640302,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0136621877525877,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 10","fixed",NA,"dietHFHS",0.0195032047020162,0.0106565094656103,1.8301681957826,21.9999999998571,0.0808078842037838,0.0808078842037838,"diet"
"Peptostreptococcaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0261030106298844,NA,NA,NA,NA,NA,"diet"
"Atopobiaceae","Male","week 10","fixed",NA,"dietHFHS",-0.00243239839731543,0.0122136989445658,-0.199153295685062,9.06319186336441,0.846539080644269,0.846539080644269,"diet"
"Atopobiaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0174517899666533,NA,NA,NA,NA,NA,"diet"
"Atopobiaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00919242116325134,NA,NA,NA,NA,NA,"diet"
"Atopobiaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0154997121346679,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Female","week 5","fixed",NA,"dietHFHS",-0.0331689703671016,0.00793396559243135,-4.18062946967446,5.59375595365274,0.00677544463077436,0.00677544463077436,"diet"
"Erysipelotrichaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00730991228201907,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00421600463492177,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0144969327897712,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Female","week 10","fixed",NA,"dietHFHS",0.00912423131582554,0.0101243793960159,0.901213887679487,20.0389172380456,0.378178968621446,0.378178968621446,"diet"
"Akkermansiaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.96033195632023e-07,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0086014452664821,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0228701871590265,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 5","fixed",NA,"dietHFHS",-0.00160313215833215,0.00704279232972637,-0.227627350527662,21.9999999998526,0.822038114880714,0.822038114880714,"diet"
"Erysipelotrichaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0172512475722168,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Female","week 10","fixed",NA,"dietHFHS",0.00760354785048457,0.00743384984019144,1.0228277425481,22.0000000002962,0.317505541766011,0.317505541766011,"diet"
"Ruminococcaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0182091389329393,NA,NA,NA,NA,NA,"diet"
"Deferribacteraceae","Female","week 10","fixed",NA,"dietHFHS",0.00725265640435325,0.00640685908449355,1.13201434723401,19.6868654845873,0.271228928746489,0.542457857492978,"diet"
"Deferribacteraceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Deferribacteraceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00559859590889149,NA,NA,NA,NA,NA,"diet"
"Deferribacteraceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0144235680884869,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Male","week 10","fixed",NA,"dietHFHS",0.00664396621671874,0.00624508951625217,1.06387045364659,21.3040432157652,0.29929796079024,0.29929796079024,"diet"
"Ruminococcaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00889082310271375,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0145918642429443,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Female","week 5","fixed",NA,"dietHFHS",0.0185253028522011,0.009465215856762,1.95719813816676,6.06587807209383,0.0975528518007453,0.0975528518007453,"diet"
"Ruminococcaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0108887940477501,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00641500221224138,NA,NA,NA,NA,NA,"diet"
"Ruminococcaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0134137451910492,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionaceae","Female","week 10","fixed",NA,"dietHFHS",0.00816241548428566,0.0070661022956448,1.15515104972604,21.9999999995677,0.26042132580283,0.26042132580283,"diet"
"Desulfovibrionaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Desulfovibrionaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0173083450946386,NA,NA,NA,NA,NA,"diet"
"Deferribacteraceae","Female","week 5","fixed",NA,"dietHFHS",0.000250555832634776,0.0120970447295308,0.0207121522848577,7.20643866922059,0.9840371280255,0.9840371280255,"diet"
"Deferribacteraceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0172613658805167,NA,NA,NA,NA,NA,"diet"
"Deferribacteraceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Deferribacteraceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0107294312117793,NA,NA,NA,NA,NA,"diet"
"[Eubacterium] coprostanoligenes group","Female","week 5","fixed",NA,"dietHFHS",0.0113217919581186,0.00835388790265376,1.35527219063139,7.14761850091933,0.216598076599935,0.43319615319987,"diet"
