"order","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj"
"Bifidobacteriales","fixed",NA,"treatmentB. longum APC1472",-0.00486023007961631,0.0191214734254924,-0.254176546517422,14.4917635297009,0.80293027906642,0.80293027906642
"Bifidobacteriales","ran_pars","dam_cage","sd__(Intercept)",0.0233424359922116,NA,NA,NA,NA,NA
"Bifidobacteriales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Bifidobacteriales","ran_pars","Residual","sd__Observation",0.0646333135647563,NA,NA,NA,NA,NA
"Oscillospirales","fixed",NA,"dietHFHS",0.0416628491266597,0.0147553793442819,2.82357018105436,17.0785510343314,0.0116713512499488,0.0233427024998976
"Oscillospirales","fixed",NA,"treatmentFOS+GOS",-0.0835212113054186,0.0148851056752743,-5.61105934532637,14.2409189974107,6.023119620348e-05,0.00024092478481392
"Oscillospirales","fixed",NA,"treatmentB. longum APC1472",0.0197311562911702,0.0148411694337606,1.32948797459896,17.3075688064259,0.200945699035173,0.200945699035173
"Oscillospirales","ran_pars","dam_cage","sd__(Intercept)",0.0163259343913215,NA,NA,NA,NA,NA
"Oscillospirales","ran_pars","cohort","sd__(Intercept)",0.0166076528590491,NA,NA,NA,NA,NA
"Oscillospirales","ran_pars","Residual","sd__Observation",0.0513650849711264,NA,NA,NA,NA,NA
"Peptostreptococcales-Tissierellales","fixed",NA,"dietHFHS",0.0474071670367239,0.00722454387180268,6.5619598798138,17.714124914434,3.9426149617749e-06,1.18278448853247e-05
"Peptostreptococcales-Tissierellales","fixed",NA,"treatmentFOS+GOS",-0.0617978636341732,0.00719463288758191,-8.58943946130143,14.8757523193252,3.77779845363356e-07,1.51111938145342e-06
"Peptostreptococcales-Tissierellales","fixed",NA,"treatmentB. longum APC1472",-0.0202547789059788,0.00716167057168626,-2.82821985502326,16.9758875340593,0.0116068685845398,0.0116068685845398
"Peptostreptococcales-Tissierellales","ran_pars","dam_cage","sd__(Intercept)",0.00405420105227511,NA,NA,NA,NA,NA
"Peptostreptococcales-Tissierellales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Peptostreptococcales-Tissierellales","ran_pars","Residual","sd__Observation",0.0332449443984439,NA,NA,NA,NA,NA
"Erysipelotrichales","fixed",NA,"dietHFHS",-0.00380474583332709,0.00826283560736291,-0.460464907463091,13.9230488147327,0.652292058234725,1
"Erysipelotrichales","fixed",NA,"treatmentFOS+GOS",-0.00748587223290309,0.00851403210943741,-0.879239370568657,12.6054345645314,0.395723511429088,1
"Erysipelotrichales","fixed",NA,"treatmentB. longum APC1472",0.000667803136613016,0.00827722516743663,0.0806795904550494,14.18235881788,0.936824244590598,1
"Erysipelotrichales","ran_pars","dam_cage","sd__(Intercept)",0.0116373595567495,NA,NA,NA,NA,NA
"Erysipelotrichales","ran_pars","cohort","sd__(Intercept)",0.00579527418441583,NA,NA,NA,NA,NA
"Erysipelotrichales","ran_pars","Residual","sd__Observation",0.0216230121109133,NA,NA,NA,NA,NA
"Coriobacteriales","fixed",NA,"dietHFHS",0.00443702717095521,0.00518656032174275,0.855485504015947,15.5369239641092,0.405282425993778,0.810564851987555
"Coriobacteriales","fixed",NA,"treatmentFOS+GOS",0.000805334007152204,0.00538626476626698,0.149516231024483,14.5983956247774,0.883192318770547,0.883192318770547
"Coriobacteriales","fixed",NA,"treatmentB. longum APC1472",-0.00734802764636893,0.00520296934332857,-1.41227579128269,15.8292531993263,0.177226578474178,0.531679735422534
"Coriobacteriales","ran_pars","dam_cage","sd__(Intercept)",0.0079573127629393,NA,NA,NA,NA,NA
"Coriobacteriales","ran_pars","cohort","sd__(Intercept)",0.00413807301479605,NA,NA,NA,NA,NA
"Coriobacteriales","ran_pars","Residual","sd__Observation",0.0104361294837297,NA,NA,NA,NA,NA
"Deferribacterales","fixed",NA,"dietHFHS",0.000598792691195458,0.00329565860738391,0.181691359006016,17.5393987623265,0.857908210104141,1
"Deferribacterales","fixed",NA,"treatmentFOS+GOS",-0.00330848666370892,0.00337784889705825,-0.979465560638389,15.570604845061,0.342324279524615,1
"Deferribacterales","fixed",NA,"treatmentB. longum APC1472",-0.00106782532202785,0.00329543887118395,-0.324031294091101,17.8183979865365,0.749686982425518,1
"Deferribacterales","ran_pars","dam_cage","sd__(Intercept)",0.00432439781711941,NA,NA,NA,NA,NA
"Deferribacterales","ran_pars","cohort","sd__(Intercept)",0.00193262417921656,NA,NA,NA,NA,NA
"Deferribacterales","ran_pars","Residual","sd__Observation",0.00986041716397044,NA,NA,NA,NA,NA
"Desulfovibrionales","fixed",NA,"dietHFHS",0.00553181377117637,0.00250009464340775,2.21264174368864,175.162426846674,0.0282150056198352,0.0564300112396705
"Desulfovibrionales","fixed",NA,"treatmentFOS+GOS",-0.0138872281923355,0.00245339676628258,-5.66040861518605,189.495110257095,5.5179418081111e-08,2.20717672324444e-07
"Desulfovibrionales","fixed",NA,"treatmentB. longum APC1472",0.00151768279834688,0.00249369881721412,0.608607097164359,153.491153652731,0.543684522515258,0.543684522515258
"Desulfovibrionales","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Desulfovibrionales","ran_pars","cohort","sd__(Intercept)",0.00243083838850362,NA,NA,NA,NA,NA
"Desulfovibrionales","ran_pars","Residual","sd__Observation",0.0117678254615535,NA,NA,NA,NA,NA
"Clostridiales","fixed",NA,"dietHFHS",0.00327866159267397,0.00139327458085255,2.35320563349957,18.1510077256139,0.0300800406659935,0.120320162663974
"Clostridiales","fixed",NA,"treatmentFOS+GOS",-0.00313485484407138,0.00141989162844694,-2.20781275223113,15.9638521127555,0.0422371466946986,0.126711440084096
"Clostridiales","fixed",NA,"treatmentB. longum APC1472",-0.000790693219171421,0.00139091336952013,-0.568470500390843,18.0282727324297,0.576728785729492,1
"Clostridiales","ran_pars","dam_cage","sd__(Intercept)",0.00167506284117422,NA,NA,NA,NA,NA
"Clostridiales","ran_pars","cohort","sd__(Intercept)",0.000715521767867952,NA,NA,NA,NA,NA
"Clostridiales","ran_pars","Residual","sd__Observation",0.00465912316563696,NA,NA,NA,NA,NA
"Burkholderiales","fixed",NA,"dietHFHS",-0.000864873616655115,0.00137488355542763,-0.629052266456204,20.2218553528872,0.536357010174987,1
"Burkholderiales","fixed",NA,"treatmentFOS+GOS",0.0089482527671183,0.00140940704020784,6.34894853781824,18.586292053206,4.78332773829868e-06,1.91333109531947e-05
"Burkholderiales","fixed",NA,"treatmentB. longum APC1472",0.00010014022726801,0.00137209432434289,0.0729834862599321,19.8997218505682,0.9425478645123,1
"Burkholderiales","ran_pars","dam_cage","sd__(Intercept)",0.00185513037398661,NA,NA,NA,NA,NA
"Burkholderiales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Burkholderiales","ran_pars","Residual","sd__Observation",0.00404677579608861,NA,NA,NA,NA,NA
"Staphylococcales","fixed",NA,"dietHFHS",0.000391998359685304,0.000175507188658462,2.23351739995184,191.999999996519,0.026669006714313,0.0800070201429389
"Staphylococcales","fixed",NA,"treatmentFOS+GOS",-0.00047703383806464,0.000173743252546339,-2.74562511679359,191.999999998354,0.00661345467651172,0.0264538187060469
"Staphylococcales","fixed",NA,"treatmentB. longum APC1472",-0.000383974684776828,0.000173743252546339,-2.21001206751565,191.999999998354,0.0282860569144774,0.0800070201429389
"Staphylococcales","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Staphylococcales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Staphylococcales","ran_pars","Residual","sd__Observation",0.000859806116807229,NA,NA,NA,NA,NA
"Christensenellales","fixed",NA,"dietHFHS",0.000703914758993755,0.000228254667695336,3.08390082928472,19.5764284096046,0.00595914235045946,0.0119182847009189
"Christensenellales","fixed",NA,"treatmentFOS+GOS",-0.00191632410162597,0.000229564531759032,-8.34764885909066,16.7005250561746,2.32121122544189e-07,9.28484490176757e-07
"Christensenellales","fixed",NA,"treatmentB. longum APC1472",-0.0001773867384409,0.000226923341384836,-0.781703360079087,18.979284817877,0.44403196294255,0.44403196294255
"Christensenellales","ran_pars","dam_cage","sd__(Intercept)",0.000203688706015188,NA,NA,NA,NA,NA
"Christensenellales","ran_pars","cohort","sd__(Intercept)",7.67816815844148e-05,NA,NA,NA,NA,NA
"Christensenellales","ran_pars","Residual","sd__Observation",0.000932871523520294,NA,NA,NA,NA,NA
"Enterobacterales","fixed",NA,"dietHFHS",-0.000638517585905909,0.000293844173466577,-2.17298025131179,17.2426777775464,0.0439976988135194,0.131993096440558
"Enterobacterales","fixed",NA,"treatmentFOS+GOS",-6.55149758368362e-05,0.000301589581843191,-0.217232224788521,15.3651691501724,0.830885624337764,1
"Enterobacterales","fixed",NA,"treatmentB. longum APC1472",-1.73567998548372e-05,0.000295198433208739,-0.0587970595445675,17.6411435954639,0.953774667182126,1
"Enterobacterales","ran_pars","dam_cage","sd__(Intercept)",0.000402350716951919,NA,NA,NA,NA,NA
"Enterobacterales","ran_pars","cohort","sd__(Intercept)",0.00027818144367686,NA,NA,NA,NA,NA
"Enterobacterales","ran_pars","Residual","sd__Observation",0.000799112051672994,NA,NA,NA,NA,NA
"Peptococcales","fixed",NA,"dietHFHS",0.000806842393563216,0.000222683033806466,3.62327735423456,16.5012522892498,0.00218796049823215,0.00656388149469645
"Peptococcales","fixed",NA,"treatmentFOS+GOS",-0.000804079126171302,0.000220601853568291,-3.64493368104174,12.5449094590907,0.00313312716806767,0.00656388149469645
"Peptococcales","fixed",NA,"treatmentB. longum APC1472",0.000259989232338971,0.000221573788246724,1.17337539966357,16.2427308547801,0.257565211410947,0.257565211410947
"Peptococcales","ran_pars","dam_cage","sd__(Intercept)",0.000108124766411422,NA,NA,NA,NA,NA
"Peptococcales","ran_pars","cohort","sd__(Intercept)",0.000165753738129822,NA,NA,NA,NA,NA
"Peptococcales","ran_pars","Residual","sd__Observation",0.00101122867596753,NA,NA,NA,NA,NA
"Rickettsiales","fixed",NA,"dietHFHS",6.57663908904173e-05,6.34213854351845e-05,1.03697499572332,17.2174097773907,0.314092826341828,0.628185652683656
"Rickettsiales","fixed",NA,"treatmentFOS+GOS",-0.000253574893070581,6.31310485189249e-05,-4.016643141838,13.5065719790686,0.00136279487524518,0.00457458632408841
"Rickettsiales","fixed",NA,"treatmentB. longum APC1472",1.55605186906171e-05,6.3495662840461e-05,0.245064276747758,17.169028835905,0.809311803099582,0.809311803099582
"Rickettsiales","ran_pars","dam_cage","sd__(Intercept)",4.96729651442644e-05,NA,NA,NA,NA,NA
"Rickettsiales","ran_pars","cohort","sd__(Intercept)",6.35744045549129e-05,NA,NA,NA,NA,NA
"Rickettsiales","ran_pars","Residual","sd__Observation",0.000261997223148649,NA,NA,NA,NA,NA
"Saccharimonadales","fixed",NA,"dietHFHS",-0.00010629628756685,5.99767592658941e-05,-1.77229128195486,19.5325312925457,0.0919449010295442,0.275834703088633
"Saccharimonadales","fixed",NA,"treatmentFOS+GOS",8.55782403776223e-05,6.11202706384618e-05,1.40016134555153,17.5956646118033,0.178851097354181,0.357702194708361
"Saccharimonadales","fixed",NA,"treatmentB. longum APC1472",7.42021886014209e-07,5.978313649011e-05,0.0124118928778011,19.0861305684035,0.990225820153204,0.990225820153204
"Saccharimonadales","ran_pars","dam_cage","sd__(Intercept)",7.38270869075181e-05,NA,NA,NA,NA,NA
"Saccharimonadales","ran_pars","cohort","sd__(Intercept)",1.31208583358326e-08,NA,NA,NA,NA,NA
"Saccharimonadales","ran_pars","Residual","sd__Observation",0.000199537453943435,NA,NA,NA,NA,NA
"Monoglobales","fixed",NA,"dietHFHS",-2.39701424835643e-05,2.22404014276824e-05,-1.07777472279475,17.5527429547849,0.295723984940021,0.591447969880042
"Monoglobales","fixed",NA,"treatmentFOS+GOS",-4.81518085680117e-05,2.21787661511882e-05,-2.1710769769504,14.1777664698337,0.0473771092948817,0.142131327884645
"Monoglobales","fixed",NA,"treatmentB. longum APC1472",9.31165788871364e-06,2.22013747786496e-05,0.419418075752154,17.0457718044396,0.680148887348781,0.680148887348781
"Monoglobales","ran_pars","dam_cage","sd__(Intercept)",1.70414819105258e-05,NA,NA,NA,NA,NA
"Monoglobales","ran_pars","cohort","sd__(Intercept)",1.85834037384069e-05,NA,NA,NA,NA,NA
"Monoglobales","ran_pars","Residual","sd__Observation",9.31432948937777e-05,NA,NA,NA,NA,NA
"Acholeplasmatales","fixed",NA,"dietHFHS",-6.29724741823568e-06,7.65523607632342e-06,-0.822606560457645,17.3126378372824,0.421917918937965,0.866357222908347
"Acholeplasmatales","fixed",NA,"treatmentFOS+GOS",9.8890367202509e-06,7.65970730270463e-06,1.29104629321268,14.7248093502393,0.216589305727087,0.866357222908347
"Acholeplasmatales","fixed",NA,"treatmentB. longum APC1472",7.30132157385293e-06,7.59726833885776e-06,0.96104563485126,16.6230559421804,0.350301188719344,0.866357222908347
"Acholeplasmatales","ran_pars","dam_cage","sd__(Intercept)",5.74677006974544e-06,NA,NA,NA,NA,NA
"Acholeplasmatales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Acholeplasmatales","ran_pars","Residual","sd__Observation",3.33647349836637e-05,NA,NA,NA,NA,NA
"Pseudomonadales","fixed",NA,"dietHFHS",-1.6244526473073e-22,2.37418626584061e-06,-6.84214490951975e-17,19.0040272280617,1,1
"Pseudomonadales","fixed",NA,"treatmentFOS+GOS",3.39347687085165e-06,2.38136266780986e-06,1.42501472653581,15.9834720763778,0.173387494470794,0.693549977883177
"Pseudomonadales","fixed",NA,"treatmentB. longum APC1472",8.63867253233986e-07,2.35761487990115e-06,0.366415762217367,18.187283749169,0.718282767548941,1
"Pseudomonadales","ran_pars","dam_cage","sd__(Intercept)",1.97346704656897e-06,NA,NA,NA,NA,NA
"Pseudomonadales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Pseudomonadales","ran_pars","Residual","sd__Observation",1.0043848973646e-05,NA,NA,NA,NA,NA
"Chlamydiales","fixed",NA,"dietHFHS",-4.21959417987413e-07,1.91515140608488e-06,-0.220326923838371,138.950149740762,0.825939942500681,1
"Chlamydiales","fixed",NA,"treatmentFOS+GOS",-5.51675007282969e-07,1.87521056895195e-06,-0.294193631593757,140.725860393301,0.769043437022289,1
"Chlamydiales","fixed",NA,"treatmentB. longum APC1472",4.36127652652134e-07,1.91462350001398e-06,0.227787683922687,127.937546354174,0.820174939903716,1
"Chlamydiales","ran_pars","dam_cage","sd__(Intercept)",1.3700239952423e-13,NA,NA,NA,NA,NA
"Chlamydiales","ran_pars","cohort","sd__(Intercept)",2.09761587591572e-06,NA,NA,NA,NA,NA
"Chlamydiales","ran_pars","Residual","sd__Observation",8.97199921619328e-06,NA,NA,NA,NA,NA
"Reyranellales","fixed",NA,"dietHFHS",-2.07423754357591e-06,1.40270827019005e-06,-1.47873765889673,10.8273631605873,0.167703886996027,0.503111660988081
"Reyranellales","fixed",NA,"treatmentFOS+GOS",1.80310950324786e-15,1.41145111734774e-06,1.27748632672174e-09,10.201970368752,0.999999999005349,1
"Reyranellales","fixed",NA,"treatmentB. longum APC1472",-6.16598004106801e-15,1.39401346165174e-06,-4.42318543592977e-09,10.6713964717565,0.999999996552409,1
"Reyranellales","ran_pars","dam_cage","sd__(Intercept)",1.29905997897059e-06,NA,NA,NA,NA,NA
"Reyranellales","ran_pars","cohort","sd__(Intercept)",1.54322858908385e-10,NA,NA,NA,NA,NA
"Reyranellales","ran_pars","Residual","sd__Observation",5.69357590550233e-06,NA,NA,NA,NA,NA
"Obscuribacterales","fixed",NA,"dietHFHS",-4.47270460059637e-08,7.15888525617622e-07,-0.0624776685272,13.7162363645868,0.951083754771915,1
"Obscuribacterales","fixed",NA,"treatmentFOS+GOS",2.23919385243333e-08,6.92131160190374e-07,0.0323521607063237,13.7470417909407,0.974656239894053,1
"Obscuribacterales","fixed",NA,"treatmentB. longum APC1472",3.21206187439765e-07,7.28868480689642e-07,0.440691559519552,13.5766395193689,0.666372081634097,1
"Obscuribacterales","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Obscuribacterales","ran_pars","cohort","sd__(Intercept)",1.62089570319771e-06,NA,NA,NA,NA,NA
"Obscuribacterales","ran_pars","Residual","sd__Observation",3.2791850946262e-06,NA,NA,NA,NA,NA
"Corynebacteriales","fixed",NA,"dietHFHS",-8.22509113400977e-07,8.02369259745217e-07,-1.02510048012327,15.4289982642141,0.321120110393562,0.963360331180687
"Corynebacteriales","fixed",NA,"treatmentFOS+GOS",3.6802144810618e-22,7.94305042414063e-07,4.6332508098864e-16,15.4289982642141,1,1
"Corynebacteriales","fixed",NA,"treatmentB. longum APC1472",7.6675356540408e-07,7.94305042414063e-07,0.965313732711241,15.4289982642141,0.349275421356125,0.963360331180687
"Corynebacteriales","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Corynebacteriales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Corynebacteriales","ran_pars","Residual","sd__Observation",3.93079054334088e-06,NA,NA,NA,NA,NA
"Micrococcales","fixed",NA,"dietHFHS",-1.00869913323266e-08,5.75884805942911e-07,-0.0175156406771506,11.7592985048658,0.986318931208882,1
"Micrococcales","fixed",NA,"treatmentFOS+GOS",-1.67894367912876e-08,5.70196376860679e-07,-0.0294450078475155,11.744666036553,0.977004110545707,1
"Micrococcales","fixed",NA,"treatmentB. longum APC1472",7.96211634905102e-07,5.70126445776089e-07,1.39655271353226,11.7435198954917,0.188383130179274,0.753532520717094
"Micrococcales","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Micrococcales","ran_pars","cohort","sd__(Intercept)",1.13361992660688e-07,NA,NA,NA,NA,NA
"Micrococcales","ran_pars","Residual","sd__Observation",2.81234362135135e-06,NA,NA,NA,NA,NA
"Eubacteriales","fixed",NA,"dietHFHS",7.23467551033401e-07,5.06211922207061e-07,1.429179202021,10.609274441571,0.181729739166338,0.710796120680892
"Eubacteriales","fixed",NA,"treatmentFOS+GOS",-7.23467551033402e-07,5.01124236074126e-07,-1.44368900754261,10.609274441571,0.177699030170223,0.710796120680892
"Eubacteriales","fixed",NA,"treatmentB. longum APC1472",-7.23467551033402e-07,5.01124236074126e-07,-1.44368900754261,10.609274441571,0.177699030170223,0.710796120680892
"Eubacteriales","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Eubacteriales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Eubacteriales","ran_pars","Residual","sd__Observation",2.4799218222415e-06,NA,NA,NA,NA,NA
"Rhizobiales","fixed",NA,"dietHFHS",2.9915231927005e-07,2.19706120645713e-07,1.36160211827893,1.2985297873229,0.362524571658391,1
"Rhizobiales","fixed",NA,"treatmentFOS+GOS",-2.99128474754754e-07,2.25825074814513e-07,-1.32460257126207,1.28783380059963,0.372785411444869,1
"Rhizobiales","fixed",NA,"treatmentB. longum APC1472",-2.99154947528877e-07,2.19365324084841e-07,-1.36372942613837,1.2968094971837,0.362207829867355,1
"Rhizobiales","ran_pars","dam_cage","sd__(Intercept)",3.07441732894297e-07,NA,NA,NA,NA,NA
"Rhizobiales","ran_pars","cohort","sd__(Intercept)",3.05208039338301e-09,NA,NA,NA,NA,NA
"Rhizobiales","ran_pars","Residual","sd__Observation",6.05774549199087e-07,NA,NA,NA,NA,NA
