"genus","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj"
"Akkermansia","fixed",NA,"treatmentB. longum APC1472",-0.00244048738281906,0.0356610904719006,-0.0684355792412479,18.1703782076361,0.94618638137025,0.94618638137025
"Akkermansia","ran_pars","dam_cage","sd__(Intercept)",0.0520534037718226,NA,NA,NA,NA,NA
"Akkermansia","ran_pars","cohort","sd__(Intercept)",0.0406486856523365,NA,NA,NA,NA,NA
"Akkermansia","ran_pars","Residual","sd__Observation",0.0800650869984307,NA,NA,NA,NA,NA
"Bifidobacterium","fixed",NA,"dietHFHS",-0.0873974468256325,0.0191855393290894,-4.55538128621276,14.8514643546032,0.000388440472561242,0.00116532141768373
"Bifidobacterium","fixed",NA,"treatmentFOS+GOS",0.0890039817534653,0.0195380476093319,4.55541840889744,13.3126277046735,0.000508726670477419,0.00116532141768373
"Bifidobacterium","fixed",NA,"treatmentB. longum APC1472",-0.00486479018865544,0.0191207599611403,-0.25442452070641,14.4912288620527,0.802742528904065,0.802742528904065
"Bifidobacterium","ran_pars","dam_cage","sd__(Intercept)",0.0233405768945341,NA,NA,NA,NA,NA
"Bifidobacterium","ran_pars","cohort","sd__(Intercept)",1.05709154070433e-06,NA,NA,NA,NA,NA
"Bifidobacterium","ran_pars","Residual","sd__Observation",0.0646338317882098,NA,NA,NA,NA,NA
"Alistipes","fixed",NA,"dietHFHS",0.0138823425774314,0.0158851596399897,0.873918984262746,18.2475954403695,0.393518765146967,0.787037530293933
"Alistipes","fixed",NA,"treatmentFOS+GOS",-0.0725503790913106,0.0163795708762342,-4.42932111222625,17.1041881599904,0.000362383785424241,0.00108715135627272
"Alistipes","fixed",NA,"treatmentB. longum APC1472",0.0049573400951209,0.015868528111791,0.312400750731088,18.0730217676438,0.758311743552784,0.787037530293933
"Alistipes","ran_pars","dam_cage","sd__(Intercept)",0.0231417596644039,NA,NA,NA,NA,NA
"Alistipes","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Alistipes","ran_pars","Residual","sd__Observation",0.0400410154998538,NA,NA,NA,NA,NA
"Lachnospiraceae NK4A136 group","fixed",NA,"dietHFHS",-0.000377517425129217,0.0103028778278722,-0.0366419394111349,18.0266923543376,0.971173222689641,0.971173222689641
"Lachnospiraceae NK4A136 group","fixed",NA,"treatmentFOS+GOS",0.0166794118476132,0.0104287022407605,1.59937559463744,15.021710082932,0.130554200282666,0.261108400565332
"Lachnospiraceae NK4A136 group","fixed",NA,"treatmentB. longum APC1472",0.0195975847061418,0.0103252295402008,1.89802896195572,18.3463997568543,0.0735406776810927,0.220622033043278
"Lachnospiraceae NK4A136 group","ran_pars","dam_cage","sd__(Intercept)",0.0115667032914936,NA,NA,NA,NA,NA
"Lachnospiraceae NK4A136 group","ran_pars","cohort","sd__(Intercept)",0.00921442361125801,NA,NA,NA,NA,NA
"Lachnospiraceae NK4A136 group","ran_pars","Residual","sd__Observation",0.0358433048690104,NA,NA,NA,NA,NA
"A2","fixed",NA,"dietHFHS",-0.000503266187634885,0.00599999566700436,-0.0838777585128078,18.5779222303291,0.934050860757007,1
"A2","fixed",NA,"treatmentFOS+GOS",0.0233125775977724,0.00597606873795265,3.90098886408712,14.7944491090477,0.00145242346175731,0.00580969384702923
"A2","fixed",NA,"treatmentB. longum APC1472",-0.00123629520495513,0.00605204168584949,-0.204277377640303,18.8967498060717,0.840320755176522,1
"A2","ran_pars","dam_cage","sd__(Intercept)",0.00545215906135447,NA,NA,NA,NA,NA
"A2","ran_pars","cohort","sd__(Intercept)",0.0082248832416881,NA,NA,NA,NA,NA
"A2","ran_pars","Residual","sd__Observation",0.0232147730765666,NA,NA,NA,NA,NA
"Romboutsia","fixed",NA,"dietHFHS",0.0470712843294645,0.00724231108068639,6.49948390852652,17.822514303934,4.32377505330134e-06,1.2971325159904e-05
"Romboutsia","fixed",NA,"treatmentFOS+GOS",-0.0610955557657197,0.00721396205086277,-8.46907085661933,14.9774287410459,4.28645761165176e-07,1.7145830446607e-06
"Romboutsia","fixed",NA,"treatmentB. longum APC1472",-0.0202130031306781,0.00717966858884422,-2.81531144238121,17.0813323723136,0.0118752290247386,0.0118752290247386
"Romboutsia","ran_pars","dam_cage","sd__(Intercept)",0.00414053020281112,NA,NA,NA,NA,NA
"Romboutsia","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Romboutsia","ran_pars","Residual","sd__Observation",0.0332433997305722,NA,NA,NA,NA,NA
"Lactobacillus","fixed",NA,"dietHFHS",-0.0243134804399958,0.00536536565470316,-4.53156075554387,18.8164639863446,0.000233352087029249,0.000700056261087748
"Lactobacillus","fixed",NA,"treatmentFOS+GOS",0.0107817128768296,0.0052908563222127,2.03780110821845,14.5065725538137,0.0602367275603785,0.120473455120757
"Lactobacillus","fixed",NA,"treatmentB. longum APC1472",0.0030592716981526,0.00536029629802309,0.57072809562428,18.3187217124765,0.575118942669869,0.575118942669869
"Lactobacillus","ran_pars","dam_cage","sd__(Intercept)",0.00251624264386514,NA,NA,NA,NA,NA
"Lactobacillus","ran_pars","cohort","sd__(Intercept)",0.00534329639703598,NA,NA,NA,NA,NA
"Lactobacillus","ran_pars","Residual","sd__Observation",0.0241641147851014,NA,NA,NA,NA,NA
"Rikenellaceae RC9 gut group","fixed",NA,"dietHFHS",0.00381152653629598,0.00680572811787423,0.560046841466613,18.3983439259975,0.582203067169657,1
"Rikenellaceae RC9 gut group","fixed",NA,"treatmentFOS+GOS",-0.0265361182547039,0.00697538901691211,-3.80424922400257,16.8855172341643,0.00143261741372913,0.00429785224118738
"Rikenellaceae RC9 gut group","fixed",NA,"treatmentB. longum APC1472",0.00388808346919836,0.00679169579609018,0.572476092265003,18.0984169181839,0.574042985843036,1
"Rikenellaceae RC9 gut group","ran_pars","dam_cage","sd__(Intercept)",0.00915996118636244,NA,NA,NA,NA,NA
"Rikenellaceae RC9 gut group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Rikenellaceae RC9 gut group","ran_pars","Residual","sd__Observation",0.0201133534219805,NA,NA,NA,NA,NA
"Lachnoclostridium","fixed",NA,"dietHFHS",0.00709012891695113,0.00434408813817042,1.63213284156275,20.5142545592399,0.117908155860678,0.235816311721355
"Lachnoclostridium","fixed",NA,"treatmentFOS+GOS",0.0320771599149689,0.00433049444134548,7.40727423841297,16.542405383204,1.21041309707223e-06,4.84165238828891e-06
"Lachnoclostridium","fixed",NA,"treatmentB. longum APC1472",-0.00166310058330923,0.00432254069461613,-0.384750705847762,19.8746677915958,0.704508394595412,0.704508394595412
"Lachnoclostridium","ran_pars","dam_cage","sd__(Intercept)",0.00294933321232365,NA,NA,NA,NA,NA
"Lachnoclostridium","ran_pars","cohort","sd__(Intercept)",0.00283873597478505,NA,NA,NA,NA,NA
"Lachnoclostridium","ran_pars","Residual","sd__Observation",0.0188953316627301,NA,NA,NA,NA,NA
"Colidextribacter","fixed",NA,"dietHFHS",0.0140807714282773,0.00470185834606011,2.99472472199767,18.9651650066158,0.00745886996186581,0.0149177399237316
"Colidextribacter","fixed",NA,"treatmentFOS+GOS",-0.0200304888413724,0.00472375674359002,-4.24037263742529,15.4213736593715,0.000672657833604102,0.00269063133441641
"Colidextribacter","fixed",NA,"treatmentB. longum APC1472",0.00861220587929756,0.00472354083912952,1.82325212644603,19.3130340629715,0.0837827040341474,0.0837827040341474
"Colidextribacter","ran_pars","dam_cage","sd__(Intercept)",0.00479916419118488,NA,NA,NA,NA,NA
"Colidextribacter","ran_pars","cohort","sd__(Intercept)",0.00513839627879319,NA,NA,NA,NA,NA
"Colidextribacter","ran_pars","Residual","sd__Observation",0.0173154498475961,NA,NA,NA,NA,NA
"Faecalibaculum","fixed",NA,"dietHFHS",0.000183879624776189,0.00545811837553106,0.0336891969218784,9.70808740218555,0.973807568401766,1
"Faecalibaculum","fixed",NA,"treatmentFOS+GOS",-0.0100198482297953,0.0055622386469143,-1.80140566880457,8.43872310689948,0.10737229650434,0.322116889513021
"Faecalibaculum","fixed",NA,"treatmentB. longum APC1472",-0.0021638556012498,0.00545087572713358,-0.396973937688301,9.69514715909428,0.699984505928462,1
"Faecalibaculum","ran_pars","dam_cage","sd__(Intercept)",0.00656973887546152,NA,NA,NA,NA,NA
"Faecalibaculum","ran_pars","cohort","sd__(Intercept)",0.00302776992974449,NA,NA,NA,NA,NA
"Faecalibaculum","ran_pars","Residual","sd__Observation",0.0181840397415033,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-006","fixed",NA,"dietHFHS",0.000848082439853124,0.00200066028321584,0.423901272478867,20.2538109789393,0.676105928719668,1
"Lachnospiraceae UCG-006","fixed",NA,"treatmentFOS+GOS",0.0118838500305721,0.00198653386738578,5.98220358871145,16.5846208688435,1.64763362347024e-05,6.59053449388097e-05
"Lachnospiraceae UCG-006","fixed",NA,"treatmentB. longum APC1472",7.67308913706357e-05,0.00198308354834707,0.0386927174271564,19.3523045596367,0.969531753556236,1
"Lachnospiraceae UCG-006","ran_pars","dam_cage","sd__(Intercept)",0.00079788935985652,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-006","ran_pars","cohort","sd__(Intercept)",0.000770596999619783,NA,NA,NA,NA,NA
"Lachnospiraceae UCG-006","ran_pars","Residual","sd__Observation",0.00940098903886762,NA,NA,NA,NA,NA
"Coriobacteriaceae UCG-002","fixed",NA,"dietHFHS",0.002263667300898,0.00480298977942454,0.47130379302394,15.8074988753352,0.64386274954478,1
"Coriobacteriaceae UCG-002","fixed",NA,"treatmentFOS+GOS",0.00315603025968068,0.00498505028899966,0.633098981297136,14.8290574288446,0.536311083747612,1
"Coriobacteriaceae UCG-002","fixed",NA,"treatmentB. longum APC1472",-0.00619782917811799,0.00481674997171658,-1.28672428805957,16.0754644821604,0.21641198751466,0.86564795005864
"Coriobacteriaceae UCG-002","ran_pars","dam_cage","sd__(Intercept)",0.00732132393440957,NA,NA,NA,NA,NA
"Coriobacteriaceae UCG-002","ran_pars","cohort","sd__(Intercept)",0.00369943964214351,NA,NA,NA,NA,NA
"Coriobacteriaceae UCG-002","ran_pars","Residual","sd__Observation",0.00995077459586188,NA,NA,NA,NA,NA
"Turicibacter","fixed",NA,"dietHFHS",-0.00700392674840687,0.00337557837526339,-2.07488198162792,19.3585687632784,0.0515614144787144,0.154684243436143
"Turicibacter","fixed",NA,"treatmentFOS+GOS",-0.00160149554865329,0.0034579885997565,-0.463129215858625,17.7444136127063,0.648901376444444,0.691833834218979
"Turicibacter","fixed",NA,"treatmentB. longum APC1472",0.00325544657511805,0.00336829640214487,0.966496467782658,19.0334078757163,0.345916917109489,0.691833834218979
"Turicibacter","ran_pars","dam_cage","sd__(Intercept)",0.00451058184330634,NA,NA,NA,NA,NA
"Turicibacter","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Turicibacter","ran_pars","Residual","sd__Observation",0.0100907290787707,NA,NA,NA,NA,NA
"Mucispirillum","fixed",NA,"dietHFHS",0.000598792691195458,0.00329565860738391,0.181691359006016,17.5393987623265,0.857908210104141,1
"Mucispirillum","fixed",NA,"treatmentFOS+GOS",-0.00330848666370892,0.00337784889705825,-0.979465560638389,15.570604845061,0.342324279524615,1
"Mucispirillum","fixed",NA,"treatmentB. longum APC1472",-0.00106782532202785,0.00329543887118395,-0.324031294091101,17.8183979865365,0.749686982425518,1
"Mucispirillum","ran_pars","dam_cage","sd__(Intercept)",0.00432439781711941,NA,NA,NA,NA,NA
"Mucispirillum","ran_pars","cohort","sd__(Intercept)",0.00193262417921656,NA,NA,NA,NA,NA
"Mucispirillum","ran_pars","Residual","sd__Observation",0.00986041716397044,NA,NA,NA,NA,NA
"Dubosiella","fixed",NA,"dietHFHS",0.000752516580250017,0.00207329273116766,0.362957226896853,18.8108623717973,0.720683308106022,1
"Dubosiella","fixed",NA,"treatmentFOS+GOS",0.00678629187928966,0.00214628705805824,3.1618752271792,17.5504495428607,0.00552553796418675,0.022102151856747
"Dubosiella","fixed",NA,"treatmentB. longum APC1472",-0.000845016139372512,0.00207620593276981,-0.407000156407991,18.9987162105336,0.688556698944382,1
"Dubosiella","ran_pars","dam_cage","sd__(Intercept)",0.00306793285364119,NA,NA,NA,NA,NA
"Dubosiella","ran_pars","cohort","sd__(Intercept)",0.00130541397855846,NA,NA,NA,NA,NA
"Dubosiella","ran_pars","Residual","sd__Observation",0.00482038534301718,NA,NA,NA,NA,NA
"Intestinimonas","fixed",NA,"dietHFHS",0.00971322912417807,0.00184978715247572,5.25099826278828,184.903992405393,4.13027936271624e-07,1.23908380881487e-06
"Intestinimonas","fixed",NA,"treatmentFOS+GOS",-0.0149571485723617,0.00180433333712236,-8.28957059354459,191.927668570695,1.94348229724708e-14,7.77392918898833e-14
"Intestinimonas","fixed",NA,"treatmentB. longum APC1472",0.00252467735023067,0.0018575823329748,1.35912002682948,163.025510454302,0.175985767449727,0.175985767449727
"Intestinimonas","ran_pars","dam_cage","sd__(Intercept)",3.29819450129954e-11,NA,NA,NA,NA,NA
"Intestinimonas","ran_pars","cohort","sd__(Intercept)",0.00246222118859254,NA,NA,NA,NA,NA
"Intestinimonas","ran_pars","Residual","sd__Observation",0.00860209623079797,NA,NA,NA,NA,NA
"Roseburia","fixed",NA,"dietHFHS",0.00322165657736215,0.0017060710709003,1.88834840020004,16.8073756888361,0.0763648577623525,0.0763648577623525
"Roseburia","fixed",NA,"treatmentFOS+GOS",-0.00483199820728247,0.00171040167580523,-2.82506634297328,13.8816896935952,0.013588122464898,0.0271762449297961
"Roseburia","fixed",NA,"treatmentB. longum APC1472",0.00502714909469033,0.00169551010015778,2.96497738009494,16.396274385879,0.00893839076496003,0.0268151722948801
"Roseburia","ran_pars","dam_cage","sd__(Intercept)",0.00136706935260375,NA,NA,NA,NA,NA
"Roseburia","ran_pars","cohort","sd__(Intercept)",0.000705642278475063,NA,NA,NA,NA,NA
"Roseburia","ran_pars","Residual","sd__Observation",0.00721201465043573,NA,NA,NA,NA,NA
"Odoribacter","fixed",NA,"dietHFHS",-0.00481158842215931,0.00284697370943431,-1.69007125222641,17.8561070758392,0.108396665700541,0.325189997101623
"Odoribacter","fixed",NA,"treatmentFOS+GOS",-0.000367523483234942,0.0029595914553892,-0.124180478547371,17.5991827467398,0.902579707729514,0.902579707729514
"Odoribacter","fixed",NA,"treatmentB. longum APC1472",-0.00258983495270824,0.00284663298480809,-0.909788851084657,17.87673898611,0.375037683435591,0.750075366871182
"Odoribacter","ran_pars","dam_cage","sd__(Intercept)",0.00450848893870293,NA,NA,NA,NA,NA
"Odoribacter","ran_pars","cohort","sd__(Intercept)",0.000483102265294332,NA,NA,NA,NA,NA
"Odoribacter","ran_pars","Residual","sd__Observation",0.00529529783142083,NA,NA,NA,NA,NA
"Clostridium sensu stricto 1","fixed",NA,"dietHFHS",0.00327894843973067,0.00139181037917877,2.35588733119335,18.1499510105007,0.0299163252850156,0.119665301140062
"Clostridium sensu stricto 1","fixed",NA,"treatmentFOS+GOS",-0.00313489610610243,0.00141828773765767,-2.21033858142197,15.9570551588162,0.0420372692758086,0.126111807827426
"Clostridium sensu stricto 1","fixed",NA,"treatmentB. longum APC1472",-0.000793519056557076,0.00138943570933377,-0.57110886903689,18.0261588041909,0.574977707112181,1
"Clostridium sensu stricto 1","ran_pars","dam_cage","sd__(Intercept)",0.00167115308695533,NA,NA,NA,NA,NA
"Clostridium sensu stricto 1","ran_pars","cohort","sd__(Intercept)",0.000715355307900566,NA,NA,NA,NA,NA
"Clostridium sensu stricto 1","ran_pars","Residual","sd__Observation",0.00466015549696843,NA,NA,NA,NA,NA
"Desulfovibrio","fixed",NA,"dietHFHS",0.00275060339159107,0.00170046066519856,1.61756366841329,175.840458072497,0.107549113845066,0.215098227690132
"Desulfovibrio","fixed",NA,"treatmentFOS+GOS",-0.00788452168440933,0.00166831827065087,-4.7260296929634,189.716325129086,4.4503432319908e-06,1.33510296959724e-05
"Desulfovibrio","fixed",NA,"treatmentB. longum APC1472",0.000773955563303353,0.00169649086467967,0.456209685190078,154.290526961082,0.648880709470227,0.648880709470227
"Desulfovibrio","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Desulfovibrio","ran_pars","cohort","sd__(Intercept)",0.00167436627262272,NA,NA,NA,NA,NA
"Desulfovibrio","ran_pars","Residual","sd__Observation",0.00799995207804724,NA,NA,NA,NA,NA
"Acetatifactor","fixed",NA,"dietHFHS",0.00424281701309102,0.00136490980325463,3.10849625592403,172.262146029676,0.00220043524494252,0.00880174097977008
"Acetatifactor","fixed",NA,"treatmentFOS+GOS",-0.00130860540466601,0.00134032681879458,-0.976333075124842,188.587338200004,0.330150155357608,0.990450466072824
"Acetatifactor","fixed",NA,"treatmentB. longum APC1472",0.000131498022570464,0.00136052629067667,0.0966523201143451,149.655040448924,0.9231318185966,0.990450466072824
"Acetatifactor","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Acetatifactor","ran_pars","cohort","sd__(Intercept)",0.00127707903160068,NA,NA,NA,NA,NA
"Acetatifactor","ran_pars","Residual","sd__Observation",0.00643442726704345,NA,NA,NA,NA,NA
"Incertae Sedis","fixed",NA,"dietHFHS",-9.22314840102308e-05,0.00162770315764247,-0.0566635774939558,16.3298088220018,0.955500736206578,1
"Incertae Sedis","fixed",NA,"treatmentFOS+GOS",-0.00625579566693402,0.00158841322600802,-3.93839308594528,12.2802886094799,0.0018859686974946,0.00565790609248379
"Incertae Sedis","fixed",NA,"treatmentB. longum APC1472",-0.000607707523142634,0.00164758214235443,-0.368848088068135,16.2988378951927,0.716988489847218,1
"Incertae Sedis","ran_pars","dam_cage","sd__(Intercept)",0.000723955973200376,NA,NA,NA,NA,NA
"Incertae Sedis","ran_pars","cohort","sd__(Intercept)",0.00283374442984743,NA,NA,NA,NA,NA
"Incertae Sedis","ran_pars","Residual","sd__Observation",0.00721657912251164,NA,NA,NA,NA,NA
"Rikenella","fixed",NA,"dietHFHS",-0.000933452832772091,0.00199252129898245,-0.468478220658817,18.0328223607362,0.645055834121369,1
"Rikenella","fixed",NA,"treatmentFOS+GOS",-0.00727724664801367,0.0020426348229074,-3.56267628770548,16.1026098728806,0.00257386282516609,0.00772158847549826
"Rikenella","fixed",NA,"treatmentB. longum APC1472",0.000191119576151359,0.00199682466449951,0.0957117465289634,18.1509774745843,0.924798315092497,1
"Rikenella","ran_pars","dam_cage","sd__(Intercept)",0.00265212923691755,NA,NA,NA,NA,NA
"Rikenella","ran_pars","cohort","sd__(Intercept)",0.00155228712281452,NA,NA,NA,NA,NA
"Rikenella","ran_pars","Residual","sd__Observation",0.00575512878868396,NA,NA,NA,NA,NA
"HT002","fixed",NA,"dietHFHS",-0.00373297797220135,0.00141092989801161,-2.64575722540301,17.7245138435712,0.0165813465351815,0.0497440396055444
"HT002","fixed",NA,"treatmentFOS+GOS",0.00141984439374228,0.0014228441692671,0.997891704805338,14.6825420247553,0.334494532218348,0.668989064436696
"HT002","fixed",NA,"treatmentB. longum APC1472",-0.000902595662856475,0.00141774233812871,-0.636642948850507,18.0158649779552,0.532363999493563,0.668989064436696
"HT002","ran_pars","dam_cage","sd__(Intercept)",0.00153734286838017,NA,NA,NA,NA,NA
"HT002","ran_pars","cohort","sd__(Intercept)",0.00151624693553727,NA,NA,NA,NA,NA
"HT002","ran_pars","Residual","sd__Observation",0.00497962885473548,NA,NA,NA,NA,NA
"Parabacteroides","fixed",NA,"dietHFHS",0.00227967603362989,0.00133744555157083,1.70450006802326,17.2442435736683,0.106237431766171,0.183036853333545
"Parabacteroides","fixed",NA,"treatmentFOS+GOS",-0.00674325498356978,0.00135099528768884,-4.9913238373359,15.0835410805796,0.000158432338219006,0.000475297014657019
"Parabacteroides","fixed",NA,"treatmentB. longum APC1472",-0.00238225658272744,0.00133041135140929,-1.79061654893725,16.6818467440875,0.0915184266667723,0.183036853333545
"Parabacteroides","ran_pars","dam_cage","sd__(Intercept)",0.00137624429128569,NA,NA,NA,NA,NA
"Parabacteroides","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Parabacteroides","ran_pars","Residual","sd__Observation",0.00514309755795437,NA,NA,NA,NA,NA
"Parasutterella","fixed",NA,"dietHFHS",-0.000864807042139283,0.00137504331350385,-0.628930764323053,20.2218688189439,0.536434965063092,1
"Parasutterella","fixed",NA,"treatmentFOS+GOS",0.00894659630976011,0.00140957855230327,6.34700087848331,18.586652087457,4.80200048428355e-06,1.92080019371342e-05
"Parasutterella","fixed",NA,"treatmentB. longum APC1472",0.000100091343500832,0.00137225517168982,0.0729393086400817,19.8998630052048,0.942582570993154,1
"Parasutterella","ran_pars","dam_cage","sd__(Intercept)",0.00185549035698598,NA,NA,NA,NA,NA
"Parasutterella","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Parasutterella","ran_pars","Residual","sd__Observation",0.00404673196302298,NA,NA,NA,NA,NA
"Bilophila","fixed",NA,"dietHFHS",0.0028258610038585,0.0011703374575131,2.41456939254366,164.891136560003,0.0168479338831744,0.0336958677663489
"Bilophila","fixed",NA,"treatmentFOS+GOS",-0.00597877749040931,0.00115093569303515,-5.19471029232101,185.673626532624,5.36338374232188e-07,2.14535349692875e-06
"Bilophila","fixed",NA,"treatmentB. longum APC1472",0.000680692941569966,0.00116501993586177,0.584275788436579,141.01492813595,0.559968323300587,0.559968323300587
"Bilophila","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Bilophila","ran_pars","cohort","sd__(Intercept)",0.00100352890883893,NA,NA,NA,NA,NA
"Bilophila","ran_pars","Residual","sd__Observation",0.00553631352882867,NA,NA,NA,NA,NA
"Dorea","fixed",NA,"dietHFHS",0.00153198889410742,0.000957000721953105,1.600823133112,13.4889558643648,0.132567303426818,0.530269213707274
"Dorea","fixed",NA,"treatmentFOS+GOS",0.000215169907313356,0.00097238371063924,0.221280863674592,11.9912464125877,0.828597031960537,1
"Dorea","fixed",NA,"treatmentB. longum APC1472",0.00114529872257438,0.000953286005111296,1.20142194098472,13.1240162855625,0.250820554126887,0.75246166238066
"Dorea","ran_pars","dam_cage","sd__(Intercept)",0.00111730695468706,NA,NA,NA,NA,NA
"Dorea","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Dorea","ran_pars","Residual","sd__Observation",0.00335514183485235,NA,NA,NA,NA,NA
"Oscillibacter","fixed",NA,"dietHFHS",0.00225090638534252,0.000918093770727888,2.45171730503949,15.7768661536255,0.0262662711574217,0.0787988134722651
"Oscillibacter","fixed",NA,"treatmentFOS+GOS",-0.00203692151540933,0.000909060815227494,-2.24068784099949,12.5491945457721,0.0438305137687855,0.087661027537571
"Oscillibacter","fixed",NA,"treatmentB. longum APC1472",0.00130479130668223,0.000934666108371448,1.39599723900943,16.0853030490187,0.181685969007838,0.181685969007838
"Oscillibacter","ran_pars","dam_cage","sd__(Intercept)",0.00082090943641572,NA,NA,NA,NA,NA
"Oscillibacter","ran_pars","cohort","sd__(Intercept)",0.00183274461934827,NA,NA,NA,NA,NA
"Oscillibacter","ran_pars","Residual","sd__Observation",0.00353099084290012,NA,NA,NA,NA,NA
"GCA-900066575","fixed",NA,"dietHFHS",0.0015098714626459,0.000652376975278437,2.31441562143035,20.556668318624,0.0310874677552205,0.0621749355104409
"GCA-900066575","fixed",NA,"treatmentFOS+GOS",-0.00188025343311206,0.000635271414140386,-2.95976395483861,15.451384616937,0.00949502469842499,0.028485074095275
"GCA-900066575","fixed",NA,"treatmentB. longum APC1472",0.000137898827749228,0.000660274090960073,0.208850884257348,20.4418237595313,0.836631750530452,0.836631750530452
"GCA-900066575","ran_pars","dam_cage","sd__(Intercept)",0.000230053919534969,NA,NA,NA,NA,NA
"GCA-900066575","ran_pars","cohort","sd__(Intercept)",0.00114523152062145,NA,NA,NA,NA,NA
"GCA-900066575","ran_pars","Residual","sd__Observation",0.00293480485493164,NA,NA,NA,NA,NA
"Erysipelatoclostridium","fixed",NA,"dietHFHS",0.0019889460832995,0.000831783956196999,2.39118110956739,13.7096950886644,0.0317303721977025,0.12692148879081
"Erysipelatoclostridium","fixed",NA,"treatmentFOS+GOS",-0.00170902058271378,0.000857795726256869,-1.99233981984426,12.4617912900076,0.0687060478880916,0.206118143664275
"Erysipelatoclostridium","fixed",NA,"treatmentB. longum APC1472",0.000240586419823079,0.000832904413245213,0.288852377292241,13.9870563917809,0.776931163244685,1
"Erysipelatoclostridium","ran_pars","dam_cage","sd__(Intercept)",0.00118089475962741,NA,NA,NA,NA,NA
"Erysipelatoclostridium","ran_pars","cohort","sd__(Intercept)",0.000545501595580872,NA,NA,NA,NA,NA
"Erysipelatoclostridium","ran_pars","Residual","sd__Observation",0.00214671414889552,NA,NA,NA,NA,NA
"Enterorhabdus","fixed",NA,"dietHFHS",0.00190110337439932,0.000727374464610957,2.61365151911972,19.1063807915038,0.0170294506123214,0.0340589012246429
"Enterorhabdus","fixed",NA,"treatmentFOS+GOS",-0.00307337601098411,0.000739099346786351,-4.15827185390886,17.0469411905063,0.00065487107276043,0.00196461321828129
"Enterorhabdus","fixed",NA,"treatmentB. longum APC1472",-0.000942092758624958,0.000724558437684131,-1.3002301948703,18.6062432668205,0.209398531963086,0.209398531963086
"Enterorhabdus","ran_pars","dam_cage","sd__(Intercept)",0.000849934782742564,NA,NA,NA,NA,NA
"Enterorhabdus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Enterorhabdus","ran_pars","Residual","sd__Observation",0.00254815839761933,NA,NA,NA,NA,NA
"Limosilactobacillus","fixed",NA,"dietHFHS",-0.00209538210092816,0.000699061435992253,-2.9974219618537,17.4743408992021,0.00791708640657029,0.0237512592197109
