"genus","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Akkermansia","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206002739608891,NA,NA,NA,NA,NA,"diet"
"Akkermansia","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0407659365702691,NA,NA,NA,NA,NA,"diet"
"Akkermansia","Female","week 5","ran_pars","Residual","sd__Observation",0.0498810749900715,NA,NA,NA,NA,NA,"diet"
"Ligilactobacillus","Female","week 5","fixed",NA,"dietHFHS",-0.0573444303368939,0.0265451155965164,-2.16026297299001,4.36980858373566,0.0910635245835983,0.0910635245835983,"diet"
"Ligilactobacillus","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0198825330492503,NA,NA,NA,NA,NA,"diet"
"Ligilactobacillus","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0308416011514907,NA,NA,NA,NA,NA,"diet"
"Ligilactobacillus","Female","week 5","ran_pars","Residual","sd__Observation",0.0483884777434204,NA,NA,NA,NA,NA,"diet"
"Alistipes","Female","week 10","fixed",NA,"dietHFHS",0.0309371581272708,0.0172931956173001,1.78897867183791,4.88033777286602,0.13507425564039,0.13507425564039,"diet"
"Alistipes","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0132989729396212,NA,NA,NA,NA,NA,"diet"
"Alistipes","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0382369069383454,NA,NA,NA,NA,NA,"diet"
"Alistipes","Female","week 10","ran_pars","Residual","sd__Observation",0.0282382366994118,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Female","week 5","fixed",NA,"dietHFHS",0.107023211635378,0.0175809082240548,6.08746773895018,21.9999999997558,3.97597595489429e-06,7.95195190978859e-06,"diet"
"Romboutsia","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Female","week 5","ran_pars","Residual","sd__Observation",0.0430642543636347,NA,NA,NA,NA,NA,"diet"
"Alistipes","Male","week 10","fixed",NA,"dietHFHS",0.000865909983933709,0.0216281026311138,0.0400363359977784,7.98983317376425,0.969046501999176,0.969046501999176,"diet"
"Alistipes","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0311884754253055,NA,NA,NA,NA,NA,"diet"
"Alistipes","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0113623266038613,NA,NA,NA,NA,NA,"diet"
"Alistipes","Male","week 10","ran_pars","Residual","sd__Observation",0.0274324670032737,NA,NA,NA,NA,NA,"diet"
"Alistipes","Male","week 5","fixed",NA,"dietHFHS",-0.00206819083677306,0.0220545790489129,-0.0937760286508397,10.1979805446697,0.927103970342192,0.927103970342192,"diet"
"Alistipes","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0357884113537172,NA,NA,NA,NA,NA,"diet"
"Alistipes","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Alistipes","Male","week 5","ran_pars","Residual","sd__Observation",0.0179422125211153,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Female","week 5","fixed",NA,"dietHFHS",-0.0578419370154987,0.015116755151732,-3.82634609312115,5.35934360350861,0.0107781704135805,0.021556340827161,"diet"
"Lactobacillus","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00945042679802519,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0168855195750882,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Female","week 5","ran_pars","Residual","sd__Observation",0.029405270288975,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","fixed",NA,"dietHFHS",0.0306435406694804,0.0138384462893245,2.21437725224398,7.01130014571418,0.0623318979946367,0.124663795989273,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0151266598645234,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0154256235050567,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","ran_pars","Residual","sd__Observation",0.024430597889635,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Male","week 5","fixed",NA,"dietHFHS",0.0692633293622011,0.0140482273050142,4.9303964022193,10.1313644138799,0.000573056439235668,0.00114611287847134,"diet"
"Romboutsia","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0197987174902368,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Male","week 5","ran_pars","cohort","sd__(Intercept)",2.1405812617727e-07,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Male","week 5","ran_pars","Residual","sd__Observation",0.0192437626213699,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","fixed",NA,"dietHFHS",0.0133612438356125,0.0131516643460141,1.01593558686448,8.30966297936343,0.338324893517801,0.338324893517801,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00820260731304105,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0125348306454444,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","ran_pars","Residual","sd__Observation",0.0288472713127707,NA,NA,NA,NA,NA,"diet"
"Alistipes","Female","week 5","fixed",NA,"dietHFHS",0.00827770730346821,0.0126683397018584,0.653416903736322,21.9982233766205,0.520259459148095,0.520259459148095,"diet"
"Alistipes","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Alistipes","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0205043030629899,NA,NA,NA,NA,NA,"diet"
"Alistipes","Female","week 5","ran_pars","Residual","sd__Observation",0.0263386075193462,NA,NA,NA,NA,NA,"diet"
"Faecalibaculum","Male","week 10","fixed",NA,"dietHFHS",0.0155127431079288,0.0169959698886562,0.912730677305017,10.5512841333887,0.381766119590243,0.381766119590243,"diet"
"Faecalibaculum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0226271289184437,NA,NA,NA,NA,NA,"diet"
"Faecalibaculum","Male","week 10","ran_pars","cohort","sd__(Intercept)",3.99560518570514e-07,NA,NA,NA,NA,NA,"diet"
"Faecalibaculum","Male","week 10","ran_pars","Residual","sd__Observation",0.0257251422198029,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Male","week 5","fixed",NA,"dietHFHS",-0.0155763068097856,0.0130280962062802,-1.19559347453061,8.22586089718934,0.265181843533443,0.265181843533443,"diet"
"Lactobacillus","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0198026015574196,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0119106549644177,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Male","week 5","ran_pars","Residual","sd__Observation",0.0134371260852625,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Female","week 10","fixed",NA,"dietHFHS",0.0195306100804925,0.0106583223455144,1.83242816715071,21.9999999998429,0.0804591421570782,0.0804591421570782,"diet"
"Romboutsia","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Female","week 10","ran_pars","Residual","sd__Observation",0.0261074512606143,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","fixed",NA,"dietHFHS",0.00467953022401099,0.00920105385169967,0.508586331460994,18.8965931010531,0.616928659545303,0.616928659545303,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00617359371845883,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","ran_pars","Residual","sd__Observation",0.0213137898944055,NA,NA,NA,NA,NA,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","fixed",NA,"dietHFHS",-0.00241476390884584,0.0122143838127151,-0.197698381340538,9.06308446954195,0.847644098419697,0.847644098419697,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0174522912511011,NA,NA,NA,NA,NA,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00920640268444894,NA,NA,NA,NA,NA,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","ran_pars","Residual","sd__Observation",0.015499922813561,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Female","week 5","fixed",NA,"dietHFHS",0.0316909159199699,0.0079730158817013,3.9747714528831,9.10000812439903,0.00316091657978978,0.00632183315957957,"diet"
"Colidextribacter","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0091911532797723,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Female","week 5","ran_pars","Residual","sd__Observation",0.0125060450924569,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Female","week 10","fixed",NA,"dietHFHS",-7.29068744155253e-05,0.00853661547222611,-0.00854048945424893,18.8051736248953,0.993275711005394,0.993275711005394,"diet"
"Lactobacillus","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00535412762832549,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Female","week 10","ran_pars","Residual","sd__Observation",0.0198939040941334,NA,NA,NA,NA,NA,"diet"
"Akkermansia","Female","week 10","fixed",NA,"dietHFHS",0.00912423131582554,0.0101243793960159,0.901213887679487,20.0389172380456,0.378178968621446,0.378178968621446,"diet"
"Akkermansia","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.96033195632023e-07,NA,NA,NA,NA,NA,"diet"
"Akkermansia","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0086014452664821,NA,NA,NA,NA,NA,"diet"
"Akkermansia","Female","week 10","ran_pars","Residual","sd__Observation",0.0228701871590265,NA,NA,NA,NA,NA,"diet"
"Turicibacter","Female","week 10","fixed",NA,"dietHFHS",-0.00674131143382507,0.0136628057331254,-0.493406081115592,7.94521563418242,0.635073576028117,0.635073576028117,"diet"
"Turicibacter","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0206232984707184,NA,NA,NA,NA,NA,"diet"
"Turicibacter","Female","week 10","ran_pars","cohort","sd__(Intercept)",3.40276123110097e-07,NA,NA,NA,NA,NA,"diet"
"Turicibacter","Female","week 10","ran_pars","Residual","sd__Observation",0.00691967819387263,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","fixed",NA,"dietHFHS",0.00444864319317048,0.00815081078559887,0.5457914936549,5.30805421891347,0.607359126171477,0.607359126171477,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00744348283583981,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.011068966729911,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","ran_pars","Residual","sd__Observation",0.0129003091046897,NA,NA,NA,NA,NA,"diet"
"Faecalibaculum","Male","week 5","fixed",NA,"dietHFHS",0.00539974768352194,0.00605186673213439,0.892244975397458,21.999999999717,0.38191741837078,0.38191741837078,"diet"
"Faecalibaculum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Faecalibaculum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Faecalibaculum","Male","week 5","ran_pars","Residual","sd__Observation",0.0148239854850539,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 10","fixed",NA,"dietHFHS",-0.0356083359556647,0.00650547740433558,-5.47359305743396,20.9715220000516,1.98597057773001e-05,3.97194115546002e-05,"diet"
"Lachnospiraceae NK4A136 group","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00776335674225212,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 10","ran_pars","Residual","sd__Observation",0.0140596210913323,NA,NA,NA,NA,NA,"diet"
"Turicibacter","Female","week 5","fixed",NA,"dietHFHS",-0.0146863607064406,0.00635568498258982,-2.3107439633448,4.34235037886487,0.0767762097734241,0.0767762097734241,"diet"
"Turicibacter","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0050011469316356,NA,NA,NA,NA,NA,"diet"
"Turicibacter","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Turicibacter","Female","week 5","ran_pars","Residual","sd__Observation",0.0131705311992471,NA,NA,NA,NA,NA,"diet"
"Mucispirillum","Female","week 10","fixed",NA,"dietHFHS",0.00725265640435325,0.00640685908449355,1.13201434723401,19.6868654845873,0.271228928746489,0.542457857492978,"diet"
"Mucispirillum","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Mucispirillum","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00559859590889149,NA,NA,NA,NA,NA,"diet"
"Mucispirillum","Female","week 10","ran_pars","Residual","sd__Observation",0.0144235680884869,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Male","week 10","fixed",NA,"dietHFHS",-0.023517547060009,0.00877160214958524,-2.68110051720951,6.94203584937225,0.0317345213423064,0.0489301829053576,"diet"
"Lactobacillus","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0117874870296933,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00865005136604392,NA,NA,NA,NA,NA,"diet"
"Lactobacillus","Male","week 10","ran_pars","Residual","sd__Observation",0.0123448923929747,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 10","fixed",NA,"dietHFHS",-0.00424828254832845,0.00851329516954452,-0.499017414963628,8.32971910914456,0.63067819099816,0.63067819099816,"diet"
"Lachnospiraceae NK4A136 group","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00667779680824707,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 10","ran_pars","Residual","sd__Observation",0.0183631401916625,NA,NA,NA,NA,NA,"diet"
"Mucispirillum","Female","week 5","fixed",NA,"dietHFHS",0.000250555832634776,0.0120970447295308,0.0207121522848577,7.20643866922059,0.9840371280255,0.9840371280255,"diet"
"Mucispirillum","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0172613658805167,NA,NA,NA,NA,NA,"diet"
"Mucispirillum","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Mucispirillum","Female","week 5","ran_pars","Residual","sd__Observation",0.0107294312117793,NA,NA,NA,NA,NA,"diet"
"A2","Male","week 10","fixed",NA,"dietHFHS",-0.00102343936512052,0.00502588465434787,-0.203633675562997,21.2980619168708,0.840572869415971,0.840572869415971,"diet"
"A2","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"A2","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00666261094405178,NA,NA,NA,NA,NA,"diet"
"A2","Male","week 10","ran_pars","Residual","sd__Observation",0.0117777246002801,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 10","fixed",NA,"dietHFHS",-0.012331341165793,0.00594814428275589,-2.07314089564749,9.10286862743983,0.0676688277006604,0.0676688277006604,"diet"
"Rikenellaceae RC9 gut group","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00569815260602584,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00500178992051611,NA,NA,NA,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 10","ran_pars","Residual","sd__Observation",0.0115459581812711,NA,NA,NA,NA,NA,"diet"
"A2","Female","week 10","fixed",NA,"dietHFHS",-0.000290704375450465,0.00543563574766411,-0.0534812097325306,5.15788641048639,0.959358410664123,0.959358410664123,"diet"
"A2","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00367899364090853,NA,NA,NA,NA,NA,"diet"
"A2","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00994712450276973,NA,NA,NA,NA,NA,"diet"
"A2","Female","week 10","ran_pars","Residual","sd__Observation",0.00959021308850998,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Male","week 10","fixed",NA,"dietHFHS",0.00263716842976994,0.00536305370951291,0.491728886677411,21.7708471054581,0.627832385881065,0.627832385881065,"diet"
"Colidextribacter","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",3.48811687471874e-07,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00376706605656636,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Male","week 10","ran_pars","Residual","sd__Observation",0.0128724414760775,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Male","week 5","fixed",NA,"dietHFHS",0.0219195309177073,0.00415895104220816,5.27044696974103,21.6714045960757,2.87566127053977e-05,5.75132254107954e-05,"diet"
"Colidextribacter","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.00383517338382762,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Male","week 5","ran_pars","Residual","sd__Observation",0.00988982382411602,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Female","week 10","fixed",NA,"dietHFHS",0.00587279843108321,0.00691866942815638,0.848833506509667,19.5342339045629,0.40625630182648,0.40625630182648,"diet"
"Colidextribacter","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00499546767948975,NA,NA,NA,NA,NA,"diet"
"Colidextribacter","Female","week 10","ran_pars","Residual","sd__Observation",0.0159126999308195,NA,NA,NA,NA,NA,"diet"
"Intestinimonas","Female","week 5","fixed",NA,"dietHFHS",0.0205236947372618,0.00557386412095298,3.68213043804032,5.65299115176641,0.0114590929066154,0.0229181858132308,"diet"
"Intestinimonas","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00743157061392485,NA,NA,NA,NA,NA,"diet"
"Intestinimonas","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Intestinimonas","Female","week 5","ran_pars","Residual","sd__Observation",0.00654246783091603,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Male","week 10","fixed",NA,"dietHFHS",-0.00763833258781375,0.00640044299232426,-1.19340686214595,8.42878875488934,0.265216814137001,0.265216814137001,"diet"
"Romboutsia","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00802166365761061,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00757183053916743,NA,NA,NA,NA,NA,"diet"
"Romboutsia","Male","week 10","ran_pars","Residual","sd__Observation",0.00984898501654922,NA,NA,NA,NA,NA,"diet"
