"genus_species","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Bifidobacterium longum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 10","ran_pars","Residual","sd__Observation",0.00133017954424678,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 10","fixed",NA,"treatmentFOS+GOS",1.06401533367228e-05,0.00118585326518729,0.00897257160652359,10.8500767288496,0.993003868859179,1,"treatment"
"Bifidobacterium longum","Female","week 10","fixed",NA,"treatmentB. longum APC1472",0.00397627293457927,0.00114251906306834,3.48026835009704,11.3597709307231,0.00491274253340135,0.0147382276002041,"treatment"
"Bifidobacterium longum","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00160968723840712,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00022920767439255,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 10","ran_pars","Residual","sd__Observation",0.00106747463919076,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.00040180527065503,0.000635215580588224,0.632549457119658,13.4121999824323,0.537663111651896,1,"treatment"
"Bifidobacterium longum","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.00210384171167948,0.000641276920936635,3.28070704401252,13.9074918860306,0.00551033784896812,0.0165310135469043,"treatment"
"Bifidobacterium longum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000764120590624162,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 5","ran_pars","Residual","sd__Observation",0.00108161530356678,NA,NA,NA,NA,NA,"treatment"
