"genus","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Ligilactobacillus","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0531957846056048,NA,NA,NA,NA,NA,NA,NA,0.0805273752592104,0.898939326301815,NA,"diet"
"Ligilactobacillus","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.025651126346668,NA,NA,NA,NA,NA,NA,NA,0.0805273752592104,0.898939326301815,NA,"diet"
"Ligilactobacillus","Male","week 10","ran_pars","Residual","sd__Observation",0.0207529167102789,NA,NA,NA,NA,NA,NA,NA,0.0805273752592104,0.898939326301815,NA,"diet"
"Akkermansia","Female","week 5","fixed",NA,"dietHFHS",0.00197996100296733,0.0281369043870356,0.070368828629194,5.79439400493834,0.946265572681153,-0.0674651106411831,0.0714250326471178,0.070368828629194,0.000223516601261044,0.456193109186422,0.946265572681153,"diet"
"Akkermansia","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206002739608891,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Akkermansia","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0407659365702691,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Akkermansia","Female","week 5","ran_pars","Residual","sd__Observation",0.0498810749900715,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Ligilactobacillus","Female","week 5","fixed",NA,"dietHFHS",-0.0573444303368939,0.0265451155965164,-2.16026297299001,4.36980858373566,0.0910635245835983,-0.128649647500096,0.0139607868263078,-2.16026297299001,0.188710142589092,0.484921689519347,0.0910635245835983,"diet"
"Ligilactobacillus","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0198825330492503,NA,NA,NA,NA,NA,NA,NA,0.188710142589092,0.484921689519347,NA,"diet"
"Ligilactobacillus","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0308416011514907,NA,NA,NA,NA,NA,NA,NA,0.188710142589092,0.484921689519347,NA,"diet"
"Ligilactobacillus","Female","week 5","ran_pars","Residual","sd__Observation",0.0483884777434204,NA,NA,NA,NA,NA,NA,NA,0.188710142589092,0.484921689519347,NA,"diet"
"Alistipes","Female","week 10","fixed",NA,"dietHFHS",0.0309371581272708,0.0172931956173001,1.78897867183791,4.88033777286602,0.13507425564039,-0.0138462632106832,0.0757205794652247,1.78897867183791,0.0929561037994178,0.703128291282198,0.13507425564039,"diet"
"Alistipes","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0132989729396212,NA,NA,NA,NA,NA,NA,NA,0.0929561037994178,0.703128291282198,NA,"diet"
"Alistipes","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0382369069383454,NA,NA,NA,NA,NA,NA,NA,0.0929561037994178,0.703128291282198,NA,"diet"
"Alistipes","Female","week 10","ran_pars","Residual","sd__Observation",0.0282382366994118,NA,NA,NA,NA,NA,NA,NA,0.0929561037994178,0.703128291282198,NA,"diet"
"Romboutsia","Female","week 5","fixed",NA,"dietHFHS",0.107023211635378,0.0175809082240548,6.08746773895018,21.9999999997558,3.97597595489429e-06,0.0705626395601946,0.143483783710561,6.08746773895018,0.617032167800447,NA,7.95195190978859e-06,"diet"
"Romboutsia","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.617032167800447,NA,NA,"diet"
"Romboutsia","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.617032167800447,NA,NA,"diet"
"Romboutsia","Female","week 5","ran_pars","Residual","sd__Observation",0.0430642543636347,NA,NA,NA,NA,NA,NA,NA,0.617032167800447,NA,NA,"diet"
"Alistipes","Male","week 10","fixed",NA,"dietHFHS",0.000865909983933709,0.0216281026311138,0.0400363359977784,7.98983317376425,0.969046501999176,-0.0490196330088937,0.0507514529767612,0.0400363359977784,0.0001054698143037,0.594221526713317,0.969046501999176,"diet"
"Alistipes","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0311884754253055,NA,NA,NA,NA,NA,NA,NA,0.0001054698143037,0.594221526713317,NA,"diet"
"Alistipes","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0113623266038613,NA,NA,NA,NA,NA,NA,NA,0.0001054698143037,0.594221526713317,NA,"diet"
"Alistipes","Male","week 10","ran_pars","Residual","sd__Observation",0.0274324670032737,NA,NA,NA,NA,NA,NA,NA,0.0001054698143037,0.594221526713317,NA,"diet"
"Alistipes","Male","week 5","fixed",NA,"dietHFHS",-0.00206819083677306,0.0220545790489129,-0.0937760286508397,10.1979805446697,0.927103970342192,-0.0510798481622292,0.0469434664886831,-0.0937760286508397,0.00345421921259033,NA,0.927103970342192,"diet"
"Alistipes","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0357884113537172,NA,NA,NA,NA,NA,NA,NA,0.00345421921259033,NA,NA,"diet"
"Alistipes","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00345421921259033,NA,NA,"diet"
"Alistipes","Male","week 5","ran_pars","Residual","sd__Observation",0.0179422125211153,NA,NA,NA,NA,NA,NA,NA,0.00345421921259033,NA,NA,"diet"
"Lactobacillus","Female","week 5","fixed",NA,"dietHFHS",-0.0578419370154987,0.015116755151732,-3.82634609312115,5.35934360350861,0.0107781704135805,-0.0959300475427013,-0.0197538264882962,-3.82634609312115,0.413273733558598,0.590570543987116,0.021556340827161,"diet"
"Lactobacillus","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00945042679802519,NA,NA,NA,NA,NA,NA,NA,0.413273733558598,0.590570543987116,NA,"diet"
"Lactobacillus","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0168855195750882,NA,NA,NA,NA,NA,NA,NA,0.413273733558598,0.590570543987116,NA,"diet"
"Lactobacillus","Female","week 5","ran_pars","Residual","sd__Observation",0.029405270288975,NA,NA,NA,NA,NA,NA,NA,0.413273733558598,0.590570543987116,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","fixed",NA,"dietHFHS",0.0306435406694804,0.0138384462893245,2.21437725224398,7.01130014571418,0.0623318979946367,-0.00206849684595897,0.0633555781849198,2.21437725224398,0.187197454406137,0.543892905220386,0.124663795989273,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0151266598645234,NA,NA,NA,NA,NA,NA,NA,0.187197454406137,0.543892905220386,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0154256235050567,NA,NA,NA,NA,NA,NA,NA,0.187197454406137,0.543892905220386,NA,"diet"
"Lachnospiraceae NK4A136 group","Male","week 5","ran_pars","Residual","sd__Observation",0.024430597889635,NA,NA,NA,NA,NA,NA,NA,0.187197454406137,0.543892905220386,NA,"diet"
"Romboutsia","Male","week 5","fixed",NA,"dietHFHS",0.0692633293622011,0.0140482273050142,4.9303964022193,10.1313644138799,0.000573056439235668,0.0380168545537715,0.100509804170631,4.9303964022193,0.771662502137974,NA,0.00114611287847134,"diet"
"Romboutsia","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0197987174902368,NA,NA,NA,NA,NA,NA,NA,0.771662502137974,NA,NA,"diet"
"Romboutsia","Male","week 5","ran_pars","cohort","sd__(Intercept)",2.1405812617727e-07,NA,NA,NA,NA,NA,NA,NA,0.771662502137974,NA,NA,"diet"
"Romboutsia","Male","week 5","ran_pars","Residual","sd__Observation",0.0192437626213699,NA,NA,NA,NA,NA,NA,NA,0.771662502137974,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","fixed",NA,"dietHFHS",0.0133612438356125,0.0131516643460141,1.01593558686448,8.30966297936343,0.338324893517801,-0.0167709475700021,0.043493435241227,1.01593558686448,0.0422168839174271,0.245640335214879,0.338324893517801,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00820260731304105,NA,NA,NA,NA,NA,NA,NA,0.0422168839174271,0.245640335214879,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0125348306454444,NA,NA,NA,NA,NA,NA,NA,0.0422168839174271,0.245640335214879,NA,"diet"
"Rikenellaceae RC9 gut group","Male","week 5","ran_pars","Residual","sd__Observation",0.0288472713127707,NA,NA,NA,NA,NA,NA,NA,0.0422168839174271,0.245640335214879,NA,"diet"
"Alistipes","Female","week 5","fixed",NA,"dietHFHS",0.00827770730346821,0.0126683397018584,0.653416903736322,21.9982233766205,0.520259459148095,-0.0179949442417677,0.0345503588487042,0.653416903736322,0.0251194051276916,NA,0.520259459148095,"diet"
"Alistipes","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0251194051276916,NA,NA,"diet"
"Alistipes","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0205043030629899,NA,NA,NA,NA,NA,NA,NA,0.0251194051276916,NA,NA,"diet"
"Alistipes","Female","week 5","ran_pars","Residual","sd__Observation",0.0263386075193462,NA,NA,NA,NA,NA,NA,NA,0.0251194051276916,NA,NA,"diet"
"Faecalibaculum","Male","week 10","fixed",NA,"dietHFHS",0.0155127431079288,0.0169959698886562,0.912730677305017,10.5512841333887,0.381766119590243,-0.0220901467177005,0.0531156329335581,0.912730677305017,0.0866415654267799,NA,0.381766119590243,"diet"
"Faecalibaculum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0226271289184437,NA,NA,NA,NA,NA,NA,NA,0.0866415654267799,NA,NA,"diet"
"Faecalibaculum","Male","week 10","ran_pars","cohort","sd__(Intercept)",3.99560518570514e-07,NA,NA,NA,NA,NA,NA,NA,0.0866415654267799,NA,NA,"diet"
"Faecalibaculum","Male","week 10","ran_pars","Residual","sd__Observation",0.0257251422198029,NA,NA,NA,NA,NA,NA,NA,0.0866415654267799,NA,NA,"diet"
"Lactobacillus","Male","week 5","fixed",NA,"dietHFHS",-0.0155763068097856,0.0130280962062802,-1.19559347453061,8.22586089718934,0.265181843533443,-0.0454761696472541,0.0143235560276829,-1.19559347453061,0.0813679571151258,0.767879340016642,0.265181843533443,"diet"
"Lactobacillus","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0198026015574196,NA,NA,NA,NA,NA,NA,NA,0.0813679571151258,0.767879340016642,NA,"diet"
"Lactobacillus","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0119106549644177,NA,NA,NA,NA,NA,NA,NA,0.0813679571151258,0.767879340016642,NA,"diet"
"Lactobacillus","Male","week 5","ran_pars","Residual","sd__Observation",0.0134371260852625,NA,NA,NA,NA,NA,NA,NA,0.0813679571151258,0.767879340016642,NA,"diet"
"Romboutsia","Female","week 10","fixed",NA,"dietHFHS",0.0195306100804925,0.0106583223455144,1.83242816715071,21.9999999998429,0.0804591421570782,-0.00257339758091868,0.0416346177419036,1.83242816715071,0.127392797618742,NA,0.0804591421570782,"diet"
"Romboutsia","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.127392797618742,NA,NA,"diet"
"Romboutsia","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.127392797618742,NA,NA,"diet"
"Romboutsia","Female","week 10","ran_pars","Residual","sd__Observation",0.0261074512606143,NA,NA,NA,NA,NA,NA,NA,0.127392797618742,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","fixed",NA,"dietHFHS",0.00467953022401099,0.00920105385169967,0.508586331460994,18.8965931010531,0.616928659545303,-0.0145856320324841,0.0239446924805061,0.508586331460994,0.0124187928821414,NA,0.616928659545303,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0124187928821414,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00617359371845883,NA,NA,NA,NA,NA,NA,NA,0.0124187928821414,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","Female","week 5","ran_pars","Residual","sd__Observation",0.0213137898944055,NA,NA,NA,NA,NA,NA,NA,0.0124187928821414,NA,NA,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","fixed",NA,"dietHFHS",-0.00241476390884584,0.0122143838127151,-0.197698381340538,9.06308446954195,0.847644098419697,-0.0300163300118295,0.0251868021941378,-0.197698381340538,0.00241028466825993,0.619324749375108,0.847644098419697,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0174522912511011,NA,NA,NA,NA,NA,NA,NA,0.00241028466825993,0.619324749375108,NA,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00920640268444894,NA,NA,NA,NA,NA,NA,NA,0.00241028466825993,0.619324749375108,NA,"diet"
"Coriobacteriaceae UCG-002","Male","week 10","ran_pars","Residual","sd__Observation",0.015499922813561,NA,NA,NA,NA,NA,NA,NA,0.00241028466825993,0.619324749375108,NA,"diet"
"Colidextribacter","Female","week 5","fixed",NA,"dietHFHS",0.0316909159199699,0.0079730158817013,3.9747714528831,9.10000812439903,0.00316091657978978,0.0136848709342419,0.0496969609056979,3.9747714528831,0.626188816219349,NA,0.00632183315957957,"diet"
"Colidextribacter","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0091911532797723,NA,NA,NA,NA,NA,NA,NA,0.626188816219349,NA,NA,"diet"
"Colidextribacter","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.626188816219349,NA,NA,"diet"
"Colidextribacter","Female","week 5","ran_pars","Residual","sd__Observation",0.0125060450924569,NA,NA,NA,NA,NA,NA,NA,0.626188816219349,NA,NA,"diet"
"Lactobacillus","Female","week 10","fixed",NA,"dietHFHS",-7.29068744155253e-05,0.00853661547222611,-0.00854048945424893,18.8051736248953,0.993275711005394,-0.0179527854390739,0.0178069716902429,-0.00854048945424893,3.50363465163253e-06,NA,0.993275711005394,"diet"
"Lactobacillus","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,3.50363465163253e-06,NA,NA,"diet"
"Lactobacillus","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00535412762832549,NA,NA,NA,NA,NA,NA,NA,3.50363465163253e-06,NA,NA,"diet"
"Lactobacillus","Female","week 10","ran_pars","Residual","sd__Observation",0.0198939040941334,NA,NA,NA,NA,NA,NA,NA,3.50363465163253e-06,NA,NA,"diet"
"Akkermansia","Female","week 10","fixed",NA,"dietHFHS",0.00912423131582554,0.0101243793960159,0.901213887679487,20.0389172380456,0.378178968621446,-0.0119922249779572,0.0302406876096083,0.901213887679487,0.0398665056750269,NA,0.378178968621446,"diet"
"Akkermansia","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.96033195632023e-07,NA,NA,NA,NA,NA,NA,NA,0.0398665056750269,NA,NA,"diet"
"Akkermansia","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0086014452664821,NA,NA,NA,NA,NA,NA,NA,0.0398665056750269,NA,NA,"diet"
"Akkermansia","Female","week 10","ran_pars","Residual","sd__Observation",0.0228701871590265,NA,NA,NA,NA,NA,NA,NA,0.0398665056750269,NA,NA,"diet"
"Turicibacter","Female","week 10","fixed",NA,"dietHFHS",-0.00674131143382507,0.0136628057331254,-0.493406081115592,7.94521563418242,0.635073576028117,-0.0382856525466441,0.0248030296789939,-0.493406081115592,0.19845729480685,NA,0.635073576028117,"diet"
"Turicibacter","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0206232984707184,NA,NA,NA,NA,NA,NA,NA,0.19845729480685,NA,NA,"diet"
"Turicibacter","Female","week 10","ran_pars","cohort","sd__(Intercept)",3.40276123110097e-07,NA,NA,NA,NA,NA,NA,NA,0.19845729480685,NA,NA,"diet"
"Turicibacter","Female","week 10","ran_pars","Residual","sd__Observation",0.00691967819387263,NA,NA,NA,NA,NA,NA,NA,0.19845729480685,NA,NA,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","fixed",NA,"dietHFHS",0.00444864319317048,0.00815081078559887,0.5457914936549,5.30805421891347,0.607359126171477,-0.016143174916806,0.025040461303147,0.5457914936549,0.0147713860293509,0.523850954265908,0.607359126171477,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00744348283583981,NA,NA,NA,NA,NA,NA,NA,0.0147713860293509,0.523850954265908,NA,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.011068966729911,NA,NA,NA,NA,NA,NA,NA,0.0147713860293509,0.523850954265908,NA,"diet"
"Rikenellaceae RC9 gut group","Female","week 5","ran_pars","Residual","sd__Observation",0.0129003091046897,NA,NA,NA,NA,NA,NA,NA,0.0147713860293509,0.523850954265908,NA,"diet"
"Faecalibaculum","Male","week 5","fixed",NA,"dietHFHS",0.00539974768352194,0.00605186673213439,0.892244975397458,21.999999999717,0.38191741837078,-0.00715105574280528,0.0179505511098492,0.892244975397458,0.0334551064859844,NA,0.38191741837078,"diet"
"Faecalibaculum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0334551064859844,NA,NA,"diet"
"Faecalibaculum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0334551064859844,NA,NA,"diet"
"Faecalibaculum","Male","week 5","ran_pars","Residual","sd__Observation",0.0148239854850539,NA,NA,NA,NA,NA,NA,NA,0.0334551064859844,NA,NA,"diet"
