"genus_species","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0455801032850896,NA,NA,NA,NA,NA,NA,NA,0.335011341893671,0.87766064259652,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","Residual","sd__Observation",0.0324569507216591,NA,NA,NA,NA,NA,NA,NA,0.335011341893671,0.87766064259652,NA,"diet"
"Bifidobacterium longum","Male","week 10","fixed",NA,"dietHFHS",-1.00541771064765e-05,1.01840374331679e-05,-0.987248640085669,9.21165134418234,0.348741401829392,-3.30116335786033e-05,1.29032793656502e-05,-0.987248640085669,0.0456392000341311,NA,0.405290491752876,"diet"
"Bifidobacterium longum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",5.65088353598281e-06,NA,NA,NA,NA,NA,NA,NA,0.0456392000341311,NA,NA,"diet"
"Bifidobacterium longum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0456392000341311,NA,NA,"diet"
"Bifidobacterium longum","Male","week 10","ran_pars","Residual","sd__Observation",2.34825644440369e-05,NA,NA,NA,NA,NA,NA,NA,0.0456392000341311,NA,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","fixed",NA,"treatmentFOS+GOS",0.11627627804795,0.031727838439014,3.66480301743378,12.9330298277361,0.00287845192281029,0.0476963525861103,0.18485620350979,3.66480301743378,0.939170882931148,NA,0.00863535576843088,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0308873190785992,0.0317565595328135,-0.972628002938538,12.9800302819136,0.348515723844803,-0.0995039259354494,0.0377292877782511,-0.972628002938538,0.939170882931148,NA,0.348515723844803,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0512219041907516,NA,NA,NA,NA,NA,NA,NA,0.939170882931148,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.939170882931148,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","Residual","sd__Observation",0.016538422062574,NA,NA,NA,NA,NA,NA,NA,0.939170882931148,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.121145819847496,0.0243100989103547,4.98335363810038,11.3036288275678,0.000380713013789452,0.0678144835373302,0.174477156157662,4.98335363810038,0.601960226251423,0.821464778204538,0.00114213904136836,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","fixed",NA,"treatmentB. longum APC1472",-0.000530005747700566,0.0244146681827551,-0.0217084968648039,11.5807622300592,0.9830500287535,-0.0539393655851242,0.0528793540897231,-0.0217084968648039,0.601960226251423,0.821464778204538,1,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0335169318639406,NA,NA,NA,NA,NA,NA,NA,0.601960226251423,0.821464778204538,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0116480191166254,NA,NA,NA,NA,NA,NA,NA,0.601960226251423,0.821464778204538,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","Residual","sd__Observation",0.0320010026933907,NA,NA,NA,NA,NA,NA,NA,0.601960226251423,0.821464778204538,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","fixed",NA,"treatmentFOS+GOS",0.0718973482532347,0.025994085790455,2.76591178596615,8.19233470407074,0.0239039601414756,0.0121989559808765,0.131595740525593,2.76591178596615,0.43978471622039,NA,0.0717118804244269,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","fixed",NA,"treatmentB. longum APC1472",0.00019094805322463,0.0250570670716293,0.00762052688284617,8.45729185152566,0.994096467996266,-0.0570514167584989,0.0574333128649482,0.00762052688284617,0.43978471622039,NA,0.994096467996266,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0296502392559799,NA,NA,NA,NA,NA,NA,NA,0.43978471622039,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","cohort","sd__(Intercept)",1.25295566788634e-05,NA,NA,NA,NA,NA,NA,NA,0.43978471622039,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","Residual","sd__Observation",0.0384573883937883,NA,NA,NA,NA,NA,NA,NA,0.43978471622039,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.0416309064403955,0.0156610300083813,2.65824830283296,11.3013738006253,0.0218058075262295,0.00727302925597682,0.0759887836248142,2.65824830283296,0.55463167359155,NA,0.0654174225786886,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.006661645934609,0.0150590637070923,0.442367869887659,11.358704574419,0.666528368798327,-0.0263558719022607,0.0396791637714787,0.442367869887659,0.55463167359155,NA,1,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206094862980108,NA,NA,NA,NA,NA,NA,NA,0.55463167359155,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.55463167359155,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","Residual","sd__Observation",0.0164204284262959,NA,NA,NA,NA,NA,NA,NA,0.55463167359155,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.000246405779270985,0.000827622581801423,0.297727230611147,7.56862858805037,0.773919116939158,-0.00168119578586213,0.0021740073444041,0.297727230611147,0.171069355783764,0.800535389816944,0.999681250006192,"treatment"
"Bifidobacterium longum","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.00247955593822369,0.000856561824991845,2.89477754655631,8.51095717332536,0.0187931572272187,0.00052477279073004,0.00443433908571733,2.89477754655631,0.171069355783764,0.800535389816944,0.0563794716816561,"treatment"
"Bifidobacterium longum","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000801575837473813,NA,NA,NA,NA,NA,NA,NA,0.171069355783764,0.800535389816944,NA,"treatment"
"Bifidobacterium longum","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00204456683479291,NA,NA,NA,NA,NA,NA,NA,0.171069355783764,0.800535389816944,NA,"treatment"
"Bifidobacterium longum","Female","week 5","ran_pars","Residual","sd__Observation",0.00123621891123562,NA,NA,NA,NA,NA,NA,NA,0.171069355783764,0.800535389816944,NA,"treatment"
"Bifidobacterium longum","Male","week 10","fixed",NA,"treatmentFOS+GOS",5.97384322323017e-19,0.000532497986623821,1.12185273433726e-15,33.9999999990473,0.999999999999999,-0.00108216610954012,0.00108216610954012,1.12185273433726e-15,0.726153621383504,NA,1,"treatment"
"Bifidobacterium longum","Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.00456417725780556,0.000543043524948747,8.40480927976508,33.999999999044,8.18310945195527e-10,0.00346058003590679,0.00566777447970433,8.40480927976508,0.726153621383504,NA,2.45493283558658e-09,"treatment"
"Bifidobacterium longum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.726153621383504,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.726153621383504,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 10","ran_pars","Residual","sd__Observation",0.00133017954424678,NA,NA,NA,NA,NA,NA,NA,0.726153621383504,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 10","fixed",NA,"treatmentFOS+GOS",1.06401533367228e-05,0.00118585326518729,0.00897257160652359,10.8500767288496,0.993003868859179,-0.00260381217377235,0.0026250924804458,0.00897257160652359,0.494008177247958,0.847592191142702,1,"treatment"
"Bifidobacterium longum","Female","week 10","fixed",NA,"treatmentB. longum APC1472",0.00397627293457927,0.00114251906306834,3.48026835009704,11.3597709307231,0.00491274253340135,0.00147128808254276,0.00648125778661579,3.48026835009704,0.494008177247958,0.847592191142702,0.0147382276002041,"treatment"
"Bifidobacterium longum","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00160968723840712,NA,NA,NA,NA,NA,NA,NA,0.494008177247958,0.847592191142702,NA,"treatment"
"Bifidobacterium longum","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00022920767439255,NA,NA,NA,NA,NA,NA,NA,0.494008177247958,0.847592191142702,NA,"treatment"
"Bifidobacterium longum","Female","week 10","ran_pars","Residual","sd__Observation",0.00106747463919076,NA,NA,NA,NA,NA,NA,NA,0.494008177247958,0.847592191142702,NA,"treatment"
"Bifidobacterium longum","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.00040180527065503,0.000635215580588224,0.632549457119658,13.4121999824323,0.537663111651896,-0.000966219626375588,0.00176983016768565,0.632549457119658,0.416973050962274,NA,1,"treatment"
"Bifidobacterium longum","Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.00210384171167948,0.000641276920936635,3.28070704401252,13.9074918860306,0.00551033784896812,0.000727580712503162,0.0034801027108558,3.28070704401252,0.416973050962274,NA,0.0165310135469043,"treatment"
"Bifidobacterium longum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000764120590624162,NA,NA,NA,NA,NA,NA,NA,0.416973050962274,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.416973050962274,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 5","ran_pars","Residual","sd__Observation",0.00108161530356678,NA,NA,NA,NA,NA,NA,NA,0.416973050962274,NA,NA,"treatment"
