"family","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bacteroidaceae","Male","week 10","fixed",NA,"dietHFHS",0.0638607403194071,0.0407490078099364,1.56717288963868,10.1598744188781,0.147665007075111,-0.0267404171764963,0.15446189781531,1.56717288963868,0.336767417655423,NA,0.147665007075111,"diet"
"Bacteroidaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0619285420002456,NA,NA,NA,NA,NA,NA,NA,0.336767417655423,NA,NA,"diet"
"Bacteroidaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",2.98834326202556e-06,NA,NA,NA,NA,NA,NA,NA,0.336767417655423,NA,NA,"diet"
"Bacteroidaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0457734397206787,NA,NA,NA,NA,NA,NA,NA,0.336767417655423,NA,NA,"diet"
"Akkermansiaceae","Male","week 10","fixed",NA,"dietHFHS",0.00721672567394771,0.0460962595690479,0.156557728141428,8.87152553855048,0.879098194658468,-0.097290906225184,0.111724357573079,0.156557728141428,0.00177551826148628,0.656026888721554,0.879098194658468,"diet"
"Akkermansiaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0701243904237486,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Akkermansiaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00943101515913377,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Akkermansiaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0513040416838702,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Muribaculaceae","Female","week 10","fixed",NA,"dietHFHS",-0.022296888812304,0.0484771254127778,-0.459946595893388,6.32329475140459,0.660947398123479,-0.139461433321778,0.0948676556971696,-0.459946595893388,0.0298752512759687,NA,0.660947398123479,"diet"
"Muribaculaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.061369248118014,NA,NA,NA,NA,NA,NA,NA,0.0298752512759687,NA,NA,"diet"
"Muribaculaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0298752512759687,NA,NA,"diet"
"Muribaculaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0648954105021342,NA,NA,NA,NA,NA,NA,NA,0.0298752512759687,NA,NA,"diet"
"Bacteroidaceae","Female","week 10","fixed",NA,"dietHFHS",-0.0611044178910706,0.0377948118932871,-1.61674089194035,5.97697803211137,0.157251741452287,-0.153671406958289,0.0314625711761482,-1.61674089194035,0.124152854604107,0.500177924913794,0.157251741452287,"diet"
"Bacteroidaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0342195939754529,NA,NA,NA,NA,NA,NA,NA,0.124152854604107,0.500177924913794,NA,"diet"
"Bacteroidaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0421789637426323,NA,NA,NA,NA,NA,NA,NA,0.124152854604107,0.500177924913794,NA,"diet"
"Bacteroidaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0626200889466778,NA,NA,NA,NA,NA,NA,NA,0.124152854604107,0.500177924913794,NA,"diet"
"Muribaculaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0285262503259619,0.0363265131838023,-0.78527355988247,10.918403971773,0.448997910864271,-0.108553328068416,0.0515008274164918,-0.78527355988247,0.089728145080502,NA,0.448997910864271,"diet"
"Muribaculaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0528167013804922,NA,NA,NA,NA,NA,NA,NA,0.089728145080502,NA,NA,"diet"
"Muribaculaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",7.27399114473109e-06,NA,NA,NA,NA,NA,NA,NA,0.089728145080502,NA,NA,"diet"
"Muribaculaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0464063710967225,NA,NA,NA,NA,NA,NA,NA,0.089728145080502,NA,NA,"diet"
"Lactobacillaceae","Female","week 5","fixed",NA,"dietHFHS",-0.120801375689611,0.031494242205769,-3.83566541783576,19.3825164457492,0.00108222908664112,-0.186631643813446,-0.0549711075657769,-3.83566541783576,0.413598702604906,NA,0.00108222908664112,"diet"
"Lactobacillaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",1.95891525544027e-05,NA,NA,NA,NA,NA,NA,NA,0.413598702604906,NA,NA,"diet"
"Lactobacillaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0195251023636419,NA,NA,NA,NA,NA,NA,NA,0.413598702604906,NA,NA,"diet"
"Lactobacillaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0734668576787064,NA,NA,NA,NA,NA,NA,NA,0.413598702604906,NA,NA,"diet"
"Lachnospiraceae","Male","week 10","fixed",NA,"dietHFHS",0.0185206488212831,0.0318622771853568,0.581271976059351,21.8532089097696,0.567004858164791,-0.0475834137384902,0.0846247113810565,0.581271976059351,0.0149869386434467,NA,0.567004858164791,"diet"
"Lachnospiraceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0149869386434467,NA,NA,"diet"
"Lachnospiraceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0203252389227414,NA,NA,NA,NA,NA,NA,NA,0.0149869386434467,NA,NA,"diet"
"Lachnospiraceae","Male","week 10","ran_pars","Residual","sd__Observation",0.076688886880432,NA,NA,NA,NA,NA,NA,NA,0.0149869386434467,NA,NA,"diet"
"Lachnospiraceae","Female","week 10","fixed",NA,"dietHFHS",0.00292548112759437,0.0321284234813898,0.0910558567957415,21.2692772290975,0.928300324117919,-0.0638377639192554,0.0696887261744442,0.0910558567957415,0.000458627773697485,NA,0.928300324117919,"diet"
"Lachnospiraceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000458627773697485,NA,NA,"diet"
"Lachnospiraceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.037057022918331,NA,NA,NA,NA,NA,NA,NA,0.000458627773697485,NA,NA,"diet"
"Lachnospiraceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0697556226632009,NA,NA,NA,NA,NA,NA,NA,0.000458627773697485,NA,NA,"diet"
"Lachnospiraceae","Male","week 5","fixed",NA,"dietHFHS",0.0738398170097107,0.0330683131536997,2.23294779708016,10.0824983697217,0.0493850869158189,0.000240661591643862,0.147438972427778,2.23294779708016,0.356479909934341,NA,0.0987701738316378,"diet"
"Lachnospiraceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0436608621687437,NA,NA,NA,NA,NA,NA,NA,0.356479909934341,NA,NA,"diet"
"Lachnospiraceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.356479909934341,NA,NA,"diet"
"Lachnospiraceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0506717430831068,NA,NA,NA,NA,NA,NA,NA,0.356479909934341,NA,NA,"diet"
"Bifidobacteriaceae","Male","week 5","fixed",NA,"dietHFHS",-0.176405103254213,0.0334484222953714,-5.27394391569328,8.07531846553755,0.000729125299143105,-0.253412259360132,-0.0993979471482942,-5.27394391569328,0.600672946068367,0.847376509860517,0.00145825059828621,"diet"
"Bifidobacteriaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0457096048946443,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacteriaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0352812422810615,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacteriaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0454165882355229,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Lactobacillaceae","Male","week 5","fixed",NA,"dietHFHS",-0.0777387115362601,0.0296118955272088,-2.62525279629027,4.23253284386713,0.0552263207272539,-0.158203416838504,0.00272599376598374,-2.62525279629027,0.137182393657537,0.648429092867336,0.0552891405289699,"diet"
"Lactobacillaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0163914948249026,NA,NA,NA,NA,NA,NA,NA,0.137182393657537,0.648429092867336,NA,"diet"
"Lactobacillaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0748773756938489,NA,NA,NA,NA,NA,NA,NA,0.137182393657537,0.648429092867336,NA,"diet"
"Lactobacillaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0635632832681057,NA,NA,NA,NA,NA,NA,NA,0.137182393657537,0.648429092867336,NA,"diet"
"Bacteroidaceae","Male","week 5","fixed",NA,"dietHFHS",0.0432664779729259,0.0385419483976707,1.12258149293617,8.29053510562166,0.293071494278939,-0.045072174601983,0.131605130547835,1.12258149293617,0.0769129366066784,0.593950401783271,0.293071494278939,"diet"
"Bacteroidaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0548692169537998,NA,NA,NA,NA,NA,NA,NA,0.0769129366066784,0.593950401783271,NA,"diet"
"Bacteroidaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0164986223035303,NA,NA,NA,NA,NA,NA,NA,0.0769129366066784,0.593950401783271,NA,"diet"
"Bacteroidaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0507753699913552,NA,NA,NA,NA,NA,NA,NA,0.0769129366066784,0.593950401783271,NA,"diet"
"Muribaculaceae","Female","week 5","fixed",NA,"dietHFHS",-0.0847331892941932,0.0257367485272838,-3.29230357923288,5.95430969142774,0.0167518991106789,-0.147826069089214,-0.0216403094991722,-3.29230357923288,0.476722888637191,NA,0.0167518991106789,"diet"
"Muribaculaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0266691201914451,NA,NA,NA,NA,NA,NA,NA,0.476722888637191,NA,NA,"diet"
"Muribaculaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.476722888637191,NA,NA,"diet"
"Muribaculaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0453417343120909,NA,NA,NA,NA,NA,NA,NA,0.476722888637191,NA,NA,"diet"
"Muribaculaceae","Male","week 5","fixed",NA,"dietHFHS",-0.0938605093358789,0.0311560738783346,-3.01259105054144,9.52636323796263,0.0137640798682027,-0.163751265316415,-0.0239697533553426,-3.01259105054144,0.289705420169653,0.622357055390544,0.0137640798682027,"diet"
"Muribaculaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0340027812861085,NA,NA,NA,NA,NA,NA,NA,0.289705420169653,0.622357055390544,NA,"diet"
"Muribaculaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0385059324395369,NA,NA,NA,NA,NA,NA,NA,0.289705420169653,0.622357055390544,NA,"diet"
"Muribaculaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0547339752068355,NA,NA,NA,NA,NA,NA,NA,0.289705420169653,0.622357055390544,NA,"diet"
"Bifidobacteriaceae","Female","week 10","fixed",NA,"dietHFHS",-0.0236365038388292,0.0347349263610019,-0.680482336227629,6.32364784986061,0.520324045063079,-0.107586407607866,0.0603133999302076,-0.680482336227629,0.0320360692193623,0.548355894750881,0.520324045063079,"diet"
"Bifidobacteriaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0416280635180543,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacteriaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0248199729633594,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacteriaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0453287254259142,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacteriaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0686338243687019,0.0504358029922374,-1.3608155377097,8.21751339298774,0.209717943148728,-0.184405306356262,0.047137657618858,-1.3608155377097,0.12125284884483,0.826927396506772,0.209717943148728,"diet"
"Bifidobacteriaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0810426026469766,NA,NA,NA,NA,NA,NA,NA,0.12125284884483,0.826927396506772,NA,"diet"
"Bifidobacteriaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0241629136092762,NA,NA,NA,NA,NA,NA,NA,0.12125284884483,0.826927396506772,NA,"diet"
"Bifidobacteriaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0418811013659939,NA,NA,NA,NA,NA,NA,NA,0.12125284884483,0.826927396506772,NA,"diet"
"Bacteroidaceae","Female","week 5","fixed",NA,"dietHFHS",0.0230543252549998,0.0318193012602745,0.724539016945115,4.64696092638825,0.503549916901259,-0.0606446554534833,0.106753305963483,0.724539016945115,0.0186429583269337,0.717978754862735,0.503549916901259,"diet"
"Bacteroidaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0296563652294411,NA,NA,NA,NA,NA,NA,NA,0.0186429583269337,0.717978754862735,NA,"diet"
"Bacteroidaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0657392392375472,NA,NA,NA,NA,NA,NA,NA,0.0186429583269337,0.717978754862735,NA,"diet"
"Bacteroidaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0457981169325091,NA,NA,NA,NA,NA,NA,NA,0.0186429583269337,0.717978754862735,NA,"diet"
"Bifidobacteriaceae","Female","week 5","fixed",NA,"dietHFHS",-0.105157982897049,0.0390422357007268,-2.69344162826953,6.78445345529173,0.031860844928103,-0.198076128215278,-0.0122398375788195,-2.69344162826953,0.335023683041878,0.877654588039491,0.063721689856206,"diet"
"Bifidobacteriaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0509421196289992,NA,NA,NA,NA,NA,NA,NA,0.335023683041878,0.877654588039491,NA,"diet"
"Bifidobacteriaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0455770468281136,NA,NA,NA,NA,NA,NA,NA,0.335023683041878,0.877654588039491,NA,"diet"
"Bifidobacteriaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0324571246719042,NA,NA,NA,NA,NA,NA,NA,0.335023683041878,0.877654588039491,NA,"diet"
"Rikenellaceae","Male","week 5","fixed",NA,"dietHFHS",0.00524792787582569,0.031752822946133,0.165274372131528,10.8341743223725,0.871771514639049,-0.0647702941127328,0.0752661498643842,0.165274372131528,0.00340968644197951,NA,0.871771514639049,"diet"
"Rikenellaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0435304360713903,NA,NA,NA,NA,NA,NA,NA,0.00340968644197951,NA,NA,"diet"
"Rikenellaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00340968644197951,NA,NA,"diet"
"Rikenellaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0458248101551655,NA,NA,NA,NA,NA,NA,NA,0.00340968644197951,NA,NA,"diet"
"Rikenellaceae","Female","week 10","fixed",NA,"dietHFHS",0.04350430234471,0.0243567705655973,1.78612768993923,5.76456404333244,0.126331170578873,-0.0166896111507868,0.103698215840207,1.78612768993923,0.13561477248184,0.692532740050902,0.126331170578873,"diet"
"Rikenellaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0249655783904898,NA,NA,NA,NA,NA,NA,NA,0.13561477248184,0.692532740050902,NA,"diet"
"Rikenellaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0374736197293088,NA,NA,NA,NA,NA,NA,NA,0.13561477248184,0.692532740050902,NA,"diet"
"Rikenellaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0334572201956101,NA,NA,NA,NA,NA,NA,NA,0.13561477248184,0.692532740050902,NA,"diet"
"Lactobacillaceae","Male","week 10","fixed",NA,"dietHFHS",0.00696049528208339,0.0350619512833916,0.198519906260337,8.44945223156738,0.84733220899861,-0.0731499759257601,0.0870709664899268,0.198519906260337,0.00312361985466451,0.888175327431544,0.84733220899861,"diet"
"Lactobacillaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0583779943303669,NA,NA,NA,NA,NA,NA,NA,0.00312361985466451,0.888175327431544,NA,"diet"
"Lactobacillaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0131564051555888,NA,NA,NA,NA,NA,NA,NA,0.00312361985466451,0.888175327431544,NA,"diet"
"Lactobacillaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0212711799121522,NA,NA,NA,NA,NA,NA,NA,0.00312361985466451,0.888175327431544,NA,"diet"
"Akkermansiaceae","Female","week 5","fixed",NA,"dietHFHS",0.00197996100296733,0.0281369043870356,0.070368828629194,5.79439400493834,0.946265572681153,-0.0674651106411831,0.0714250326471178,0.070368828629194,0.000223516601261044,0.456193109186422,0.946265572681153,"diet"
"Akkermansiaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206002739608891,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Akkermansiaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0407659365702691,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Akkermansiaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0498810749900715,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Rikenellaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0135165287818423,0.0264689202612256,-0.510656598321567,8.19055269046494,0.623067570182373,-0.0743076738726711,0.0472746163089865,-0.510656598321567,0.0148871676758517,0.546093380646073,0.623067570182373,"diet"
"Rikenellaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0353965040675526,NA,NA,NA,NA,NA,NA,NA,0.0148871676758517,0.546093380646073,NA,"diet"
"Rikenellaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0211588725367919,NA,NA,NA,NA,NA,NA,NA,0.0148871676758517,0.546093380646073,NA,"diet"
"Rikenellaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0381201059315791,NA,NA,NA,NA,NA,NA,NA,0.0148871676758517,0.546093380646073,NA,"diet"
"Oscillospiraceae","Female","week 5","fixed",NA,"dietHFHS",0.0751305293581881,0.021743448314989,3.45531804660425,6.84521648557871,0.0109938629908395,0.0234788239819592,0.126782234734417,3.45531804660425,0.454284497184726,0.690082109267948,0.0219877259816789,"diet"
"Oscillospiraceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0251852472468364,NA,NA,NA,NA,NA,NA,NA,0.454284497184726,0.690082109267948,NA,"diet"
"Oscillospiraceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0114022038534158,NA,NA,NA,NA,NA,NA,NA,0.454284497184726,0.690082109267948,NA,"diet"
"Oscillospiraceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0316947639453705,NA,NA,NA,NA,NA,NA,NA,0.454284497184726,0.690082109267948,NA,"diet"
"Peptostreptococcaceae","Female","week 5","fixed",NA,"dietHFHS",0.107025767480596,0.0175797572631837,6.08801167606187,22.0000000001211,3.97095839027602e-06,0.0705675823522005,0.143483952608991,6.08801167606187,0.617074394158914,NA,7.94191678055204e-06,"diet"
"Peptostreptococcaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.617074394158914,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.617074394158914,NA,NA,"diet"
"Peptostreptococcaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0430614350967865,NA,NA,NA,NA,NA,NA,NA,0.617074394158914,NA,NA,"diet"
"Oscillospiraceae","Male","week 5","fixed",NA,"dietHFHS",0.0345898746396381,0.014782689528704,2.33989048964831,8.09578317114933,0.0470600366654454,0.000571006332137323,0.0686087429471388,2.33989048964831,0.221626392111521,0.400066543393024,0.0643165733272369,"diet"
"Oscillospiraceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0143648022802561,NA,NA,NA,NA,NA,NA,NA,0.221626392111521,0.400066543393024,NA,"diet"
"Oscillospiraceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0067046595825475,NA,NA,NA,NA,NA,NA,NA,0.221626392111521,0.400066543393024,NA,"diet"
"Oscillospiraceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0290670861596032,NA,NA,NA,NA,NA,NA,NA,0.221626392111521,0.400066543393024,NA,"diet"
"Rikenellaceae","Female","week 5","fixed",NA,"dietHFHS",0.00164137334469324,0.0150794279380654,0.108848515436708,21.1322580379784,0.914349600240623,-0.0297060674990402,0.0329888141884267,0.108848515436708,0.000774565865573355,NA,0.914349600240623,"diet"
"Rikenellaceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000774565865573355,NA,NA,"diet"
"Rikenellaceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0383635789083275,NA,NA,NA,NA,NA,NA,NA,0.000774565865573355,NA,NA,"diet"
"Rikenellaceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0301107550892692,NA,NA,NA,NA,NA,NA,NA,0.000774565865573355,NA,NA,"diet"
"Oscillospiraceae","Female","week 10","fixed",NA,"dietHFHS",0.00988410939355442,0.0167756086889439,0.589195276119465,19.0756222368577,0.562643830339522,-0.0252182243955622,0.044986443182671,0.589195276119465,0.0159051279975305,NA,0.562643830339522,"diet"
"Oscillospiraceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0159051279975305,NA,NA,"diet"
"Oscillospiraceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00850148140903376,NA,NA,NA,NA,NA,NA,NA,0.0159051279975305,NA,NA,"diet"
"Oscillospiraceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0397099326691598,NA,NA,NA,NA,NA,NA,NA,0.0159051279975305,NA,NA,"diet"
"Tannerellaceae","Female","week 10","fixed",NA,"dietHFHS",-0.0422447354356571,0.0122027115902183,-3.46191378230397,21.1620077046745,0.00231297253953067,-0.0676098392104627,-0.0168796316608516,-3.46191378230397,0.395669468424096,NA,0.00300148074923812,"diet"
"Tannerellaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.395669468424096,NA,NA,"diet"
"Tannerellaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0134158146475706,NA,NA,NA,NA,NA,NA,NA,0.395669468424096,NA,NA,"diet"
"Tannerellaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0266658419082329,NA,NA,NA,NA,NA,NA,NA,0.395669468424096,NA,NA,"diet"
"Peptostreptococcaceae","Male","week 5","fixed",NA,"dietHFHS",0.0692633293622011,0.0140482273050142,4.9303964022193,10.1313644138799,0.000573056439235668,0.0380168545537715,0.100509804170631,4.9303964022193,0.771662502137974,NA,0.00114611287847134,"diet"
"Peptostreptococcaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0197987174902368,NA,NA,NA,NA,NA,NA,NA,0.771662502137974,NA,NA,"diet"
"Peptostreptococcaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",2.1405812617727e-07,NA,NA,NA,NA,NA,NA,NA,0.771662502137974,NA,NA,"diet"
"Peptostreptococcaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0192437626213699,NA,NA,NA,NA,NA,NA,NA,0.771662502137974,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 10","fixed",NA,"dietHFHS",0.0149294772230295,0.0169214391240828,0.882281767735803,10.5385434140949,0.397302495130514,-0.0225142985820734,0.0523732530281325,0.882281767735803,0.0803960595798651,NA,0.397302495130514,"diet"
"Erysipelotrichaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0224244195486314,NA,NA,NA,NA,NA,NA,NA,0.0803960595798651,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0803960595798651,NA,NA,"diet"
"Erysipelotrichaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0257892871485769,NA,NA,NA,NA,NA,NA,NA,0.0803960595798651,NA,NA,"diet"
"Tannerellaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0135028397052103,0.00924824334847946,-1.46004372899966,7.8985084938131,0.182878070381153,-0.0348771206422295,0.00787144123180893,-1.46004372899966,0.0717307276426056,0.687526564331216,0.182878070381153,"diet"
"Tannerellaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0111937363781451,NA,NA,NA,NA,NA,NA,NA,0.0717307276426056,0.687526564331216,NA,"diet"
"Tannerellaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0168233318565548,NA,NA,NA,NA,NA,NA,NA,0.0717307276426056,0.687526564331216,NA,"diet"
