"family","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Erysipelatoclostridiaceae","ran_pars","Residual","sd__Observation",0.00670672251351509,NA,NA,NA,NA,NA,NA,NA,0.366179665759396,0.5687808894467,NA,"diet"
"Tannerellaceae","fixed",NA,"dietHFHS",0.00193005319884414,0.00196040624960419,0.984516958785363,7.02564251529095,0.35754395048887,-0.00270214331653351,0.00656224971422179,0.984516958785363,0.0514970266953719,0.333759148810964,0.35754395048887,"diet"
"Tannerellaceae","ran_pars","cohort","sd__(Intercept)",0.00234458968314758,NA,NA,NA,NA,NA,NA,NA,0.0514970266953719,0.333759148810964,NA,"diet"
"Tannerellaceae","ran_pars","Residual","sd__Observation",0.00360210341956997,NA,NA,NA,NA,NA,NA,NA,0.0514970266953719,0.333759148810964,NA,"diet"
"Sutterellaceae","fixed",NA,"dietHFHS",0.00350714664464032,0.0026346905852603,1.33114175313828,9.59321891779509,0.213909733710189,-0.00239722679834375,0.00941152008762439,1.33114175313828,0.108626292047711,0.215558038145666,0.427819467420377,"diet"
"Sutterellaceae","ran_pars","cohort","sd__(Intercept)",0.00180551925008538,NA,NA,NA,NA,NA,NA,NA,0.108626292047711,0.215558038145666,NA,"diet"
"Sutterellaceae","ran_pars","Residual","sd__Observation",0.00489022906419184,NA,NA,NA,NA,NA,NA,NA,0.108626292047711,0.215558038145666,NA,"diet"
"Clostridiaceae","fixed",NA,"dietHFHS",0.002378406162861,0.00157682886645629,1.50834768024392,11.9999999997619,0.157334901091228,-0.00105720880157116,0.00581402112729316,1.50834768024392,0.148942450738746,NA,0.314669802182455,"diet"
"Clostridiaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.148942450738746,NA,NA,"diet"
"Clostridiaceae","ran_pars","Residual","sd__Observation",0.00294997668792728,NA,NA,NA,NA,NA,NA,NA,0.148942450738746,NA,NA,"diet"
"Enterobacteriaceae","fixed",NA,"dietHFHS",-0.00187376976520778,0.0014305639901621,-1.30981191900088,10.0766239164861,0.219333564179948,-0.00505798258484616,0.0013104430544306,-1.30981191900088,0.10830988786914,0.189211077527586,0.246704900244402,"diet"
"Enterobacteriaceae","ran_pars","cohort","sd__(Intercept)",0.00084027602806315,NA,NA,NA,NA,NA,NA,NA,0.10830988786914,0.189211077527586,NA,"diet"
"Enterobacteriaceae","ran_pars","Residual","sd__Observation",0.0026601028171129,NA,NA,NA,NA,NA,NA,NA,0.10830988786914,0.189211077527586,NA,"diet"
"Eggerthellaceae","fixed",NA,"dietHFHS",0.0026966930205485,0.00129666574177294,2.07971332446965,9.42125481405071,0.0659232206238766,-0.000216697100878669,0.00561008314197567,2.07971332446965,0.203046712786973,0.408805278890926,0.0659232206238766,"diet"
"Eggerthellaceae","ran_pars","cohort","sd__(Intercept)",0.00140855833566021,NA,NA,NA,NA,NA,NA,NA,0.203046712786973,0.408805278890926,NA,"diet"
"Eggerthellaceae","ran_pars","Residual","sd__Observation",0.00238759768677912,NA,NA,NA,NA,NA,NA,NA,0.203046712786973,0.408805278890926,NA,"diet"
"Christensenellaceae","fixed",NA,"dietHFHS",0.00147890139855828,0.000436195143810416,3.39045819180659,7.80276975892356,0.0098512336479461,0.000468590749532458,0.0024892120475841,3.39045819180659,0.0691120032218189,0.928842269180319,0.0197024672958922,"diet"
"Christensenellaceae","ran_pars","cohort","sd__(Intercept)",0.00270648692275994,NA,NA,NA,NA,NA,NA,NA,0.0691120032218189,0.928842269180319,NA,"diet"
"Christensenellaceae","ran_pars","Residual","sd__Observation",0.000778638493598406,NA,NA,NA,NA,NA,NA,NA,0.0691120032218189,0.928842269180319,NA,"diet"
"Butyricicoccaceae","fixed",NA,"dietHFHS",0.000841019602111501,0.000967302468636756,0.869448419062521,5.82042475758025,0.41900697561791,-0.00154369896528432,0.00322573816950733,0.869448419062521,0.0298349206376684,0.515070077408199,0.41900697561791,"diet"
"Butyricicoccaceae","ran_pars","cohort","sd__(Intercept)",0.00175987633125117,NA,NA,NA,NA,NA,NA,NA,0.0298349206376684,0.515070077408199,NA,"diet"
"Butyricicoccaceae","ran_pars","Residual","sd__Observation",0.00175932272450784,NA,NA,NA,NA,NA,NA,NA,0.0298349206376684,0.515070077408199,NA,"diet"
"Peptococcaceae","fixed",NA,"dietHFHS",0.00218948334198127,0.000685369510763118,3.19460277645472,7.90041655050626,0.0129252852829517,0.000605544087416336,0.0037734225965462,3.19460277645472,0.335230144660607,0.591847806718132,0.0258505705659035,"diet"
"Peptococcaceae","ran_pars","cohort","sd__(Intercept)",0.000993975617397113,NA,NA,NA,NA,NA,NA,NA,0.335230144660607,0.591847806718132,NA,"diet"
"Peptococcaceae","ran_pars","Residual","sd__Observation",0.00125355538376637,NA,NA,NA,NA,NA,NA,NA,0.335230144660607,0.591847806718132,NA,"diet"
"Enterococcaceae","fixed",NA,"dietHFHS",0.000667681499280719,0.000779279823175835,0.856793002235943,9.95795613436005,0.41170358044843,-0.00106965638165727,0.0024050193802187,0.856793002235943,0.0510606510780973,0.102475712319664,0.823407160896861,"diet"
"Enterococcaceae","ran_pars","cohort","sd__(Intercept)",0.000347643163438932,NA,NA,NA,NA,NA,NA,NA,0.0510606510780973,0.102475712319664,NA,"diet"
"Enterococcaceae","ran_pars","Residual","sd__Observation",0.00145248487722225,NA,NA,NA,NA,NA,NA,NA,0.0510606510780973,0.102475712319664,NA,"diet"
"Anaerovoracaceae","fixed",NA,"dietHFHS",0.00127586886103549,0.000295692391741404,4.31485184154245,8.58549684416852,0.00217402071450773,0.000602010887363112,0.00194972683470786,4.31485184154245,0.499069521268121,0.665049921483192,0.00434804142901545,"diet"
"Anaerovoracaceae","ran_pars","cohort","sd__(Intercept)",0.000381782716667305,NA,NA,NA,NA,NA,NA,NA,0.499069521268121,0.665049921483192,NA,"diet"
"Anaerovoracaceae","ran_pars","Residual","sd__Observation",0.000542347824227239,NA,NA,NA,NA,NA,NA,NA,0.499069521268121,0.665049921483192,NA,"diet"
"UCG-010","fixed",NA,"dietHFHS",6.73090897561356e-05,0.000408628527394855,0.164719507434426,11.9999999998393,0.871906909719422,-0.000823015988301124,0.000957634167813395,0.164719507434426,0.00208276964219456,NA,0.871906909719422,"diet"
"UCG-010","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00208276964219456,NA,NA,"diet"
"UCG-010","ran_pars","Residual","sd__Observation",0.000764473973986759,NA,NA,NA,NA,NA,NA,NA,0.00208276964219456,NA,NA,"diet"
"[Eubacterium] coprostanoligenes group","fixed",NA,"dietHFHS",-0.000194058788341316,0.000346380362810249,-0.560247661752186,12.0000000000754,0.585618053111249,-0.000948756766776549,0.000560639190093918,-0.560247661752186,0.0235752089392736,NA,0.585618053111249,"diet"
"[Eubacterium] coprostanoligenes group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0235752089392736,NA,NA,"diet"
"[Eubacterium] coprostanoligenes group","ran_pars","Residual","sd__Observation",0.000648018321571203,NA,NA,NA,NA,NA,NA,NA,0.0235752089392736,NA,NA,"diet"
"Saccharimonadaceae","fixed",NA,"dietHFHS",-0.000480918900873387,0.000184409994927571,-2.60787871645608,11.9999999995971,0.0228909848159115,-0.000882713763741944,-7.91240380048297e-05,-2.60787871645608,0.34346854274633,NA,0.0228909848159115,"diet"
"Saccharimonadaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.34346854274633,NA,NA,"diet"
"Saccharimonadaceae","ran_pars","Residual","sd__Observation",0.000344999509857846,NA,NA,NA,NA,NA,NA,NA,0.34346854274633,NA,NA,"diet"
"Streptococcaceae","fixed",NA,"dietHFHS",-4.39509848368726e-06,0.000121468687577595,-0.0361829749817593,9.29882726011278,0.971901344373288,-0.000277836169511121,0.000269045972543747,-0.0361829749817593,0.000102721360468156,NA,0.971901344373288,"diet"
"Streptococcaceae","ran_pars","cohort","sd__(Intercept)",9.58987265780891e-05,NA,NA,NA,NA,NA,NA,NA,0.000102721360468156,NA,NA,"diet"
"Streptococcaceae","ran_pars","Residual","sd__Observation",0.000224997798574519,NA,NA,NA,NA,NA,NA,NA,0.000102721360468156,NA,NA,"diet"
"[Clostridium] methylpentosum group","fixed",NA,"dietHFHS",-8.22334607951976e-05,8.22334607951976e-05,-1,11.9999999997246,0.337049057954028,-0.000261404780204167,9.6937858613772e-05,-1,0.0714285714285714,NA,0.365433525410842,"diet"
"[Clostridium] methylpentosum group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"[Clostridium] methylpentosum group","ran_pars","Residual","sd__Observation",0.000153844718012168,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Acholeplasmataceae","fixed",NA,"dietHFHS",1.60501200465428e-05,6.66952019822397e-05,0.240648795858161,9.84082351090688,0.814766554431151,-0.000132882516997749,0.000164982757090835,0.240648795858161,0.00454431067381916,NA,1,"diet"
"Acholeplasmataceae","ran_pars","cohort","sd__(Intercept)",6.02402923836212e-05,NA,NA,NA,NA,NA,NA,NA,0.00454431067381916,NA,NA,"diet"
"Acholeplasmataceae","ran_pars","Residual","sd__Observation",0.000123258702108156,NA,NA,NA,NA,NA,NA,NA,0.00454431067381916,NA,NA,"diet"
"Mitochondria","fixed",NA,"dietHFHS",4.02927260924425e-05,6.19384133756158e-05,0.65052887047806,11.9999999997867,0.527609915162298,-9.46594836198475e-05,0.000175244935804732,0.65052887047806,0.0315266252155398,NA,0.562368027857293,"diet"
"Mitochondria","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0315266252155398,NA,NA,"diet"
"Mitochondria","ran_pars","Residual","sd__Observation",0.000115876160965965,NA,NA,NA,NA,NA,NA,NA,0.0315266252155398,NA,NA,"diet"
"Carnobacteriaceae","fixed",NA,"dietHFHS",-4.11167303975988e-05,4.11167303975988e-05,-1,11.9999999994723,0.337049057954434,-0.000130702390102293,4.8468929307095e-05,-1,0.0714285714285714,NA,0.365433525411888,"diet"
"Carnobacteriaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Carnobacteriaceae","ran_pars","Residual","sd__Observation",7.69223590060841e-05,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Planococcaceae","fixed",NA,"dietHFHS",-3.52429117693704e-05,3.52429117693704e-05,-1,11.9999999998657,0.337049057953801,-0.0001120306200874,4.15447965486593e-05,-1,0.0714285714285714,NA,0.365433525410257,"diet"
"Planococcaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Planococcaceae","ran_pars","Residual","sd__Observation",6.59334505766435e-05,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Monoglobaceae","fixed",NA,"dietHFHS",1.75032257017667e-06,3.03795050531493e-05,0.0576152431421928,11.9999999999439,0.955003386262208,-6.44409327985997e-05,6.7941577938953e-05,0.0576152431421928,0.000255282217605098,NA,0.955003386262208,"diet"
"Monoglobaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000255282217605098,NA,NA,"diet"
"Monoglobaceae","ran_pars","Residual","sd__Observation",5.68348497443261e-05,NA,NA,NA,NA,NA,NA,NA,0.000255282217605098,NA,NA,"diet"
"Bacteroidaceae","fixed",NA,"treatmentFOS+GOS",0.19971723694234,0.0707441751406449,2.82309089822994,14.9048470000619,0.0129089189090342,0.048845711219,0.350588762665679,2.82309089822994,0.312099191632453,0.507263065939185,0.0387267567271027,"treatment"
"Bacteroidaceae","fixed",NA,"treatmentB. longum APC1472",-0.0246273673876326,0.0704424779206328,-0.349609612191385,15.1257999035483,0.731451689417018,-0.174663266627186,0.12540853185192,-0.349609612191385,0.312099191632453,0.507263065939185,0.731451689417018,"treatment"
"Bacteroidaceae","ran_pars","cohort","sd__(Intercept)",0.0814004978822151,NA,NA,NA,NA,NA,NA,NA,0.312099191632453,0.507263065939185,NA,"treatment"
"Bacteroidaceae","ran_pars","Residual","sd__Observation",0.129340609809471,NA,NA,NA,NA,NA,NA,NA,0.312099191632453,0.507263065939185,NA,"treatment"
"Lachnospiraceae","fixed",NA,"treatmentFOS+GOS",-0.141201407177853,0.0580601170111379,-2.431986266076,17.9999999996551,0.0256805203950142,-0.263181186665694,-0.0192216276900124,-2.431986266076,0.231306329764028,NA,0.0513610407900284,"treatment"
"Lachnospiraceae","fixed",NA,"treatmentB. longum APC1472",-0.0544158719860443,0.0580601170111379,-0.937233246974089,17.9999999997882,0.361044655221412,-0.17639565147382,0.0675639075017318,-0.937233246974089,0.231306329764028,NA,0.361044655221412,"treatment"
"Lachnospiraceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.231306329764028,NA,NA,"treatment"
"Lachnospiraceae","ran_pars","Residual","sd__Observation",0.108620532845842,NA,NA,NA,NA,NA,NA,NA,0.231306329764028,NA,NA,"treatment"
"Akkermansiaceae","fixed",NA,"treatmentFOS+GOS",0.0622846130817533,0.0491339529411083,1.26764913778477,17.9999999996109,0.221077130360288,-0.0409419915765469,0.165511217740054,1.26764913778477,0.215019048423976,NA,0.24055762594722,"treatment"
"Akkermansiaceae","fixed",NA,"treatmentB. longum APC1472",0.114865512565676,0.0491339529411083,2.33780320307942,17.99999999961,0.0311446575864605,0.0116389079073755,0.218092117223977,2.33780320307942,0.215019048423976,NA,0.0934339727593814,"treatment"
"Akkermansiaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.215019048423976,NA,NA,"treatment"
"Akkermansiaceae","ran_pars","Residual","sd__Observation",0.0919212089817505,NA,NA,NA,NA,NA,NA,NA,0.215019048423976,NA,NA,"treatment"
"Muribaculaceae","fixed",NA,"treatmentFOS+GOS",0.149469055940658,0.0367799507678728,4.06387319232681,16.023608608008,0.000899970669531713,0.0715083788226778,0.227429733058638,4.06387319232681,0.486331067247247,0.529969189268068,0.00269991200859514,"treatment"
"Muribaculaceae","fixed",NA,"treatmentB. longum APC1472",0.0128100496961069,0.0366392716045404,0.349626210760137,15.708388921722,0.731262495320884,-0.0649790885353875,0.0905991879276014,0.349626210760137,0.486331067247247,0.529969189268068,0.731262495320884,"treatment"
"Muribaculaceae","ran_pars","cohort","sd__(Intercept)",0.020762885002278,NA,NA,NA,NA,NA,NA,NA,0.486331067247247,0.529969189268068,NA,"treatment"
"Muribaculaceae","ran_pars","Residual","sd__Observation",0.0681424643986517,NA,NA,NA,NA,NA,NA,NA,0.486331067247247,0.529969189268068,NA,"treatment"
"Oscillospiraceae","fixed",NA,"treatmentFOS+GOS",-0.119113101582098,0.0327685061881348,-3.63498723128331,15.8267263301745,0.00226291308650313,-0.188641092860093,-0.0495851103041029,-3.63498723128331,0.454892569347247,0.513911057059302,0.00452582617300626,"treatment"
"Oscillospiraceae","fixed",NA,"treatmentB. longum APC1472",0.00432165670657037,0.0326269168178914,0.132456791142476,15.5880499403275,0.896317706758557,-0.0649931708825533,0.073636484295694,0.132456791142476,0.454892569347247,0.513911057059302,0.896317706758557,"treatment"
"Oscillospiraceae","ran_pars","cohort","sd__(Intercept)",0.0211106777924904,NA,NA,NA,NA,NA,NA,NA,0.454892569347247,0.513911057059302,NA,"treatment"
"Oscillospiraceae","ran_pars","Residual","sd__Observation",0.0605851252314874,NA,NA,NA,NA,NA,NA,NA,0.454892569347247,0.513911057059302,NA,"treatment"
"Bifidobacteriaceae","fixed",NA,"treatmentFOS+GOS",0.0950210817688842,0.0217213656844204,4.37454454519119,17.9999999994643,0.000365478191055413,0.0493861858582527,0.140655977679516,4.37454454519119,0.555989594486459,NA,0.00109643457316624,"treatment"
"Bifidobacteriaceae","fixed",NA,"treatmentB. longum APC1472",0.00178971265456744,0.0217213656844204,0.0823941128089892,17.9999999994833,0.935242647527487,-0.0438451832560606,0.0474246085651954,0.0823941128089892,0.555989594486459,NA,1,"treatment"
"Bifidobacteriaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.555989594486459,NA,NA,"treatment"
"Bifidobacteriaceae","ran_pars","Residual","sd__Observation",0.0406369541819647,NA,NA,NA,NA,NA,NA,NA,0.555989594486459,NA,NA,"treatment"
"Lactobacillaceae","fixed",NA,"treatmentFOS+GOS",-0.0169597529173707,0.0247886282816243,-0.684174724179593,15.5986288611143,0.503903432804937,-0.0696194057063537,0.0356998998716122,-0.684174724179593,0.0569476880539695,0.14593032810773,0.544302181355249,"treatment"
"Lactobacillaceae","fixed",NA,"treatmentB. longum APC1472",-0.0281261283996513,0.024688330212195,-1.13924790206177,15.2749616390265,0.272151090677624,-0.0806656770590314,0.0244134202597289,-1.13924790206177,0.0569476880539695,0.14593032810773,0.544302181355249,"treatment"
"Lactobacillaceae","ran_pars","cohort","sd__(Intercept)",0.0148112952693685,NA,NA,NA,NA,NA,NA,NA,0.0569476880539695,0.14593032810773,NA,"treatment"
"Lactobacillaceae","ran_pars","Residual","sd__Observation",0.0458867233106254,NA,NA,NA,NA,NA,NA,NA,0.0569476880539695,0.14593032810773,NA,"treatment"
"Erysipelotrichaceae","fixed",NA,"treatmentFOS+GOS",-0.0132455398306947,0.0217448105310225,-0.609135674546246,18.0000000000888,0.550046170262375,-0.0589296915361691,0.0324386118747797,-0.609135674546246,0.042782063990617,NA,1,"treatment"
"Erysipelotrichaceae","fixed",NA,"treatmentB. longum APC1472",0.0069938556472335,0.0217448105310225,0.321633321994489,18.0000000000692,0.751435465644739,-0.0386902960582444,0.0526780073527114,0.321633321994489,0.042782063990617,NA,1,"treatment"
"Erysipelotrichaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.042782063990617,NA,NA,"treatment"
"Erysipelotrichaceae","ran_pars","Residual","sd__Observation",0.0406808154737,NA,NA,NA,NA,NA,NA,NA,0.042782063990617,NA,NA,"treatment"
"Peptostreptococcaceae","fixed",NA,"treatmentFOS+GOS",-0.0442650169388738,0.0191884217749968,-2.30686074435537,15.4394241207795,0.0353026943707812,-0.0850630185710085,-0.0034670153067391,-2.30686074435537,0.37648230274013,0.536210123788294,0.0706053887415625,"treatment"
