"phylum","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Firmicutes","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.101783541923129,NA,NA,"diet"
"Firmicutes","Male","week 10","ran_pars","Residual","sd__Observation",0.093375630207234,NA,NA,NA,NA,NA,NA,NA,0.101783541923129,NA,NA,"diet"
"Verrucomicrobiota","Male","week 5","fixed",NA,"dietHFHS",0.111411716302002,0.0663818519366095,1.67834600951467,10.6477898464131,0.122349092850983,-0.0352855692805836,0.258109001884588,1.67834600951467,0.378578153499475,NA,0.244698185701967,"diet"
"Verrucomicrobiota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.101529811788971,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Verrucomicrobiota","Male","week 5","ran_pars","cohort","sd__(Intercept)",3.56847098061755e-06,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Verrucomicrobiota","Male","week 5","ran_pars","Residual","sd__Observation",0.0729051245123942,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Verrucomicrobiota","Male","week 10","fixed",NA,"dietHFHS",0.00721959143940285,0.0460956352815497,0.156622018447212,8.87155890602449,0.879048982730601,-0.0972865642091284,0.111725747087934,0.156622018447212,0.00177698143741484,0.65601756802517,0.879048982730601,"diet"
"Verrucomicrobiota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0701232912299196,NA,NA,NA,NA,NA,NA,NA,0.00177698143741484,0.65601756802517,NA,"diet"
"Verrucomicrobiota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00942692936392229,NA,NA,NA,NA,NA,NA,NA,0.00177698143741484,0.65601756802517,NA,"diet"
"Verrucomicrobiota","Male","week 10","ran_pars","Residual","sd__Observation",0.0513039748781654,NA,NA,NA,NA,NA,NA,NA,0.00177698143741484,0.65601756802517,NA,"diet"
"Actinobacteriota","Male","week 10","fixed",NA,"dietHFHS",-0.0695129727931208,0.061592904659934,-1.12858734584633,8.32937620352282,0.290527210640997,-0.210574741054643,0.0715487954684015,-1.12858734584633,0.0861672431098798,0.785329239519865,0.290527210640997,"diet"
"Actinobacteriota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0976393245481326,NA,NA,NA,NA,NA,NA,NA,0.0861672431098798,0.785329239519865,NA,"diet"
"Actinobacteriota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0263545654032054,NA,NA,NA,NA,NA,NA,NA,0.0861672431098798,0.785329239519865,NA,"diet"
"Actinobacteriota","Male","week 10","ran_pars","Residual","sd__Observation",0.0560393278363436,NA,NA,NA,NA,NA,NA,NA,0.0861672431098798,0.785329239519865,NA,"diet"
"Actinobacteriota","Male","week 5","fixed",NA,"dietHFHS",-0.166264633529228,0.0316784189814821,-5.24851425276052,7.94949172015832,0.000791234375531225,-0.23939606699642,-0.0931332000620368,-5.24851425276052,0.579407624264232,0.816673451204298,0.00158246875106245,"diet"
"Actinobacteriota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0403892234344331,NA,NA,NA,NA,NA,NA,NA,0.579407624264232,0.816673451204298,NA,"diet"
"Actinobacteriota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0363563401790794,NA,NA,NA,NA,NA,NA,NA,0.579407624264232,0.816673451204298,NA,"diet"
"Actinobacteriota","Male","week 5","ran_pars","Residual","sd__Observation",0.0477674618189202,NA,NA,NA,NA,NA,NA,NA,0.579407624264232,0.816673451204298,NA,"diet"
"Actinobacteriota","Female","week 10","fixed",NA,"dietHFHS",-0.0214105184239811,0.035988700447584,-0.594923355322724,6.20403378358304,0.572939803646563,-0.108774417043056,0.0659533801950943,-0.594923355322724,0.0243258477238322,0.554362021955118,0.572939803646563,"diet"
"Actinobacteriota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0428166097372503,NA,NA,NA,NA,NA,NA,NA,0.0243258477238322,0.554362021955118,NA,"diet"
"Actinobacteriota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0277917847653414,NA,NA,NA,NA,NA,NA,NA,0.0243258477238322,0.554362021955118,NA,"diet"
"Actinobacteriota","Female","week 10","ran_pars","Residual","sd__Observation",0.0468054037673941,NA,NA,NA,NA,NA,NA,NA,0.0243258477238322,0.554362021955118,NA,"diet"
"Actinobacteriota","Female","week 5","fixed",NA,"dietHFHS",-0.101114466177683,0.0398207780081866,-2.53923884050922,6.84544806233855,0.0394319040361718,-0.19570832226078,-0.00652061009458565,-2.53923884050922,0.316597014365725,0.865321172359377,0.0788638080723437,"diet"
"Actinobacteriota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0521799415592696,NA,NA,NA,NA,NA,NA,NA,0.316597014365725,0.865321172359377,NA,"diet"
"Actinobacteriota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0435886484346344,NA,NA,NA,NA,NA,NA,NA,0.316597014365725,0.865321172359377,NA,"diet"
"Actinobacteriota","Female","week 5","ran_pars","Residual","sd__Observation",0.0336838137034978,NA,NA,NA,NA,NA,NA,NA,0.316597014365725,0.865321172359377,NA,"diet"
"Verrucomicrobiota","Female","week 5","fixed",NA,"dietHFHS",0.00197996100296733,0.0281369043870356,0.070368828629194,5.79439400493834,0.946265572681153,-0.0674651106411831,0.0714250326471178,0.070368828629194,0.000223516601261044,0.456193109186422,0.946265572681153,"diet"
"Verrucomicrobiota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206002739608891,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Verrucomicrobiota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0407659365702691,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Verrucomicrobiota","Female","week 5","ran_pars","Residual","sd__Observation",0.0498810749900715,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Verrucomicrobiota","Female","week 10","fixed",NA,"dietHFHS",0.00912119190696297,0.0101251678141807,0.90084352915004,20.0349039521662,0.378373266379196,-0.0119971794312053,0.0302395632451313,0.90084352915004,0.0398265392216975,NA,0.378373266379196,"diet"
"Verrucomicrobiota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.93359388135483e-07,NA,NA,NA,NA,NA,NA,NA,0.0398265392216975,NA,NA,"diet"
"Verrucomicrobiota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00859408380267372,NA,NA,NA,NA,NA,NA,NA,0.0398265392216975,NA,NA,"diet"
"Verrucomicrobiota","Female","week 10","ran_pars","Residual","sd__Observation",0.0228745134189489,NA,NA,NA,NA,NA,NA,NA,0.0398265392216975,NA,NA,"diet"
"Deferribacterota","Female","week 10","fixed",NA,"dietHFHS",0.00725265640435325,0.00640685908449355,1.13201434723401,19.6868654845873,0.271228928746489,-0.00612545797650316,0.0206307707852097,1.13201434723401,0.0618773658141823,NA,0.542457857492978,"diet"
"Deferribacterota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0618773658141823,NA,NA,"diet"
"Deferribacterota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00559859590889149,NA,NA,NA,NA,NA,NA,NA,0.0618773658141823,NA,NA,"diet"
"Deferribacterota","Female","week 10","ran_pars","Residual","sd__Observation",0.0144235680884869,NA,NA,NA,NA,NA,NA,NA,0.0618773658141823,NA,NA,"diet"
"Desulfobacterota","Female","week 10","fixed",NA,"dietHFHS",0.00816241548428566,0.0070661022956448,1.15515104972604,21.9999999995677,0.26042132580283,-0.00649178376172359,0.0228166147302949,1.15515104972604,0.0548349405064605,NA,0.26042132580283,"diet"
"Desulfobacterota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0548349405064605,NA,NA,"diet"
"Desulfobacterota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0548349405064605,NA,NA,"diet"
"Desulfobacterota","Female","week 10","ran_pars","Residual","sd__Observation",0.0173083450946386,NA,NA,NA,NA,NA,NA,NA,0.0548349405064605,NA,NA,"diet"
"Deferribacterota","Female","week 5","fixed",NA,"dietHFHS",0.000250555832634776,0.0120970447295308,0.0207121522848577,7.20643866922059,0.9840371280255,-0.0281891315828923,0.0286902432481618,0.0207121522848577,0.000142238535167757,NA,0.9840371280255,"diet"
"Deferribacterota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0172613658805167,NA,NA,NA,NA,NA,NA,NA,0.000142238535167757,NA,NA,"diet"
"Deferribacterota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000142238535167757,NA,NA,"diet"
"Deferribacterota","Female","week 5","ran_pars","Residual","sd__Observation",0.0107294312117793,NA,NA,NA,NA,NA,NA,NA,0.000142238535167757,NA,NA,"diet"
"Desulfobacterota","Male","week 10","fixed",NA,"dietHFHS",0.0055488265596795,0.00446470535188421,1.24282032572155,21.9999999999978,0.227017701280182,-0.00371040562572019,0.0148080587450792,1.24282032572155,0.0629304292342624,NA,0.227017701280182,"diet"
"Desulfobacterota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0629304292342624,NA,NA,"diet"
"Desulfobacterota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0629304292342624,NA,NA,"diet"
"Desulfobacterota","Male","week 10","ran_pars","Residual","sd__Observation",0.0109362499639895,NA,NA,NA,NA,NA,NA,NA,0.0629304292342624,NA,NA,"diet"
"Desulfobacterota","Female","week 5","fixed",NA,"dietHFHS",0.0090960879079943,0.00493663428160108,1.8425687197238,6.79641580975194,0.109204042090884,-0.00264845690049316,0.0208406327164818,1.8425687197238,0.193713964781731,NA,0.109204042090884,"diet"
"Desulfobacterota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00454788701724327,NA,NA,NA,NA,NA,NA,NA,0.193713964781731,NA,NA,"diet"
"Desulfobacterota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.193713964781731,NA,NA,"diet"
"Desulfobacterota","Female","week 5","ran_pars","Residual","sd__Observation",0.00947830020708348,NA,NA,NA,NA,NA,NA,NA,0.193713964781731,NA,NA,"diet"
"Deferribacterota","Male","week 10","fixed",NA,"dietHFHS",-0.00220330175594285,0.00312078203071603,-0.706009498342737,19.4706494809823,0.488544616048735,-0.00872450358943435,0.00431790007754865,-0.706009498342737,0.0243570039996675,NA,0.488544616048735,"diet"
"Deferribacterota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",4.87671118048265e-10,NA,NA,NA,NA,NA,NA,NA,0.0243570039996675,NA,NA,"diet"
"Deferribacterota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00900616205717476,NA,NA,NA,NA,NA,NA,NA,0.0243570039996675,NA,NA,"diet"
"Deferribacterota","Male","week 10","ran_pars","Residual","sd__Observation",0.0071222828930145,NA,NA,NA,NA,NA,NA,NA,0.0243570039996675,NA,NA,"diet"
"Desulfobacterota","Male","week 5","fixed",NA,"dietHFHS",0.00339685190605543,0.00392912031180971,0.86453242366887,10.0366736503194,0.407483112941564,-0.00535343957843909,0.01214714339055,0.86453242366887,0.0411917876895431,NA,0.407483112941564,"diet"
"Desulfobacterota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00321352620653023,NA,NA,NA,NA,NA,NA,NA,0.0411917876895431,NA,NA,"diet"
"Desulfobacterota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0411917876895431,NA,NA,"diet"
"Desulfobacterota","Male","week 5","ran_pars","Residual","sd__Observation",0.00837045127607347,NA,NA,NA,NA,NA,NA,NA,0.0411917876895431,NA,NA,"diet"
"Proteobacteria","Male","week 5","fixed",NA,"dietHFHS",-0.000713080568573585,0.00228783920645517,-0.311682991777402,8.63884323772687,0.762671787765676,-0.00592170277711259,0.00449554163996542,-0.311682991777402,0.00549517542793031,0.39211871767097,0.762671787765676,"diet"
"Proteobacteria","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.00275603827674568,NA,NA,NA,NA,NA,NA,NA,0.00549517542793031,0.39211871767097,NA,"diet"
"Proteobacteria","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.00131793551737421,NA,NA,NA,NA,NA,NA,NA,0.00549517542793031,0.39211871767097,NA,"diet"
"Proteobacteria","Male","week 5","ran_pars","Residual","sd__Observation",0.00383061860841744,NA,NA,NA,NA,NA,NA,NA,0.00549517542793031,0.39211871767097,NA,"diet"
"Proteobacteria","Female","week 10","fixed",NA,"dietHFHS",0.000356055548015472,0.00168777993064898,0.21096088509511,5.30036512765513,0.84079066862144,-0.00390960389886205,0.004621714994893,0.21096088509511,0.00100574536436323,0.963714969761153,0.84079066862144,"diet"
"Proteobacteria","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0020961318856173,NA,NA,NA,NA,NA,NA,NA,0.00100574536436323,0.963714969761153,NA,"diet"
"Proteobacteria","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00522139435012775,NA,NA,NA,NA,NA,NA,NA,0.00100574536436323,0.963714969761153,NA,"diet"
"Proteobacteria","Female","week 10","ran_pars","Residual","sd__Observation",0.00109231824913205,NA,NA,NA,NA,NA,NA,NA,0.00100574536436323,0.963714969761153,NA,"diet"
"Proteobacteria","Male","week 10","fixed",NA,"dietHFHS",-0.00159571479138661,0.000830004565539365,-1.9225373662248,8.58356107084776,0.0882778494175786,-0.00348729361942769,0.000295864036654472,-1.9225373662248,0.165165698096351,0.734591166651064,0.0897614633849046,"diet"
"Proteobacteria","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.00117706682691408,NA,NA,NA,NA,NA,NA,NA,0.165165698096351,0.734591166651064,NA,"diet"
"Proteobacteria","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.000951102222586429,NA,NA,NA,NA,NA,NA,NA,0.165165698096351,0.734591166651064,NA,"diet"
"Proteobacteria","Male","week 10","ran_pars","Residual","sd__Observation",0.00103315322513575,NA,NA,NA,NA,NA,NA,NA,0.165165698096351,0.734591166651064,NA,"diet"
"Proteobacteria","Female","week 5","fixed",NA,"dietHFHS",1.16507068444931e-05,0.000356810980748959,0.0326523214617382,19.3245285463789,0.974286746555614,-0.000734315307603906,0.000757616721292893,0.0326523214617382,7.4160314070958e-05,NA,0.974286746555614,"diet"
"Proteobacteria","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,7.4160314070958e-05,NA,NA,"diet"
"Proteobacteria","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00256949725765194,NA,NA,NA,NA,NA,NA,NA,7.4160314070958e-05,NA,NA,"diet"
"Proteobacteria","Female","week 5","ran_pars","Residual","sd__Observation",0.000690974622594871,NA,NA,NA,NA,NA,NA,NA,7.4160314070958e-05,NA,NA,"diet"
"Deferribacterota","Male","week 5","fixed",NA,"dietHFHS",0.000907437073308713,0.000464255056258878,1.95460891825529,20.848200540936,0.0641715405376541,-5.84623897097863e-05,0.00187333653632721,1.95460891825529,0.156959403790328,NA,0.128343081075308,"diet"
"Deferribacterota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.156959403790328,NA,NA,"diet"
"Deferribacterota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.000849570288549309,NA,NA,NA,NA,NA,NA,NA,0.156959403790328,NA,NA,"diet"
"Deferribacterota","Male","week 5","ran_pars","Residual","sd__Observation",0.00107413483067058,NA,NA,NA,NA,NA,NA,NA,0.156959403790328,NA,NA,"diet"
"Patescibacteria","Female","week 10","fixed",NA,"dietHFHS",-0.000127106853054452,0.000143772444596819,-0.884083548908819,7.5332743705131,0.403982861551535,-0.000462256340309937,0.000208042634201033,-0.884083548908819,0.15536463692901,NA,0.403982861551535,"diet"
"Patescibacteria","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000197863625613799,NA,NA,NA,NA,NA,NA,NA,0.15536463692901,NA,NA,"diet"
"Patescibacteria","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.15536463692901,NA,NA,"diet"
"Patescibacteria","Female","week 10","ran_pars","Residual","sd__Observation",0.000151369792867186,NA,NA,NA,NA,NA,NA,NA,0.15536463692901,NA,NA,"diet"
"Patescibacteria","Male","week 5","fixed",NA,"dietHFHS",1.36090231323947e-05,7.82514438488176e-05,0.173914019512374,8.30247087173209,0.866099037489001,-0.00016570121856016,0.00019291926482495,0.173914019512374,0.00134954310872002,NA,0.866099037489001,"diet"
"Patescibacteria","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",2.09835608213269e-05,NA,NA,NA,NA,NA,NA,NA,0.00134954310872002,NA,NA,"diet"
"Patescibacteria","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00134954310872002,NA,NA,"diet"
"Patescibacteria","Male","week 5","ran_pars","Residual","sd__Observation",0.000189082802698138,NA,NA,NA,NA,NA,NA,NA,0.00134954310872002,NA,NA,"diet"
"Patescibacteria","Male","week 10","fixed",NA,"dietHFHS",-0.000252176720609821,0.000126443395994977,-1.99438427468239,8.66777461574952,0.0784658063116826,-0.000539891517607469,3.55380763878269e-05,-1.99438427468239,0.179293470700505,0.74825736928186,0.0784658063116826,"diet"
"Patescibacteria","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.000181781175691783,NA,NA,NA,NA,NA,NA,NA,0.179293470700505,0.74825736928186,NA,"diet"
"Patescibacteria","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.000140000645230448,NA,NA,NA,NA,NA,NA,NA,0.179293470700505,0.74825736928186,NA,"diet"
"Patescibacteria","Male","week 10","ran_pars","Residual","sd__Observation",0.000152620490832083,NA,NA,NA,NA,NA,NA,NA,0.179293470700505,0.74825736928186,NA,"diet"
"Patescibacteria","Female","week 5","fixed",NA,"dietHFHS",-6.0526954111551e-05,8.08495328663624e-05,-0.748637029376497,6.76982627398126,0.479272080518015,-0.000253031326954148,0.000131977418731046,-0.748637029376497,0.0667645053777092,NA,0.479272080518015,"diet"
"Patescibacteria","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",9.67609191776866e-05,NA,NA,NA,NA,NA,NA,NA,0.0667645053777092,NA,NA,"diet"
"Patescibacteria","Female","week 5","ran_pars","cohort","sd__(Intercept)",3.01148004584719e-05,NA,NA,NA,NA,NA,NA,NA,0.0667645053777092,NA,NA,"diet"
"Patescibacteria","Female","week 5","ran_pars","Residual","sd__Observation",0.000115580171074726,NA,NA,NA,NA,NA,NA,NA,0.0667645053777092,NA,NA,"diet"
"Bacteroidota","Female","week 10","fixed",NA,"treatmentFOS+GOS",0.0590531963033349,0.0667124768900327,0.885189683493191,9.90339164671894,0.397037637119853,-0.0897882507657869,0.207894643372457,0.885189683493191,0.1061368402858,NA,0.397037637119853,"treatment"
"Bacteroidota","Female","week 10","fixed",NA,"treatmentB. longum APC1472",0.0939137818105473,0.0644828983062532,1.45641378221735,10.4010476421838,0.174793007050195,-0.0490156659205479,0.236843229541642,1.45641378221735,0.1061368402858,NA,0.349586014100389,"treatment"
"Bacteroidota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0675634848884985,NA,NA,NA,NA,NA,NA,NA,0.1061368402858,NA,NA,"treatment"
"Bacteroidota","Female","week 10","ran_pars","cohort","sd__(Intercept)",1.50970009707334e-06,NA,NA,NA,NA,NA,NA,NA,0.1061368402858,NA,NA,"treatment"
"Bacteroidota","Female","week 10","ran_pars","Residual","sd__Observation",0.114337193886711,NA,NA,NA,NA,NA,NA,NA,0.1061368402858,NA,NA,"treatment"
"Bacteroidota","Male","week 10","fixed",NA,"treatmentFOS+GOS",-0.0481973641821977,0.0435149479665378,-1.10760477570284,30.785467987549,0.276611717983679,-0.136971759193987,0.0405770308295918,-1.10760477570284,0.0848777786836856,NA,0.553223435967358,"treatment"
"Bacteroidota","Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.0259409415092758,0.0454724308333658,0.570476243162295,32.1710302881457,0.57231801681148,-0.0666640608512243,0.118545943869776,0.570476243162295,0.0848777786836856,NA,0.57231801681148,"treatment"
"Bacteroidota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0848777786836856,NA,NA,"treatment"
"Bacteroidota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.109161516866969,NA,NA,NA,NA,NA,NA,NA,0.0848777786836856,NA,NA,"treatment"
"Bacteroidota","Male","week 10","ran_pars","Residual","sd__Observation",0.103238216428191,NA,NA,NA,NA,NA,NA,NA,0.0848777786836856,NA,NA,"treatment"
"Firmicutes","Female","week 5","fixed",NA,"treatmentFOS+GOS",-0.268906863277224,0.0585494931671435,-4.59281282776548,8.77290325657798,0.00139360196272975,-0.401879502057759,-0.135934224496688,-4.59281282776548,0.594291187964176,NA,0.0027872039254595,"treatment"
"Firmicutes","Female","week 5","fixed",NA,"treatmentB. longum APC1472",-0.0681424781783868,0.0565202840459839,-1.20562872831544,9.15234025842884,0.258204258794902,-0.195676566547156,0.0593916101903826,-1.20562872831544,0.594291187964176,NA,0.258204258794902,"treatment"
"Firmicutes","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0626846941940433,NA,NA,NA,NA,NA,NA,NA,0.594291187964176,NA,NA,"treatment"
