"genus","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Turicibacter","ran_pars","Residual","sd__Observation",0.0241703819784879,NA,NA,NA,NA,NA,NA,NA,0.131586966528027,0.497052815267509,NA,"diet"
"Coriobacteriaceae UCG-002","fixed",NA,"dietHFHS",0.00917474519262878,0.01393208191781,0.65853368123685,11.99999999972,0.522629910580751,-0.0211806536339491,0.0395301440192066,0.65853368123685,0.0322820732369805,NA,1,"diet"
"Coriobacteriaceae UCG-002","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0322820732369805,NA,NA,"diet"
"Coriobacteriaceae UCG-002","ran_pars","Residual","sd__Observation",0.0260645386104568,NA,NA,NA,NA,NA,NA,NA,0.0322820732369805,NA,NA,"diet"
"Rikenellaceae RC9 gut group","fixed",NA,"dietHFHS",0.0127766965194635,0.0100979920316863,1.26527100431172,7.97167685571385,0.241503468611303,-0.0105237237843509,0.0360771168232779,1.26527100431172,0.0731167671364918,0.432608877841724,0.241503468611303,"diet"
"Rikenellaceae RC9 gut group","ran_pars","cohort","sd__(Intercept)",0.0146999926251061,NA,NA,NA,NA,NA,NA,NA,0.0731167671364918,0.432608877841724,NA,"diet"
"Rikenellaceae RC9 gut group","ran_pars","Residual","sd__Observation",0.0184677379306049,NA,NA,NA,NA,NA,NA,NA,0.0731167671364918,0.432608877841724,NA,"diet"
"Staphylococcus","fixed",NA,"dietHFHS",0.0122634794289519,0.0109409493967178,1.12087890952415,11.9999999998175,0.284270082657429,-0.0115748014853969,0.0361017603433008,1.12087890952415,0.0881268914353299,NA,0.568540165314857,"diet"
"Staphylococcus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0881268914353299,NA,NA,"diet"
"Staphylococcus","ran_pars","Residual","sd__Observation",0.0204686420642745,NA,NA,NA,NA,NA,NA,NA,0.0881268914353299,NA,NA,"diet"
"Lachnoclostridium","fixed",NA,"dietHFHS",0.0235202237226192,0.007839687112127,3.0001482694681,8.31202634365949,0.0163413134076274,0.00555932180457049,0.0414811256406679,3.0001482694681,0.349997722878597,0.509632465500065,0.0326826268152548,"diet"
"Lachnoclostridium","ran_pars","cohort","sd__(Intercept)",0.00824204332717815,NA,NA,NA,NA,NA,NA,NA,0.349997722878597,0.509632465500065,NA,"diet"
"Lachnoclostridium","ran_pars","Residual","sd__Observation",0.0144454820748854,NA,NA,NA,NA,NA,NA,NA,0.349997722878597,0.509632465500065,NA,"diet"
"Colidextribacter","fixed",NA,"dietHFHS",0.0311480266859411,0.00639868797393671,4.86787710430857,10.0063219229459,0.000652485853725795,0.0168920822783839,0.0454039710934983,4.86787710430857,0.629375383064359,0.658348151055245,0.00130497170745159,"diet"
"Colidextribacter","ran_pars","cohort","sd__(Intercept)",0.00346763200234357,NA,NA,NA,NA,NA,NA,NA,0.629375383064359,0.658348151055245,NA,"diet"
"Colidextribacter","ran_pars","Residual","sd__Observation",0.0119077551416193,NA,NA,NA,NA,NA,NA,NA,0.629375383064359,0.658348151055245,NA,"diet"
"Lachnospiraceae NK4A136 group","fixed",NA,"dietHFHS",0.00210592051322292,0.010756969230407,0.195772663109425,11.9999999998394,0.84806407420969,-0.0213315020543582,0.0255433430808041,0.195772663109425,0.00293955933228263,NA,0.84806407420969,"diet"
"Lachnospiraceae NK4A136 group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00293955933228263,NA,NA,"diet"
"Lachnospiraceae NK4A136 group","ran_pars","Residual","sd__Observation",0.0201244466901262,NA,NA,NA,NA,NA,NA,NA,0.00293955933228263,NA,NA,"diet"
"Mucispirillum","fixed",NA,"dietHFHS",0.0165224713045529,0.00965481151820955,1.71131992306536,11.9999999997596,0.11272231707545,-0.00451355589938772,0.0375584985084935,1.71131992306536,0.183858779778014,NA,0.225444634150899,"diet"
"Mucispirillum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Mucispirillum","ran_pars","Residual","sd__Observation",0.0180624984175094,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Lactobacillus","fixed",NA,"dietHFHS",-0.0255698768842116,0.00740599268026856,-3.45259278372449,11.9999999998963,0.00478205167681016,-0.0417061487524178,-0.00943360501600542,-3.45259278372449,0.478338967216366,NA,0.00478205167681016,"diet"
"Lactobacillus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.478338967216366,NA,NA,"diet"
"Lactobacillus","ran_pars","Residual","sd__Observation",0.0138553436092603,NA,NA,NA,NA,NA,NA,NA,0.478338967216366,NA,NA,"diet"
"Lachnospiraceae UCG-006","fixed",NA,"dietHFHS",0.0105031980828932,0.00687699495247063,1.52729472036618,11.9999999998668,0.152606656854026,-0.00448048674912499,0.0254868829149115,1.52729472036618,0.152134975553243,NA,0.305213313708051,"diet"
"Lachnospiraceae UCG-006","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.152134975553243,NA,NA,"diet"
"Lachnospiraceae UCG-006","ran_pars","Residual","sd__Observation",0.0128656794813594,NA,NA,NA,NA,NA,NA,NA,0.152134975553243,NA,NA,"diet"
"Intestinimonas","fixed",NA,"dietHFHS",0.0160930209830269,0.00304999584307449,5.27640751365898,7.42650459774963,0.000953520814423554,0.00896404747237226,0.0232219944936816,5.27640751365898,0.318800618578694,0.863046536620864,0.00190704162884711,"diet"
"Intestinimonas","ran_pars","cohort","sd__(Intercept)",0.0109103312403819,NA,NA,NA,NA,NA,NA,NA,0.318800618578694,0.863046536620864,NA,"diet"
"Intestinimonas","ran_pars","Residual","sd__Observation",0.00547301773696028,NA,NA,NA,NA,NA,NA,NA,0.318800618578694,0.863046536620864,NA,"diet"
"Dubosiella","fixed",NA,"dietHFHS",-0.000584758598827165,0.00713847628812163,-0.081916444802121,11.9999999997608,0.936063640932612,-0.0161381623196963,0.0149686451220419,-0.081916444802121,0.000515910923839975,NA,0.936063640932612,"diet"
"Dubosiella","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000515910923839975,NA,NA,"diet"
"Dubosiella","ran_pars","Residual","sd__Observation",0.0133548662668805,NA,NA,NA,NA,NA,NA,NA,0.000515910923839975,NA,NA,"diet"
"Desulfovibrio","fixed",NA,"dietHFHS",0.0132498617865116,0.00451487301258238,2.9347141657331,12.0000000001886,0.0124940736893613,0.00341279854239591,0.0230869250306273,2.9347141657331,0.398497555197225,NA,0.0124940736893613,"diet"
"Desulfovibrio","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.398497555197225,NA,NA,"diet"
"Desulfovibrio","ran_pars","Residual","sd__Observation",0.00844655397893759,NA,NA,NA,NA,NA,NA,NA,0.398497555197225,NA,NA,"diet"
"Odoribacter","fixed",NA,"dietHFHS",-0.00700622418173805,0.00444929396558673,-1.5746822385592,12.0000000001295,0.141312523659296,-0.0167004029569078,0.00268795459343169,-1.5746822385592,0.160186328041043,NA,0.141312523659296,"diet"
"Odoribacter","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.160186328041043,NA,NA,"diet"
"Odoribacter","ran_pars","Residual","sd__Observation",0.00832386681613315,NA,NA,NA,NA,NA,NA,NA,0.160186328041043,NA,NA,"diet"
"Dorea","fixed",NA,"dietHFHS",0.00703227158940471,0.00372844576008873,1.88611342149104,11.9999999998163,0.0837096042881689,-0.00109131386740879,0.0151558570462182,1.88611342149104,0.214853703896112,NA,0.167419208576338,"diet"
"Dorea","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.214853703896112,NA,NA,"diet"
"Dorea","ran_pars","Residual","sd__Observation",0.00697528330971098,NA,NA,NA,NA,NA,NA,NA,0.214853703896112,NA,NA,"diet"
"Erysipelatoclostridium","fixed",NA,"dietHFHS",0.0119109418463846,0.00365432239778215,3.25941188265531,8.24263566026492,0.0110785144448341,0.00352704270208622,0.020294840990683,3.25941188265531,0.366179665759396,0.5687808894467,0.0221570288896682,"diet"
"Erysipelatoclostridium","ran_pars","cohort","sd__(Intercept)",0.00459708326891665,NA,NA,NA,NA,NA,NA,NA,0.366179665759396,0.5687808894467,NA,"diet"
"Erysipelatoclostridium","ran_pars","Residual","sd__Observation",0.00670672251351509,NA,NA,NA,NA,NA,NA,NA,0.366179665759396,0.5687808894467,NA,"diet"
"Incertae Sedis","fixed",NA,"dietHFHS",-0.00322352839007871,0.00404670342907631,-0.796581327635,11.9999999996828,0.441169732678518,-0.0120405377392344,0.00559348095907696,-0.796581327635,0.0465392838503621,NA,0.441169732678518,"diet"
"Incertae Sedis","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0465392838503621,NA,NA,"diet"
"Incertae Sedis","ran_pars","Residual","sd__Observation",0.0075706888887434,NA,NA,NA,NA,NA,NA,NA,0.0465392838503621,NA,NA,"diet"
"Oscillibacter","fixed",NA,"dietHFHS",0.00727966958543019,0.00181016319870208,4.02155429446905,6.79348531438798,0.00537247605337489,0.00297279468448444,0.0115865444863759,4.02155429446905,0.284400108758604,0.787934073149794,0.0107449521067498,"diet"
"Oscillibacter","ran_pars","cohort","sd__(Intercept)",0.00502601198210211,NA,NA,NA,NA,NA,NA,NA,0.284400108758604,0.787934073149794,NA,"diet"
"Oscillibacter","ran_pars","Residual","sd__Observation",0.00326170426981007,NA,NA,NA,NA,NA,NA,NA,0.284400108758604,0.787934073149794,NA,"diet"
"Bilophila","fixed",NA,"dietHFHS",0.00800953510947242,0.00223057262217622,3.5907977305209,11.9999999997332,0.00370801551752381,0.00314953486275841,0.0128695353561864,3.5907977305209,0.497949865560904,NA,0.00741603103504762,"diet"
"Bilophila","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.497949865560904,NA,NA,"diet"
"Bilophila","ran_pars","Residual","sd__Observation",0.00417301926425069,NA,NA,NA,NA,NA,NA,NA,0.497949865560904,NA,NA,"diet"
"GCA-900066575","fixed",NA,"dietHFHS",0.00803469395310729,0.00213106551341738,3.7702707413358,11.9999999997634,0.00267047565731258,0.00339150107160197,0.0126778868346126,3.7702707413358,0.52232122131561,NA,0.00534095131462516,"diet"
"GCA-900066575","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.52232122131561,NA,NA,"diet"
"GCA-900066575","ran_pars","Residual","sd__Observation",0.00398685850998867,NA,NA,NA,NA,NA,NA,NA,0.52232122131561,NA,NA,"diet"
"HT002","fixed",NA,"dietHFHS",-0.00865269923851299,0.00291852057274567,-2.96475526652627,9.67151678100494,0.0146734744785483,-0.0151856307091469,-0.00211976776787906,-2.96475526652627,0.383407032517938,0.439863185292097,0.0146734744785483,"diet"
"HT002","ran_pars","cohort","sd__(Intercept)",0.00172281861958729,NA,NA,NA,NA,NA,NA,NA,0.383407032517938,0.439863185292097,NA,"diet"
"HT002","ran_pars","Residual","sd__Observation",0.00542663954984316,NA,NA,NA,NA,NA,NA,NA,0.383407032517938,0.439863185292097,NA,"diet"
"A2","fixed",NA,"dietHFHS",-0.00214149622959003,0.00283389830648334,-0.755671516049378,11.9999999998668,0.464421684484738,-0.00831603021773577,0.00403303775855571,-0.755671516049378,0.0420777968176976,NA,0.464421684484738,"diet"
"A2","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0420777968176976,NA,NA,"diet"
"A2","ran_pars","Residual","sd__Observation",0.00530173826590978,NA,NA,NA,NA,NA,NA,NA,0.0420777968176976,NA,NA,"diet"
"Roseburia","fixed",NA,"dietHFHS",0.00917498626850169,0.00161223851027248,5.69083681480295,11.9999999998371,0.000100574086523571,0.00566222031783114,0.0126877522191722,5.69083681480295,0.713565685480629,NA,0.000201148173047142,"diet"
"Roseburia","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.713565685480629,NA,NA,"diet"
"Roseburia","ran_pars","Residual","sd__Observation",0.00301622206560122,NA,NA,NA,NA,NA,NA,NA,0.713565685480629,NA,NA,"diet"
"Parasutterella","fixed",NA,"dietHFHS",0.00350714664464032,0.0026346905852603,1.33114175313828,9.59321891779509,0.213909733710189,-0.00239722679834375,0.00941152008762439,1.33114175313828,0.108626292047711,0.215558038145666,0.427819467420377,"diet"
"Parasutterella","ran_pars","cohort","sd__(Intercept)",0.00180551925008538,NA,NA,NA,NA,NA,NA,NA,0.108626292047711,0.215558038145666,NA,"diet"
"Parasutterella","ran_pars","Residual","sd__Observation",0.00489022906419184,NA,NA,NA,NA,NA,NA,NA,0.108626292047711,0.215558038145666,NA,"diet"
"Rikenella","fixed",NA,"dietHFHS",-0.00407108801559991,0.00173732234525668,-2.34331183658288,11.9999999996924,0.0371614555817534,-0.00785638823072348,-0.000285787800476339,-2.34331183658288,0.29695947163441,NA,0.0371614555817534,"diet"
"Rikenella","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.29695947163441,NA,NA,"diet"
"Rikenella","ran_pars","Residual","sd__Observation",0.00325023249316854,NA,NA,NA,NA,NA,NA,NA,0.29695947163441,NA,NA,"diet"
"Anaerotruncus","fixed",NA,"dietHFHS",0.00648221784473675,0.00180433083300536,3.59258830263391,11.9999999997565,0.00369584671958496,0.00255091867681167,0.0104135170126618,3.59258830263391,0.498199127615053,NA,0.00739169343916992,"diet"
"Anaerotruncus","ran_pars","cohort","sd__(Intercept)",1.28157036651579e-11,NA,NA,NA,NA,NA,NA,NA,0.498199127615053,NA,NA,"diet"
"Anaerotruncus","ran_pars","Residual","sd__Observation",0.00337559389474924,NA,NA,NA,NA,NA,NA,NA,0.498199127615053,NA,NA,"diet"
"Parabacteroides","fixed",NA,"dietHFHS",0.00382770239066029,0.00150012980199177,2.55158079359407,5.64820034529033,0.0457911091158659,0.000100877732483792,0.00755452704883678,2.55158079359407,0.279984689824265,0.457755771074418,0.0915822182317317,"diet"
"Parabacteroides","ran_pars","cohort","sd__(Intercept)",0.00158257362836731,NA,NA,NA,NA,NA,NA,NA,0.279984689824265,0.457755771074418,NA,"diet"
"Parabacteroides","ran_pars","Residual","sd__Observation",0.00276395416487411,NA,NA,NA,NA,NA,NA,NA,0.279984689824265,0.457755771074418,NA,"diet"
"Limosilactobacillus","fixed",NA,"dietHFHS",-0.00538565070496435,0.00159330165670132,-3.38018270571217,8.9185319500691,0.00823123650337891,-0.00899497452035114,-0.00177632688957757,-3.38018270571217,0.418310294986479,0.536060530230338,0.0103904283697961,"diet"
"Limosilactobacillus","ran_pars","cohort","sd__(Intercept)",0.00148262781784419,NA,NA,NA,NA,NA,NA,NA,0.418310294986479,0.536060530230338,NA,"diet"
"Limosilactobacillus","ran_pars","Residual","sd__Observation",0.00294294342622268,NA,NA,NA,NA,NA,NA,NA,0.418310294986479,0.536060530230338,NA,"diet"
"Tuzzerella","fixed",NA,"dietHFHS",0.00303689584959774,0.000961784064087914,3.15756515728685,6.90780043989474,0.0162636858995676,0.000756469950294428,0.00531732174890105,3.15756515728685,0.19677757558927,0.761987924065325,0.0325273717991352,"diet"
"Tuzzerella","ran_pars","cohort","sd__(Intercept)",0.00267060399103006,NA,NA,NA,NA,NA,NA,NA,0.19677757558927,0.761987924065325,NA,"diet"
"Tuzzerella","ran_pars","Residual","sd__Observation",0.00173302144729662,NA,NA,NA,NA,NA,NA,NA,0.19677757558927,0.761987924065325,NA,"diet"
"Clostridium sensu stricto 1","fixed",NA,"dietHFHS",0.00217186201151965,0.00151462085008268,1.43393114613541,11.9999999996479,0.177132404805497,-0.00112821332873272,0.00547193735177201,1.43393114613541,0.136565945922169,NA,0.354264809610993,"diet"
"Clostridium sensu stricto 1","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.136565945922169,NA,NA,"diet"
"Clostridium sensu stricto 1","ran_pars","Residual","sd__Observation",0.00283359614593684,NA,NA,NA,NA,NA,NA,NA,0.136565945922169,NA,NA,"diet"
"Escherichia-Shigella","fixed",NA,"dietHFHS",-0.00181045433190737,0.00144162516996586,-1.25584262097077,10.0661107813568,0.237539349522475,-0.00501973811384846,0.00139882945003373,-1.25584262097077,0.100468734761565,0.181851514402428,0.276097733091407,"diet"
"Escherichia-Shigella","ran_pars","cohort","sd__(Intercept)",0.000845474889104405,NA,NA,NA,NA,NA,NA,NA,0.100468734761565,0.181851514402428,NA,"diet"
"Escherichia-Shigella","ran_pars","Residual","sd__Observation",0.00268071422727843,NA,NA,NA,NA,NA,NA,NA,0.100468734761565,0.181851514402428,NA,"diet"
"Enterorhabdus","fixed",NA,"dietHFHS",0.0022266172123855,0.00127573871791709,1.7453552056654,9.65531909400498,0.112597496738126,-0.000629720659797434,0.00508295508456843,1.7453552056654,0.168080789243312,0.296937357122619,0.112597496738126,"diet"
"Enterorhabdus","ran_pars","cohort","sd__(Intercept)",0.00101158445858379,NA,NA,NA,NA,NA,NA,NA,0.168080789243312,0.296937357122619,NA,"diet"
"Enterorhabdus","ran_pars","Residual","sd__Observation",0.00236290292462168,NA,NA,NA,NA,NA,NA,NA,0.168080789243312,0.296937357122619,NA,"diet"
"Lachnospiraceae FCS020 group","fixed",NA,"dietHFHS",0.00118988257989367,0.0012879511669333,0.923856905791597,11.9999999997645,0.373764903941527,-0.00161632194661158,0.00399608710639892,0.923856905791597,0.0616097642322298,NA,0.373764903941527,"diet"
"Lachnospiraceae FCS020 group","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0616097642322298,NA,NA,"diet"
"Lachnospiraceae FCS020 group","ran_pars","Residual","sd__Observation",0.00240953599878004,NA,NA,NA,NA,NA,NA,NA,0.0616097642322298,NA,NA,"diet"
"Acetatifactor","fixed",NA,"dietHFHS",0.00277518538262462,0.00116666201420203,2.37873981396641,9.16463434656296,0.0408400815545873,0.000143221922695613,0.00540714884255363,2.37873981396641,0.230812360901847,0.490640553167133,0.0816801631091746,"diet"
"Acetatifactor","ran_pars","cohort","sd__(Intercept)",0.00152780507953217,NA,NA,NA,NA,NA,NA,NA,0.230812360901847,0.490640553167133,NA,"diet"
"Acetatifactor","ran_pars","Residual","sd__Observation",0.00213912910281662,NA,NA,NA,NA,NA,NA,NA,0.230812360901847,0.490640553167133,NA,"diet"
"UCG-009","fixed",NA,"dietHFHS",0.000686160379112909,0.000654891688698957,1.04774635402088,6.7458219089744,0.33083707994667,-0.000874319707486396,0.00224664046571221,1.04774635402088,0.028676785875302,0.684166527142149,0.33083707994667,"diet"
"UCG-009","ran_pars","cohort","sd__(Intercept)",0.00170218083268288,NA,NA,NA,NA,NA,NA,NA,0.028676785875302,0.684166527142149,NA,"diet"
"UCG-009","ran_pars","Residual","sd__Observation",0.00118154923724957,NA,NA,NA,NA,NA,NA,NA,0.028676785875302,0.684166527142149,NA,"diet"
"Enterococcus","fixed",NA,"dietHFHS",0.000667681499280719,0.000779279823175835,0.856793002235943,9.95795613436005,0.41170358044843,-0.00106965638165727,0.0024050193802187,0.856793002235943,0.0510606510780973,0.102475712319664,0.823407160896861,"diet"
"Enterococcus","ran_pars","cohort","sd__(Intercept)",0.000347643163438932,NA,NA,NA,NA,NA,NA,NA,0.0510606510780973,0.102475712319664,NA,"diet"
"Enterococcus","ran_pars","Residual","sd__Observation",0.00145248487722225,NA,NA,NA,NA,NA,NA,NA,0.0510606510780973,0.102475712319664,NA,"diet"
"UBA1819","fixed",NA,"dietHFHS",4.68118188909344e-05,0.000836532413361088,0.0559593605020636,8.71748422254175,0.956635690977175,-0.0018549458892511,0.00194856952703297,0.0559593605020636,0.000202274054841196,0.179263553535449,0.956635690977175,"diet"
"UBA1819","ran_pars","cohort","sd__(Intercept)",0.000722684289399061,NA,NA,NA,NA,NA,NA,NA,0.000202274054841196,0.179263553535449,NA,"diet"
"UBA1819","ran_pars","Residual","sd__Observation",0.00154721131093634,NA,NA,NA,NA,NA,NA,NA,0.000202274054841196,0.179263553535449,NA,"diet"
"Marvinbryantia","fixed",NA,"dietHFHS",0.000614467591098248,0.000531632551022898,1.15581258129505,9.63043876813727,0.275626842298087,-0.000576274093746746,0.00180520927594324,1.15581258129505,0.0766226588439462,0.274127139741856,0.551253684596174,"diet"
"Marvinbryantia","ran_pars","cohort","sd__(Intercept)",0.000511883576102067,NA,NA,NA,NA,NA,NA,NA,0.0766226588439462,0.274127139741856,NA,"diet"
"Marvinbryantia","ran_pars","Residual","sd__Observation",0.000981325305497768,NA,NA,NA,NA,NA,NA,NA,0.0766226588439462,0.274127139741856,NA,"diet"
"[Eubacterium] xylanophilum group","fixed",NA,"dietHFHS",7.53235193516245e-19,1.92473907675831e-11,3.91344054169079e-08,1.46553767354635e-09,0.999999999998502,-Inf,Inf,3.91344054169079e-08,2.13902079804698e-31,0.999999999999998,1,"diet"
"[Eubacterium] xylanophilum group","ran_pars","cohort","sd__(Intercept)",0.000860102317210507,NA,NA,NA,NA,NA,NA,NA,2.13902079804698e-31,0.999999999999998,NA,"diet"
"[Eubacterium] xylanophilum group","ran_pars","Residual","sd__Observation",3.42509828954849e-11,NA,NA,NA,NA,NA,NA,NA,2.13902079804698e-31,0.999999999999998,NA,"diet"
"Candidatus Arthromitus","fixed",NA,"dietHFHS",0.000271434637984547,0.000461408687036209,0.588273792000032,8.55095151675478,0.571556106646371,-0.000780759911320758,0.00132362918728985,0.588273792000032,0.0199663083079436,0.273463370211492,0.571556106646371,"diet"
"Candidatus Arthromitus","ran_pars","cohort","sd__(Intercept)",0.000501839904773744,NA,NA,NA,NA,NA,NA,NA,0.0199663083079436,0.273463370211492,NA,"diet"
"Candidatus Arthromitus","ran_pars","Residual","sd__Observation",0.000849586268672889,NA,NA,NA,NA,NA,NA,NA,0.0199663083079436,0.273463370211492,NA,"diet"
"Peptococcus","fixed",NA,"dietHFHS",0.0011188620749065,0.000406716829744407,2.75096084814003,11.9999999998502,0.0175709747650501,0.000232702228216576,0.00200502192159642,2.75096084814003,0.367943625025676,NA,0.0351419495301002,"diet"
"Peptococcus","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.367943625025676,NA,NA,"diet"
"Peptococcus","ran_pars","Residual","sd__Observation",0.000760897515169221,NA,NA,NA,NA,NA,NA,NA,0.367943625025676,NA,NA,"diet"
"Parvibacter","fixed",NA,"dietHFHS",0.00040538005893137,0.00040538005893137,1,11.9999999996172,0.337049057954201,-0.000477867214362681,0.00128862733222542,1,0.0714285714285714,NA,0.674098115908401,"diet"
"Parvibacter","ran_pars","cohort","sd__(Intercept)",8.56476198860547e-14,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Parvibacter","ran_pars","Residual","sd__Observation",0.000758396645975708,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"NK4A214 group","fixed",NA,"dietHFHS",0.000244683157481872,0.000201210923235583,1.21605305292194,7.54365646233228,0.260643756279496,-0.000224241500296439,0.000713607815260183,1.21605305292194,0.0219112400534317,0.823093133311665,0.521287512558993,"diet"
