"order","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bacteroidales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.170812025906757,NA,NA,"diet"
"Bacteroidales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0531673641122144,NA,NA,NA,NA,NA,NA,NA,0.170812025906757,NA,NA,"diet"
"Bacteroidales","Female","week 5","ran_pars","Residual","sd__Observation",0.0890476438081291,NA,NA,NA,NA,NA,NA,NA,0.170812025906757,NA,NA,"diet"
"Lactobacillales","Female","week 10","fixed",NA,"dietHFHS",0.0584549340362273,0.0409583770512918,1.42717896177929,21.999999999898,0.16756856736258,-0.026487541035528,0.143397409107983,1.42717896177929,0.0813537094184202,NA,0.232544889293721,"diet"
"Lactobacillales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0813537094184202,NA,NA,"diet"
"Lactobacillales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0813537094184202,NA,NA,"diet"
"Lactobacillales","Female","week 10","ran_pars","Residual","sd__Observation",0.100327124468185,NA,NA,NA,NA,NA,NA,NA,0.0813537094184202,NA,NA,"diet"
"Verrucomicrobiales","Male","week 5","fixed",NA,"dietHFHS",0.111411716302002,0.0663818519366095,1.67834600951467,10.6477898464131,0.122349092850983,-0.0352855692805836,0.258109001884588,1.67834600951467,0.378578153499475,NA,0.244698185701967,"diet"
"Verrucomicrobiales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.101529811788971,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Verrucomicrobiales","Male","week 5","ran_pars","cohort","sd__(Intercept)",3.56847098061755e-06,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Verrucomicrobiales","Male","week 5","ran_pars","Residual","sd__Observation",0.0729051245123942,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Lachnospirales","Female","week 5","fixed",NA,"dietHFHS",0.115285654563666,0.0331184334296595,3.48101170934072,20.4558213252298,0.00229676883899569,0.0463003676741842,0.184270941453148,3.48101170934072,0.389175109831531,NA,0.00459353767799138,"diet"
"Lachnospirales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.389175109831531,NA,NA,"diet"
"Lachnospirales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0315073535882832,NA,NA,NA,NA,NA,NA,NA,0.389175109831531,NA,NA,"diet"
"Lachnospirales","Female","week 5","ran_pars","Residual","sd__Observation",0.0737688157189608,NA,NA,NA,NA,NA,NA,NA,0.389175109831531,NA,NA,"diet"
"Verrucomicrobiales","Male","week 10","fixed",NA,"dietHFHS",0.00721672567394771,0.0460962595690479,0.156557728141428,8.87152553855048,0.879098194658468,-0.097290906225184,0.111724357573079,0.156557728141428,0.00177551826148628,0.656026888721554,0.879098194658468,"diet"
"Verrucomicrobiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0701243904237486,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Verrucomicrobiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00943101515913377,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Verrucomicrobiales","Male","week 10","ran_pars","Residual","sd__Observation",0.0513040416838702,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Lactobacillales","Female","week 5","fixed",NA,"dietHFHS",-0.121643761213447,0.0313732451713905,-3.87730885182303,19.3872281383673,0.000982866735892299,-0.187220061346937,-0.0560674610799565,-3.87730885182303,0.419002791681375,NA,0.000982866735892299,"diet"
"Lactobacillales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.419002791681375,NA,NA,"diet"
"Lactobacillales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0195246407054034,NA,NA,NA,NA,NA,NA,NA,0.419002791681375,NA,NA,"diet"
"Lactobacillales","Female","week 5","ran_pars","Residual","sd__Observation",0.073161080650444,NA,NA,NA,NA,NA,NA,NA,0.419002791681375,NA,NA,"diet"
"Lachnospirales","Male","week 10","fixed",NA,"dietHFHS",0.0185228380136484,0.0318619436317383,0.581346769918877,21.8532328529675,0.566955341993941,-0.0475805282999147,0.0846262043272114,0.581346769918877,0.0149906781630638,NA,0.566955341993941,"diet"
"Lachnospirales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0149906781630638,NA,NA,"diet"
"Lachnospirales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0203235236448987,NA,NA,NA,NA,NA,NA,NA,0.0149906781630638,NA,NA,"diet"
"Lachnospirales","Male","week 10","ran_pars","Residual","sd__Observation",0.0766882391585766,NA,NA,NA,NA,NA,NA,NA,0.0149906781630638,NA,NA,"diet"
"Lachnospirales","Female","week 10","fixed",NA,"dietHFHS",0.00292548112759437,0.0321284234813898,0.0910558567957415,21.2692772290975,0.928300324117919,-0.0638377639192554,0.0696887261744442,0.0910558567957415,0.000458627773697485,NA,0.928300324117919,"diet"
"Lachnospirales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000458627773697485,NA,NA,"diet"
"Lachnospirales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.037057022918331,NA,NA,NA,NA,NA,NA,NA,0.000458627773697485,NA,NA,"diet"
"Lachnospirales","Female","week 10","ran_pars","Residual","sd__Observation",0.0697556226632009,NA,NA,NA,NA,NA,NA,NA,0.000458627773697485,NA,NA,"diet"
"Lachnospirales","Male","week 5","fixed",NA,"dietHFHS",0.073883049922498,0.0330548591240037,2.2351645682509,10.0819652823208,0.0492005777539576,0.00031331623003078,0.147452783614965,2.2351645682509,0.356733599282892,NA,0.0984011555079152,"diet"
"Lachnospirales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0436299009398684,NA,NA,NA,NA,NA,NA,NA,0.356733599282892,NA,NA,"diet"
"Lachnospirales","Male","week 5","ran_pars","cohort","sd__(Intercept)",1.37521422212989e-06,NA,NA,NA,NA,NA,NA,NA,0.356733599282892,NA,NA,"diet"
"Lachnospirales","Male","week 5","ran_pars","Residual","sd__Observation",0.0506733887269858,NA,NA,NA,NA,NA,NA,NA,0.356733599282892,NA,NA,"diet"
"Bifidobacteriales","Male","week 5","fixed",NA,"dietHFHS",-0.176405103254213,0.0334484222953714,-5.27394391569328,8.07531846553755,0.000729125299143105,-0.253412259360132,-0.0993979471482942,-5.27394391569328,0.600672946068367,0.847376509860517,0.00145825059828621,"diet"
"Bifidobacteriales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0457096048946443,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacteriales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0352812422810615,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacteriales","Male","week 5","ran_pars","Residual","sd__Observation",0.0454165882355229,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Lactobacillales","Male","week 5","fixed",NA,"dietHFHS",-0.0778630408776668,0.0297637158373631,-2.61603898193127,4.283258885834,0.055121833611146,-0.158389082567764,0.00266300081243023,-2.61603898193127,0.137863436894514,0.649049446711015,0.055385770971815,"diet"
"Lactobacillales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0173127417351891,NA,NA,NA,NA,NA,NA,NA,0.137863436894514,0.649049446711015,NA,"diet"
"Lactobacillales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0745960218299917,NA,NA,NA,NA,NA,NA,NA,0.137863436894514,0.649049446711015,NA,"diet"
"Lactobacillales","Male","week 5","ran_pars","Residual","sd__Observation",0.0634514400613684,NA,NA,NA,NA,NA,NA,NA,0.137863436894514,0.649049446711015,NA,"diet"
"Bifidobacteriales","Female","week 10","fixed",NA,"dietHFHS",-0.0236365038388292,0.0347349263610019,-0.680482336227629,6.32364784986061,0.520324045063079,-0.107586407607866,0.0603133999302076,-0.680482336227629,0.0320360692193623,0.548355894750881,0.520324045063079,"diet"
"Bifidobacteriales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0416280635180543,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacteriales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0248199729633594,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacteriales","Female","week 10","ran_pars","Residual","sd__Observation",0.0453287254259142,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacteriales","Male","week 10","fixed",NA,"dietHFHS",-0.0686338243687019,0.0504358029922374,-1.3608155377097,8.21751339298774,0.209717943148728,-0.184405306356262,0.047137657618858,-1.3608155377097,0.12125284884483,0.826927396506772,0.209717943148728,"diet"
"Bifidobacteriales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0810426026469766,NA,NA,NA,NA,NA,NA,NA,0.12125284884483,0.826927396506772,NA,"diet"
"Bifidobacteriales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0241629136092762,NA,NA,NA,NA,NA,NA,NA,0.12125284884483,0.826927396506772,NA,"diet"
"Bifidobacteriales","Male","week 10","ran_pars","Residual","sd__Observation",0.0418811013659939,NA,NA,NA,NA,NA,NA,NA,0.12125284884483,0.826927396506772,NA,"diet"
"Oscillospirales","Female","week 5","fixed",NA,"dietHFHS",0.104980172313982,0.024676916651552,4.25418514785879,5.48640052913883,0.0065514135333549,0.0432008982707613,0.166759446357202,4.25418514785879,0.483994347199433,0.682213878113707,0.0131028270667098,"diet"
"Oscillospirales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0201732096086872,NA,NA,NA,NA,NA,NA,NA,0.483994347199433,0.682213878113707,NA,"diet"
"Oscillospirales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0277578116600162,NA,NA,NA,NA,NA,NA,NA,0.483994347199433,0.682213878113707,NA,"diet"
"Oscillospirales","Female","week 5","ran_pars","Residual","sd__Observation",0.043447651608927,NA,NA,NA,NA,NA,NA,NA,0.483994347199433,0.682213878113707,NA,"diet"
"Bifidobacteriales","Female","week 5","fixed",NA,"dietHFHS",-0.105157982897049,0.0390422357007268,-2.69344162826953,6.78445345529173,0.031860844928103,-0.198076128215278,-0.0122398375788195,-2.69344162826953,0.335023683041878,0.877654588039491,0.063721689856206,"diet"
"Bifidobacteriales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0509421196289992,NA,NA,NA,NA,NA,NA,NA,0.335023683041878,0.877654588039491,NA,"diet"
"Bifidobacteriales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0455770468281136,NA,NA,NA,NA,NA,NA,NA,0.335023683041878,0.877654588039491,NA,"diet"
"Bifidobacteriales","Female","week 5","ran_pars","Residual","sd__Observation",0.0324571246719042,NA,NA,NA,NA,NA,NA,NA,0.335023683041878,0.877654588039491,NA,"diet"
"Oscillospirales","Male","week 5","fixed",NA,"dietHFHS",0.0420768521537295,0.0232713770645894,1.80809464076602,8.08211467783918,0.107825907101942,-0.0114922833490097,0.0956459876564687,1.80809464076602,0.155770380005859,0.399849939282686,0.107825907101942,"diet"
"Oscillospirales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0260623171878733,NA,NA,NA,NA,NA,NA,NA,0.155770380005859,0.399849939282686,NA,"diet"
"Oscillospirales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.00666723716616468,NA,NA,NA,NA,NA,NA,NA,0.155770380005859,0.399849939282686,NA,"diet"
"Oscillospirales","Male","week 5","ran_pars","Residual","sd__Observation",0.0421834830997132,NA,NA,NA,NA,NA,NA,NA,0.155770380005859,0.399849939282686,NA,"diet"
"Lactobacillales","Male","week 10","fixed",NA,"dietHFHS",0.00684890022606893,0.0350389511353609,0.195465332270095,8.45195429706733,0.849646491415017,-0.0732051416209026,0.0869029420730404,0.195465332270095,0.00302495516341604,0.887488141041631,0.849646491415017,"diet"
"Lactobacillales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0583192061459314,NA,NA,NA,NA,NA,NA,NA,0.00302495516341604,0.887488141041631,NA,"diet"
"Lactobacillales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0132947871102217,NA,NA,NA,NA,NA,NA,NA,0.00302495516341604,0.887488141041631,NA,"diet"
"Lactobacillales","Male","week 10","ran_pars","Residual","sd__Observation",0.0213339968156235,NA,NA,NA,NA,NA,NA,NA,0.00302495516341604,0.887488141041631,NA,"diet"
"Verrucomicrobiales","Female","week 5","fixed",NA,"dietHFHS",0.00197996100296733,0.0281369043870356,0.070368828629194,5.79439400493834,0.946265572681153,-0.0674651106411831,0.0714250326471178,0.070368828629194,0.000223516601261044,0.456193109186422,0.946265572681153,"diet"
"Verrucomicrobiales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206002739608891,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Verrucomicrobiales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0407659365702691,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Verrucomicrobiales","Female","week 5","ran_pars","Residual","sd__Observation",0.0498810749900715,NA,NA,NA,NA,NA,NA,NA,0.000223516601261044,0.456193109186422,NA,"diet"
"Oscillospirales","Female","week 10","fixed",NA,"dietHFHS",0.0185858926719882,0.0232472143833745,0.79948902115688,18.8703835638072,0.433955920271617,-0.0300937166493634,0.0672655019933399,0.79948902115688,0.0283943952035768,NA,0.433955920271617,"diet"
"Oscillospirales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0283943952035768,NA,NA,"diet"
"Oscillospirales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00997008157762983,NA,NA,NA,NA,NA,NA,NA,0.0283943952035768,NA,NA,"diet"
"Oscillospirales","Female","week 10","ran_pars","Residual","sd__Observation",0.0555295081097241,NA,NA,NA,NA,NA,NA,NA,0.0283943952035768,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","fixed",NA,"dietHFHS",0.10765203395791,0.0175386436829824,6.13799082208187,22.0000000000865,3.53645268885063e-06,0.0712791131762161,0.144024954739604,6.13799082208187,0.620930761764464,NA,7.07290537770126e-06,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.620930761764464,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.620930761764464,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 5","ran_pars","Residual","sd__Observation",0.0429607278037943,NA,NA,NA,NA,NA,NA,NA,0.620930761764464,NA,NA,"diet"
"Oscillospirales","Male","week 10","fixed",NA,"dietHFHS",0.0189169832351168,0.0178753740262622,1.05827062456564,21.4892343512481,0.301683638589346,-0.0182054272615946,0.0560393937318283,1.05827062456564,0.0500914845572767,NA,0.301683638589346,"diet"
"Oscillospirales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0500914845572767,NA,NA,"diet"
"Oscillospirales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0212996974381013,NA,NA,NA,NA,NA,NA,NA,0.0500914845572767,NA,NA,"diet"
"Oscillospirales","Male","week 10","ran_pars","Residual","sd__Observation",0.042074845032584,NA,NA,NA,NA,NA,NA,NA,0.0500914845572767,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","fixed",NA,"dietHFHS",0.069715425692893,0.0139477767058718,4.99831816661818,10.1203726772857,0.000519501072073945,0.0386878738317869,0.100742977553999,4.99831816661818,0.771085081738215,NA,0.00103900214414789,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0195065505505246,NA,NA,NA,NA,NA,NA,NA,0.771085081738215,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.771085081738215,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 5","ran_pars","Residual","sd__Observation",0.0194011060004204,NA,NA,NA,NA,NA,NA,NA,0.771085081738215,NA,NA,"diet"
"Erysipelotrichales","Male","week 10","fixed",NA,"dietHFHS",0.0151327117402631,0.0168443303308944,0.898386070742626,10.5440886070349,0.389034071996764,-0.0221379305845936,0.0524033540651197,0.898386070742626,0.0824751105077339,NA,0.389034071996764,"diet"
"Erysipelotrichales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0222586563610504,NA,NA,NA,NA,NA,NA,NA,0.0824751105077339,NA,NA,"diet"
"Erysipelotrichales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0824751105077339,NA,NA,"diet"
"Erysipelotrichales","Male","week 10","ran_pars","Residual","sd__Observation",0.0257795861125051,NA,NA,NA,NA,NA,NA,NA,0.0824751105077339,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","fixed",NA,"dietHFHS",0.0196364344616714,0.0105898116757321,1.85427607807897,21.9999999998604,0.0771545975096996,-0.00232549076681305,0.0415983596901559,1.85427607807897,0.13005127414058,NA,0.0771545975096996,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.13005127414058,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.13005127414058,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Female","week 10","ran_pars","Residual","sd__Observation",0.0259396350777113,NA,NA,NA,NA,NA,NA,NA,0.13005127414058,NA,NA,"diet"
"Erysipelotrichales","Female","week 10","fixed",NA,"dietHFHS",0.00433610807643991,0.016895975861997,0.256635551083666,6.37949057966527,0.805537587454923,-0.036417962220124,0.0450901783730038,0.256635551083666,0.00467157901416961,0.822830606753212,0.805537587454923,"diet"
"Erysipelotrichales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0222511364145063,NA,NA,NA,NA,NA,NA,NA,0.00467157901416961,0.822830606753212,NA,"diet"
"Erysipelotrichales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0190760525272695,NA,NA,NA,NA,NA,NA,NA,0.00467157901416961,0.822830606753212,NA,"diet"
"Erysipelotrichales","Female","week 10","ran_pars","Residual","sd__Observation",0.0136387417175201,NA,NA,NA,NA,NA,NA,NA,0.00467157901416961,0.822830606753212,NA,"diet"
"Coriobacteriales","Male","week 10","fixed",NA,"dietHFHS",-0.00208852116038009,0.0126941754872519,-0.164525940458084,9.12030163962643,0.872905869468051,-0.0307471048810722,0.026570062560312,-0.164525940458084,0.00174029041242386,0.623264648234461,0.872905869468051,"diet"
"Coriobacteriales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0184076194999183,NA,NA,NA,NA,NA,NA,NA,0.00174029041242386,0.623264648234461,NA,"diet"
"Coriobacteriales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00821854483894067,NA,NA,NA,NA,NA,NA,NA,0.00174029041242386,0.623264648234461,NA,"diet"
"Coriobacteriales","Male","week 10","ran_pars","Residual","sd__Observation",0.015694876790595,NA,NA,NA,NA,NA,NA,NA,0.00174029041242386,0.623264648234461,NA,"diet"
"Erysipelotrichales","Female","week 5","fixed",NA,"dietHFHS",-0.0320658136652215,0.00806270691230372,-3.97705311801536,5.65914883207335,0.0082274593508067,-0.0520861967560245,-0.0120454305744184,-3.97705311801536,0.486667639991041,0.618304661958781,0.0082274593508067,"diet"
"Erysipelotrichales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.007783512073096,NA,NA,NA,NA,NA,NA,NA,0.486667639991041,0.618304661958781,NA,"diet"
"Erysipelotrichales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00345971535795372,NA,NA,NA,NA,NA,NA,NA,0.486667639991041,0.618304661958781,NA,"diet"
"Erysipelotrichales","Female","week 5","ran_pars","Residual","sd__Observation",0.0145042796538139,NA,NA,NA,NA,NA,NA,NA,0.486667639991041,0.618304661958781,NA,"diet"
"Verrucomicrobiales","Female","week 10","fixed",NA,"dietHFHS",0.00912423131582554,0.0101243793960159,0.901213887679487,20.0389172380456,0.378178968621446,-0.0119922249779572,0.0302406876096083,0.901213887679487,0.0398665056750269,NA,0.378178968621446,"diet"
"Verrucomicrobiales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",2.96033195632023e-07,NA,NA,NA,NA,NA,NA,NA,0.0398665056750269,NA,NA,"diet"
"Verrucomicrobiales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0086014452664821,NA,NA,NA,NA,NA,NA,NA,0.0398665056750269,NA,NA,"diet"
"Verrucomicrobiales","Female","week 10","ran_pars","Residual","sd__Observation",0.0228701871590265,NA,NA,NA,NA,NA,NA,NA,0.0398665056750269,NA,NA,"diet"
"Erysipelotrichales","Male","week 5","fixed",NA,"dietHFHS",0.00261459104228454,0.00735676775830261,0.355399426512247,21.9999999992343,0.725675238457922,-0.0126424114785147,0.0178715935630838,0.355399426512247,0.00546169099953385,NA,0.725675238457922,"diet"
"Erysipelotrichales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00546169099953385,NA,NA,"diet"
"Erysipelotrichales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00546169099953385,NA,NA,"diet"
"Erysipelotrichales","Male","week 5","ran_pars","Residual","sd__Observation",0.0180203271640002,NA,NA,NA,NA,NA,NA,NA,0.00546169099953385,NA,NA,"diet"
"Deferribacterales","Female","week 10","fixed",NA,"dietHFHS",0.00725265640435325,0.00640685908449355,1.13201434723401,19.6868654845873,0.271228928746489,-0.00612545797650316,0.0206307707852097,1.13201434723401,0.0618773658141823,NA,0.542457857492978,"diet"
"Deferribacterales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0618773658141823,NA,NA,"diet"
"Deferribacterales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.00559859590889149,NA,NA,NA,NA,NA,NA,NA,0.0618773658141823,NA,NA,"diet"
"Deferribacterales","Female","week 10","ran_pars","Residual","sd__Observation",0.0144235680884869,NA,NA,NA,NA,NA,NA,NA,0.0618773658141823,NA,NA,"diet"
"Desulfovibrionales","Female","week 10","fixed",NA,"dietHFHS",0.00816241548428566,0.0070661022956448,1.15515104972604,21.9999999995677,0.26042132580283,-0.00649178376172359,0.0228166147302949,1.15515104972604,0.0548349405064605,NA,0.26042132580283,"diet"
"Desulfovibrionales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0548349405064605,NA,NA,"diet"
"Desulfovibrionales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0548349405064605,NA,NA,"diet"
"Desulfovibrionales","Female","week 10","ran_pars","Residual","sd__Observation",0.0173083450946386,NA,NA,NA,NA,NA,NA,NA,0.0548349405064605,NA,NA,"diet"
"Deferribacterales","Female","week 5","fixed",NA,"dietHFHS",0.000250555832634776,0.0120970447295308,0.0207121522848577,7.20643866922059,0.9840371280255,-0.0281891315828923,0.0286902432481618,0.0207121522848577,0.000142238535167757,NA,0.9840371280255,"diet"
"Deferribacterales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0172613658805167,NA,NA,NA,NA,NA,NA,NA,0.000142238535167757,NA,NA,"diet"
"Deferribacterales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000142238535167757,NA,NA,"diet"
"Deferribacterales","Female","week 5","ran_pars","Residual","sd__Observation",0.0107294312117793,NA,NA,NA,NA,NA,NA,NA,0.000142238535167757,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","Male","week 10","fixed",NA,"dietHFHS",-0.0075597700858524,0.00634771438468026,-1.19094364171415,8.42887246172148,0.266131772398579,-0.0220689920247268,0.00694945185302202,-1.19094364171415,0.0639984235823794,0.581541045445019,0.266131772398579,"diet"
