"phylum","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Desulfobacterota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.559332889510377,NA,NA,"diet"
"Desulfobacterota","ran_pars","Residual","sd__Observation",0.00979114373936601,NA,NA,NA,NA,NA,NA,NA,0.559332889510377,NA,NA,"diet"
"Proteobacteria","fixed",NA,"dietHFHS",0.00166441345351413,0.00314694844524874,0.528897591578616,12.0000000001689,0.606521302247581,-0.00519219819328447,0.00852102510031273,0.528897591578616,0.0210646305531557,NA,0.606521302247581,"diet"
"Proteobacteria","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0210646305531557,NA,NA,"diet"
"Proteobacteria","ran_pars","Residual","sd__Observation",0.00588740144798087,NA,NA,NA,NA,NA,NA,NA,0.0210646305531557,NA,NA,"diet"
"Patescibacteria","fixed",NA,"dietHFHS",-0.000480918900873387,0.000184409994927571,-2.60787871645608,11.9999999995971,0.0228909848159115,-0.000882713763741944,-7.91240380048297e-05,-2.60787871645608,0.34346854274633,NA,0.0228909848159115,"diet"
"Patescibacteria","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.34346854274633,NA,NA,"diet"
"Patescibacteria","ran_pars","Residual","sd__Observation",0.000344999509857846,NA,NA,NA,NA,NA,NA,NA,0.34346854274633,NA,NA,"diet"
"Firmicutes","fixed",NA,"treatmentFOS+GOS",-0.408195184842265,0.0796462302123527,-5.12510364588425,18.0000000001202,7.08748869342838e-05,-0.575525705317429,-0.240864664367102,-5.12510364588425,0.600733893123707,NA,0.000141749773868568,"treatment"
"Firmicutes","fixed",NA,"treatmentB. longum APC1472",-0.0691938663790498,0.0796462302123527,-0.868765115367861,18.0000000001202,0.396411911593173,-0.236524386854213,0.0981366540961136,-0.868765115367861,0.600733893123707,NA,0.396411911593173,"treatment"
"Firmicutes","ran_pars","cohort","sd__(Intercept)",2.22533350890382e-12,NA,NA,NA,NA,NA,NA,NA,0.600733893123707,NA,NA,"treatment"
"Firmicutes","ran_pars","Residual","sd__Observation",0.149004452801374,NA,NA,NA,NA,NA,NA,NA,0.600733893123707,NA,NA,"treatment"
"Bacteroidota","fixed",NA,"treatmentFOS+GOS",0.280408683569179,0.0575553963112046,4.87197902439933,14.450972324677,0.000225684219297129,0.157325070268979,0.40349229686938,4.87197902439933,0.573952651786713,0.68719792218011,0.000451368438594259,"treatment"
"Bacteroidota","fixed",NA,"treatmentB. longum APC1472",-0.0278991717281039,0.0572975936133567,-0.486916988457964,14.6628115528621,0.63351544252421,-0.150271164915503,0.0944728214592948,-0.486916988457964,0.573952651786713,0.68719792218011,0.63351544252421,"treatment"
"Bacteroidota","ran_pars","cohort","sd__(Intercept)",0.0633716091643731,NA,NA,NA,NA,NA,NA,NA,0.573952651786713,0.68719792218011,NA,"treatment"
"Bacteroidota","ran_pars","Residual","sd__Observation",0.105322100808435,NA,NA,NA,NA,NA,NA,NA,0.573952651786713,0.68719792218011,NA,"treatment"
"Verrucomicrobiota","fixed",NA,"treatmentFOS+GOS",0.0622846130817533,0.0491339529411083,1.26764913778477,17.9999999996109,0.221077130360288,-0.0409419915765469,0.165511217740054,1.26764913778477,0.215019048423976,NA,0.24055762594722,"treatment"
"Verrucomicrobiota","fixed",NA,"treatmentB. longum APC1472",0.114865512565676,0.0491339529411083,2.33780320307942,17.99999999961,0.0311446575864605,0.0116389079073755,0.218092117223977,2.33780320307942,0.215019048423976,NA,0.0934339727593814,"treatment"
"Verrucomicrobiota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.215019048423976,NA,NA,"treatment"
"Verrucomicrobiota","ran_pars","Residual","sd__Observation",0.0919212089817505,NA,NA,NA,NA,NA,NA,NA,0.215019048423976,NA,NA,"treatment"
"Actinobacteriota","fixed",NA,"treatmentFOS+GOS",0.0966512322396565,0.0331818554324162,2.91277359207693,16.2055438268922,0.0100653011502506,0.0263812822439322,0.166921182235381,2.91277359207693,0.365672498982929,0.36580098792774,0.0301959034507519,"treatment"
"Actinobacteriota","fixed",NA,"treatmentB. longum APC1472",-0.00183449560244331,0.0331813759056427,-0.0552869057527944,15.3714866186748,0.956622110816656,-0.0724103472149632,0.0687413560100766,-0.0552869057527944,0.365672498982929,0.36580098792774,0.956622110816656,"treatment"
"Actinobacteriota","ran_pars","cohort","sd__(Intercept)",0.000883572580890746,NA,NA,NA,NA,NA,NA,NA,0.365672498982929,0.36580098792774,NA,"treatment"
"Actinobacteriota","ran_pars","Residual","sd__Observation",0.0620757720440866,NA,NA,NA,NA,NA,NA,NA,0.365672498982929,0.36580098792774,NA,"treatment"
"Deferribacterota","fixed",NA,"treatmentFOS+GOS",-0.0159343893354302,0.00808237828691739,-1.97149759263589,15.7711049643763,0.0664726874006993,-0.0330884985160219,0.00121971984516137,-1.97149759263589,0.160422285775005,0.231011068596923,0.132945374801399,"treatment"
"Deferribacterota","fixed",NA,"treatmentB. longum APC1472",-0.0111419190204518,0.00805164356358324,-1.38380678832401,15.4177290457641,0.186125148960792,-0.0282631813061,0.00597934326519641,-1.38380678832401,0.160422285775005,0.231011068596923,0.186125148960792,"treatment"
"Deferribacterota","ran_pars","cohort","sd__(Intercept)",0.00453721274426099,NA,NA,NA,NA,NA,NA,NA,0.160422285775005,0.231011068596923,NA,"treatment"
"Deferribacterota","ran_pars","Residual","sd__Observation",0.0149755003279411,NA,NA,NA,NA,NA,NA,NA,0.160422285775005,0.231011068596923,NA,"treatment"
"Desulfobacterota","fixed",NA,"treatmentFOS+GOS",-0.0274761250483348,0.00625286228858195,-4.39416762760114,16.6248192934425,0.000415964790139779,-0.0406912269318645,-0.014261023164805,-4.39416762760114,0.479985772874237,0.509761942223511,0.000831929580279558,"treatment"
"Desulfobacterota","fixed",NA,"treatmentB. longum APC1472",-0.0135753914761321,0.006234223095159,-2.17755945992271,16.2928747203412,0.0444627349845544,-0.0267720727439328,-0.000378710208331464,-2.17755945992271,0.479985772874237,0.509761942223511,0.0444627349845544,"treatment"
"Desulfobacterota","ran_pars","cohort","sd__(Intercept)",0.00286289148867001,NA,NA,NA,NA,NA,NA,NA,0.479985772874237,0.509761942223511,NA,"treatment"
"Desulfobacterota","ran_pars","Residual","sd__Observation",0.0116164649402408,NA,NA,NA,NA,NA,NA,NA,0.479985772874237,0.509761942223511,NA,"treatment"
"Proteobacteria","fixed",NA,"treatmentFOS+GOS",0.0130538634322168,0.00474089550012035,2.75345943227085,17.9999999994997,0.0130754601682588,0.00309361158551458,0.0230141152789191,2.75345943227085,0.297787939161793,NA,0.0392263805047763,"treatment"
"Proteobacteria","fixed",NA,"treatmentB. longum APC1472",0.00263213540904015,0.00474089550012035,0.555197938653855,17.9999999994997,0.585593677096796,-0.00732811643766208,0.0125923872557424,0.555197938653855,0.297787939161793,NA,0.585593677096796,"treatment"
"Proteobacteria","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.297787939161793,NA,NA,"treatment"
"Proteobacteria","ran_pars","Residual","sd__Observation",0.00886940333397432,NA,NA,NA,NA,NA,NA,NA,0.297787939161793,NA,NA,"treatment"
"Patescibacteria","fixed",NA,"treatmentFOS+GOS",0.000143777511127037,0.000212068062109372,0.677978143888943,17.9999999997607,0.506408110800425,-0.000301760954590173,0.000589315976844247,0.677978143888943,0.0648442864089892,NA,1,"treatment"
"Patescibacteria","fixed",NA,"treatmentB. longum APC1472",-0.000104952190752649,0.000212068062109372,-0.494898617494418,17.9999999997356,0.626658321443291,-0.000550490656469903,0.000340586274964606,-0.494898617494418,0.0648442864089892,NA,1,"treatment"
"Patescibacteria","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0648442864089892,NA,NA,"treatment"
"Patescibacteria","ran_pars","Residual","sd__Observation",0.000396743015545184,NA,NA,NA,NA,NA,NA,NA,0.0648442864089892,NA,NA,"treatment"
