"sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0473195245421825,NA,NA,NA,NA,NA,NA,NA,0.124254222520379,0.808038050301619,NA,"diet"
"Male","week 10","ran_pars","Residual","sd__Observation",0.0491838548503082,NA,NA,NA,NA,NA,NA,NA,0.124254222520379,0.808038050301619,NA,"diet"
"Male","week 5","fixed",NA,"dietHFHS",0.132201685659524,0.0622105206690945,2.1250695901216,10.2927852687379,0.0587462814829962,-0.00587938439808683,0.270282755717134,2.1250695901216,0.381246570915985,NA,0.117492562965992,"diet"
"Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.087267466523402,NA,NA,NA,NA,NA,NA,NA,0.381246570915985,NA,NA,"diet"
"Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.381246570915985,NA,NA,"diet"
"Male","week 5","ran_pars","Residual","sd__Observation",0.0860210097592799,NA,NA,NA,NA,NA,NA,NA,0.381246570915985,NA,NA,"diet"
"Male","week 10","fixed",NA,"treatmentFOS+GOS",-0.615031444050245,0.0258459214742721,-23.7960733828921,9.69225034935449,6.36474085797662e-10,-0.672868568254034,-0.557194319846457,-23.7960733828921,0.95704902230311,0.996955608025912,1.90942225739299e-09,"treatment"
"Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.0483589512062732,0.0264707977804545,1.82687925038589,10.4097400085117,0.0964948410513496,-0.0103084886044141,0.10702639101696,1.82687925038589,0.95704902230311,0.996955608025912,0.0964948410513496,"treatment"
"Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0393742064510383,NA,NA,NA,NA,NA,NA,NA,0.95704902230311,0.996955608025912,NA,"treatment"
"Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0495643473821554,NA,NA,NA,NA,NA,NA,NA,0.95704902230311,0.996955608025912,NA,"treatment"
"Male","week 10","ran_pars","Residual","sd__Observation",0.0174837707743716,NA,NA,NA,NA,NA,NA,NA,0.95704902230311,0.996955608025912,NA,"treatment"
"Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.352821992324723,0.059894124402339,-5.89076133669874,10.5598919754301,0.000123093992735749,-0.485321502132092,-0.220322482517354,-5.89076133669874,0.650243890229436,0.755838098841287,0.000369281978207246,"treatment"
"Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.0538290020156392,0.0605557111490438,0.88891701532745,11.2880959531878,0.392596731116231,-0.0790393707925116,0.18669737482379,0.88891701532745,0.650243890229436,0.755838098841287,0.392596731116231,"treatment"
"Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0611013658523072,NA,NA,NA,NA,NA,NA,NA,0.650243890229436,0.755838098841287,NA,"treatment"
"Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0427793706042905,NA,NA,NA,NA,NA,NA,NA,0.650243890229436,0.755838098841287,NA,"treatment"
"Male","week 5","ran_pars","Residual","sd__Observation",0.113420367644619,NA,NA,NA,NA,NA,NA,NA,0.650243890229436,0.755838098841287,NA,"treatment"
"Female","week 10","fixed",NA,"treatmentFOS+GOS",-0.597871891295349,0.0679341682106157,-8.80075383335484,10.5711185623826,3.4477111798149e-06,-0.748137451686338,-0.447606330904359,-8.80075383335484,0.972720392355724,NA,1.03431335394447e-05,"treatment"
"Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0111362766063162,0.0653140430249595,-0.170503556211648,10.5538424582822,0.867838709752609,-0.155636457233077,0.133363904020444,-0.170503556211648,0.972720392355724,NA,0.867838709752609,"treatment"
"Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0960555315281678,NA,NA,NA,NA,NA,NA,NA,0.972720392355724,NA,NA,"treatment"
"Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.972720392355724,NA,NA,"treatment"
"Female","week 10","ran_pars","Residual","sd__Observation",0.0470623730057534,NA,NA,NA,NA,NA,NA,NA,0.972720392355724,NA,NA,"treatment"
"Female","week 5","fixed",NA,"treatmentFOS+GOS",-0.517651732528138,0.0459139818936835,-11.2743811618603,6.36841278712818,1.92054814912499e-05,-0.628442399629036,-0.406861065427239,-11.2743811618603,0.850073263071693,NA,5.76164444737496e-05,"treatment"
"Female","week 5","fixed",NA,"treatmentB. longum APC1472",-0.0852344761658666,0.0446541937435279,-1.90876755395948,7.01060797168389,0.097871740230458,-0.190792485571262,0.0203235332395284,-1.90876755395948,0.850073263071693,NA,0.097871740230458,"treatment"
"Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.033865047381109,NA,NA,NA,NA,NA,NA,NA,0.850073263071693,NA,NA,"treatment"
"Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.850073263071693,NA,NA,"treatment"
"Female","week 5","ran_pars","Residual","sd__Observation",0.0955072320598936,NA,NA,NA,NA,NA,NA,NA,0.850073263071693,NA,NA,"treatment"
