"order","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Verrucomicrobiales","fixed",NA,"dietHFHS",0.0223954512612351,0.0257986504497638,0.868086154539147,11.9999999997527,0.402374340820821,-0.0338149793269389,0.0786058818494091,0.868086154539147,0.0547911106719938,NA,0.402374340820821,"diet"
"Verrucomicrobiales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Verrucomicrobiales","ran_pars","Residual","sd__Observation",0.0482648555120788,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","fixed",NA,"dietHFHS",0.0480768236532302,0.0165014024948692,2.913499241545,11.9999999996998,0.0129963207603404,0.0121233561898067,0.0840302911166537,2.913499241545,0.395024621913501,NA,0.0259926415206808,"diet"
"Peptostreptococcales-Tissierellales","ran_pars","cohort","sd__(Intercept)",1.43063059592249e-11,NA,NA,NA,NA,NA,NA,NA,0.395024621913501,NA,NA,"diet"
"Peptostreptococcales-Tissierellales","ran_pars","Residual","sd__Observation",0.0308712972685286,NA,NA,NA,NA,NA,NA,NA,0.395024621913501,NA,NA,"diet"
"Coriobacteriales","fixed",NA,"dietHFHS",0.0117030741854153,0.0144286481617013,0.811099837923789,12.0000000000669,0.43310164539736,-0.0197342495440345,0.0431403979148651,0.811099837923789,0.0481687352006959,NA,0.707114093437562,"diet"
"Coriobacteriales","ran_pars","cohort","sd__(Intercept)",5.25507601075604e-12,NA,NA,NA,NA,NA,NA,NA,0.0481687352006959,NA,NA,"diet"
"Coriobacteriales","ran_pars","Residual","sd__Observation",0.0269935289876959,NA,NA,NA,NA,NA,NA,NA,0.0481687352006959,NA,NA,"diet"
"Staphylococcales","fixed",NA,"dietHFHS",0.012135337071223,0.0109292349297648,1.11035558748706,11.9999999996347,0.288600019037208,-0.011677420212276,0.0359480943547221,1.11035558748706,0.086622574285254,NA,0.577200038074416,"diet"
"Staphylococcales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.086622574285254,NA,NA,"diet"
"Staphylococcales","ran_pars","Residual","sd__Observation",0.0204467263033711,NA,NA,NA,NA,NA,NA,NA,0.086622574285254,NA,NA,"diet"
"Deferribacterales","fixed",NA,"dietHFHS",0.0165224713045529,0.00965481151820955,1.71131992306536,11.9999999997596,0.11272231707545,-0.00451355589938772,0.0375584985084935,1.71131992306536,0.183858779778014,NA,0.225444634150899,"diet"
"Deferribacterales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Deferribacterales","ran_pars","Residual","sd__Observation",0.0180624984175094,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Desulfovibrionales","fixed",NA,"dietHFHS",0.021259396895984,0.00523358647105204,4.06210865408908,11.9999999997787,0.00157573690595009,0.00985639154765968,0.0326624022443083,4.06210865408908,0.559332889510377,NA,0.00183799040417258,"diet"
"Desulfovibrionales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.559332889510377,NA,NA,"diet"
"Desulfovibrionales","ran_pars","Residual","sd__Observation",0.00979114373936601,NA,NA,NA,NA,NA,NA,NA,0.559332889510377,NA,NA,"diet"
"Burkholderiales","fixed",NA,"dietHFHS",0.00350714664464032,0.0026346905852603,1.33114175313828,9.59321891779509,0.213909733710189,-0.00239722679834375,0.00941152008762439,1.33114175313828,0.108626292047711,0.215558038145666,0.427819467420377,"diet"
"Burkholderiales","ran_pars","cohort","sd__(Intercept)",0.00180551925008538,NA,NA,NA,NA,NA,NA,NA,0.108626292047711,0.215558038145666,NA,"diet"
"Burkholderiales","ran_pars","Residual","sd__Observation",0.00489022906419184,NA,NA,NA,NA,NA,NA,NA,0.108626292047711,0.215558038145666,NA,"diet"
"Clostridiales","fixed",NA,"dietHFHS",0.002378406162861,0.00157682886645629,1.50834768024392,11.9999999997619,0.157334901091228,-0.00105720880157116,0.00581402112729316,1.50834768024392,0.148942450738746,NA,0.314669802182455,"diet"
"Clostridiales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.148942450738746,NA,NA,"diet"
"Clostridiales","ran_pars","Residual","sd__Observation",0.00294997668792728,NA,NA,NA,NA,NA,NA,NA,0.148942450738746,NA,NA,"diet"
"Enterobacterales","fixed",NA,"dietHFHS",-0.00187376976520778,0.0014305639901621,-1.30981191900088,10.0766239164861,0.219333564179948,-0.00505798258484616,0.0013104430544306,-1.30981191900088,0.10830988786914,0.189211077527586,0.246704900244402,"diet"
"Enterobacterales","ran_pars","cohort","sd__(Intercept)",0.00084027602806315,NA,NA,NA,NA,NA,NA,NA,0.10830988786914,0.189211077527586,NA,"diet"
"Enterobacterales","ran_pars","Residual","sd__Observation",0.0026601028171129,NA,NA,NA,NA,NA,NA,NA,0.10830988786914,0.189211077527586,NA,"diet"
"Christensenellales","fixed",NA,"dietHFHS",0.00147890139855828,0.000436195143810416,3.39045819180659,7.80276975892356,0.0098512336479461,0.000468590749532458,0.0024892120475841,3.39045819180659,0.0691120032218189,0.928842269180319,0.0197024672958922,"diet"
"Christensenellales","ran_pars","cohort","sd__(Intercept)",0.00270648692275994,NA,NA,NA,NA,NA,NA,NA,0.0691120032218189,0.928842269180319,NA,"diet"
"Christensenellales","ran_pars","Residual","sd__Observation",0.000778638493598406,NA,NA,NA,NA,NA,NA,NA,0.0691120032218189,0.928842269180319,NA,"diet"
"Peptococcales","fixed",NA,"dietHFHS",0.00218948334198127,0.000685369510763118,3.19460277645472,7.90041655050626,0.0129252852829517,0.000605544087416336,0.0037734225965462,3.19460277645472,0.335230144660607,0.591847806718132,0.0258505705659035,"diet"
"Peptococcales","ran_pars","cohort","sd__(Intercept)",0.000993975617397113,NA,NA,NA,NA,NA,NA,NA,0.335230144660607,0.591847806718132,NA,"diet"
"Peptococcales","ran_pars","Residual","sd__Observation",0.00125355538376637,NA,NA,NA,NA,NA,NA,NA,0.335230144660607,0.591847806718132,NA,"diet"
"Saccharimonadales","fixed",NA,"dietHFHS",-0.000480918900873387,0.000184409994927571,-2.60787871645608,11.9999999995971,0.0228909848159115,-0.000882713763741944,-7.91240380048297e-05,-2.60787871645608,0.34346854274633,NA,0.0228909848159115,"diet"
"Saccharimonadales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.34346854274633,NA,NA,"diet"
"Saccharimonadales","ran_pars","Residual","sd__Observation",0.000344999509857846,NA,NA,NA,NA,NA,NA,NA,0.34346854274633,NA,NA,"diet"
"Acholeplasmatales","fixed",NA,"dietHFHS",1.60501200465428e-05,6.66952019822397e-05,0.240648795858161,9.84082351090688,0.814766554431151,-0.000132882516997749,0.000164982757090835,0.240648795858161,0.00454431067381916,NA,1,"diet"
"Acholeplasmatales","ran_pars","cohort","sd__(Intercept)",6.02402923836212e-05,NA,NA,NA,NA,NA,NA,NA,0.00454431067381916,NA,NA,"diet"
"Acholeplasmatales","ran_pars","Residual","sd__Observation",0.000123258702108156,NA,NA,NA,NA,NA,NA,NA,0.00454431067381916,NA,NA,"diet"
"Rickettsiales","fixed",NA,"dietHFHS",4.02927260924425e-05,6.19384133756158e-05,0.65052887047806,11.9999999997867,0.527609915162298,-9.46594836198475e-05,0.000175244935804732,0.65052887047806,0.0315266252155398,NA,0.562368027857293,"diet"
"Rickettsiales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0315266252155398,NA,NA,"diet"
"Rickettsiales","ran_pars","Residual","sd__Observation",0.000115876160965965,NA,NA,NA,NA,NA,NA,NA,0.0315266252155398,NA,NA,"diet"
"Bacillales","fixed",NA,"dietHFHS",-3.52429117693704e-05,3.52429117693704e-05,-1,11.9999999998657,0.337049057953801,-0.0001120306200874,4.15447965486593e-05,-1,0.0714285714285714,NA,0.365433525410257,"diet"
"Bacillales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Bacillales","ran_pars","Residual","sd__Observation",6.59334505766435e-05,NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,"diet"
"Monoglobales","fixed",NA,"dietHFHS",1.75032257017667e-06,3.03795050531493e-05,0.0576152431421928,11.9999999999439,0.955003386262208,-6.44409327985997e-05,6.7941577938953e-05,0.0576152431421928,0.000255282217605098,NA,0.955003386262208,"diet"
"Monoglobales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.000255282217605098,NA,NA,"diet"
"Monoglobales","ran_pars","Residual","sd__Observation",5.68348497443261e-05,NA,NA,NA,NA,NA,NA,NA,0.000255282217605098,NA,NA,"diet"
"Bacteroidales","fixed",NA,"treatmentFOS+GOS",0.280408683569179,0.0575553963112046,4.87197902439933,14.450972324677,0.000225684219297129,0.157325070268979,0.40349229686938,4.87197902439933,0.573952651786713,0.68719792218011,0.000451368438594259,"treatment"
"Bacteroidales","fixed",NA,"treatmentB. longum APC1472",-0.0278991717281039,0.0572975936133567,-0.486916988457964,14.6628115528621,0.63351544252421,-0.150271164915503,0.0944728214592948,-0.486916988457964,0.573952651786713,0.68719792218011,0.63351544252421,"treatment"
"Bacteroidales","ran_pars","cohort","sd__(Intercept)",0.0633716091643731,NA,NA,NA,NA,NA,NA,NA,0.573952651786713,0.68719792218011,NA,"treatment"
"Bacteroidales","ran_pars","Residual","sd__Observation",0.105322100808435,NA,NA,NA,NA,NA,NA,NA,0.573952651786713,0.68719792218011,NA,"treatment"
"Lachnospirales","fixed",NA,"treatmentFOS+GOS",-0.141201407177853,0.0580583654150366,-2.43205963806351,17.9999999997774,0.0256766370379536,-0.26317750669878,-0.0192253076569265,-2.43205963806351,0.231324420761937,NA,0.0513532740759072,"treatment"
"Lachnospirales","fixed",NA,"treatmentB. longum APC1472",-0.0543964204228679,0.0580583654150366,-0.936926488267611,17.9999999997767,0.361198183795922,-0.176372519943795,0.0675796790980589,-0.936926488267611,0.231324420761937,NA,0.361198183795922,"treatment"
"Lachnospirales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.231324420761937,NA,NA,"treatment"
"Lachnospirales","ran_pars","Residual","sd__Observation",0.108617255909596,NA,NA,NA,NA,NA,NA,NA,0.231324420761937,NA,NA,"treatment"
"Oscillospirales","fixed",NA,"treatmentFOS+GOS",-0.15510178748925,0.0420273718188258,-3.69049457001194,15.6772833116085,0.00204214913308428,-0.244345122517289,-0.0658584524612105,-3.69049457001194,0.445756468277826,0.514680049853635,0.00408429826616856,"treatment"
"Oscillospirales","fixed",NA,"treatmentB. longum APC1472",-0.00230423462274792,0.041835394708738,-0.0550785916755471,15.4891288084332,0.956780038815394,-0.0912296375618211,0.0866211683163252,-0.0550785916755471,0.445756468277826,0.514680049853635,0.956780038815394,"treatment"
"Oscillospirales","ran_pars","cohort","sd__(Intercept)",0.0292441315499018,NA,NA,NA,NA,NA,NA,NA,0.445756468277826,0.514680049853635,NA,"treatment"
"Oscillospirales","ran_pars","Residual","sd__Observation",0.0776012795638377,NA,NA,NA,NA,NA,NA,NA,0.445756468277826,0.514680049853635,NA,"treatment"
"Verrucomicrobiales","fixed",NA,"treatmentFOS+GOS",0.0622846130817533,0.0491339529411083,1.26764913778477,17.9999999996109,0.221077130360288,-0.0409419915765469,0.165511217740054,1.26764913778477,0.215019048423976,NA,0.24055762594722,"treatment"
"Verrucomicrobiales","fixed",NA,"treatmentB. longum APC1472",0.114865512565676,0.0491339529411083,2.33780320307942,17.99999999961,0.0311446575864605,0.0116389079073755,0.218092117223977,2.33780320307942,0.215019048423976,NA,0.0934339727593814,"treatment"
"Verrucomicrobiales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.215019048423976,NA,NA,"treatment"
"Verrucomicrobiales","ran_pars","Residual","sd__Observation",0.0919212089817505,NA,NA,NA,NA,NA,NA,NA,0.215019048423976,NA,NA,"treatment"
"Lactobacillales","fixed",NA,"treatmentFOS+GOS",-0.0182759968564319,0.0252811321047577,-0.722910539793131,15.6381127265407,0.48040803229798,-0.071970576459448,0.0354185827465843,-0.722910539793131,0.0566955362783573,0.138697520031412,0.55607327224472,"treatment"
"Lactobacillales","fixed",NA,"treatmentB. longum APC1472",-0.0283256985916692,0.025183194916426,-1.12478574246326,15.2820580323534,0.27803663612236,-0.0819162495332471,0.0252648523499087,-1.12478574246326,0.0566955362783573,0.138697520031412,0.55607327224472,"treatment"
"Lactobacillales","ran_pars","cohort","sd__(Intercept)",0.0144496751214596,NA,NA,NA,NA,NA,NA,NA,0.0566955362783573,0.138697520031412,NA,"treatment"
"Lactobacillales","ran_pars","Residual","sd__Observation",0.0468299562695436,NA,NA,NA,NA,NA,NA,NA,0.0566955362783573,0.138697520031412,NA,"treatment"
"Bifidobacteriales","fixed",NA,"treatmentFOS+GOS",0.0950210817688842,0.0217213656844204,4.37454454519119,17.9999999994643,0.000365478191055413,0.0493861858582527,0.140655977679516,4.37454454519119,0.555989594486459,NA,0.00109643457316624,"treatment"
"Bifidobacteriales","fixed",NA,"treatmentB. longum APC1472",0.00178971265456744,0.0217213656844204,0.0823941128089892,17.9999999994833,0.935242647527487,-0.0438451832560606,0.0474246085651954,0.0823941128089892,0.555989594486459,NA,1,"treatment"
"Bifidobacteriales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.555989594486459,NA,NA,"treatment"
"Bifidobacteriales","ran_pars","Residual","sd__Observation",0.0406369541819647,NA,NA,NA,NA,NA,NA,NA,0.555989594486459,NA,NA,"treatment"
"Erysipelotrichales","fixed",NA,"treatmentFOS+GOS",-0.0240833112156543,0.0240133727932467,-1.00291247810167,17.9999999993843,0.329195719232637,-0.0745335353776344,0.0263669129463257,-1.00291247810167,0.0640159304188172,NA,0.658391438465275,"treatment"
"Erysipelotrichales","fixed",NA,"treatmentB. longum APC1472",0.00047156301398063,0.0240133727932467,0.0196375168969704,17.9999999993843,0.984548580125825,-0.0499786611479995,0.0509217871759607,0.0196375168969704,0.0640159304188172,NA,0.984548580125825,"treatment"
"Erysipelotrichales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0640159304188172,NA,NA,"treatment"
"Erysipelotrichales","ran_pars","Residual","sd__Observation",0.0449249068466039,NA,NA,NA,NA,NA,NA,NA,0.0640159304188172,NA,NA,"treatment"
"Peptostreptococcales-Tissierellales","fixed",NA,"treatmentFOS+GOS",-0.0458569734330975,0.0191518669623896,-2.39438659025521,15.4596274225897,0.0297201566684122,-0.0865727600969965,-0.00514118676919852,-2.39438659025521,0.384616961956175,0.538961464506331,0.0594403133368244,"treatment"
"Peptostreptococcales-Tissierellales","fixed",NA,"treatmentB. longum APC1472",0.030185997834673,0.0190631638094906,1.58347261432254,15.5967990969181,0.133377498229556,-0.0103111773789428,0.0706831730482887,1.58347261432254,0.384616961956175,0.538961464506331,0.133377498229556,"treatment"
"Peptostreptococcales-Tissierellales","ran_pars","cohort","sd__(Intercept)",0.0202937326698802,NA,NA,NA,NA,NA,NA,NA,0.384616961956175,0.538961464506331,NA,"treatment"
"Peptostreptococcales-Tissierellales","ran_pars","Residual","sd__Observation",0.0350739732100878,NA,NA,NA,NA,NA,NA,NA,0.384616961956175,0.538961464506331,NA,"treatment"
"Coriobacteriales","fixed",NA,"treatmentFOS+GOS",0.00162614514517695,0.0156714936734008,0.103764528070289,17.9999999997432,0.918503618427598,-0.0312984413168024,0.0345507316071563,0.103764528070289,0.00584426413036247,NA,1,"treatment"
"Coriobacteriales","fixed",NA,"treatmentB. longum APC1472",-0.0036223753606585,0.0156714936734008,-0.231144231440221,17.9999999997432,0.819809791823505,-0.0365469618226378,0.0293022111013208,-0.231144231440221,0.00584426413036247,NA,1,"treatment"
"Coriobacteriales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00584426413036247,NA,NA,"treatment"
"Coriobacteriales","ran_pars","Residual","sd__Observation",0.0293186800324305,NA,NA,NA,NA,NA,NA,NA,0.00584426413036247,NA,NA,"treatment"
"Staphylococcales","fixed",NA,"treatmentFOS+GOS",-0.013072332319207,0.00904568411392805,-1.4451457904747,18.0000000001067,0.165601925669401,-0.0320766094432086,0.00593194480479462,-1.4451457904747,0.108762858560964,NA,0.331203851338802,"treatment"
"Staphylococcales","fixed",NA,"treatmentB. longum APC1472",-0.011185705754032,0.00904568411392805,-1.23657930269849,17.9999999999344,0.232135820857866,-0.0301899828780466,0.00781857136998265,-1.23657930269849,0.108762858560964,NA,0.331203851338802,"treatment"
"Staphylococcales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.108762858560964,NA,NA,"treatment"
"Staphylococcales","ran_pars","Residual","sd__Observation",0.0169229253916513,NA,NA,NA,NA,NA,NA,NA,0.108762858560964,NA,NA,"treatment"
"Deferribacterales","fixed",NA,"treatmentFOS+GOS",-0.0159343893354302,0.00808237828691739,-1.97149759263589,15.7711049643763,0.0664726874006993,-0.0330884985160219,0.00121971984516137,-1.97149759263589,0.160422285775005,0.231011068596923,0.132945374801399,"treatment"
"Deferribacterales","fixed",NA,"treatmentB. longum APC1472",-0.0111419190204518,0.00805164356358324,-1.38380678832401,15.4177290457641,0.186125148960792,-0.0282631813061,0.00597934326519641,-1.38380678832401,0.160422285775005,0.231011068596923,0.186125148960792,"treatment"
"Deferribacterales","ran_pars","cohort","sd__(Intercept)",0.00453721274426099,NA,NA,NA,NA,NA,NA,NA,0.160422285775005,0.231011068596923,NA,"treatment"
"Deferribacterales","ran_pars","Residual","sd__Observation",0.0149755003279411,NA,NA,NA,NA,NA,NA,NA,0.160422285775005,0.231011068596923,NA,"treatment"
"Desulfovibrionales","fixed",NA,"treatmentFOS+GOS",-0.0274761250483348,0.00625286228858195,-4.39416762760114,16.6248192934425,0.000415964790139779,-0.0406912269318645,-0.014261023164805,-4.39416762760114,0.479985772874237,0.509761942223511,0.000831929580279558,"treatment"
"Desulfovibrionales","fixed",NA,"treatmentB. longum APC1472",-0.0135753914761321,0.006234223095159,-2.17755945992271,16.2928747203412,0.0444627349845544,-0.0267720727439328,-0.000378710208331464,-2.17755945992271,0.479985772874237,0.509761942223511,0.0444627349845544,"treatment"
"Desulfovibrionales","ran_pars","cohort","sd__(Intercept)",0.00286289148867001,NA,NA,NA,NA,NA,NA,NA,0.479985772874237,0.509761942223511,NA,"treatment"
"Desulfovibrionales","ran_pars","Residual","sd__Observation",0.0116164649402408,NA,NA,NA,NA,NA,NA,NA,0.479985772874237,0.509761942223511,NA,"treatment"
"Burkholderiales","fixed",NA,"treatmentFOS+GOS",0.0131007964698491,0.00469730803796689,2.78900092647947,17.9999999998472,0.0121188876682318,0.00323211848307709,0.0229694744566211,2.78900092647947,0.321985741584985,NA,0.0363566630046954,"treatment"
"Burkholderiales","fixed",NA,"treatmentB. longum APC1472",0.00121624575050115,0.00469730803796689,0.258923992352771,17.9999999998464,0.798631701076298,-0.00865243223627091,0.0110849237372732,0.258923992352771,0.321985741584985,NA,0.798631701076298,"treatment"
"Burkholderiales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.321985741584985,NA,NA,"treatment"
"Burkholderiales","ran_pars","Residual","sd__Observation",0.00878785865910571,NA,NA,NA,NA,NA,NA,NA,0.321985741584985,NA,NA,"treatment"
"Clostridiales","fixed",NA,"treatmentFOS+GOS",-0.00268082851878009,0.00152567231783788,-1.75714567763755,18.0000000001557,0.0958888897041526,-0.00588614711750934,0.000524490079949153,-1.75714567763755,0.175772006308872,NA,0.191777779408305,"treatment"
"Clostridiales","fixed",NA,"treatmentB. longum APC1472",9.33746711566449e-05,0.00152567231783788,0.0612023106567022,18.0000000001868,0.951872532385761,-0.0031119439275722,0.00329869326988549,0.0612023106567022,0.175772006308872,NA,0.951872532385761,"treatment"
"Clostridiales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.175772006308872,NA,NA,"treatment"
"Clostridiales","ran_pars","Residual","sd__Observation",0.00285427154891731,NA,NA,NA,NA,NA,NA,NA,0.175772006308872,NA,NA,"treatment"
"Christensenellales","fixed",NA,"treatmentFOS+GOS",-0.00273884521774418,0.00086830934612772,-3.15422749963275,17.9999999998661,0.00548722003420173,-0.00456309546077217,-0.000914594974716201,-3.15422749963275,0.332422116476447,NA,0.0109744400684035,"treatment"
"Christensenellales","fixed",NA,"treatmentB. longum APC1472",-0.00144424381745207,0.00086830934612772,-1.66328258919792,17.999999999696,0.113569043234809,-0.00326849406048129,0.000380006425577148,-1.66328258919792,0.332422116476447,NA,0.113569043234809,"treatment"
"Christensenellales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.332422116476447,NA,NA,"treatment"
"Christensenellales","ran_pars","Residual","sd__Observation",0.00162445803947182,NA,NA,NA,NA,NA,NA,NA,0.332422116476447,NA,NA,"treatment"
"Peptococcales","fixed",NA,"treatmentFOS+GOS",-0.00349604123432189,0.000796838316324896,-4.38739097091366,15.8172940175425,0.00047093483510988,-0.00518685020492452,-0.00180523226371926,-4.38739097091366,0.553686903069728,0.574368141207328,0.000941869670219759,"treatment"
"Peptococcales","fixed",NA,"treatmentB. longum APC1472",6.87505158837145e-06,0.000794800751969795,0.00865003155990059,15.2501949105265,0.993210503513211,-0.00168478516604804,0.00169853526922478,0.00865003155990059,0.553686903069728,0.574368141207328,0.993210503513211,"treatment"
"Peptococcales","ran_pars","cohort","sd__(Intercept)",0.00032669954185897,NA,NA,NA,NA,NA,NA,NA,0.553686903069728,0.574368141207328,NA,"treatment"
"Peptococcales","ran_pars","Residual","sd__Observation",0.00148209936635336,NA,NA,NA,NA,NA,NA,NA,0.553686903069728,0.574368141207328,NA,"treatment"
"Enterobacterales","fixed",NA,"treatmentFOS+GOS",-4.71154083270885e-05,0.000790366685789629,-0.0596120878754107,15.4384057401645,0.953229415199746,-0.00172758508527525,0.00163335426862108,-0.0596120878754107,0.129970591766353,0.225512492014974,1,"treatment"
"Enterobacterales","fixed",NA,"treatmentB. longum APC1472",0.00121487608180587,0.000786930342684033,1.54381654373908,15.1717822738789,0.143232123373195,-0.000460773673679752,0.00289052583729149,1.54381654373908,0.129970591766353,0.225512492014974,0.429696370119585,"treatment"
"Enterobacterales","ran_pars","cohort","sd__(Intercept)",0.000513181705013842,NA,NA,NA,NA,NA,NA,NA,0.129970591766353,0.225512492014974,NA,"treatment"
"Enterobacterales","ran_pars","Residual","sd__Observation",0.00146110503235676,NA,NA,NA,NA,NA,NA,NA,0.129970591766353,0.225512492014974,NA,"treatment"
"Saccharimonadales","fixed",NA,"treatmentFOS+GOS",0.000143777511127037,0.000212068062109372,0.677978143888943,17.9999999997607,0.506408110800425,-0.000301760954590173,0.000589315976844247,0.677978143888943,0.0648442864089892,NA,1,"treatment"
"Saccharimonadales","fixed",NA,"treatmentB. longum APC1472",-0.000104952190752649,0.000212068062109372,-0.494898617494418,17.9999999997356,0.626658321443291,-0.000550490656469903,0.000340586274964606,-0.494898617494418,0.0648442864089892,NA,1,"treatment"
"Saccharimonadales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0648442864089892,NA,NA,"treatment"
"Saccharimonadales","ran_pars","Residual","sd__Observation",0.000396743015545184,NA,NA,NA,NA,NA,NA,NA,0.0648442864089892,NA,NA,"treatment"
"Pseudomonadales","fixed",NA,"treatmentFOS+GOS",-1.22411245673421e-05,0.000139582495208207,-0.0876981354222305,15.5070567394351,0.931239106766478,-0.000308909108427693,0.000284426859293009,-0.0876981354222305,0.10581729534762,NA,1,"treatment"
"Pseudomonadales","fixed",NA,"treatmentB. longum APC1472",0.000177824527153375,0.000139065862132176,1.27870725731639,15.09795446792,0.22030677252669,-0.000118419933123017,0.000474068987429766,1.27870725731639,0.10581729534762,NA,0.660920317580069,"treatment"
