"Phylum",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Deferribacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.159864197547973,1,"0.1599","ns","Wilcoxon","Abundance",0.392717971638444,7,7,"moderate"
"Desulfobacterota","Abundance","Control Vehicle","HFHS Vehicle",0.00729035809153564,0.31,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Desulfobacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Desulfobacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.44328852211644,1,"0.4433","ns","Wilcoxon","Abundance",0.221971027447816,7,7,"small"
"Desulfobacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00329451387658258,0.15,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Desulfobacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Desulfobacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Firmicutes","Abundance","Control Vehicle","HFHS Vehicle",0.0214507336863221,0.72,"0.0215","*","Wilcoxon","Abundance",0.631763693505322,7,7,"large"
"Firmicutes","Abundance","Control Vehicle","HFHS FOS+GOS",0.0298420644179543,0.93,"0.0298","*","Wilcoxon","Abundance",0.597614304667197,7,7,"large"
"Firmicutes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.125201029610315,1,"0.1252","ns","Wilcoxon","Abundance",0.426867360476569,7,7,"moderate"
"Firmicutes","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.1,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Firmicutes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Firmicutes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00216502933303838,0.1,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Patescibacteria","Abundance","Control Vehicle","HFHS Vehicle",0.0282080609586036,0.9,"0.0282","*","Wilcoxon","Abundance",0.604244783998431,7,7,"large"
"Patescibacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.0560987502411349,1,"0.0561","ns","Wilcoxon","Abundance",0.528774116604119,7,7,"large"
"Patescibacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00372197306710855,0.16,"0.0037","**","Wilcoxon","Abundance",0.794183708472564,7,7,"large"
"Patescibacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.722148138236639,1,"0.7221","ns","Wilcoxon","Abundance",0.118794056205853,7,7,"small"
"Patescibacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.172954917988421,1,"0.1730","ns","Wilcoxon","Abundance",0.392232270276368,7,7,"moderate"
"Patescibacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Proteobacteria","Abundance","Control Vehicle","HFHS Vehicle",0.897197011026002,1,"0.8972","ns","Wilcoxon","Abundance",0.0517964371474473,7,7,"small"
"Proteobacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.0105179514104295,0.41,"0.0105","*","Wilcoxon","Abundance",0.700833041003378,7,7,"large"
"Proteobacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.438210802482523,1,"0.4382","ns","Wilcoxon","Abundance",0.224451227638938,7,7,"small"
"Proteobacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0213077106716282,0.72,"0.0213","*","Wilcoxon","Abundance",0.632459085783536,7,7,"large"
"Proteobacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.698305375557784,1,"0.6983","ns","Wilcoxon","Abundance",0.120858353344044,7,7,"small"
"Proteobacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.055017327657759,1,"0.0550","ns","Wilcoxon","Abundance",0.529898152953774,7,7,"large"
"Verrucomicrobiota","Abundance","Control Vehicle","HFHS Vehicle",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Verrucomicrobiota","Abundance","Control Vehicle","HFHS FOS+GOS",0.0151936099774602,0.55,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Verrucomicrobiota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Verrucomicrobiota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.125201029610315,1,"0.1252","ns","Wilcoxon","Abundance",0.426867360476569,7,7,"moderate"
"Verrucomicrobiota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
