"sex","timepoint","Phylum",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 10","Bacteroidota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.891835452746662,1,"0.89184","ns","Wilcoxon","Abundance",0.0326356975932253,12,13,"small"
"Male","week 10","Bacteroidota","Abundance","Control Vehicle","HFHS Vehicle",0.839859972540003,1,"0.83986","ns","Wilcoxon","Abundance",0.0471404520791032,12,12,"small"
"Male","week 10","Bacteroidota","Abundance","Control Vehicle","HFHS FOS+GOS",0.723673609831763,1,"0.72367","ns","Wilcoxon","Abundance",0.076149961050859,12,13,"small"
"Male","week 10","Bacteroidota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.340778613562955,1,"0.34078","ns","Wilcoxon","Abundance",0.200346921336189,12,12,"small"
"Male","week 10","Bacteroidota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.314286985518924,1,"0.31429","ns","Wilcoxon","Abundance",0.20669275142376,12,13,"small"
"Male","week 10","Bacteroidota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.583360466702703,1,"0.58336","ns","Wilcoxon","Abundance",0.117851130197758,12,12,"small"
"Male","week 10","Bacteroidota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.264827710046756,1,"0.26483","ns","Wilcoxon","Abundance",0.228449883152577,13,12,"small"
"Female","week 5","Bacteroidota","Abundance","Control Vehicle","HFHS Vehicle",0.00510790542499549,0.82,"0.00511","**","Wilcoxon","Abundance",0.577470537969014,12,12,"large"
"Female","week 5","Bacteroidota","Abundance","Control Vehicle","HFHS FOS+GOS",0.0303828219765775,1,"0.03038","*","Wilcoxon","Abundance",0.44783429475148,12,12,"moderate"
"Female","week 5","Bacteroidota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0770998717435418,1,"0.07710","ns","Wilcoxon","Abundance",0.358992673525478,12,13,"moderate"
"Female","week 5","Bacteroidota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000384202027034971,0.068,"0.00038","***","Wilcoxon","Abundance",0.730677007226099,12,12,"large"
"Female","week 5","Bacteroidota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0770998717435418,1,"0.07710","ns","Wilcoxon","Abundance",0.358992673525478,12,13,"moderate"
"Female","week 5","Bacteroidota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000297895591481399,0.053,"0.00030","***","Wilcoxon","Abundance",0.728863912915364,12,13,"large"
"Male","week 5","Bacteroidota","Abundance","Control Vehicle","HFHS Vehicle",0.54437014585661,1,"0.54437","ns","Wilcoxon","Abundance",0.129636243217534,12,12,"small"
"Male","week 5","Bacteroidota","Abundance","Control Vehicle","HFHS FOS+GOS",0.0207944835540628,1,"0.02079","*","Wilcoxon","Abundance",0.467778332169562,12,13,"moderate"
"Male","week 5","Bacteroidota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0885337720142296,1,"0.08853","ns","Wilcoxon","Abundance",0.353553390593274,12,12,"moderate"
"Male","week 5","Bacteroidota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.086643733654737,1,"0.08664","ns","Wilcoxon","Abundance",0.34811410766107,12,13,"moderate"
"Male","week 5","Bacteroidota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.930987446559567,1,"0.93099","ns","Wilcoxon","Abundance",0.0235702260395516,12,12,"small"
"Male","week 5","Bacteroidota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.849015362824316,1,"0.84902","ns","Wilcoxon","Abundance",0.0435142634576337,13,12,"small"
"Female","week 10","Cyanobacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 10","Cyanobacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 10","Cyanobacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 10","Deferribacterota","Abundance","Control Vehicle","HFHS Vehicle",0.0395360941154839,1,"0.03954","*","Wilcoxon","Abundance",0.426120813113395,12,12,"moderate"
"Female","week 10","Deferribacterota","Abundance","Control Vehicle","HFHS FOS+GOS",1,1,"1.00000","ns","Wilcoxon","Abundance",0,12,12,"small"
"Female","week 10","Deferribacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.817606038974758,1,"0.81761","ns","Wilcoxon","Abundance",0.0518906553920212,12,13,"small"
"Female","week 10","Deferribacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0193469737642102,1,"0.01935","*","Wilcoxon","Abundance",0.483294709300537,12,12,"moderate"
"Female","week 10","Deferribacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0342558590721853,1,"0.03426","*","Wilcoxon","Abundance",0.428908223459219,12,13,"moderate"
"Female","week 10","Deferribacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.635933151631081,1,"0.63593","ns","Wilcoxon","Abundance",0.100247831854675,12,13,"small"
"Female","week 5","Deferribacterota","Abundance","Control Vehicle","HFHS Vehicle",0.389849520182548,1,"0.38985","ns","Wilcoxon","Abundance",0.181576935446765,12,12,"small"
"Female","week 5","Deferribacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.0861085935144647,1,"0.08611","ns","Wilcoxon","Abundance",0.356274567333845,12,12,"moderate"
"Female","week 5","Deferribacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.885389358887526,1,"0.88539","ns","Wilcoxon","Abundance",0.0345937702613475,12,13,"small"
"Female","week 5","Deferribacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.54401974375423,1,"0.54402","ns","Wilcoxon","Abundance",0.129749117634405,12,12,"small"
"Female","week 5","Deferribacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.419348540484245,1,"0.41935","ns","Wilcoxon","Abundance",0.167079719757792,12,13,"small"
"Female","week 5","Deferribacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.13207397383028,1,"0.13207","ns","Wilcoxon","Abundance",0.306670969478312,12,13,"moderate"
"Male","week 5","Deferribacterota","Abundance","Control Vehicle","HFHS Vehicle",0.0349304854554014,1,"0.03493","*","Wilcoxon","Abundance",0.436428850224817,12,12,"moderate"
"Male","week 5","Deferribacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.163806508693394,1,"0.16381","ns","Wilcoxon","Abundance",0.28393688566081,12,13,"small"
"Male","week 5","Deferribacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.267601450476467,1,"0.26760","ns","Wilcoxon","Abundance",0.232408673050025,12,12,"small"
"Male","week 5","Deferribacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.702844040965511,1,"0.70284","ns","Wilcoxon","Abundance",0.0817466004339427,12,13,"small"
"Male","week 5","Deferribacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0910032404993264,1,"0.09100","ns","Wilcoxon","Abundance",0.351048741863745,12,12,"moderate"
"Male","week 5","Deferribacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.181548016998181,1,"0.18155","ns","Wilcoxon","Abundance",0.272885891465329,13,12,"small"
"Male","week 10","Deferribacterota","Abundance","Control Vehicle","HFHS Vehicle",0.839825619710118,1,"0.83983","ns","Wilcoxon","Abundance",0.0471507033463939,12,12,"small"
"Male","week 10","Deferribacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.13395467569735,1,"0.13395","ns","Wilcoxon","Abundance",0.305187308286719,12,13,"moderate"
"Male","week 10","Deferribacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0191570995619852,1,"0.01916","*","Wilcoxon","Abundance",0.484205161191372,12,12,"moderate"
"Male","week 10","Deferribacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.036213081710776,1,"0.03621","*","Wilcoxon","Abundance",0.424345681498816,12,13,"moderate"
"Male","week 10","Deferribacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0129854881857653,1,"0.01299","*","Wilcoxon","Abundance",0.513044101755983,12,12,"large"
"Male","week 10","Deferribacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.172415167608652,1,"0.17242","ns","Wilcoxon","Abundance",0.278466199596321,13,12,"small"
"Female","week 10","Desulfobacterota","Abundance","Control Vehicle","HFHS Vehicle",0.402503823782004,1,"0.40250","ns","Wilcoxon","Abundance",0.176776695296637,12,12,"small"
"Female","week 10","Desulfobacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.00510790542499549,0.82,"0.00511","**","Wilcoxon","Abundance",0.577470537969014,12,12,"large"
"Female","week 10","Desulfobacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0770998717435418,1,"0.07710","ns","Wilcoxon","Abundance",0.358992673525478,12,13,"moderate"
"Female","week 10","Desulfobacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00861555811882047,1,"0.00862","**","Wilcoxon","Abundance",0.542115198909687,12,12,"large"
"Female","week 10","Desulfobacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0534897998673802,1,"0.05349","ns","Wilcoxon","Abundance",0.391628371118703,12,13,"moderate"
"Female","week 10","Desulfobacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.462763970575789,1,"0.46276","ns","Wilcoxon","Abundance",0.152299922101718,12,13,"small"
"Female","week 5","Desulfobacterota","Abundance","Control Vehicle","HFHS Vehicle",0.0782522285262371,1,"0.07825","ns","Wilcoxon","Abundance",0.36533850361305,12,12,"moderate"
"Female","week 5","Desulfobacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.0141379694559115,1,"0.01414","*","Wilcoxon","Abundance",0.506759859850359,12,12,"large"
"Female","week 5","Desulfobacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0154999933352888,1,"0.01550","*","Wilcoxon","Abundance",0.489535463898379,12,13,"moderate"
"Female","week 5","Desulfobacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000246206232822773,0.044,"0.00025","***","Wilcoxon","Abundance",0.754247233265651,12,12,"large"
"Female","week 5","Desulfobacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.314286985518924,1,"0.31429","ns","Wilcoxon","Abundance",0.20669275142376,12,13,"small"
"Female","week 5","Desulfobacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000156638473297119,0.029,"0.00016","***","Wilcoxon","Abundance",0.76149961050859,12,13,"large"
"Male","week 5","Desulfobacterota","Abundance","Control Vehicle","HFHS Vehicle",0.214493807783517,1,"0.21449","ns","Wilcoxon","Abundance",0.259272486435068,12,12,"small"
"Male","week 5","Desulfobacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.891835452746662,1,"0.89184","ns","Wilcoxon","Abundance",0.0326356975932253,12,13,"small"
"Male","week 5","Desulfobacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00354983863491357,0.58,"0.00355","**","Wilcoxon","Abundance",0.601040764008566,12,12,"large"
"Male","week 5","Desulfobacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0605794374794283,1,"0.06058","ns","Wilcoxon","Abundance",0.380749805254295,12,13,"moderate"
"Male","week 5","Desulfobacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0303828219765775,1,"0.03038","*","Wilcoxon","Abundance",0.44783429475148,12,12,"moderate"
"Male","week 5","Desulfobacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000822354113655869,0.14,"0.00082","***","Wilcoxon","Abundance",0.674471083593322,13,12,"large"
"Male","week 10","Desulfobacterota","Abundance","Control Vehicle","HFHS Vehicle",0.193930852282411,1,"0.19393","ns","Wilcoxon","Abundance",0.271057599454843,12,12,"small"
"Male","week 10","Desulfobacterota","Abundance","Control Vehicle","HFHS FOS+GOS",0.531631442021847,1,"0.53163","ns","Wilcoxon","Abundance",0.130542790372901,12,13,"small"
"Male","week 10","Desulfobacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.370844333304221,1,"0.37084","ns","Wilcoxon","Abundance",0.188561808316413,12,12,"small"
"Male","week 10","Desulfobacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.108584401614275,1,"0.10858","ns","Wilcoxon","Abundance",0.326356975932253,12,13,"moderate"
"Male","week 10","Desulfobacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.885233914473202,1,"0.88523","ns","Wilcoxon","Abundance",0.0353553390593274,12,12,"small"
"Male","week 10","Desulfobacterota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.086643733654737,1,"0.08664","ns","Wilcoxon","Abundance",0.34811410766107,13,12,"moderate"
"Female","week 5","Firmicutes","Abundance","Control Vehicle","HFHS Vehicle",0.000196161473706543,0.036,"0.00020","***","Wilcoxon","Abundance",0.766032346285427,12,12,"large"
"Female","week 5","Firmicutes","Abundance","Control Vehicle","HFHS FOS+GOS",0.402503823782004,1,"0.40250","ns","Wilcoxon","Abundance",0.176776695296637,12,12,"small"
"Female","week 5","Firmicutes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00509081094457993,0.82,"0.00509","**","Wilcoxon","Abundance",0.565685424949238,12,13,"large"
"Female","week 5","Firmicutes","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000196161473706543,0.036,"0.00020","***","Wilcoxon","Abundance",0.766032346285427,12,12,"large"
"Female","week 5","Firmicutes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0471068488747533,1,"0.04711","*","Wilcoxon","Abundance",0.402506936983112,12,13,"moderate"
"Female","week 5","Firmicutes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00253776305573523,0.42,"0.00254","**","Wilcoxon","Abundance",0.609199688406872,12,13,"large"
"Female","week 10","Firmicutes","Abundance","Control Vehicle","HFHS Vehicle",0.0463865932813986,1,"0.04639","*","Wilcoxon","Abundance",0.412478955692153,12,12,"moderate"
"Female","week 10","Firmicutes","Abundance","Control Vehicle","HFHS FOS+GOS",0.000592042145894427,0.1,"0.00059","***","Wilcoxon","Abundance",0.707106781186548,12,12,"large"
"Female","week 10","Firmicutes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.764817539583927,1,"0.76482","ns","Wilcoxon","Abundance",0.0652713951864505,12,13,"small"
"Female","week 10","Firmicutes","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000196161473706543,0.036,"0.00020","***","Wilcoxon","Abundance",0.766032346285427,12,12,"large"
"Female","week 10","Firmicutes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.108584401614275,1,"0.10858","ns","Wilcoxon","Abundance",0.326356975932253,12,13,"moderate"
"Female","week 10","Firmicutes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00709302226890095,1,"0.00709","**","Wilcoxon","Abundance",0.543928293220421,12,13,"large"
"Male","week 5","Firmicutes","Abundance","Control Vehicle","HFHS Vehicle",0.0101931049911083,1,"0.01019","*","Wilcoxon","Abundance",0.530330085889911,12,12,"large"
"Male","week 5","Firmicutes","Abundance","Control Vehicle","HFHS FOS+GOS",0.0534897998673802,1,"0.05349","ns","Wilcoxon","Abundance",0.391628371118703,12,13,"moderate"
"Male","week 5","Firmicutes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00243673480898902,0.4,"0.00244","**","Wilcoxon","Abundance",0.624610990048117,12,12,"large"
"Male","week 5","Firmicutes","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.605343339336507,1,"0.60534","ns","Wilcoxon","Abundance",0.108785658644084,12,13,"small"
"Male","week 5","Firmicutes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.583360466702703,1,"0.58336","ns","Wilcoxon","Abundance",0.117851130197758,12,12,"small"
"Male","week 5","Firmicutes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.242224053991965,1,"0.24222","ns","Wilcoxon","Abundance",0.239328449016985,13,12,"small"
"Male","week 10","Firmicutes","Abundance","Control Vehicle","HFHS Vehicle",0.0463865932813986,1,"0.04639","*","Wilcoxon","Abundance",0.412478955692153,12,12,"moderate"
"Male","week 10","Firmicutes","Abundance","Control Vehicle","HFHS FOS+GOS",0.121094567038586,1,"0.12109","ns","Wilcoxon","Abundance",0.315478410067844,12,13,"moderate"
"Male","week 10","Firmicutes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.370844333304221,1,"0.37084","ns","Wilcoxon","Abundance",0.188561808316413,12,12,"small"
"Male","week 10","Firmicutes","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00176247237759767,0.3,"0.00176","**","Wilcoxon","Abundance",0.630956820135689,12,13,"large"
"Male","week 10","Firmicutes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.976970255321976,1,"0.97697","ns","Wilcoxon","Abundance",0.0117851130197758,12,12,"small"
"Male","week 10","Firmicutes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0154999933352888,1,"0.01550","*","Wilcoxon","Abundance",0.489535463898379,13,12,"moderate"
"Male","week 5","Patescibacteria","Abundance","Control Vehicle","HFHS Vehicle",0.373985849002745,1,"0.37399","ns","Wilcoxon","Abundance",0.190546555179362,12,12,"small"
"Male","week 5","Patescibacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.027842487824363,1,"0.02784","*","Wilcoxon","Abundance",0.44576505174146,12,13,"moderate"
"Male","week 5","Patescibacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.247786834048584,1,"0.24779","ns","Wilcoxon","Abundance",0.244988428087751,12,12,"small"
"Male","week 5","Patescibacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00755860130918919,1,"0.00756","**","Wilcoxon","Abundance",0.540375825867982,12,13,"large"
"Male","week 5","Patescibacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",1,1,"1.00000","ns","Wilcoxon","Abundance",0.0122868296795748,12,12,"small"
"Male","week 5","Patescibacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00192855026884153,0.32,"0.00193","**","Wilcoxon","Abundance",0.62634470725607,13,12,"large"
"Female","week 10","Patescibacteria","Abundance","Control Vehicle","HFHS Vehicle",0.485817671022751,1,"0.48582","ns","Wilcoxon","Abundance",0.149044423250825,12,12,"small"
"Female","week 10","Patescibacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.242208228204891,1,"0.24221","ns","Wilcoxon","Abundance",0.245741333835004,12,12,"small"
"Female","week 10","Patescibacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.200383928273432,1,"0.20038","ns","Wilcoxon","Abundance",0.262658155512956,12,13,"small"
"Female","week 10","Patescibacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.589836465027946,1,"0.58984","ns","Wilcoxon","Abundance",0.117373675985357,12,12,"small"
"Female","week 10","Patescibacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.514132510813066,1,"0.51413","ns","Wilcoxon","Abundance",0.137350846072229,12,13,"small"
"Female","week 10","Patescibacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.913298655751301,1,"0.91330","ns","Wilcoxon","Abundance",0.0290343352569771,12,13,"small"
"Male","week 10","Patescibacteria","Abundance","Control Vehicle","HFHS Vehicle",0.0905208596874356,1,"0.09052","ns","Wilcoxon","Abundance",0.35228681859286,12,12,"moderate"
"Male","week 10","Patescibacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.103680167314925,1,"0.10368","ns","Wilcoxon","Abundance",0.331594256782625,12,13,"moderate"
"Male","week 10","Patescibacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.477994997836725,1,"0.47799","ns","Wilcoxon","Abundance",0.151129478149827,12,12,"small"
"Male","week 10","Patescibacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.680300915204747,1,"0.68030","ns","Wilcoxon","Abundance",0.0892780499469486,12,13,"small"
"Male","week 10","Patescibacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.173588562918527,1,"0.17359","ns","Wilcoxon","Abundance",0.284539353478848,12,12,"small"
"Male","week 10","Patescibacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.231141448679665,1,"0.23114","ns","Wilcoxon","Abundance",0.245625375394537,13,12,"small"
"Female","week 5","Patescibacteria","Abundance","Control Vehicle","HFHS Vehicle",0.349941967275433,1,"0.34994","ns","Wilcoxon","Abundance",0.197374364005044,12,12,"small"
"Female","week 5","Patescibacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.236462132349235,1,"0.23646","ns","Wilcoxon","Abundance",0.247854037553605,12,12,"small"
"Female","week 5","Patescibacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.407112531891538,1,"0.40711","ns","Wilcoxon","Abundance",0.171937762776176,12,13,"small"
"Female","week 5","Patescibacteria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0953916483695426,1,"0.09539","ns","Wilcoxon","Abundance",0.346823692318906,12,12,"moderate"
"Female","week 5","Patescibacteria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.973808344786604,1,"0.97381","ns","Wilcoxon","Abundance",0.0131329077756478,12,13,"small"
"Female","week 5","Patescibacteria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.09358806161844,1,"0.09359","ns","Wilcoxon","Abundance",0.341341844747745,12,13,"moderate"
"Female","week 10","Proteobacteria","Abundance","Control Vehicle","HFHS Vehicle",0.203925519456291,1,"0.20393","ns","Wilcoxon","Abundance",0.265222706323466,12,12,"small"
"Female","week 10","Proteobacteria","Abundance","Control Vehicle","HFHS FOS+GOS",0.026229387834857,1,"0.02623","*","Wilcoxon","Abundance",0.459619407771256,12,12,"moderate"
"Female","week 10","Proteobacteria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.086643733654737,1,"0.08664","ns","Wilcoxon","Abundance",0.34811410766107,12,13,"moderate"
